business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
ARUN FLEX & DESIGNS,Flex and Banner Printing,Banner store,Banner store,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 79042 10081,N/A,5.0,21.0,"Mara Kadai St, Teppam South Bazar, Sivagami Puram, Virudhunagar, Tamil Nadu 626001","Teppam South Bazar, Sivagami Puram",9.5837857,77.9536462,ChIJ3fWnvc8tATsRZoXPLm4rbOc,https://www.google.com/maps/place/?q=place_id:ChIJ3fWnvc8tATsRZoXPLm4rbOc,part_261,2026-09-20 19:02:09,6090
bala digital,Flex and Banner Printing,Design agency,Design agency,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 95785 79369,N/A,5.0,29.0,"64-4I, Pullalakottai Rd, Meenambigai Bungalow, Sivagami Puram, Virudhunagar, Tamil Nadu 626001","Meenambigai Bungalow, Sivagami Puram",9.5910434,77.9513321,ChIJN73rBEItATsROS3RMUZ4h-Y,https://www.google.com/maps/place/?q=place_id:ChIJN73rBEItATsROS3RMUZ4h-Y,part_261,2026-09-20 19:02:09,6091
Flex Banner,Flex and Banner Printing,Flex and Banner Printing,Flex and Banner Printing,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",N/A,N/A,5.0,1.0,"Gamdi Vad, Anand, Gujarat 388001",Gamdi Vad,22.5576919,72.9608878,ChIJ8fsRfpxOXjkROIIHkHGdxUA,https://www.google.com/maps/place/?q=place_id:ChIJ8fsRfpxOXjkROIIHkHGdxUA,part_261,2026-09-20 19:02:09,6092
Prem Digitals,Flex and Banner Printing,Print shop,"Print shop, Acrylic Dealer, Digital printing service, Sign shop",626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 97002 77740,https://www.premdigitalsignage.com/,4.9,,"1-112/3/5/A, 1st floor, beside Testy king bekers and appolo pharmacy Opposite Sai teja west side liquors wine shop Balaji Nagar, kalapuram basti Miyapur cross (x) road signal Bollaram road, and, Miyapur Rd, Hyderabad, Telangana 500049",Kalapuram Basti,17.497435799999998,78.361555,ChIJawpYKluTyzsR5qznEqf-zAE,https://www.google.com/maps/place/?q=place_id:ChIJawpYKluTyzsR5qznEqf-zAE,part_261,2026-09-20 19:02:10,6093
Flex World - Printing press | Visiting card Printing | Banner Printing in Kota | Offset Printing in Kota,Flex and Banner Printing,Print shop,"Print shop, Advertising agency, Digital printing service, Offset Printer, Printer repair service, Screen printing shop, 3D printing service",626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 93512 39163,https://flexworld.in/,5.0,,"Infront of ICICI Bank, Near SBI Atm Jhalawar Road, Kotri Rd, Kota, Rajasthan 324007","Kotri Gordhanpura, Chawani",25.1755005,75.85304409999999,ChIJgZjguPGbbzkRAHruUoTsHK4,https://www.google.com/maps/place/?q=place_id:ChIJgZjguPGbbzkRAHruUoTsHK4,part_261,2026-09-20 19:02:10,6094
Leo Flex Media,Flex and Banner Printing,Digital printing service,Digital printing service,626003,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Industrial Estate SO, Inamreddiapatti BO, Meesalur BO",N/A,N/A,4.8,,"70, Kandhapuram St, Sivagami Puram, Virudhunagar, Tamil Nadu 626001",Sivagami Puram,9.5913136,77.9547005,ChIJgQAIqBAtATsR1dv8PboaV4c,https://www.google.com/maps/place/?q=place_id:ChIJgQAIqBAtATsR1dv8PboaV4c,part_261,2026-09-20 19:02:47,9470
Moon Digital Flex,Flex and Banner Printing,Advertising agency,"Advertising agency, Digital printing service",626003,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Industrial Estate SO, Inamreddiapatti BO, Meesalur BO",+91 98948 03505,https://moonflex.in/,4.8,257.0,"W Perumal Maistry St, near Hotel old Sabarees, Madurai Main, Madurai, Tamil Nadu 625001",Madurai Main,9.9175202,78.1127066,ChIJcbk-VsjFADsRjAtDh2ifYbI,https://www.google.com/maps/place/?q=place_id:ChIJcbk-VsjFADsRjAtDh2ifYbI,part_261,2026-09-20 19:02:47,9471
Kumar Arts,Flex and Banner Printing,Digital printing service,Digital printing service,626003,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Industrial Estate SO, Inamreddiapatti BO, Meesalur BO",+91 94431 44036,N/A,3.9,71.0,"T.P. Mills Rd, Rajapalayam, Tamil Nadu 626117",Rajapalayam,9.4512691,77.5598888,ChIJ_5RopdXpBjsRE9WhEiSg3TM,https://www.google.com/maps/place/?q=place_id:ChIJ_5RopdXpBjsRE9WhEiSg3TM,part_261,2026-09-20 19:02:47,9472
Jeyam flex & studio,Flex and Banner Printing,Digital printing service,Digital printing service,626003,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Industrial Estate SO, Inamreddiapatti BO, Meesalur BO",+91 63821 13185,N/A,4.5,20.0,"No 309, hospital Road, opp. Jei Santham hotel, near The professional Courier, Kamaraj Nager, Rajapalayam, Tamil Nadu 626117","Kamaraj Nager, Rajapalayam",9.452641999999999,77.55594549999999,ChIJbQ-nFTPpBjsRSH0QDezsBL0,https://www.google.com/maps/place/?q=place_id:ChIJbQ-nFTPpBjsRSH0QDezsBL0,part_261,2026-09-20 19:02:47,9473
saravana digital flex,Flex and Banner Printing,Digital printing service,Digital printing service,626003,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Industrial Estate SO, Inamreddiapatti BO, Meesalur BO",N/A,N/A,5.0,1.0,"1, poopalpatti street, near Meenakshi Theatre Road, Thoppupatti, Rajapalayam, Tamil Nadu 626117",Thoppupatti,9.4421172,77.5540403,ChIJO48YzRbpBjsR9xsBI2Lc4AY,https://www.google.com/maps/place/?q=place_id:ChIJO48YzRbpBjsR9xsBI2Lc4AY,part_261,2026-09-20 19:02:47,9474
