business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Majestic Associates,Importers,Import export company,Import export company,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 94866 67999,http://www.majesticassociates.com/,5.0,,"48, Railway Feeder Rd, Sivagami Puram, Virudhunagar, Tamil Nadu 626001",Sivagami Puram,9.59025,77.95522969999999,ChIJH-8_3ZksATsRFIQTN2uRdVQ,https://www.google.com/maps/place/?q=place_id:ChIJH-8_3ZksATsRFIQTN2uRdVQ,part_261,2026-09-20 19:02:17,7840
LASE IMPORTS AND EXPORTS,Importers,Corporate office,Corporate office,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",N/A,N/A,5.0,,"6/117-2, Mullai St, GT Nagar, Pelampatti, Tamil Nadu 626001",GT Nagar,9.610870799999999,77.958868,ChIJvYLO5KgrATsRnWueVPfS8u0,https://www.google.com/maps/place/?q=place_id:ChIJvYLO5KgrATsRnWueVPfS8u0,part_261,2026-09-20 19:02:17,7841
TAMILAN EXPORTS,Importers,Import export company,Import export company,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 80721 97781,N/A,,,"143, palli vasal street, MGR Nagar, Anna Nagar, Aruppukottai, Virudhunagar, Tamil Nadu 626001","MGR Nagar, Anna Nagar",9.589887899999999,77.9623503,ChIJ-WMfUrctATsR7OFJMKBQqEQ,https://www.google.com/maps/place/?q=place_id:ChIJ-WMfUrctATsR7OFJMKBQqEQ,part_261,2026-09-20 19:02:17,7842
The Houses Of Pickle | TamilNadu,Importers,Food products supplier,Food products supplier,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 95665 73096,N/A,5.0,,"Anushka Beauty world and Mariamman Temple, Kasukadai Bazaar, Sivagami Puram, Virudhunagar, Tamil Nadu 626001",Sivagami Puram,9.5873337,77.953906,ChIJcUHVTEstATsR4ou0azBH1JM,https://www.google.com/maps/place/?q=place_id:ChIJcUHVTEstATsR4ou0azBH1JM,part_261,2026-09-20 19:02:17,7843
Karuppusamy Nadar & Sons Hul Distributors,Importers,Corporate office,Corporate office,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",N/A,N/A,4.0,,"Pandian Nagar, Rosalpatti, Tamil Nadu 626001",Pandian Nagar,9.5947614,77.971167,ChIJ9TMBJ4csATsR28PcEZNu5HA,https://www.google.com/maps/place/?q=place_id:ChIJ9TMBJ4csATsR28PcEZNu5HA,part_261,2026-09-20 19:02:17,7844
N S FOOD PRODUCTS,Importers,Food products supplier,Food products supplier,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",N/A,N/A,3.6,,"HWVW+V66, Bypass Rd, Sivagami Puram, Virudhunagar, Tamil Nadu 626001",Sivagami Puram,9.5946637,77.9455081,ChIJ3TSW_6MsATsRpb4gx7Vpi10,https://www.google.com/maps/place/?q=place_id:ChIJ3TSW_6MsATsRpb4gx7Vpi10,part_261,2026-09-20 19:02:17,7845
Niralya Plastics,Importers,Gift shop,"Gift shop, Plastic Products Supplier",626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 80567 96661,N/A,5.0,,"27, Main bazar, Sivagami Puram, Coimbatore, Virudhunagar, Tamil Nadu 641005",Sivagami Puram,9.587004199999999,77.953689,ChIJAdMfdk4tATsRb_v2FwKveGw,https://www.google.com/maps/place/?q=place_id:ChIJAdMfdk4tATsRb_v2FwKveGw,part_261,2026-09-20 19:02:17,7846
Sri Ramakrishna & Co,Importers,Manufacturer,Manufacturer,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 98430 52848,N/A,5.0,,"3, Ramakrishna Salladai Nagar, Madurai Rd, GT Nagar, Pelampatti, Tamil Nadu 626001",GT Nagar,9.607234799999999,77.9562043,ChIJAUlH13ArATsRuZWsDIWp8tc,https://www.google.com/maps/place/?q=place_id:ChIJAUlH13ArATsRuZWsDIWp8tc,part_261,2026-09-20 19:02:17,7847
SRI AANDAL EXPORTS,Importers,Exporter,"Exporter, Food products supplier, Wholesaler",626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",N/A,N/A,,,"6/76 Mullai Street, madurai Road, NGO Colony East, Tamil Nadu 626001","NGO Colony East, GT Nagar",9.6113806,77.9585626,ChIJrWfZuOgrATsRc2q0VdcLt_w,https://www.google.com/maps/place/?q=place_id:ChIJrWfZuOgrATsRc2q0VdcLt_w,part_261,2026-09-20 19:02:17,7848
Eastman Dealer,Importers,Battery Store,"Battery Store, Battery Wholesaler, Solar energy system service, Solar energy equipment supplier, Solar panel maintenance service",626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 79 6624 5991,https://eastman-dealers.eaplworld.com/near-me/virudhunagar/Sivagami-Puram/eastman-dealer-sri-nagamuthu-traders-in-Sivagami-Puram-virudhunagar--3C4PkX/home,,,"Sri Nagamuthu Traders, 46, Kasukadai Bazaar, Sivagami Puram, Virudhunagar, Tamil Nadu 626001",Sivagami Puram,9.5872885,77.9543218,ChIJ7TSkxzstATsRIxsN1QX8uns,https://www.google.com/maps/place/?q=place_id:ChIJ7TSkxzstATsRIxsN1QX8uns,part_261,2026-09-20 19:02:17,7849
