business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Dream Properties,Real Estate Agents,Real estate agency,Real estate agency,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",N/A,N/A,5.0,15.0,"Madurai Rd, Madura Coats Colony, Sivagami Puram, Virudhunagar, Tamil Nadu 626001","Madura Coats Colony, Sivagami Puram",9.5947657,77.9542412,ChIJ4VKFYwAtATsRgKCtpe7S9w4,https://www.google.com/maps/place/?q=place_id:ChIJ4VKFYwAtATsRgKCtpe7S9w4,part_261,2026-09-20 19:02:13,7056
Nextura Homes & Estates,Real Estate Agents,Real estate agency,Real estate agency,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",N/A,N/A,5.0,3.0,"Kvs Hr Sec School, 1/66, Kacheri Road, Sivagami Puram, Virudhunagar, Tamil Nadu 626001",Sivagami Puram,9.596662199999999,77.954143,ChIJnwc-uhItATsR8k-w49cDCCc,https://www.google.com/maps/place/?q=place_id:ChIJnwc-uhItATsR8k-w49cDCCc,part_261,2026-09-20 19:02:13,7057
Noble City Properties,Real Estate Agents,Real estate developer,Real estate developer,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 90807 44687,http://indianpropertymarkets.com/,5.0,19.0,"Lakshmi Nagar, GT Nagar, Virudhunagar, Tamil Nadu 626001","Lakshmi Nagar, GT Nagar",9.6049417,77.9484919,ChIJr4RtUhktATsRz4ToZMNU4-s,https://www.google.com/maps/place/?q=place_id:ChIJr4RtUhktATsRz4ToZMNU4-s,part_261,2026-09-20 19:02:13,7058
Narmatha Real Estate,Real Estate Agents,Industrial real estate agency,Industrial real estate agency,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 99432 22591,N/A,1.0,1.0,"133/13a, Pullalakottai Rd, Sivagami Puram, Virudhunagar, Tamil Nadu 626001",Sivagami Puram,9.5928278,77.9512764,ChIJaeQ4wTYtATsRVkwwUPaM8D8,https://www.google.com/maps/place/?q=place_id:ChIJaeQ4wTYtATsRVkwwUPaM8D8,part_261,2026-09-20 19:02:13,7059
Samsudeen Realestate,Real Estate Agents,Public parking space,Public parking space,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 98653 05959,N/A,5.0,1.0,"2/755, VOC Nagar, Sulakkarai, Kurakkundu, Tamil Nadu 626003","VOC Nagar, Sulakkarai",9.5429439,77.94135159999999,ChIJ0d8uVk8tATsRwFNOu6hZRIQ,https://www.google.com/maps/place/?q=place_id:ChIJ0d8uVk8tATsRwFNOu6hZRIQ,part_261,2026-09-20 19:02:13,7060
SSS REAL ESTATES,Real Estate Agents,Housing development,Housing development,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",N/A,N/A,5.0,1.0,"SSS real estates, Virudhunagar, Kooraikundu, Tamil Nadu 626002",626002,9.5489271,77.94703229999999,ChIJ19_p2-ItATsRafY14skhaP4,https://www.google.com/maps/place/?q=place_id:ChIJ19_p2-ItATsRafY14skhaP4,part_261,2026-09-20 19:02:13,7061
Karunya Real Estate,Real Estate Agents,Real estate agent,Real estate agent,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",N/A,http://karunyarealestate.netlify.app/,,,"5/518, Indira Gandhi Street, behind Vvv Hospital, NGO Colony East, Chattrareddipatti, Tamil Nadu 626001",NGO Colony East,9.6158077,77.95904259999999,ChIJAQAAjW4rATsRDZ_VqiVc6jU,https://www.google.com/maps/place/?q=place_id:ChIJAQAAjW4rATsRDZ_VqiVc6jU,part_261,2026-09-20 19:02:13,7062
Pyo Developers Avenue Park,Real Estate Agents,Real estate agency,Real estate agency,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 72888 43333,http://pyo.co.in/,5.0,1.0,"105, 13-3, Katchery Rd, Virudhunagar, Periaparali, Tamil Nadu 626001",626002,9.6141881,77.97579379999999,ChIJWwi61ZgsATsRf0IYAPaQzFI,https://www.google.com/maps/place/?q=place_id:ChIJWwi61ZgsATsRf0IYAPaQzFI,part_261,2026-09-20 19:02:13,7063
Kumar Villa,Real Estate Agents,Condominium rental agency,Condominium rental agency,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",N/A,N/A,4.3,4.0,"Professors colony, MGR Nagar, Ganesh Nagar, Anna Nagar, Virudhunagar, Tamil Nadu 626001","Professors colony, MGR Nagar, Ganesh Nagar, Anna Nagar",9.5840423,77.9628671,ChIJw5nw-40sATsRAscZkbJqhdI,https://www.google.com/maps/place/?q=place_id:ChIJw5nw-40sATsRAscZkbJqhdI,part_261,2026-09-20 19:02:13,7064
Rajapalayam Properties,Real Estate Agents,Real estate agency,Real estate agency,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 96778 48416,https://www.rajapalayamproperties.in/,4.9,63.0,"366, Srirengapalayam, Rajapalayam, Tamil Nadu 626117",Srirengapalayam,9.4422883,77.5592818,ChIJ5Yd0vbbpBjsRSiZcmfe0HyE,https://www.google.com/maps/place/?q=place_id:ChIJ5Yd0vbbpBjsRSiZcmfe0HyE,part_261,2026-09-20 19:02:13,7065
