business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Sivanthi Textiles,Saree Showroom,Clothing store,Clothing store,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 63840 81269,N/A,4.0,,"Sivagami Puram, Virudhunagar, Tamil Nadu 626001",Sivagami Puram,9.5871893,77.9536924,ChIJRcd4qZcsATsRxs9j3d49AVY,https://www.google.com/maps/place/?q=place_id:ChIJRcd4qZcsATsRxs9j3d49AVY,part_261,2026-09-20 19:01:48,1228
POTHYS - Madurai,Saree Showroom,Clothing store,"Clothing store, Baby clothing store, Designer Clothing Store, Dress store, Grocery store, Saree Shop, Shopping mall, Silk store, Toy store, Women's clothing store",626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 80 6968 0286,https://www.pothys.com/?utm_source=gmb&utm_medium=organic&utm_campaign=sulekhapromanage-pothys,4.7,,"159, W Masi St, Valaiyal Kadai, Madurai Main, Madurai, Tamil Nadu 625001","Valaiyal Kadai, Madurai Main",9.9163572,78.1159332,ChIJ59Yqb4HFADsRdfajEjDldUs,https://www.google.com/maps/place/?q=place_id:ChIJ59Yqb4HFADsRdfajEjDldUs,part_261,2026-09-20 19:01:48,1229
Naachiyars,Saree Showroom,Clothing store,"Clothing store, Bridal shop, Children's clothing store, Men's clothing store, Silk store, Wedding store, Women's clothing store",626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 452 436 6000,http://www.naachiyars.in/,4.6,,"125-126, S Masi St, Mahal Area, Madurai Main, Madurai, Tamil Nadu 625001","Mahal Area, Madurai Main",9.917419599999999,78.1231791,ChIJqaDJuJzFADsRyG4Q6MFSdfY,https://www.google.com/maps/place/?q=place_id:ChIJqaDJuJzFADsRyG4Q6MFSdfY,part_261,2026-09-20 19:01:48,1230
SRI GOWRI SILKS,Saree Showroom,Silk store,"Silk store, Dress store, Saree Shop, Wedding store",626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 94885 85103,http://www.srigowrisilks.com/,4.8,,"156A, E Marret St, Thavitu Sandhai, Madurai Main, Madurai, Tamil Nadu 625001","Thavitu Sandhai, Madurai Main",9.9130161,78.1246239,ChIJ-bOX1nfFADsRiQAOFWQ9wUA,https://www.google.com/maps/place/?q=place_id:ChIJ-bOX1nfFADsRiQAOFWQ9wUA,part_261,2026-09-20 19:01:48,1231
Royal Readymades & Sarees,Saree Showroom,Clothing store,"Clothing store, Baby clothing store, Formal Clothing Store, Maternity store, Men's clothing store, Saree Shop, Underwear store, Vintage clothing store",626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",N/A,N/A,4.0,,"207,208, Katchery Rd, Sivagami Puram, Virudhunagar, Tamil Nadu 626001",Sivagami Puram,9.587919099999999,77.95366469999999,ChIJX6Y9oZcsATsR_cU2EpITZ9E,https://www.google.com/maps/place/?q=place_id:ChIJX6Y9oZcsATsR_cU2EpITZ9E,part_261,2026-09-20 19:01:48,1232
Jeni Saree Drapist Virudhunagar,Saree Showroom,Make-up artist,"Make-up artist, Saree Shop",626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 81108 15170,https://www.instagram.com/jeni_saree_drapist?igsh=NHMxOXNka2c5cWdr,5.0,,"No.6/1032-5 Roja Street, RS Nagar, Hanumaan Nagar, Villipathiri, Tamil Nadu 626001",Hanumaan Nagar,9.572373299999999,77.9698287,ChIJpQRaKwYtATsRomyjkICL3-E,https://www.google.com/maps/place/?q=place_id:ChIJpQRaKwYtATsRomyjkICL3-E,part_261,2026-09-20 19:01:48,1233
S.N.Baskararaja Nadar & Sons,Saree Showroom,Clothing store,Clothing store,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",N/A,N/A,3.9,,"196, Katchery Rd, Sivagami Puram, Virudhunagar, Tamil Nadu 626001",Sivagami Puram,9.588187699999999,77.9537065,ChIJLzgnoJcsATsRtzI9BsoCUFM,https://www.google.com/maps/place/?q=place_id:ChIJLzgnoJcsATsRtzI9BsoCUFM,part_261,2026-09-20 19:01:48,1234
Muthuselvi Tex,Saree Showroom,Saree Shop,Saree Shop,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 88701 47212,N/A,5.0,,"4, Thathampatti Rd, Sulakkarai, Kurakkundu, Tamil Nadu 626003",Sulakkarai,9.5387278,77.94247539999999,ChIJs3Gd6t8tATsREtXWJkcuOrA,https://www.google.com/maps/place/?q=place_id:ChIJs3Gd6t8tATsREtXWJkcuOrA,part_261,2026-09-20 19:01:48,1235
Velmurugan Store,Saree Showroom,Saree Shop,Saree Shop,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 97867 53486,N/A,4.4,,"Main Bazat, Maravapatty - M.Puliyankulam Rd, M.Puliyankulam, Puliankulam, Tamil Nadu 625707",M.Puliyankulam,9.6615266,77.9070249,ChIJ0RgK-nXVBjsRa9oj8W07KRM,https://www.google.com/maps/place/?q=place_id:ChIJ0RgK-nXVBjsRa9oj8W07KRM,part_261,2026-09-20 19:01:48,1236
POTHYS - Srivilliputhur,Saree Showroom,Clothing store,"Clothing store, Baby clothing store, Designer Clothing Store, Dress store, Grocery store, Saree Shop, Shopping mall, Silk store, Toy store, Women's clothing store",626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 80 6968 0287,https://www.pothys.com/?utm_source=gmb&utm_medium=organic&utm_campaign=sulekhapromanage-pothys,4.7,,"No.25, P.P.Melamada street, Srivilliputhur, Tamil Nadu 626125",Mangapuram,9.509385,77.63098099999999,ChIJA0vjKLbcBjsRVr4l_8jYZJY,https://www.google.com/maps/place/?q=place_id:ChIJA0vjKLbcBjsRVr4l_8jYZJY,part_261,2026-09-20 19:01:48,1237
