business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Hope And Care Foundation,Therapy Center,Rehabilitation center,"Rehabilitation center, Alcoholism treatment program, Addiction treatment center",626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 73392 78484,https://vkno.in/hopeandcarefoundation,5.0,10.0,"near Nantha Hotal, Vinayaga nagar, Virudhunagar, Tamil Nadu 626001",Vinayaga nagar,9.5831451,77.9383596,ChIJ7WTh-BAtATsRJJiHjQfeDtw,https://www.google.com/maps/place/?q=place_id:ChIJ7WTh-BAtATsRJJiHjQfeDtw,part_261,2026-09-20 19:02:04,5004
Child Guidance Speech Therapy Centre Virudhunagar,Therapy Center,Child health care center,Child health care center,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 73958 94561,N/A,5.0,,"18 / 3, Elangovan St, near Thiruvengadam Hospital, MGR Nagar, Anna Nagar, Virudhunagar, Tamil Nadu 626001","MGR Nagar, Anna Nagar",9.5897796,77.9603583,ChIJtXewZxgtATsRMhcyByvp7lI,https://www.google.com/maps/place/?q=place_id:ChIJtXewZxgtATsRMhcyByvp7lI,part_261,2026-09-20 19:02:04,5005
NFGA REHAP TREATMENT CENTERS.,Therapy Center,Mental Hospital,"Mental Hospital, Rehabilitation center",626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 73392 78484,https://vkno.in/nfga,4.9,14.0,"80, Periyapallivasal St, Sivagami Puram, Virudhunagar, Tamil Nadu 626001",Sivagami Puram,9.5883711,77.9508965,ChIJ7a_0PPktATsRX504jhUB5EU,https://www.google.com/maps/place/?q=place_id:ChIJ7a_0PPktATsRX504jhUB5EU,part_261,2026-09-20 19:02:04,5006
CARE AKPS PHYSIOTHERAPY,Therapy Center,Physiotherapy Center,Physiotherapy Center,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",N/A,N/A,5.0,,"Kasthuribai Rd, Professors colony, Anna Nagar, Virudhunagar, Tamil Nadu 626001","Professors colony, Anna Nagar",9.5863763,77.9601042,ChIJr4UQRQAtATsRdbvD7kUftHw,https://www.google.com/maps/place/?q=place_id:ChIJr4UQRQAtATsRdbvD7kUftHw,part_261,2026-09-20 19:02:04,5007
PHYSIOTHERAPY CLINIC PANTHALARAJA,Therapy Center,Physiotherapy Center,Physiotherapy Center,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 86670 82960,N/A,,,"Laxmi nagar road, Muthuraman Pati, Virudhunagar, Tamil Nadu 626002",Muthuraman Pati,9.574273699999999,77.9604043,ChIJoeCKUBstATsRD7qsqKp2Sks,https://www.google.com/maps/place/?q=place_id:ChIJoeCKUBstATsRD7qsqKp2Sks,part_261,2026-09-20 19:02:04,5008
Accupunture therapy & natural products,Therapy Center,Medical Center,Medical Center,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",N/A,N/A,5.0,,"1/4622/55/1 N.D, Murugan Nagar, Pandian Nagar, Rosalpatti, Tamil Nadu 626001","Murugan Nagar, Pandian Nagar",9.596902,77.96953649999999,ChIJPfs9nRctATsR49MxtN3xeag,https://www.google.com/maps/place/?q=place_id:ChIJPfs9nRctATsR49MxtN3xeag,part_261,2026-09-20 19:02:04,5009
vatsin physiotherapy clinic,Therapy Center,Physiotherapy Center,Physiotherapy Center,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 98848 22339,https://sites.google.com/view/vatsinphysiotherapy,5.0,,"Lakshmi Nagar, GT Nagar, Virudhunagar, Tamil Nadu 626001","Lakshmi Nagar, GT Nagar",9.6031702,77.9494783,ChIJlXoLHVEtATsR46PnsdiRrI0,https://www.google.com/maps/place/?q=place_id:ChIJlXoLHVEtATsR46PnsdiRrI0,part_261,2026-09-20 19:02:04,5010
Thetchanam Physiotherapy Clinic,Therapy Center,Physiotherapy Center,Physiotherapy Center,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",N/A,N/A,,,"HWGV+8PV, Service Rd, Sivagami Puram, Virudhunagar, Kottaippatti, Tamil Nadu 626001",Sivagami Puram,9.5764117,77.944645,ChIJz36hYQAtATsRTkPcbtPQNXs,https://www.google.com/maps/place/?q=place_id:ChIJz36hYQAtATsRTkPcbtPQNXs,part_261,2026-09-20 19:02:04,5011
Jeyam Clinic,Therapy Center,Physiotherapy Center,Physiotherapy Center,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",N/A,N/A,5.0,,"32, Kasukadai Bazaar, Sivagami Puram, Virudhunagar, Tamil Nadu 626001",Sivagami Puram,9.5862014,77.95495269999999,ChIJx95L1SMtATsRxU5dpJ4qGP8,https://www.google.com/maps/place/?q=place_id:ChIJx95L1SMtATsRxU5dpJ4qGP8,part_261,2026-09-20 19:02:04,5012
SV SPEECH AND HEARING CLINIC,Therapy Center,Speech & Hearing Specialist,Speech & Hearing Specialist,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 89401 24920,N/A,5.0,5.0,"near, VOC Rd, left to prince hotel, Anna Nagar, Virudhunagar, Tamil Nadu 626001",Anna Nagar,9.5823631,77.9599116,ChIJb4sTUQAtATsRf8T2kLpSG38,https://www.google.com/maps/place/?q=place_id:ChIJb4sTUQAtATsRf8T2kLpSG38,part_261,2026-09-20 19:02:04,5013
