business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Rabi A To Z,Caterer and Event Planner,Event management company,Event management company,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 77089 77712,N/A,4.9,97.0,"181A(7), Muslim Complex, Opposite To Raja Driving School, New Bus Stand, Aruppukkottai, Tamil Nadu 626101",P.Puliampatti,9.5159019,78.0939736,ChIJz5YVgdsxATsRZVxOOPdtLVA,https://www.google.com/maps/place/?q=place_id:ChIJz5YVgdsxATsRZVxOOPdtLVA,part_261,2026-09-20 19:02:05
DREAM EPICS EVENT MANAGEMENT,Caterer and Event Planner,Event planner,"Event planner, Audiovisual equipment rental service, DJ service, Event management company, Magician, Musical Band and Orchestra, Photo booth, Wedding planner, Wedding service",626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 88077 58590,https://www.instagram.com/dreamepicseventmanagement/,4.8,136.0,"Thrisoolakaaliamman koil St, near HOTEL GRT, Madurai, Tamil Nadu 625003",626002,9.904219999999999,78.09382049999999,ChIJOYAaP4XPADsRQ9ZqHhc2a10,https://www.google.com/maps/place/?q=place_id:ChIJOYAaP4XPADsRQ9ZqHhc2a10,part_261,2026-09-20 19:02:05
Taj Catering and Events,Caterer and Event Planner,Wedding planner,"Wedding planner, Caterer, Service establishment, Event planner",626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 99889 01858,http://www.tajcateringldh.com/,4.6,53.0,"Taj Catering and Events, 626002, India",626002,31.026816399999998,75.4106475,ChIJ3X2J0laCGjkR8Xe9UxeFrCU,https://www.google.com/maps/place/?q=place_id:ChIJ3X2J0laCGjkR8Xe9UxeFrCU,part_261,2026-09-20 19:02:05
SRI Lakshmi Event,Caterer and Event Planner,Event management company,"Event management company, Catering food and drink supplier, DJ service",626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 99442 04638,N/A,5.0,13.0,"4/13 A West street, periya kolla patti, Sattur, Nenmeni, Tamil Nadu 626202",626002,9.3328437,77.968246,ChIJf7D-DbpLATsRvQJ7IhgrYtE,https://www.google.com/maps/place/?q=place_id:ChIJf7D-DbpLATsRvQJ7IhgrYtE,part_261,2026-09-20 19:02:05
Taste me caterer's and event's,Caterer and Event Planner,Caterer,"Caterer, Wedding planner",626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",N/A,N/A,4.2,5.0,"1 A, Thiruvalluvar nagar 1st cross st, Thiruvalluvar Nagar, Palangantham, Madurai, Tamil Nadu 625003",Thiruvalluvar Nagar,9.9027003,78.0930628,ChIJYfCUlZnPADsRwIY7inHDa88,https://www.google.com/maps/place/?q=place_id:ChIJYfCUlZnPADsRwIY7inHDa88,part_261,2026-09-20 19:02:05
UR's Basket,Caterer and Event Planner,Event management company,"Event management company, Catering food and drink supplier, Caterer, Event planner, Wedding buffet, Wedding planner",626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 90510 22017,http://www.ursbasketevents.com/,5.0,12.0,"8B, Binode Saha Ln, Simla, Machuabazar, Kolkata, West Bengal 700006","Simla, Machuabazar",22.5849911,88.3699405,ChIJUV40q0l2AjoRS80bQQrTKPY,https://www.google.com/maps/place/?q=place_id:ChIJUV40q0l2AjoRS80bQQrTKPY,part_261,2026-09-20 19:02:05
Jain Annpurna Caterers & Event Organisers,Caterer and Event Planner,Event planner,"Event planner, Caterer, Service establishment",626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 90348 96663,https://www.facebook.com/JainAnnpurnaCaterersAndEventOrganisers,5.0,24.0,"Jain Annpurna Caterers & Event Organisers, 626002, India",626002,30.4543486,77.462508,ChIJK6gL_6a3DzkR51fzYwW3a1A,https://www.google.com/maps/place/?q=place_id:ChIJK6gL_6a3DzkR51fzYwW3a1A,part_261,2026-09-20 19:02:05
Dream Party Organiser,Caterer and Event Planner,Caterer,"Caterer, Service establishment, Party planner, Wedding service",626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 81780 81417,N/A,5.0,80.0,"Dream Party Organiser, 626002, India",626002,28.7332175,77.12019529999999,ChIJEboL2scBDTkRUbwWjZCiFHw,https://www.google.com/maps/place/?q=place_id:ChIJEboL2scBDTkRUbwWjZCiFHw,part_261,2026-09-20 19:02:05
Cater Inc,Caterer and Event Planner,Caterer,"Caterer, Catering food and drink supplier, Children's party buffet, Event management company, Event planner, Party planner, Restaurant supply store, Wedding buffet",626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 98202 39555,https://www.caterinc.in/?utm_source=GMB&utm_medium=website_button&utm_campaign=gmb_website_button,4.9,129.0,"Parsee Gymkhana, H Road, near Todi Garden, Marine Lines, Mumbai, Maharashtra 400002",Marine Lines,18.944313299999997,72.8239121,ChIJDf6M5aPR5zsRXMBx0o9yBeY,https://www.google.com/maps/place/?q=place_id:ChIJDf6M5aPR5zsRXMBx0o9yBeY,part_261,2026-09-20 19:02:05
Deluxe Fine Catering & Event Management Services,Caterer and Event Planner,Event management company,"Event management company, Caterer",626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 98119 87831,http://www.deluxecateringservices.com/,4.7,15.0,"house 11, Rd Number 81, West Punjabi Bagh, Punjabi Bagh, New Delhi, Delhi, 110026","West Punjabi Bagh, Punjabi Bagh",28.6653894,77.1260616,ChIJQ9s05aEDDTkRUwXJafIQwR8,https://www.google.com/maps/place/?q=place_id:ChIJQ9s05aEDDTkRUwXJafIQwR8,part_261,2026-09-20 19:02:05
