business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SRI VELAVAN IYYANKAR COFFEE SHOP,Cafe and Coffee Shop,Coffee shop,Coffee shop,626005,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Amathur SO, MepcoEnggCollege BO, Mullipatti BO",N/A,N/A,4.0,,"GRHX+XF9, Melamattur, Tamil Nadu 626005",626005,9.529924,77.8487382,ChIJs3mXRADTBjsR-1Ro-h2Z6Pg,https://www.google.com/maps/place/?q=place_id:ChIJs3mXRADTBjsR-1Ro-h2Z6Pg,part_261,2026-09-20 19:03:40
Amuthu Coffee Shop,Cafe and Coffee Shop,Coffee shop,Coffee shop,626005,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Amathur SO, MepcoEnggCollege BO, Mullipatti BO",N/A,N/A,4.0,,"Watrap- Alagapuri -Virudhunagar Rd, Erichanatham, Tamil Nadu 626103",626005,9.630959299999999,77.8170083,ChIJY_gT2GLXBjsR8SupZsXCYlA,https://www.google.com/maps/place/?q=place_id:ChIJY_gT2GLXBjsR8SupZsXCYlA,part_261,2026-09-20 19:03:40
Kp tea stall & hotel,Cafe and Coffee Shop,Coffee shop,Coffee shop,626005,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Amathur SO, MepcoEnggCollege BO, Mullipatti BO",+91 79043 42706,N/A,4.6,,"HV77+F59, SH 42, Amathur, Tamil Nadu 626005",626005,9.5636604,77.8629802,ChIJ1wY2y8DTBjsRVP-GsQoTqKo,https://www.google.com/maps/place/?q=place_id:ChIJ1wY2y8DTBjsRVP-GsQoTqKo,part_261,2026-09-20 19:03:40
Dyu Art Cafe,Cafe and Coffee Shop,Art cafe,"Art cafe, Art gallery, Cafe, Coffee shop, Restaurant",626005,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Amathur SO, MepcoEnggCollege BO, Mullipatti BO",+91 96113 19774,http://www.dyuartcafe.com/,4.4,21280.0,"KHB MIG Colony, Dyu art cafe 23, 22, 1st Cross Rd, Koramangala 8th Block, Koramangala, Bengaluru, Karnataka 560095","KHB Colony, Koramangala 8th Block, Koramangala",12.937307599999999,77.61765439999999,ChIJ80IECk8UrjsRqCffDjE09lw,https://www.google.com/maps/place/?q=place_id:ChIJ80IECk8UrjsRqCffDjE09lw,part_261,2026-09-20 19:03:40
Brahmins' Coffee Bar,Cafe and Coffee Shop,South Indian restaurant,"South Indian restaurant, Breakfast restaurant, Coffee shop, Fast food restaurant, Vegetarian restaurant",626005,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Amathur SO, MepcoEnggCollege BO, Mullipatti BO",+91 98450 30234,N/A,4.5,23444.0,"Pushp Kiran, 19, Ranga Rao Rd, near Shankar Mutt Road, Shankarapura, Bengaluru, Karnataka 560004",Shankarapura,12.953972499999999,77.56884699999999,ChIJ44pbo_AVrjsRZLlc5NF2IcA,https://www.google.com/maps/place/?q=place_id:ChIJ44pbo_AVrjsRZLlc5NF2IcA,part_261,2026-09-20 19:03:40
The Cafe House,Cafe and Coffee Shop,Coffee shop,Coffee shop,626005,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Amathur SO, MepcoEnggCollege BO, Mullipatti BO",+91 92180 73211,N/A,4.7,162.0,"NH3, 15 Mile, Badgran, Himachal Pradesh 175129",15 Mile,32.1404911,77.1549275,ChIJo2CvFsmLBDkR8dIkaKe09Qw,https://www.google.com/maps/place/?q=place_id:ChIJo2CvFsmLBDkR8dIkaKe09Qw,part_261,2026-09-20 19:03:40
Throttle Shrottle Moto Cafe,Cafe and Coffee Shop,Cafe,"Cafe, Coffee shop",626005,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Amathur SO, MepcoEnggCollege BO, Mullipatti BO",+91 82769 36134,N/A,4.2,4672.0,"near HP Fuel Station, Action Area IIC, Reckjoani, Kolkata, West Bengal 700161","Action Area IIC, Reckjoani",22.618272299999997,88.46840499999999,ChIJXVLwoeSf-DkRu2a33IVxQcc,https://www.google.com/maps/place/?q=place_id:ChIJXVLwoeSf-DkRu2a33IVxQcc,part_261,2026-09-20 19:03:40
Cafe Bushehri & The Bakery,Cafe and Coffee Shop,Cafe,"Cafe, Bakery and Cake Shop",626005,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Amathur SO, MepcoEnggCollege BO, Mullipatti BO",+91 98101 11013,N/A,4.9,750.0,"Cafe Bushehri, Pukhri, Banikhet, Himachal Pradesh 176303",Pukhri,32.5488815,75.9525154,ChIJoySczzqRHDkRpnrQ0Jl4Qr0,https://www.google.com/maps/place/?q=place_id:ChIJoySczzqRHDkRpnrQ0Jl4Qr0,part_261,2026-09-20 19:03:40
RAJ COFFEE BAR,Cafe and Coffee Shop,Coffee shop,Coffee shop,626005,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Amathur SO, MepcoEnggCollege BO, Mullipatti BO",+91 81486 79339,N/A,,,"237, Madurai Rd, Sivagami Puram, Virudhunagar, Tamil Nadu 626001",Sivagami Puram,9.5944474,77.9538899,ChIJF6_DdIYtATsRlgDKtyjXQ9o,https://www.google.com/maps/place/?q=place_id:ChIJF6_DdIYtATsRlgDKtyjXQ9o,part_261,2026-09-20 19:03:41
Aroma Coffee Factory & Cafe,Cafe and Coffee Shop,Coffee shop,"Coffee shop, Cafe, Coffee roastery, Coffee wholesaler, Dessert restaurant, Spice store",626005,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Amathur SO, MepcoEnggCollege BO, Mullipatti BO",+91 94475 25455,N/A,4.8,,"Nethaji Nagar, Thekkady, Attappallam, Kumily, Keralam 685509","Nethaji Nagar, Thekkady",9.615902,77.15468419999999,ChIJxRTUTQdVBjsRaMKKkhK9Sgc,https://www.google.com/maps/place/?q=place_id:ChIJxRTUTQdVBjsRaMKKkhK9Sgc,part_261,2026-09-20 19:03:42
