business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sher e punjab chicken point,North Indian Restaurant,North Indian restaurant,North Indian restaurant,626005,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Amathur SO, MepcoEnggCollege BO, Mullipatti BO",+91 99975 80000,http://amumedia.in/,4.8,711,"Allah Maher market, Anup saher road, Kabir Colony, Jamalpur, Aligarh, Uttar Pradesh 202001","Kabir Colony, Jamalpur",27.925282,78.0761479,ChIJiac2quKldDkR1rQWE8Lwm2k,https://www.google.com/maps/place/?q=place_id:ChIJiac2quKldDkR1rQWE8Lwm2k,part_261,2026-09-20 19:03:40
Santhrupthi Andhra Coastal Tandoor,North Indian Restaurant,Andhra restaurant,"Andhra restaurant, Indian restaurant",626005,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Amathur SO, MepcoEnggCollege BO, Mullipatti BO",+91 91080 05078,N/A,4.0,1610,"5H, Bannerghatta Anekal Rd, 1st Phase, Jigani, Karnataka 560105",1st Phase,12.7793417,77.6429653,ChIJ87RfaVBprjsR4si2r8gXyKI,https://www.google.com/maps/place/?q=place_id:ChIJ87RfaVBprjsR4si2r8gXyKI,part_261,2026-09-20 19:03:40
The Punjabi Rasoi,North Indian Restaurant,Punjabi restaurant,"Punjabi restaurant, North Indian restaurant, Restaurant",626005,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Amathur SO, MepcoEnggCollege BO, Mullipatti BO",+91 80 4128 5353,N/A,4.1,7197,"311, 100 Feet Rd, Indira Nagar 1st Stage, Stage 1, Indiranagar, Bengaluru, Karnataka 560038","Indira Nagar 1st Stage, Stage 1, Indiranagar",12.981239799999999,77.6404689,ChIJb8fPELsWrjsRIOHjigbcudo,https://www.google.com/maps/place/?q=place_id:ChIJb8fPELsWrjsRIOHjigbcudo,part_261,2026-09-20 19:03:40
PHURR | Jayanagar,North Indian Restaurant,Indian restaurant,"Indian restaurant, Asian restaurant, Fine dining restaurant, North Indian restaurant, Restaurant, Vegan restaurant, Vegetarian restaurant",626005,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Amathur SO, MepcoEnggCollege BO, Mullipatti BO",+91 96329 01384,http://www.phurr.co.in/,4.7,19764,"40, 22nd Cross Rd, Jayanagar 3rd Block, Jayanagar, Bengaluru, Karnataka 560011","Jayanagar 3rd Block, Jayanagar",12.932748199999999,77.5830067,ChIJ05c7FwAVrjsR6MdIv_EE_E4,https://www.google.com/maps/place/?q=place_id:ChIJ05c7FwAVrjsR6MdIv_EE_E4,part_261,2026-09-20 19:03:40
D live rasoi,North Indian Restaurant,North Indian restaurant,North Indian restaurant,626005,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Amathur SO, MepcoEnggCollege BO, Mullipatti BO",+91 89388 68204,http://dliverasoi.com/,4.0,408,"Near, Govilla Gas Road, opp. Dr. R.K Gaur, Swarna Jayanti Nagar, Aligarh, Uttar Pradesh 202001",Swarna Jayanti Nagar,27.897693099999998,78.097002,ChIJS6jtpXmldDkRzBIdl7B39Lc,https://www.google.com/maps/place/?q=place_id:ChIJS6jtpXmldDkRzBIdl7B39Lc,part_261,2026-09-20 19:03:40
Zafraan,North Indian Restaurant,North Indian restaurant,"North Indian restaurant, Chicken restaurant, Chinese restaurant, Fast food restaurant, Mughlai restaurant",626005,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Amathur SO, MepcoEnggCollege BO, Mullipatti BO",+91 97198 57950,http://zafraanrestaurant.com/,4.1,1565,"Girls Hostel, Akhlaq Apartment, Diggi Rd, opp. New IG, Aligarh, Uttar Pradesh 202001",Amir Nishan,27.901478899999997,78.0800683,ChIJ__8PMOykdDkR9Gl2m-C8Eh0,https://www.google.com/maps/place/?q=place_id:ChIJ__8PMOykdDkR9Gl2m-C8Eh0,part_261,2026-09-20 19:03:40
CTC - Choudhary Tara Chand - Authentic North Indian Food,North Indian Restaurant,Indian restaurant,"Indian restaurant, Dessert restaurant, Non Vegetarian Restaurant, Vegan restaurant, Vegetarian restaurant",626005,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Amathur SO, MepcoEnggCollege BO, Mullipatti BO",+91 89041 98881,N/A,4.6,3717,"Rachenahalli, Jakkur, Bengaluru, Karnataka 560077","Rachenahalli, Jakkur",13.059178999999999,77.6191704,ChIJHfe1l0wZrjsR4N3kN9yogec,https://www.google.com/maps/place/?q=place_id:ChIJHfe1l0wZrjsR4N3kN9yogec,part_261,2026-09-20 19:03:41
Brahmin's Kitchen,North Indian Restaurant,South Indian restaurant,"South Indian restaurant, Breakfast restaurant, Vegetarian restaurant",626005,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Amathur SO, MepcoEnggCollege BO, Mullipatti BO",+91 63610 10755,N/A,4.0,5892,"1182/6, Railway Parallel Rd, A Block, Sahakar Nagar, A - Block, Bengaluru, Karnataka 560092","A Block, Sahakar Nagar, A - Block",13.0675484,77.5833316,ChIJh2DosBkYrjsRX7-ybTMlULY,https://www.google.com/maps/place/?q=place_id:ChIJh2DosBkYrjsRX7-ybTMlULY,part_261,2026-09-20 19:03:41
Arsalan Restaurant & Caterer - Park Circus,North Indian Restaurant,Indian restaurant,"Indian restaurant, Biryani restaurant, Family restaurant, Mughlai restaurant",626005,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Amathur SO, MepcoEnggCollege BO, Mullipatti BO",+91 90070 07942,https://arsalanrestaurants.com/park-circus/,4.2,42493,"191, 7 Point, Marina garden court, Park Circus, Ballygunge, Kolkata, West Bengal 700017","Park Circus, Ballygunge",22.543711,88.36590199999999,ChIJK9EgbQV3AjoR3364gMMjI48,https://www.google.com/maps/place/?q=place_id:ChIJK9EgbQV3AjoR3364gMMjI48,part_261,2026-09-20 19:03:41
The Spicy Aroma & Ponchobyanjon - The flavor of Bengal,North Indian Restaurant,Bengali restaurant,Bengali restaurant,626005,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Amathur SO, MepcoEnggCollege BO, Mullipatti BO",+91 91410 17800,N/A,4.4,249,"71, Krishnappa Gowda Buildings, 12, Neeladri Rd, opposite to Wipro Avenue, Electronic City Phase I, Electronic City, Doddathoguru, Karnataka 560100","Electronic City Phase I, Electronic City",12.839206299999999,77.6579424,ChIJtYYzwAVtrjsRhZ_5CAHfRXA,https://www.google.com/maps/place/?q=place_id:ChIJtYYzwAVtrjsRhZ_5CAHfRXA,part_261,2026-09-20 19:03:41
