business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Kinz Restaurant,Restaurant Chains,Restaurant,Restaurant,626107,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Kovilangulam SO, Kattangudi BO",+91 92073 97771,https://kinzrestaurant.dialndial.com/,4.1,385,"5W9G+9WG, Pulikkal, Keralam 673637",626107,11.168439399999999,75.92733,ChIJr4fcHQBPpjsRQqCliSozMDw,https://www.google.com/maps/place/?q=place_id:ChIJr4fcHQBPpjsRQqCliSozMDw,part_261,2026-09-20 19:08:06
Fork You,Restaurant Chains,American restaurant,"American restaurant, Bar, Hamburger restaurant, Italian restaurant, Mediterranean restaurant, Steak house",626107,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Kovilangulam SO, Kattangudi BO",+91 88102 26958,N/A,3.9,1112,"Shop No. 30, 1st Floor, Hauz Khas Village, Deer Park, Hauz Khas, New Delhi, Delhi 110016","Hauz Khas Village, Deer Park, Hauz Khas",28.553363899999997,77.1942516,ChIJQ9JsnoodDTkRVTao5iReh0U,https://www.google.com/maps/place/?q=place_id:ChIJQ9JsnoodDTkRVTao5iReh0U,part_261,2026-09-20 19:08:06
Old Rao Hotel,Restaurant Chains,Dhaba,"Dhaba, Family restaurant, Restaurant, Vegetarian restaurant",626107,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Kovilangulam SO, Kattangudi BO",+91 99923 17800,https://oldraohotels.in/,4.1,59691,"Munjal University, NH 8, Jaipur - Delhi Expy, near BML, Sidhrawali, Kapriwas, Haryana 123413",626107,28.2449519,76.8135882,ChIJY1uN9o1HDTkR-toBrG6O_Cw,https://www.google.com/maps/place/?q=place_id:ChIJY1uN9o1HDTkR-toBrG6O_Cw,part_261,2026-09-20 19:08:06
Empire Restaurant - Arekere,Restaurant Chains,Fine dining restaurant,"Fine dining restaurant, Barbecue restaurant, Buffet restaurant, Middle Eastern restaurant",626107,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Kovilangulam SO, Kattangudi BO",+91 80 4041 4141,http://www.hotelempire.in/,4.3,27342,"Bannerghatta Rd, Arakere Gate, Sundar Ram Shetty Nagar, Bilekahalli, Bengaluru, Karnataka 560076","Arakere Gate, Sundar Ram Shetty Nagar, Bilekahalli",12.8913677,77.5986825,ChIJUUry_CQVrjsRZE69OKKCSCk,https://www.google.com/maps/place/?q=place_id:ChIJUUry_CQVrjsRZE69OKKCSCk,part_261,2026-09-20 19:08:06
Roxie,Restaurant Chains,Fine dining restaurant,"Fine dining restaurant, Dessert restaurant, Italian restaurant, Pizza restaurant",626107,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Kovilangulam SO, Kattangudi BO",+91 80 4736 0000,https://www.instagram.com/roxie.bengaluru/,4.3,9014,"26, Haralur Main Rd, near HP Petrol Station, Amblipura, PWD Quarters, Ambalipura, HSR Layout, Bengaluru, Karnataka 560102","Amblipura, PWD Quarters, Ambalipura, HSR Layout",12.915240599999999,77.66586219999999,ChIJL4iI0HwTrjsRvs6L6BiUBcs,https://www.google.com/maps/place/?q=place_id:ChIJL4iI0HwTrjsRvs6L6BiUBcs,part_261,2026-09-20 19:08:06
Bhawaanee Multi Cuisine Restaurant,Restaurant Chains,South Indian restaurant,South Indian restaurant,626107,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Kovilangulam SO, Kattangudi BO",+91 98482 32687,N/A,4.4,251,"Mumtaz, H.no.6-3-1090/A/2, circle no.20 Opp. Katriya Hotel Towers, E, Raj Bhavan Rd, Somajiguda, Hyderabad, Telangana 500082",Somajiguda,17.4238651,78.4596857,ChIJIY2C8jGXyzsR1eVcMQnjt70,https://www.google.com/maps/place/?q=place_id:ChIJIY2C8jGXyzsR1eVcMQnjt70,part_261,2026-09-20 19:08:06
Empire Restaurant- HSR LAYOUT,Restaurant Chains,Non Vegetarian Restaurant,Non Vegetarian Restaurant,626107,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Kovilangulam SO, Kattangudi BO",+91 80 4041 4141,http://www.hotelempire.in/,4.2,38499,"169/A/170, 9th Main Rd, Sector 6, HSR Layout, Bengaluru, Karnataka 560102","Sector 6, HSR Layout",12.915161699999999,77.63543059999999,ChIJrYKBzo0UrjsRJCJqXQdSsZg,https://www.google.com/maps/place/?q=place_id:ChIJrYKBzo0UrjsRJCJqXQdSsZg,part_261,2026-09-20 19:08:06
Shubh Sagar Pure Veg Restaurant,Restaurant Chains,Restaurant,Restaurant,626107,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Kovilangulam SO, Kattangudi BO",+91 88288 25663,http://shubhsagarvirar.in/,4.7,774,"opp. Tree House School, Yashavant Nagar, West, Vasai-Virar, Maharashtra 401303","Yashavant Nagar, West",19.441062499999997,72.81001979999999,ChIJz6WJqESp5zsRecaY2kW217U,https://www.google.com/maps/place/?q=place_id:ChIJz6WJqESp5zsRecaY2kW217U,part_261,2026-09-20 19:08:06
ABA BIRYANI,Restaurant Chains,Biryani restaurant,Biryani restaurant,626107,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Kovilangulam SO, Kattangudi BO",+91 76760 05500,http://www.ababiryani.com/,4.6,123,"SIGNATURE GALLERI, A53 GF, near MAHAVEER TURNING, Happy Nagar, Ankleshwar, Gujarat 393001",Happy Nagar,21.633737999999997,73.00475999999999,ChIJiW7TzYoh4DsR3Y14pavZfj4,https://www.google.com/maps/place/?q=place_id:ChIJiW7TzYoh4DsR3Y14pavZfj4,part_261,2026-09-20 19:08:06
Kulcha Land Restaurant,Restaurant Chains,Punjabi restaurant,Punjabi restaurant,626107,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Kovilangulam SO, Kattangudi BO",+91 75730 17899,N/A,4.0,510,"Valia Chokdi, Ankleshwar GIDC, Piraman, Gujarat 393002",Ankleshwar GIDC,21.6200704,73.0047893,ChIJhWkR43Ij4DsRzg3HVqE8E1g,https://www.google.com/maps/place/?q=place_id:ChIJhWkR43Ij4DsRzg3HVqE8E1g,part_261,2026-09-20 19:08:06
