business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Chendur fruits,Fruit and Vegetable Wholesaler,Fruits & Vegetable Wholesaler,Fruits & Vegetable Wholesaler,626113,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Pandalgudi SO, Koppusithampatti BO",+91 90879 45666,https://www.chendurfruits.com/,5.0,1.0,"F1, opp. to Flower Bazar, Industrial Estate, K.Pudur, Madurai, Tamil Nadu 625007",Industrial Estate,9.943302,78.1512046,ChIJP74uAs7FADsRgxE6WJ3ZIIY,https://www.google.com/maps/place/?q=place_id:ChIJP74uAs7FADsRgxE6WJ3ZIIY,part_261,2026-09-20 19:11:50
G. Kamaraj Vegetable Mart,Fruit and Vegetable Wholesaler,Fruits & Vegetable Wholesaler,Fruits & Vegetable Wholesaler,626113,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Pandalgudi SO, Koppusithampatti BO",+91 96005 00111,N/A,4.0,3.0,"Shop No. 386, 387, Central Market Mattuthavani, Tamil Nadu 625020",626113,9.9386379,78.147927,ChIJ886vqsnFADsR2AE2DwkN3xM,https://www.google.com/maps/place/?q=place_id:ChIJ886vqsnFADsR2AE2DwkN3xM,part_261,2026-09-20 19:11:50
Abdul Salam fruit mandi,Fruit and Vegetable Wholesaler,Fruit wholesaler,Fruit wholesaler,626113,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Pandalgudi SO, Koppusithampatti BO",+91 99408 95559,N/A,4.4,14.0,"Abdul Salam fruit mandi, 183, Madurai, Tamil Nadu 625007",626113,9.940917599999999,78.1495013,ChIJixNY3I3FADsRFAv4iZkumSI,https://www.google.com/maps/place/?q=place_id:ChIJixNY3I3FADsRFAv4iZkumSI,part_261,2026-09-20 19:11:50
Esu vegetables,Fruit and Vegetable Wholesaler,Vegetable wholesale market,Vegetable wholesale market,626113,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Pandalgudi SO, Koppusithampatti BO",+91 90259 90230,https://easwaran198.github.io/esu_vegetables,5.0,12.0,"Sellur, Madurai, Tamil Nadu 625002",Sellur,9.935241699999999,78.121055,ChIJfSwpCUHFADsR2U7D4Mw9FsE,https://www.google.com/maps/place/?q=place_id:ChIJfSwpCUHFADsR2U7D4Mw9FsE,part_261,2026-09-20 19:11:50
S.A.M Vegetables,Fruit and Vegetable Wholesaler,Fruits & Vegetable Wholesaler,Fruits & Vegetable Wholesaler,626113,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Pandalgudi SO, Koppusithampatti BO",+91 90920 29242,N/A,3.0,3.0,"274, Mattuthavani, Madurai, Tamil Nadu 625001",Mattuthavani,9.9391269,78.147972,ChIJty9qAsnFADsRPSu7joKuvdI,https://www.google.com/maps/place/?q=place_id:ChIJty9qAsnFADsRPSu7joKuvdI,part_261,2026-09-20 19:11:50
Sri Periyandavar Traders Onion Wholesale Shop,Fruit and Vegetable Wholesaler,Vegetable wholesale market,Vegetable wholesale market,626113,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Pandalgudi SO, Koppusithampatti BO",N/A,http://herbalfood.shop/,4.6,17.0,"W4CF+CVH, Amman Sannathi St, opposite Madurai Main, Nelpettai, Madurai Main, Madurai, Tamil Nadu 625001","Nelpettai, Madurai Main",9.9210678,78.12472439999999,ChIJmdA3HQDFADsRUW9loS_I_dY,https://www.google.com/maps/place/?q=place_id:ChIJmdA3HQDFADsRUW9loS_I_dY,part_261,2026-09-20 19:11:50
Sri Ramajayam Fruits,Fruit and Vegetable Wholesaler,Fruits Wholesaler,Fruits Wholesaler,626113,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Pandalgudi SO, Koppusithampatti BO",+91 90035 18731,N/A,5.0,4.0,"New Market fruit, Madurai, Tamil Nadu 625007",626113,9.9411746,78.14957,ChIJreCj7qjFADsRys4bOv2LWLg,https://www.google.com/maps/place/?q=place_id:ChIJreCj7qjFADsRys4bOv2LWLg,part_261,2026-09-20 19:11:50
Suyambu Lingam Traders,Fruit and Vegetable Wholesaler,Fruit and vegetable store,Fruit and vegetable store,626113,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Pandalgudi SO, Koppusithampatti BO",N/A,N/A,4.0,253.0,"Karpaga Nagar, Moondrumavadi, K.Pudur, Madurai, Tamil Nadu 625007","Karpaga Nagar, Moondrumavadi",9.9531631,78.1500411,ChIJCYBVpdbFADsRHed-kbmWID8,https://www.google.com/maps/place/?q=place_id:ChIJCYBVpdbFADsRHed-kbmWID8,part_261,2026-09-20 19:11:50
Marutham Horticulture and Groceries,Fruit and Vegetable Wholesaler,Produce market,"Produce market, Indian grocery store",626113,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Pandalgudi SO, Koppusithampatti BO",+91 97913 47474,https://maruthamhng.in/,4.6,41.0,"#58, Pallavan Nagar Main Rd, opp. Nexa, Kalavasal, Madurai, Tamil Nadu 625016",Kalavasal,9.9315985,78.0945381,ChIJ3cuy5GnPADsR29waAu9FcGg,https://www.google.com/maps/place/?q=place_id:ChIJ3cuy5GnPADsR29waAu9FcGg,part_261,2026-09-20 19:11:51
Uzhavar Sandhai,Fruit and Vegetable Wholesaler,Farmers' market,Farmers' market,626113,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Pandalgudi SO, Koppusithampatti BO",+91 94431 88781,http://agritech.tnau.ac.in/agricultural_marketing/agrimark_Farmers%20market.html,4.3,1937.0,"W4WH+MMW, Rathnasamy Road, Bi Bi Kulam Rd, Madurai, Tamil Nadu 625002","Indira Nagar, Viswanathapuram",9.946743699999999,78.129195,ChIJ4d-cF-bFADsRksWqG4dz4pE,https://www.google.com/maps/place/?q=place_id:ChIJ4d-cF-bFADsRksWqG4dz4pE,part_261,2026-09-20 19:11:51
