business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
CRI PUMP AUTHORISED SERVICE CENTRE,Motor Rewinding and Pump Repair,Water Pump Supplier,Water Pump Supplier,626113,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Pandalgudi SO, Koppusithampatti BO",+91 95854 13111,https://www.crigroups.com/service-centers/,4.9,104.0,"Power House Rd, Periyar, Madurai Main, Madurai, Tamil Nadu 625001","Periyar, Madurai Main",9.910251899999999,78.1126288,ChIJ-WVvdQDFADsRJSxjCItoFyw,https://www.google.com/maps/place/?q=place_id:ChIJ-WVvdQDFADsRJSxjCItoFyw,part_261,2026-09-20 19:12:23
Sri Ram Winding Works,Motor Rewinding and Pump Repair,Electric motor repair shop,Electric motor repair shop,626113,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Pandalgudi SO, Koppusithampatti BO",+91 99486 79795,N/A,,,"H. Number 48/250, HMT Rd, opposite Unique High School, Surya Nagar, Quthbullapur, Hyderabad, Telangana 500037","Surya Nagar, Quthbullapur",17.489479799999998,78.4508912,ChIJRfFWIkKQyzsRBQUvjXdaHQ0,https://www.google.com/maps/place/?q=place_id:ChIJRfFWIkKQyzsRBQUvjXdaHQ0,part_261,2026-09-20 19:12:23
Janta Electronic & Motor Rewinding,Motor Rewinding and Pump Repair,Electric motor repair shop,"Electric motor repair shop, Electric motor store",626113,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Pandalgudi SO, Koppusithampatti BO",+91 11 2994 0694,N/A,4.0,3.0,"G882+F9V, Mathour Road,, Ali Extension, Aali Vihar, New Delhi, Delhi 110044","Ali Extension, Aali Vihar, Sarita Vihar",28.516227999999998,77.300919,ChIJR0pJf8fmDDkRRHglzaFge_c,https://www.google.com/maps/place/?q=place_id:ChIJR0pJf8fmDDkRRHglzaFge_c,part_261,2026-09-20 19:12:24
Sanjay Winding Works,Motor Rewinding and Pump Repair,Electric motor repair shop,Electric motor repair shop,626113,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Pandalgudi SO, Koppusithampatti BO",N/A,N/A,4.0,4.0,"Chakan,Rohkal, road, Pune, Maharashtra 410501",626113,18.7765998,73.86097579999999,ChIJK-PLuJHLwjsRqMAniUnMwk8,https://www.google.com/maps/place/?q=place_id:ChIJK-PLuJHLwjsRqMAniUnMwk8,part_261,2026-09-20 19:12:24
Motor rewinding works and pump service,Motor Rewinding and Pump Repair,Electric motor repair shop,Electric motor repair shop,626113,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Pandalgudi SO, Koppusithampatti BO",N/A,N/A,,,"Bannerghatta Rd, Basavanapura, Bengaluru, Karnataka 560083",Basavanapura,12.844412199999999,77.5880088,ChIJkb-x6P9rrjsR56gg7rzq87Y,https://www.google.com/maps/place/?q=place_id:ChIJkb-x6P9rrjsR56gg7rzq87Y,part_261,2026-09-20 19:12:24
(TEXMO) BALAJI ENGINEERING,Motor Rewinding and Pump Repair,Water Pump Supplier,"Water Pump Supplier, Cable company, Pipe supplier",626113,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Pandalgudi SO, Koppusithampatti BO",+91 94439 18353,http://www.balajienggtexmo.com/,4.8,173.0,"11, W Masi St, near Ayyappan Temple, Madurai Main, Madurai, Tamil Nadu 625001",Madurai Main,9.922116899999999,78.11474439999999,ChIJ6e--uIbFADsR0qz3pJvH8o0,https://www.google.com/maps/place/?q=place_id:ChIJ6e--uIbFADsR0qz3pJvH8o0,part_261,2026-09-20 19:12:25
Schneider Electric - Texmo dealer Surya Electricals & Pipes,Motor Rewinding and Pump Repair,Electrical supply store,Electrical supply store,626113,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Pandalgudi SO, Koppusithampatti BO",+91 8071 331 002,https://retailpavilion-in.se.com/in/en/store/schneider-electric-texmo-dealer-surya-electricals-pipes-electrical-store-madurai-tamil-nadu-625007-100001,4.8,180.0,"154, Alagar Kovil Main Rd, opposite to Kaartik Theatre, Alagar Nagar, K.Pudur, Madurai, Tamil Nadu 625007",Alagar Nagar,9.9524257,78.14915529999999,ChIJVVVVVdDFADsRtI82EYw913Y,https://www.google.com/maps/place/?q=place_id:ChIJVVVVVdDFADsRtI82EYw913Y,part_261,2026-09-20 19:12:25
Sri Kamatchi Engineering,Motor Rewinding and Pump Repair,Pump supplier,Pump supplier,626113,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Pandalgudi SO, Koppusithampatti BO",+91 452 437 0965,N/A,3.3,7.0,"78A, 79, Town Hall Rd, opp. Hotel New College House, near BG Naidu Sweets, Madurai Main, Madurai, Tamil Nadu 625001",Madurai Main,9.918139199999999,78.112403,ChIJn3BW3e3FADsRidhNbYMFFAU,https://www.google.com/maps/place/?q=place_id:ChIJn3BW3e3FADsRidhNbYMFFAU,part_261,2026-09-20 19:12:25
Noor Motors And Pipes,Motor Rewinding and Pump Repair,Pipe supplier,Pipe supplier,626113,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Pandalgudi SO, Koppusithampatti BO",N/A,N/A,4.4,8.0,"51, N Veli St, Simmakkal, Madurai Main, Madurai, Poondhotam, Tamil Nadu 625001","Simmakkal, Madurai Main",9.924911999999999,78.1183254,ChIJ-XALr4jFADsRLq0_wURyJYE,https://www.google.com/maps/place/?q=place_id:ChIJ-XALr4jFADsRLq0_wURyJYE,part_261,2026-09-20 19:12:25
Ibrahim Electric Shop,Motor Rewinding and Pump Repair,Electric motor store,"Electric motor store, Electrical & Electronics Stores",626113,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Pandalgudi SO, Koppusithampatti BO",+91 99430 16612,N/A,3.0,2.0,"15, W Veli St, Madurai Main, Southern Railway Colony, Madurai, Tamil Nadu 625001",Madurai Main,9.91779,78.11185019999999,ChIJy124s4DFADsRcRdIbZUknLY,https://www.google.com/maps/place/?q=place_id:ChIJy124s4DFADsRcRdIbZUknLY,part_261,2026-09-20 19:12:25
