business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Vijayarangan Hill view Layout,Property Developers,Housing development,Housing development,626116,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"W Pudupatti SO, Seshapuram BO",N/A,N/A,5.0,5.0,"HMWG+68G, Sundarapandiyam, Kunnur, Tamil Nadu 626126",626116,9.595608,77.676029,ChIJnUIsiM3ZBjsRZPrZI7ortNU,https://www.google.com/maps/place/?q=place_id:ChIJnUIsiM3ZBjsRZPrZI7ortNU,part_261,2026-09-20 19:14:14
Christopher home,Property Developers,Housing development,Housing development,626116,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"W Pudupatti SO, Seshapuram BO",+91 98435 89161,N/A,4.0,1.0,"JM63+RRV, Gopalapuram, Sundarapandiyam, Tamil Nadu 626116",626116,9.6124125,77.6548123,ChIJ03BkaQDZBjsROW2W2vjYb7I,https://www.google.com/maps/place/?q=place_id:ChIJ03BkaQDZBjsROW2W2vjYb7I,part_261,2026-09-20 19:14:14
"Godrej Emerald Waters, Pimpri, Pune",Property Developers,Apartment building,"Apartment building, Condominium complex, Condominium rental agency, Real Estate Builders & Construction Company, Housing development, Housing society, Property management company, Real estate consultant",626116,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"W Pudupatti SO, Seshapuram BO",+91 91720 62112,https://www.godrejproperties.com/pune/residential/godrej-emerald-waters,4.1,169.0,"Godrej Emerald Waters, MIDC, Pimpri Colony, Pimpri-Chinchwad, Pune, Maharashtra 411018","MIDC, Pimpri Colony",18.613875099999998,73.8157712,ChIJ8xxMfPLHwjsR9y3mNcdW3Ro,https://www.google.com/maps/place/?q=place_id:ChIJ8xxMfPLHwjsR9y3mNcdW3Ro,part_261,2026-09-20 19:14:14
Dwello,Property Developers,Real estate agency,Real estate agency,626116,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"W Pudupatti SO, Seshapuram BO",+91 22 6122 9411,https://dwello.in/,4.0,83.0,"4th, Pushpa Park ""B"" Wing, Dattapada Rd, Rajendra Nagar, Borivali East, Mumbai, Maharashtra 400066","Rajendra Nagar, Borivali East",19.218481399999998,72.8617036,ChIJL3lVoC235zsRoxZ3Xp7G_Xw,https://www.google.com/maps/place/?q=place_id:ChIJL3lVoC235zsRoxZ3Xp7G_Xw,part_261,2026-09-20 19:14:14
EX AO EZEKIEL HOUSE (BARC),Property Developers,Housing development,Housing development,626116,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"W Pudupatti SO, Seshapuram BO",N/A,N/A,5.0,1.0,"JJ9J+44F, Christian Pet, Tamil Nadu 626116",626116,9.6178293,77.6303167,ChIJm1NqPADfBjsR_7HmEIIxROQ,https://www.google.com/maps/place/?q=place_id:ChIJm1NqPADfBjsR_7HmEIIxROQ,part_261,2026-09-20 19:14:14
Subathra home,Property Developers,Housing development,Housing development,626116,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"W Pudupatti SO, Seshapuram BO",N/A,N/A,,,"JJ8Q+WCX, W Puduppatti, Tamil Nadu 626116",626116,9.6173571,77.6386062,ChIJCY-bRgDfBjsRdoBcAaG-WyU,https://www.google.com/maps/place/?q=place_id:ChIJCY-bRgDfBjsRdoBcAaG-WyU,part_261,2026-09-20 19:14:14
Shri Periyasamy Land,Property Developers,Housing development,Housing development,626116,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"W Pudupatti SO, Seshapuram BO",N/A,N/A,,,"JJPQ+JW5, Watrap, Tamil Nadu 626132",626116,9.6365017,77.6398524,ChIJvdvBIADfBjsRrisIWwtfDZo,https://www.google.com/maps/place/?q=place_id:ChIJvdvBIADfBjsRrisIWwtfDZo,part_261,2026-09-20 19:14:14
Paraiyan kottai,Property Developers,Housing development,Housing development,626116,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"W Pudupatti SO, Seshapuram BO",N/A,N/A,,,"128/53, W Puduppatti, Tamil Nadu 626116",626116,9.6181054,77.6381615,ChIJ-YlDbQDfBjsRu9GPJzsIXx8,https://www.google.com/maps/place/?q=place_id:ChIJ-YlDbQDfBjsRu9GPJzsIXx8,part_261,2026-09-20 19:14:14
Sri Shankara Colony,Property Developers,Real estate developer,Real estate developer,626116,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"W Pudupatti SO, Seshapuram BO",+91 95355 88711,http://www.shankaracolony.com/,4.2,31.0,"Sri Shankar Colony, Bengaluru, Achettipalli, Tamil Nadu 635110",Sri Shankar Colony,12.670256,77.827771,ChIJK3WMUy56rjsR83sxuuGFldM,https://www.google.com/maps/place/?q=place_id:ChIJK3WMUy56rjsR83sxuuGFldM,part_261,2026-09-20 19:14:15
Rachana Lifestyle,Property Developers,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,626116,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"W Pudupatti SO, Seshapuram BO",+91 20 6601 3500,http://www.rachanalifestyle.com/,4.2,116.0,"Rachana House, Ferguson College Rd, Deccan Gymkhana, Pune, Maharashtra 411004",Deccan Gymkhana,18.5182027,73.84220499999999,ChIJR6iTC3jAwjsR3fxrCBfvzlU,https://www.google.com/maps/place/?q=place_id:ChIJR6iTC3jAwjsR3fxrCBfvzlU,part_261,2026-09-20 19:14:15
