business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Nearby Doctor,Advertisement Agency,Advertising agency,Advertising agency,626123,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi HO, Sivakasi Bazzar SO, Sivakasi Bus Stand SO",N/A,N/A,5.0,1.0,"New Rd, Senayapuram Colony, Sivakasi, Tamil Nadu 626123",Senayapuram Colony,9.450327699999999,77.7977022,ChIJtSSvMbrPBjsRPK_b_BzovK4,https://www.google.com/maps/place/?q=place_id:ChIJtSSvMbrPBjsRPK_b_BzovK4,part_261,2026-09-20 19:17:59
s tech studio ad agency,Advertisement Agency,Advertising service,"Advertising service, Service establishment",626123,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi HO, Sivakasi Bazzar SO, Sivakasi Bus Stand SO",+91 91716 03560,N/A,,,"s tech studio ad agency, 626123, India",626123,10.8211663,78.2897649,ChIJWVVVVeXOBjsRUx5cDKk0fZY,https://www.google.com/maps/place/?q=place_id:ChIJWVVVVeXOBjsRUx5cDKk0fZY,part_261,2026-09-20 19:17:59
Hero Flex,Advertisement Agency,Design agency,Design agency,626123,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi HO, Sivakasi Bazzar SO, Sivakasi Bus Stand SO",+91 91594 80484,N/A,4.9,16.0,"Kamarajar Rd, Parasakthi Colony, Sivakasi, Tamil Nadu 626123",Parasakthi Colony,9.4556247,77.7930569,ChIJKeOqwG7PBjsR27huwWK2y68,https://www.google.com/maps/place/?q=place_id:ChIJKeOqwG7PBjsR27huwWK2y68,part_261,2026-09-20 19:17:59
SHREE HARISH PAPERS,Advertisement Agency,Marketing agency,Marketing agency,626123,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi HO, Sivakasi Bazzar SO, Sivakasi Bus Stand SO",+91 63827 18107,N/A,,,"door no:1286, 1A, Bypass Rd, Parasakthi Colony, Sivakasi, Tamil Nadu 626123",Parasakthi Colony,9.4667204,77.79753579999999,ChIJlcHF0VLPBjsRluUS1vcu6ng,https://www.google.com/maps/place/?q=place_id:ChIJlcHF0VLPBjsRluUS1vcu6ng,part_261,2026-09-20 19:17:59
mw digital marketing agency,Advertisement Agency,Advertising agency,"Advertising agency, Service establishment",626123,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi HO, Sivakasi Bazzar SO, Sivakasi Bus Stand SO",N/A,N/A,,,"mw digital marketing agency, 626123, India",626123,9.4665634,77.8032114,ChIJg8IegUvdX0cR2FAGYMzcvQg,https://www.google.com/maps/place/?q=place_id:ChIJg8IegUvdX0cR2FAGYMzcvQg,part_261,2026-09-20 19:17:59
Avatar Design & Printing Service,Advertisement Agency,Graphic designer,"Graphic designer, Print shop",626123,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi HO, Sivakasi Bazzar SO, Sivakasi Bus Stand SO",+91 98434 79797,http://www.avatarglobalservices.com/,4.9,13.0,"729, Road, Senayapuram Colony, Sivakasi, Tamil Nadu 626123",Senayapuram Colony,9.4509657,77.8000265,ChIJ0413lKrPBjsRSgY2eCVcBBk,https://www.google.com/maps/place/?q=place_id:ChIJ0413lKrPBjsRSgY2eCVcBBk,part_261,2026-09-20 19:18:00
MUGHIL PIXELAB™,Advertisement Agency,Graphic designer,"Graphic designer, Print shop",626123,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi HO, Sivakasi Bazzar SO, Sivakasi Bus Stand SO",+91 90258 79221,http://mughilpixelab.in/,5.0,18.0,"Sri Rama Mansion, MUGHIL PIXELAB, Parasakthi Colony, Sivakasi, Tamil Nadu 626123",Parasakthi Colony,9.451901099999999,77.7933682,ChIJa6AyOfzPBjsRYDhdhDzgEhY,https://www.google.com/maps/place/?q=place_id:ChIJa6AyOfzPBjsRYDhdhDzgEhY,part_261,2026-09-20 19:18:00
Digitify,Advertisement Agency,Marketing agency,"Marketing agency, Design agency, Model design company",626123,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi HO, Sivakasi Bazzar SO, Sivakasi Bus Stand SO",+91 78455 15019,N/A,5.0,,"PKN Rd, Hussain Colony, Senayapuram Colony, Kiltiruthangal, Tamil Nadu 626189","Hussain Colony, Senayapuram Colony",9.454898,77.810152,ChIJdYaboPPPBjsRKIgANvvgzLw,https://www.google.com/maps/place/?q=place_id:ChIJdYaboPPPBjsRKIgANvvgzLw,part_261,2026-09-20 19:18:00
Scorpioking Graphics Designer,Advertisement Agency,Advertising agency,Advertising agency,626123,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi HO, Sivakasi Bazzar SO, Sivakasi Bus Stand SO",N/A,N/A,,,"75G, Oil Mill Colony, Sengamala Nachiar Puram, Sivakasi, Tamil Nadu 626124",Sengamala Nachiar Puram,9.466949699999999,77.78529089999999,ChIJK6ws_xDPBjsR2Awmo6LACzM,https://www.google.com/maps/place/?q=place_id:ChIJK6ws_xDPBjsR2Awmo6LACzM,part_261,2026-09-20 19:18:00
Deva Printers Box Label Sticker Invitation Wall Poster Printing Sivakasi,Advertisement Agency,Print shop,"Print shop, Custom label printer, Invitation printing service, Poster store, Sticker Manufacturer",626123,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi HO, Sivakasi Bazzar SO, Sivakasi Bus Stand SO",+91 91593 46118,N/A,5.0,,"Bathrakali Amman Kovil, 135/106c2, Parasakthi Colony, Sivakasi, Tamil Nadu 626123",Parasakthi Colony,9.4521111,77.7985733,ChIJjRTtw-TOBjsRyxCNECIAZWU,https://www.google.com/maps/place/?q=place_id:ChIJjRTtw-TOBjsRyxCNECIAZWU,part_261,2026-09-20 19:18:00
