business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SRI AMMAN TILES,Tile and Marble Showroom,Tile store,"Tile store, Ceramics wholesaler",626123,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi HO, Sivakasi Bazzar SO, Sivakasi Bus Stand SO",+91 80568 05600,N/A,4.5,59.0,"EB Colony, Rengapa Shyam Nagar, Thiruthangal, Tamil Nadu 626124","EB Colony, Rengapa Shyam Nagar",9.468592,77.7692442,ChIJewJpHqLPBjsR8EEWhkZJOCg,https://www.google.com/maps/place/?q=place_id:ChIJewJpHqLPBjsR8EEWhkZJOCg,part_261,2026-09-20 19:17:40
CHENDUR TRADERS KAG Tiles SIVAKASI,Tile and Marble Showroom,Tile store,"Tile store, Cement Supplier, Home goods store",626123,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi HO, Sivakasi Bazzar SO, Sivakasi Bus Stand SO",N/A,N/A,4.5,44.0,"10/1-10, Viswanatham Rd, Parapatti, Sivakasi, Tamil Nadu 626123",Parapatti,9.4434496,77.800994,ChIJp0dKRpvPBjsReosO1jZi0I0,https://www.google.com/maps/place/?q=place_id:ChIJp0dKRpvPBjsReosO1jZi0I0,part_261,2026-09-20 19:17:40
Famous Tiles Park,Tile and Marble Showroom,Store,Store,626123,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi HO, Sivakasi Bazzar SO, Sivakasi Bus Stand SO",N/A,N/A,5.0,4.0,"FQ4P+FXC, 223a, Srivilliputhur - Sivakasi - Virudhunagar - Aruppukottai - Tiruchuli - Narikudi - Parthibanoor Rd, Kaliappa Nagar, Sivakasi, Tamil Nadu 626123",Kaliappa Nagar,9.4561441,77.7874159,ChIJrQwpHw8wATsRvnsPx4NovYI,https://www.google.com/maps/place/?q=place_id:ChIJrQwpHw8wATsRvnsPx4NovYI,part_261,2026-09-20 19:17:40
KRISHNA TILES,Tile and Marble Showroom,Home goods store,Home goods store,626123,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi HO, Sivakasi Bazzar SO, Sivakasi Bus Stand SO",N/A,N/A,5.0,2.0,"CQVP+P5R, Kaliappa Nagar, Sivakasi, Tamil Nadu 626123",Kaliappa Nagar,9.4443785,77.7853988,ChIJI9a5LADPBjsR3v7QeEKNeKw,https://www.google.com/maps/place/?q=place_id:ChIJI9a5LADPBjsR3v7QeEKNeKw,part_261,2026-09-20 19:17:40
Bharathy Tiles,Tile and Marble Showroom,Tile store,"Tile store, Bathroom supply store, Building materials supplier, Cement Supplier, Ceramics wholesaler, Construction Material Wholesaler, Electrical supply store, Hardware store, Kitchen supply store, Water Pump Supplier",626123,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi HO, Sivakasi Bazzar SO, Sivakasi Bus Stand SO",+91 97918 13805,https://jsdl.in/RSL-ACC1720097410,4.7,14.0,"Raaja aishwaryam complex , no.5/216-2-3-4 sivakasi- vembakkottai road,, mankundampatti. Sivakasi 626124, Sivakasi - Kalugumalai Road, Mangundampatti, Madathupatti, Tamil Nadu 626128",626123,9.3765583,77.7785662,ChIJOTcKn_fIBjsR4wE-0gbCE2c,https://www.google.com/maps/place/?q=place_id:ChIJOTcKn_fIBjsR4wE-0gbCE2c,part_261,2026-09-20 19:17:40
SATHYA TILES,Tile and Marble Showroom,Shopping mall,Shopping mall,626123,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi HO, Sivakasi Bazzar SO, Sivakasi Bus Stand SO",+91 78456 12169,https://maps.app.goo.gl/wo7AEiBVKxXs8miS7,4.9,14.0,"8/195A-Kanna nagar,Naranapuram, &, Puthur road, near Balaji gas company, Kiltiruthangal, Tamil Nadu 626189",Senayapuram Colony,9.453975699999999,77.8170446,ChIJpeYwArrPBjsRqkH22oWfz4Y,https://www.google.com/maps/place/?q=place_id:ChIJpeYwArrPBjsRqkH22oWfz4Y,part_261,2026-09-20 19:17:40
Sri Vinayaga Tiles,Tile and Marble Showroom,Building materials store,Building materials store,626123,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi HO, Sivakasi Bazzar SO, Sivakasi Bus Stand SO",+91 93604 26019,N/A,3.7,3.0,"144, Chairman Shanmuga Nadar road, Parasakthi Colony, Sivakasi, Tamil Nadu 626123",Parasakthi Colony,9.4537398,77.79077029999999,ChIJ51-UFnnPBjsRBBGglaJOnXo,https://www.google.com/maps/place/?q=place_id:ChIJ51-UFnnPBjsRBBGglaJOnXo,part_261,2026-09-20 19:17:40
Famous Tiles,Tile and Marble Showroom,Tile store,Tile store,626123,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi HO, Sivakasi Bazzar SO, Sivakasi Bus Stand SO",N/A,N/A,,,"233A,Police Colony Road , Srivilliputhur Road., SH 42, Sivakasi, Tamil Nadu 626123",Kaliappa Nagar,9.456037499999999,77.7875668,ChIJKSOtrwPPBjsRir9q9npviKA,https://www.google.com/maps/place/?q=place_id:ChIJKSOtrwPPBjsRir9q9npviKA,part_261,2026-09-20 19:17:40
Acsquare,Tile and Marble Showroom,Painting,"Painting, Electrician, Floor sanding and polishing service, Flooring contractor, House cleaning service, Interior designer, Plumber, Waterproofing service",626123,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi HO, Sivakasi Bazzar SO, Sivakasi Bus Stand SO",+91 86674 53645,https://www.acsquare.in/,5.0,,"5/534, near bus stop, Reserve line, Gandhinagar, Anaiyur, Tamil Nadu 626124","Reserve line, Gandhinagar",9.4651336,77.77367989999999,ChIJPyWEJz_PBjsRlx-dsmOgF34,https://www.google.com/maps/place/?q=place_id:ChIJPyWEJz_PBjsRlx-dsmOgF34,part_261,2026-09-20 19:17:41
The Design Code,Tile and Marble Showroom,Wallpaper store,Wallpaper store,626123,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi HO, Sivakasi Bazzar SO, Sivakasi Bus Stand SO",N/A,http://www.designcodewallpapers.com/,4.1,,"Venus Creations, No.263, P.K.S.A., Chairman P.K.S.A.Arumugam Rd, Senayapuram Colony, Sivakasi, Tamil Nadu 626123",Senayapuram Colony,9.4514861,77.8008864,ChIJQSZrE-XOBjsRsXqcYCz1UJ4,https://www.google.com/maps/place/?q=place_id:ChIJQSZrE-XOBjsRsXqcYCz1UJ4,part_261,2026-09-20 19:17:41
