business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
"M K GRAND AUTOMOBILES, SIVAKASI - BOSCH CAR SERVICE",Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 91500 80077,N/A,4.7,51.0,"S.NO-54/8A3A, THAYILPATTI VILLAGE MADATHUPATTI, MAIN RAOD, near IOCL PETROL PUMP, Sivakasi, Tamil Nadu 626128",626189,9.3811121,77.78045019999999,ChIJh-iCJ7LJBjsR1O6yOTC1PS4,https://www.google.com/maps/place/?q=place_id:ChIJh-iCJ7LJBjsR1O6yOTC1PS4,part_262,2026-09-20 19:02:01,2387
Rahman auto works & auto mobile garage,Car Repair Workshop and Garage,Two Wheeler Repair Shop,Two Wheeler Repair Shop,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 81226 24889,N/A,4.9,7.0,"South pallivasal complex, SHNV.BOYS SCHOOL, South chariot road, near FRIENDS BAKERY, Senayapuram Colony, Sivakasi, Tamil Nadu 626123",Senayapuram Colony,9.452064199999999,77.7985659,ChIJA90vGADPBjsRWr8YKvCcLVY,https://www.google.com/maps/place/?q=place_id:ChIJA90vGADPBjsRWr8YKvCcLVY,part_262,2026-09-20 19:02:01,2388
R.Guna Auto Garage,Car Repair Workshop and Garage,Auto bodywork mechanic,Auto bodywork mechanic,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",N/A,N/A,4.4,12.0,"9WV8+33C, Etturvattam, Tamil Nadu 626203",626189,9.3926949,77.91513719999999,ChIJNdQwAQfLBjsR8gCWKcQy310,https://www.google.com/maps/place/?q=place_id:ChIJNdQwAQfLBjsR8gCWKcQy310,part_262,2026-09-20 19:02:01,2389
Sairam motors (All car service),Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 80989 68838,N/A,4.9,27.0,"S Puthupatti Rd, Rengapa Shyam Nagar, Injar, Tamil Nadu 626124",Rengapa Shyam Nagar,9.470456,77.76295209999999,ChIJ4ZUAe5nPBjsRHdEysERVHyQ,https://www.google.com/maps/place/?q=place_id:ChIJ4ZUAe5nPBjsRHdEysERVHyQ,part_262,2026-09-20 19:02:01,2390
Bridgestone Select - Samy Auto Service,Car Repair Workshop and Garage,Tire shop,"Tire shop, Auto parts store, Car repair and maintenance service, Garage, Tire repair shop, Tire service, Used tire shop, Wheel alignment service, Wheel store",626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 80 3701 3912,https://tyreshop.bridgestone.co.in/bridgestone/tyre-shops-in-sivakasi/tyre-shops-in-parasakthi-colony/bridgestone-select-samy-auto-service-in-parasakthi-colony-sivakasi--39eb5045-d5e5-44fb-ad08-512cb0f7f44c/home,4.8,49.0,"Shop No 98, 3, Velayutham Rd, opposite LIC Office, VSV Nagar, Parasakthi Colony, Sivakasi, Tamil Nadu 626123","VSV Nagar, Parasakthi Colony",9.4639997,77.7964094,ChIJV2OfQzjPBjsR8XoVbvNYNfs,https://www.google.com/maps/place/?q=place_id:ChIJV2OfQzjPBjsR8XoVbvNYNfs,part_262,2026-09-20 19:02:01,2391
Moto. Corp. AG,Car Repair Workshop and Garage,Car repair and maintenance service,Car repair and maintenance service,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",N/A,N/A,5.0,43.0,"Virudhunagar Main Rd, near Mariamman Temple, Thiruthangal, Sivakasi, Tamil Nadu 626130",Thiruthangal,9.4841018,77.8139723,ChIJGTqw7Y7PBjsR1lnzeUSkqco,https://www.google.com/maps/place/?q=place_id:ChIJGTqw7Y7PBjsR1lnzeUSkqco,part_262,2026-09-20 19:02:01,2392
Senthil Kumar auto garage,Car Repair Workshop and Garage,Chauffeur service,Chauffeur service,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 99766 91491,N/A,4.7,36.0,"Sattur, Chathirapatti, Tamil Nadu 626203",626189,9.3457688,77.915426,ChIJH1nsIrrKBjsRLCUyJXZ02E4,https://www.google.com/maps/place/?q=place_id:ChIJH1nsIrrKBjsRLCUyJXZ02E4,part_262,2026-09-20 19:02:01,2393
Deshwin Auto center virudhunagar,Car Repair Workshop and Garage,Car repair and maintenance service,Car repair and maintenance service,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 97872 33352,N/A,4.6,18.0,"Virudhunagar - Maravapatty Rd, Sivagami Puram, Virudhunagar, Kooraikundu, Tamil Nadu 626001",Sivagami Puram,9.5845899,77.9421062,ChIJxUUvMrosATsRxZSAhyE91yQ,https://www.google.com/maps/place/?q=place_id:ChIJxUUvMrosATsRxZSAhyE91yQ,part_262,2026-09-20 19:02:01,2394
Ayyadurai Motor Service,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 99942 28028,N/A,4.4,15.0,"5A, Vellakarai Road, Elayirampannai - Sattur Rd, Sattur, Tamil Nadu 626203",626189,9.3499799,77.9202923,ChIJmyRQtrHKBjsR4Iwpv8LR4JQ,https://www.google.com/maps/place/?q=place_id:ChIJmyRQtrHKBjsR4Iwpv8LR4JQ,part_262,2026-09-20 19:02:01,2395
KG Cars & Service,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 90806 37596,N/A,,,"to, SN Puram Road, near Railway Gate, Sengamala Nachiar Puram, Sivakasi, Tamil Nadu 626123",Sengamala Nachiar Puram,9.466392299999999,77.7905864,ChIJLRvoLgDPBjsRGgdzceFPFoo,https://www.google.com/maps/place/?q=place_id:ChIJLRvoLgDPBjsRGgdzceFPFoo,part_262,2026-09-20 19:02:01,2396
