business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Hotel Sree Meenatchi Bhavan ( Pure Veg ),Pure Veg Restaurant,Restaurant,Restaurant,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 94428 88666,N/A,4.4,,"Hotel Sree Meenakshi Bhavan, 73 Gnanagiri Road Palani Andavar Theater Opposite Sivakasi 626123, Tamil Nadu 626189","Vivekananda Colony, Kamarajapuram Colony",9.4582368,77.8021923,ChIJJWnuHLDPBjsReX28ujrR4_c,https://www.google.com/maps/place/?q=place_id:ChIJJWnuHLDPBjsReX28ujrR4_c,part_262,2026-09-20 19:01:48,721
SAI ARIYAS (PURE VEGETARIAN),Pure Veg Restaurant,Vegetarian restaurant,Vegetarian restaurant,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",N/A,N/A,3.7,,"OLD TRANK ROAD, near BUS STAND, Sattur, Tamil Nadu 626203",626189,9.3569868,77.9190844,ChIJL64int_LBjsR7YjbT97G8kI,https://www.google.com/maps/place/?q=place_id:ChIJL64int_LBjsR7YjbT97G8kI,part_262,2026-09-20 19:01:48,722
Karthik Hotel A/C Grand Pure Veg Restaurant,Pure Veg Restaurant,Restaurant,Restaurant,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",N/A,N/A,3.8,,"6, Lakshmi Towers, 957, Srivilliputhur Main Rd, Reserve line, Satchiyapuram, Anaiyur, Tamil Nadu 626123","Reserve line, Satchiyapuram",9.4620803,77.77944839999999,ChIJ-QfUt0nPBjsR3TZuz6a6LIg,https://www.google.com/maps/place/?q=place_id:ChIJ-QfUt0nPBjsR3TZuz6a6LIg,part_262,2026-09-20 19:01:48,723
AKSHYA BHVAN PURE VEG,Pure Veg Restaurant,Family restaurant,Family restaurant,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 88701 55787,N/A,4.1,,"Sattur, Tamil Nadu 626205",626189,9.3189604,77.91857089999999,ChIJ-e1KWgC1BjsRUcZxcfVrtcE,https://www.google.com/maps/place/?q=place_id:ChIJ-e1KWgC1BjsRUcZxcfVrtcE,part_262,2026-09-20 19:01:48,724
Annapoorani Hotel,Pure Veg Restaurant,Vegetarian restaurant,Vegetarian restaurant,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",N/A,N/A,4.0,,"Thiruthangal Rd, near Bala Krishna Hotel, Vishalachi Nagar, Kamarajapuram Colony, Sivakasi, Tamil Nadu 626123","Vishalachi Nagar, Kamarajapuram Colony",9.461559399999999,77.8000927,ChIJv1SAQrLPBjsRslQqs8lLzlk,https://www.google.com/maps/place/?q=place_id:ChIJv1SAQrLPBjsRslQqs8lLzlk,part_262,2026-09-20 19:01:48,725
Annapurna Hotel North Indian Food,Pure Veg Restaurant,North Indian restaurant,"North Indian restaurant, Breakfast restaurant",626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",N/A,N/A,4.2,,"155, Muslim Middle Street, Muslim Theru, Parasakthi Colony, Sivakasi, Tamil Nadu 626123","Muslim Theru, Parasakthi Colony",9.4539172,77.79808299999999,ChIJi9DzR_vOBjsRVjxIeQ_qFP4,https://www.google.com/maps/place/?q=place_id:ChIJi9DzR_vOBjsRVjxIeQ_qFP4,part_262,2026-09-20 19:01:48,726
Prabha hotel,Pure Veg Restaurant,South Indian restaurant,South Indian restaurant,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 93618 34748,N/A,4.0,,"117A, Chairman Shanmugam Rd, opposite of Indian Overseas Bank, near Water tank, Parasakthi Colony, Sivakasi, Tamil Nadu 626123",Parasakthi Colony,9.4507592,77.79278029999999,ChIJrUEbvIXPBjsRdWZPDblMUNQ,https://www.google.com/maps/place/?q=place_id:ChIJrUEbvIXPBjsRdWZPDblMUNQ,part_262,2026-09-20 19:01:48,727
Hotel Sree Balaaji Bhavan (HSBB),Pure Veg Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Breakfast restaurant",626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 87542 14060,http://www.facebook.com/hotelsreebalaajibhavan/,3.9,,"Pandian Complex, 110 near bus stand l, Sattur Rd, Sivakasi, Tamil Nadu 626123",Kaliappa Nagar,9.447281799999999,77.8010408,ChIJe1vYDObOBjsRb5NvNsD0m0c,https://www.google.com/maps/place/?q=place_id:ChIJe1vYDObOBjsRb5NvNsD0m0c,part_262,2026-09-20 19:01:48,728
Uthra hotel Ramaswamy Raja nagar,Pure Veg Restaurant,South Indian restaurant,"South Indian restaurant, Family restaurant, Indian restaurant, Restaurant",626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 96989 10911,N/A,5.0,,"Ramaswamy Raja Nagar, RR nagar, Vachakkarapatti, Tamil Nadu 626204","Ramaswamy Raja Nagar, RR nagar",9.4608008,77.9321492,ChIJz5P9EoczATsRHxbk-EFvjgM,https://www.google.com/maps/place/?q=place_id:ChIJz5P9EoczATsRHxbk-EFvjgM,part_262,2026-09-20 19:01:48,729
Tasty Veg Restaurant,Pure Veg Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Breakfast restaurant, Chinese restaurant, South Indian restaurant",626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 95855 21652,https://www.tastyvegrestaurant.com/,3.9,,"318 1,2, Vembakottai Road, Ponnagaram Main Rd, Rajapalayam, Tamil Nadu 626108",626189,9.4322626,77.5715347,ChIJr5RgDw3CBjsRC1jo05JOxyo,https://www.google.com/maps/place/?q=place_id:ChIJr5RgDw3CBjsRC1jo05JOxyo,part_262,2026-09-20 19:01:48,730
Sri Devi Unavagam,Pure Veg Restaurant,Vegetarian restaurant,Vegetarian restaurant,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 99943 58885,N/A,5.0,,"21,A, SN Puram Rd, near Valli Medical, Thiruthangal, Sivakasi, Tamil Nadu 626130",Thiruthangal,9.4793145,77.8103622,ChIJOQo2XDHPBjsR5vmod0QgIiI,https://www.google.com/maps/place/?q=place_id:ChIJOQo2XDHPBjsR5vmod0QgIiI,part_262,2026-09-20 19:01:48,731
Riyanshika Highclass Veg Hotel,Pure Veg Restaurant,Vegetarian restaurant,Vegetarian restaurant,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",N/A,N/A,2.6,,"CWJ9+WJV, Tulukkapatti, Tamil Nadu 626204",626189,9.432366499999999,77.91904439999999,ChIJBTHjLZTNBjsRcwC55w_4kaU,https://www.google.com/maps/place/?q=place_id:ChIJBTHjLZTNBjsRcwC55w_4kaU,part_262,2026-09-20 19:01:48,732
Sri Brindhavan Restaurant & Bakery & Sweets,Pure Veg Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Bakery and Cake Shop, Sweet shop, Coffee shop, Outlet store, Restaurant, Tea store, Family restaurant",626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 63799 29394,N/A,4.2,,"F3MX+FX, Aruppukkottai, Aruppukottai, Tamil Nadu 626112",626189,9.483641,78.099953,ChIJJSDSubcxATsRGqZ4IYMzmMs,https://www.google.com/maps/place/?q=place_id:ChIJJSDSubcxATsRGqZ4IYMzmMs,part_262,2026-09-20 19:01:48,733
Hotel Shree Backya,Pure Veg Restaurant,Indian restaurant,Indian restaurant,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",N/A,N/A,4.8,,"1/138 B, Vadamallapuram mukku road, Kiltiruthangal, Tamil Nadu 626130",626189,9.5043124,77.83103419999999,ChIJIUM0my_PBjsRgsciD1LlR3A,https://www.google.com/maps/place/?q=place_id:ChIJIUM0my_PBjsRgsciD1LlR3A,part_262,2026-09-20 19:01:48,734
Udupi Venkatesha Bhavan,Pure Veg Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Breakfast restaurant, South Indian restaurant",626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 98940 70820,N/A,3.9,,"9W3C+383, Main Rd, Sattur, Tamil Nadu 626203",626189,9.3526458,77.9207898,ChIJcetFPrHKBjsR_Q36vV_Ed6E,https://www.google.com/maps/place/?q=place_id:ChIJcetFPrHKBjsR_Q36vV_Ed6E,part_262,2026-09-20 19:01:48,735
Hotel Ganesh Bhavan,Pure Veg Restaurant,Vegetarian restaurant,"Vegetarian restaurant, South Indian restaurant",626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 96004 83017,https://hotelganeshbhavan.petpooja.site/,4.2,,"Bus Stop, 60, Main Rd, Krishnan Kovil, Sattur, Tamil Nadu 626203",Krishnan Kovil,9.3500217,77.9208175,ChIJqe2W9UXLBjsRjWzFU6xnVCI,https://www.google.com/maps/place/?q=place_id:ChIJqe2W9UXLBjsRjWzFU6xnVCI,part_262,2026-09-20 19:01:48,736
Sharma Restaurant,Pure Veg Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Vegan restaurant, North Indian restaurant",626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 98431 26808,N/A,3.9,,"FQ7W+JPC, Velayutham Rd, Parasakthi Colony, Sivakasi, Tamil Nadu 626123",Parasakthi Colony,9.4640503,77.79677939999999,ChIJu-UXAFbOBjsRXkZ2bIlxrYs,https://www.google.com/maps/place/?q=place_id:ChIJu-UXAFbOBjsRXkZ2bIlxrYs,part_262,2026-09-20 19:01:48,737
Hotel Maalgudi Mittai Bhavan,Pure Veg Restaurant,South Indian restaurant,South Indian restaurant,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",N/A,N/A,3.4,,"FW6J+9RH, Ramaswamy Raja Nagar, Vachakkarapatti, Tamil Nadu 626204",Ramaswamy Raja Nagar,9.460944,77.9321174,ChIJmcIoSSwzATsR7FRTJJzlqoA,https://www.google.com/maps/place/?q=place_id:ChIJmcIoSSwzATsR7FRTJJzlqoA,part_262,2026-09-20 19:01:48,738
