business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SMBS BOREWELL SERVICE,Borewell Drilling Contractor,Well drilling contractor,Well drilling contractor,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 98421 22284,https://smbsborewellservice.com/,4.4,,"No: 220c Mariswaricomplex Thiruthangal Road, Near KSSP Petrol Bunk, Sivakasi, Tamil Nadu 626123","Vishalachi Nagar, Kamarajapuram Colony",9.4620164,77.8003409,ChIJD-DsT_jOBjsRjugLcJnDSNs,https://www.google.com/maps/place/?q=place_id:ChIJD-DsT_jOBjsRjugLcJnDSNs,part_262,2026-09-20 19:02:07
Star Borewell ( Sivakasi/ virudhunagar/ kovilpatti,Borewell Drilling Contractor,Well drilling contractor,Well drilling contractor,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 98433 46773,N/A,4.2,,"Arunachalapuram, Boovanathapuram, Anaiyur, Tamil Nadu 626123",Kaliappa Nagar,9.4590815,77.7834396,ChIJHSMC2_jPBjsR2OrZ8Y4A5fc,https://www.google.com/maps/place/?q=place_id:ChIJHSMC2_jPBjsR2OrZ8Y4A5fc,part_262,2026-09-20 19:02:07
Jesus Rehoboth Borewells,Borewell Drilling Contractor,Drilling contractor,Drilling contractor,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 90427 41504,https://jesusrehobothborewells.com/,5.0,,"Thiruthangal Rd, opposite Kamarajar Park, Parasakthi Colony, Sivakasi, Anaiyur, Tamil Nadu 626123",Parasakthi Colony,9.4586087,77.78411129999999,ChIJrUV-y0LPBjsROBLW8e4Zwqo,https://www.google.com/maps/place/?q=place_id:ChIJrUV-y0LPBjsROBLW8e4Zwqo,part_262,2026-09-20 19:02:07
S P M BOREWELLS,Borewell Drilling Contractor,Well drilling contractor,"Well drilling contractor, Drilling contractor",626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 88704 55372,https://spmborewells.lyzoo.co.in/,5.0,,"5/464, Srivilliputhur Main Rd, mahathma, Gandhinagar, Injar, Tamil Nadu 626124","mahathma, Gandhinagar",9.4709057,77.76008379999999,ChIJJ_qUZknPBjsR57pe1LXx6k8,https://www.google.com/maps/place/?q=place_id:ChIJJ_qUZknPBjsR57pe1LXx6k8,part_262,2026-09-20 19:02:07
Jesus Rehoboth Borewells Sattur,Borewell Drilling Contractor,Drilling contractor,Drilling contractor,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 90259 02767,https://jesusrehobothborewells.com/,5.0,,"opposite Harimahal Bypass Road, Sattur, Chathirapatti, Tamil Nadu 626203",626189,9.3444444,77.9160794,ChIJ3ZE1NRvLBjsR729WwRl1zpI,https://www.google.com/maps/place/?q=place_id:ChIJ3ZE1NRvLBjsR729WwRl1zpI,part_262,2026-09-20 19:02:07
A.M.B.S. Borewell Service,Borewell Drilling Contractor,Well drilling contractor,Well drilling contractor,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",N/A,N/A,4.5,,"10-F, Sabapathi Complex, Velayutham Rastha Road, Sivakasi - 626123, opp. HDFC Bank, Tamil Nadu 626123",Parasakthi Colony,9.4647264,77.80010709999999,ChIJw4Uz0FfOBjsRGSHtqhrITjM,https://www.google.com/maps/place/?q=place_id:ChIJw4Uz0FfOBjsRGSHtqhrITjM,part_262,2026-09-20 19:02:07
Amarapali Drillers,Borewell Drilling Contractor,Well drilling contractor,"Well drilling contractor, Drilling contractor, Tubewell Contractor, Water Pump Supplier, Water works",626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 97017 13554,http://amarapalidrillers.com/?utm_source=gmb-seo&utm_medium=organic,4.8,,"H.No: 1-4-262/2, East, Rd Number 10, New Maruti Nagar, Kothapet, Hyderabad, Telangana 500102","Alkapuri, New Maruti Nagar, Kothapet",17.3793772,78.5430501,ChIJ6fLjXhWZyzsRn4cNCHj-lBw,https://www.google.com/maps/place/?q=place_id:ChIJ6fLjXhWZyzsRn4cNCHj-lBw,part_262,2026-09-20 19:02:08
db borewells,Borewell Drilling Contractor,Well drilling contractor,Well drilling contractor,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 90355 53127,http://www.borewelldrilling.co.in/,5.0,,"Konadasapura, Konadaspur, Karnataka 560049",Konadasapura,13.0451315,77.75560469999999,ChIJP0OgxvoPrjsRrvPY8VAhpSU,https://www.google.com/maps/place/?q=place_id:ChIJP0OgxvoPrjsRrvPY8VAhpSU,part_262,2026-09-20 19:02:08
Apsara Borewell,Borewell Drilling Contractor,Drilling contractor,Drilling contractor,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 99287 43786,N/A,5.0,,"Papditoll-tax, Alwar - Bhiwadi Rd, Mahrampur, Rajasthan 301405",626189,27.7161002,76.7439732,ChIJ69sHGwC_cjkRBYwV1hIm_Lg,https://www.google.com/maps/place/?q=place_id:ChIJ69sHGwC_cjkRBYwV1hIm_Lg,part_262,2026-09-20 19:02:08
Best Borewells kooroppada Kottayam,Borewell Drilling Contractor,Well drilling contractor,Well drilling contractor,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 89434 25001,https://sites.google.com/view/bestborewells/home,5.0,,"Shyvavilasam Building, Oravackal Koorali road, Pampady, Kooroppada, Keralam 686502",626189,9.5985477,76.6454317,ChIJd_CJSgAzBjsRAV6T3IHbXNE,https://www.google.com/maps/place/?q=place_id:ChIJd_CJSgAzBjsRAV6T3IHbXNE,part_262,2026-09-20 19:02:08
