business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
JA Bose Kanchana Marriage Hall,Marriage Hall / Kalyana Mandapam,Wedding venue,Wedding venue,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 94431 44666,https://www.jabosemandapam.com/,4.5,1199.0,"FR93+RMP, 357-360, Virudhunagar Main Rd, Parasakthi Colony, Sivakasi, Tamil Nadu 626123",Parasakthi Colony,9.4700404,77.8044937,ChIJTxSuKFrOBjsR76L56umJkOY,https://www.google.com/maps/place/?q=place_id:ChIJTxSuKFrOBjsR76L56umJkOY,part_262,2026-09-20 19:02:12
Sri Silaikari endra Alagammal Thirumana mandapam AC,Marriage Hall / Kalyana Mandapam,Banquet hall,Banquet hall,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",N/A,N/A,4.0,24.0,"12, SH 187, Senayapuram Colony, Naranapuram, Tamil Nadu 626189",Senayapuram Colony,9.4487886,77.8216875,ChIJ0TqaeLXPBjsRDTkJk_oxkpw,https://www.google.com/maps/place/?q=place_id:ChIJ0TqaeLXPBjsRDTkJk_oxkpw,part_262,2026-09-20 19:02:12
Lalitha Thirumana Mahal A/C,Marriage Hall / Kalyana Mandapam,Wedding venue,"Wedding venue, Banquet hall, Conference center",626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 82200 76790,N/A,4.6,78.0,"225, Naranapuram Rd, near Thava Muniswarar Temple, Senayapuram Colony, Sivakasi, Naranapuram, Tamil Nadu 626189",Senayapuram Colony,9.448240499999999,77.8333621,ChIJe1iAsAvPBjsRExGsVtAXeVo,https://www.google.com/maps/place/?q=place_id:ChIJe1iAsAvPBjsRExGsVtAXeVo,part_262,2026-09-20 19:02:12
SOP Marriage Hall,Marriage Hall / Kalyana Mandapam,Wedding venue,Wedding venue,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 97915 01298,N/A,4.1,360.0,"FQ8W+9CG, Velayutham Rd, Parasakthi Colony, Sivakasi, Tamil Nadu 626123",Parasakthi Colony,9.4645686,77.797086,ChIJrT3aBVbOBjsRxGyTyjqjy_o,https://www.google.com/maps/place/?q=place_id:ChIJrT3aBVbOBjsRxGyTyjqjy_o,part_262,2026-09-20 19:02:12
Anil Kalyana Mandapam,Marriage Hall / Kalyana Mandapam,Wedding venue,Wedding venue,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 4562 222 278,N/A,4.1,112.0,"CQVV+QCW, Kaliappa Nagar, Sivakasi, Tamil Nadu 626123",Kaliappa Nagar,9.4444898,77.7935833,ChIJpagjVODOBjsR24b0ipwDlBU,https://www.google.com/maps/place/?q=place_id:ChIJpagjVODOBjsR24b0ipwDlBU,part_262,2026-09-20 19:02:12
Navadhanya Mandapam,Marriage Hall / Kalyana Mandapam,Wedding venue,Wedding venue,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",N/A,N/A,4.2,451.0,"Nava Thaniya Kalyana Mandapam, Bypass Rd, Solai Colony, Kamarajapuram Colony, Sivakasi, Tamil Nadu 626189","Solai Colony, Kamarajapuram Colony",9.4553297,77.804811,ChIJNVo_TvDOBjsRd-qZLnE7ghU,https://www.google.com/maps/place/?q=place_id:ChIJNVo_TvDOBjsRd-qZLnE7ghU,part_262,2026-09-20 19:02:12
Swathi mahal A/C,Marriage Hall / Kalyana Mandapam,Wedding venue,Wedding venue,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 95856 90554,N/A,4.9,139.0,"1/326, Kaliyamman kovil st, near Lord Krishna Temple, Naranapuram, Sivakasi, Tamil Nadu 626189",626189,9.452636499999999,77.8353801,ChIJbeRAWwDPBjsR_AHPcHlyHDs,https://www.google.com/maps/place/?q=place_id:ChIJbeRAWwDPBjsR_AHPcHlyHDs,part_262,2026-09-20 19:02:12
Arunjunai mahal,Marriage Hall / Kalyana Mandapam,Banquet hall,Banquet hall,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",N/A,N/A,4.2,223.0,"Unnamed Rd 626123, Sithurajapuram, Viswanatham, Tamil Nadu 626123",Sithurajapuram,9.4391211,77.7947312,ChIJvxy99t7OBjsRKPOAW93gJT8,https://www.google.com/maps/place/?q=place_id:ChIJvxy99t7OBjsRKPOAW93gJT8,part_262,2026-09-20 19:02:12
"Muslim Varthagar Sanga Kalyana Mandapam ,Sivakasi",Marriage Hall / Kalyana Mandapam,Banquet hall,Banquet hall,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",N/A,N/A,4.4,88.0,"FQ4R+5M7, Srivilliputhur - Sivakasi - Virudhunagar - Aruppukottai - Tiruchuli - Narikudi - Parthibanoor Rd, Parasakthi Colony, Sivakasi, Tamil Nadu 626123",Parasakthi Colony,9.4554068,77.7916652,ChIJp5HfJGvPBjsRDAhMiWQ3mAw,https://www.google.com/maps/place/?q=place_id:ChIJp5HfJGvPBjsRDAhMiWQ3mAw,part_262,2026-09-20 19:02:12
New charities Grahadurai Bhavani Amal Kalyana Mandapam,Marriage Hall / Kalyana Mandapam,Wedding venue,Wedding venue,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",N/A,N/A,4.5,231.0,"FQ3Q+4JC, Unnamed Road, Kaliappa Nagar, Sivakasi, Tamil Nadu 626123",Kaliappa Nagar,9.4528152,77.7890285,ChIJ80H3tjvPBjsR5YFqOl5Y7lQ,https://www.google.com/maps/place/?q=place_id:ChIJ80H3tjvPBjsR5YFqOl5Y7lQ,part_262,2026-09-20 19:02:12
Shri Naachiyar Marriage Hall,Marriage Hall / Kalyana Mandapam,Wedding service,Wedding service,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",N/A,N/A,4.0,70.0,"CQHR+VGQ, 626189, PSR Nagar, Sithurajapuram, Tamil Nadu 626189","PSR Nagar, Sithurajapuram",9.4301587,77.7889233,ChIJd_yhbyjPBjsRPHDhT-37_qg,https://www.google.com/maps/place/?q=place_id:ChIJd_yhbyjPBjsRPHDhT-37_qg,part_262,2026-09-20 19:02:12
Arasan A.M.S.Ganesan Marriage Hall,Marriage Hall / Kalyana Mandapam,Banquet hall,Banquet hall,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",N/A,N/A,4.2,46.0,"No 18, North Vallalar Street, Thiruthangal Rd, Sivakasi, Tamil Nadu 626123",Kamarajapuram Colony,9.454274,77.7988,ChIJk3rIPPvOBjsRZyf-6yhh0G0,https://www.google.com/maps/place/?q=place_id:ChIJk3rIPPvOBjsRZyf-6yhh0G0,part_262,2026-09-20 19:02:12
TANFAMA Kalyana Mandapam,Marriage Hall / Kalyana Mandapam,Wedding venue,Wedding venue,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",N/A,N/A,4.1,519.0,"FQ6R+Q3P, Velayutham Rd, Parasakthi Colony, Sivakasi, Tamil Nadu 626123",Parasakthi Colony,9.4619656,77.79020539999999,ChIJRV5xMADPBjsR3BilcvHl6xw,https://www.google.com/maps/place/?q=place_id:ChIJRV5xMADPBjsR3BilcvHl6xw,part_262,2026-09-20 19:02:12
Balaji Thirumana Mandapam,Marriage Hall / Kalyana Mandapam,Banquet hall,Banquet hall,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 72999 12817,N/A,3.5,38.0,"Virudhunagar Main Rd, Thiruthangal, Sivakasi, Tamil Nadu 626130",Thiruthangal,9.483024,77.812659,ChIJvTPsyEHOBjsRQo0m1Zjplec,https://www.google.com/maps/place/?q=place_id:ChIJvTPsyEHOBjsRQo0m1Zjplec,part_262,2026-09-20 19:02:12
Senai Thalaivar Kalyana Mandapam,Marriage Hall / Kalyana Mandapam,Wedding venue,Wedding venue,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",N/A,N/A,3.9,68.0,"17, Thiruthangal Rd, nearby senaithalaivar kalyana mandapam, Parasakthi Colony, Sivakasi, Tamil Nadu 626123",Parasakthi Colony,9.4563166,77.7950089,ChIJ7_-6seTOBjsRh6uElioReLU,https://www.google.com/maps/place/?q=place_id:ChIJ7_-6seTOBjsRh6uElioReLU,part_262,2026-09-20 19:02:12
Charities Marriage Hall,Marriage Hall / Kalyana Mandapam,Wedding venue,Wedding venue,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",N/A,N/A,4.4,164.0,"FQ3R+M6V, Parasakthi Colony, Sivakasi, Tamil Nadu 626123",Parasakthi Colony,9.4542489,77.79054719999999,ChIJt0sMogLPBjsR0b04EfnJamQ,https://www.google.com/maps/place/?q=place_id:ChIJt0sMogLPBjsR0b04EfnJamQ,part_262,2026-09-20 19:02:12
