business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Cotton Candy,Mens Wear Showroom,Men's clothing store,Men's clothing store,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 98414 54666,N/A,4.8,317.0,"333/3, Virudhunagar Main Rd, Thiruthangal, Sivakasi, Tamil Nadu 626130",Thiruthangal,9.4716069,77.80519269999999,ChIJf0fRa-LPBjsRNlh6VjdaXv8,https://www.google.com/maps/place/?q=place_id:ChIJf0fRa-LPBjsRNlh6VjdaXv8,part_262,2026-09-20 19:01:52
TN95 CASUALS & FORMALS FOR MEN,Mens Wear Showroom,Clothing store,Clothing store,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 88258 49591,N/A,4.3,124.0,"2d-1, PSR Rd, Parasakthi Colony, Sivakasi, Tamil Nadu 626123",Parasakthi Colony,9.451511499999999,77.7933905,ChIJ4-nz4-LOBjsRkWRcSFHjFGs,https://www.google.com/maps/place/?q=place_id:ChIJ4-nz4-LOBjsRkWRcSFHjFGs,part_262,2026-09-20 19:01:52
Middleclass men's wear,Mens Wear Showroom,Clothing store,Clothing store,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",N/A,N/A,4.9,15.0,"government School, 625/H ,srn school, opposite thiruthangal, Thiruthangal, Tamil Nadu 626130",Thiruthangal,9.4818959,77.8124611,ChIJefR35GTPBjsRuxauG0aIkUg,https://www.google.com/maps/place/?q=place_id:ChIJefR35GTPBjsRuxauG0aIkUg,part_262,2026-09-20 19:01:52
Wareit Exclusive Mens Clothes,Mens Wear Showroom,Clothing store,Clothing store,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 78688 18507,N/A,5.0,7.0,"4/705, po, Rama nagar, kongalapuram, Sithurajapuram, Sivakasi, Kongalapuram, Tamil Nadu 626123","Rama nagar, kongalapuram, Sithurajapuram",9.413509399999999,77.78814249999999,ChIJ5xwuZQDJBjsRJidYTlRPOdg,https://www.google.com/maps/place/?q=place_id:ChIJ5xwuZQDJBjsRJidYTlRPOdg,part_262,2026-09-20 19:01:52
OTTO men's clothing store in sivakasi,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Clothing store, Designer Clothing Store, Formal Clothing Store, Youth clothing store",626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 4562 276 333,https://www.ottostore.com/?utm_source=Google_Maps&utm_medium=Organic&utm_campaign=%20Sivakasi,4.2,82.0,"413/A/2, Thattu Mettu Street, Sattur Rd, near Kpn Transport, Sivakasi, Tamil Nadu 626123",Parapatti,9.4464592,77.803202,ChIJy-ub9OjOBjsRkqpWbWI7fD4,https://www.google.com/maps/place/?q=place_id:ChIJy-ub9OjOBjsRkqpWbWI7fD4,part_262,2026-09-20 19:01:52
18PLUS MENSWEAR,Mens Wear Showroom,Clothing store,Clothing store,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 91594 75184,N/A,5.0,9.0,"20-B/6Gandhi, road, near Bustand(oppAruna Hospital, Kaliappa Nagar, Sivakasi, Tamil Nadu 626123",Kaliappa Nagar,9.4463624,77.80138099999999,ChIJ3w1KhnvPBjsR4KtXIc88iI8,https://www.google.com/maps/place/?q=place_id:ChIJ3w1KhnvPBjsR4KtXIc88iI8,part_262,2026-09-20 19:01:52
Peter England Exclusive Menswear Showroom,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Clothing store, Tuxedo shop",626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 97515 17776,N/A,4.2,11.0,"63/9, Gandhi Rd, Parapatti, Sivakasi, Tamil Nadu 626123",Parapatti,9.444372399999999,77.801707,ChIJ995j5zpdUjoRXMDxpS5rGOA,https://www.google.com/maps/place/?q=place_id:ChIJ995j5zpdUjoRXMDxpS5rGOA,part_262,2026-09-20 19:01:52
Home Tex Fashion Studio,Mens Wear Showroom,Men's clothing store,Men's clothing store,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",N/A,N/A,4.1,75.0,"car stand, 182, opp. fish market, near by New Road, Senayapuram Colony, Sivakasi, Tamil Nadu 626123",Senayapuram Colony,9.448945,77.799194,ChIJTe408RbPBjsRgS96GUqdCi4,https://www.google.com/maps/place/?q=place_id:ChIJTe408RbPBjsRgS96GUqdCi4,part_262,2026-09-20 19:01:52
Focus Mens wear - Sivakasi,Mens Wear Showroom,Men's clothing store,Men's clothing store,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",N/A,N/A,4.7,44.0,"49, Babuji Complex, Gandhi Rd, Parapatti, Sivakasi, Tamil Nadu 626123",Parapatti,9.445195199999999,77.80158109999999,ChIJgWRbXivPBjsR17i_dblLwMo,https://www.google.com/maps/place/?q=place_id:ChIJgWRbXivPBjsR17i_dblLwMo,part_262,2026-09-20 19:01:52
Hi-Fashion,Mens Wear Showroom,Men's clothing store,Men's clothing store,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",N/A,N/A,4.4,48.0,"271,1 st floor ,Bhemma nadar Complex, Railway Feeder Rd, Sivagami Puram, Virudhunagar, Tamil Nadu 626001",Sivagami Puram,9.5907279,77.9555166,ChIJLxVtEQktATsR4s2YKUhEJPY,https://www.google.com/maps/place/?q=place_id:ChIJLxVtEQktATsR4s2YKUhEJPY,part_262,2026-09-20 19:01:52
