business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Sri Arumuga Tent, Decorators & Sound Service",Sound and Light Rental,Audiovisual equipment rental service,"Audiovisual equipment rental service, Event management company",626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 94426 66349,https://t.justdial.com/SIVAKASI/Arumuga-Chairs-Land-Sound-Service-Near-Devar-Statue/9999P4562-4562-110808142734-Q3J7_BZDET?xid=TmF0aW9uYWwgU2VhcmNoIERyIEFydW11Z2EgUGFuZGlhbiBHIEsgQ2xpbmlj,4.5,11.0,"210, Police Station Road, Sivakasi, Tamil Nadu 626123",Parasakthi Colony,9.454336099999999,77.79165189999999,ChIJdSsjXf3OBjsRLlqmH6dOUK8,https://www.google.com/maps/place/?q=place_id:ChIJdSsjXf3OBjsRLlqmH6dOUK8,part_262,2026-09-20 19:02:13
Sri Murugan Sound & Light Decorators,Sound and Light Rental,Audiovisual equipment rental service,Audiovisual equipment rental service,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 98421 57779,http://www.sms.org.in/,4.9,52.0,"No: 69/32, Pudur Vandipathai Rd, Kurinjinagar, Ramnad Reserve Line, Athikulam, Madurai, Tamil Nadu 625007","Kurinjinagar, Ramnad Reserve Line",9.9523567,78.13733239999999,ChIJ0fTzBIPFADsR4x3Lrw-oW5c,https://www.google.com/maps/place/?q=place_id:ChIJ0fTzBIPFADsR4x3Lrw-oW5c,part_262,2026-09-20 19:02:13
AAA Sound System,Sound and Light Rental,Audio visual equipment supplier,Audio visual equipment supplier,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 97501 78444,N/A,5.0,40.0,"104/5-3, ASSSS Rd, Professors colony, Anna Nagar, Virudhunagar, Tamil Nadu 626001","Professors colony, Anna Nagar",9.5840356,77.9613341,ChIJxT_9dOQtATsR1_wmlJgeAJM,https://www.google.com/maps/place/?q=place_id:ChIJxT_9dOQtATsR1_wmlJgeAJM,part_262,2026-09-20 19:02:13
S S Lights & Sounds,Sound and Light Rental,Audiovisual equipment rental service,"Audiovisual equipment rental service, Event planner, Electric generator shop, Stage lighting equipment supplier",626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 97514 05128,N/A,5.0,11.0,"3/134, Kurinji Nagar, Venkatachalapuram, Padandal, Tamil Nadu 626203","Kurinji Nagar, Venkatachalapuram",9.3719062,77.9125912,ChIJL4IxBwjLBjsRjUmne3E_Wl8,https://www.google.com/maps/place/?q=place_id:ChIJL4IxBwjLBjsRjUmne3E_Wl8,part_262,2026-09-20 19:02:13
S.S.Light and sounds,Sound and Light Rental,Audiovisual equipment rental service,Audiovisual equipment rental service,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",N/A,N/A,,,"9W58+56W, Sattur, Tamil Nadu 626203",626189,9.357978,77.91557949999999,ChIJNUb06w3LBjsRFOPx_FyzHZ0,https://www.google.com/maps/place/?q=place_id:ChIJNUb06w3LBjsRFOPx_FyzHZ0,part_262,2026-09-20 19:02:13
sekar sound service & electricals,Sound and Light Rental,Audiovisual equipment rental service,Audiovisual equipment rental service,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 98410 26405,N/A,5.0,6.0,"Old Number. 46, New Number. 56, Pushpa Nagar Main Rd, Pushpa Nagar, Nungambakkam, Chennai, Tamil Nadu 600034","Pushpa Nagar, Nungambakkam",13.0581339,80.2387031,ChIJxYwO9l1mUjoR31UtmrgXJZs,https://www.google.com/maps/place/?q=place_id:ChIJxYwO9l1mUjoR31UtmrgXJZs,part_262,2026-09-20 19:02:14
B & B AUDIOS,Sound and Light Rental,Audiovisual equipment rental service,Audiovisual equipment rental service,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 80782 66994,N/A,4.5,4.0,"Puthukulangara 5th mile Kodunthirapully (PO, Palakkad, Keralam 678004",626189,10.782745,76.58467089999999,ChIJuRqNQ3txqDsRl4aCN_z81uQ,https://www.google.com/maps/place/?q=place_id:ChIJuRqNQ3txqDsRl4aCN_z81uQ,part_262,2026-09-20 19:02:14
SOUND SPOT,Sound and Light Rental,Audiovisual equipment rental service,Audiovisual equipment rental service,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 98411 04255,http://www.soundspot.in/,5.0,22.0,"Bus Depot, No:1, Bajanai Koil St, near Madipakkam, Balaiah Garden, Madipakkam, Chennai, Tamil Nadu 600091","Balaiah Garden, Madipakkam",12.9623207,80.1978227,ChIJccQHmJ9dUjoRU2_MBkpz0v8,https://www.google.com/maps/place/?q=place_id:ChIJccQHmJ9dUjoRU2_MBkpz0v8,part_262,2026-09-20 19:02:14
SIVA SOUND SERVICE,Sound and Light Rental,Audiovisual equipment rental service,Audiovisual equipment rental service,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 75983 90451,N/A,5.0,8.0,"Avudayanoor, Tamil Nadu 627808",626189,8.877358899999999,77.3830947,ChIJWyXnjj8lBDsRN7-8N2tymX0,https://www.google.com/maps/place/?q=place_id:ChIJWyXnjj8lBDsRN7-8N2tymX0,part_262,2026-09-20 19:02:14
Afsal Light and Sound,Sound and Light Rental,Audiovisual equipment rental service,"Audiovisual equipment rental service, Electric generator shop",626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 96457 16730,N/A,4.9,23.0,"Road, Mullampara Town, Manjeri, Keralam 676121",Mullampara Town,11.1042617,76.109348,ChIJVVVVkOA1pjsReu4WG_rTPCU,https://www.google.com/maps/place/?q=place_id:ChIJVVVVkOA1pjsReu4WG_rTPCU,part_262,2026-09-20 19:02:14
