business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Annamalaiyar Electricals,Electrical Goods and Lighting Store,Electrical supply store,Electrical supply store,626201,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Elayirampannai SO, Karisalpatti BO, Panayadipatti BO",+91 99766 19840,N/A,5.0,,"kasiraja road, Dhalavaipuram, Tamil Nadu 626111",626201,9.3911728,77.49191789999999,ChIJ2_20Z-rrBjsRmK-GLy3ehp4,https://www.google.com/maps/place/?q=place_id:ChIJ2_20Z-rrBjsRmK-GLy3ehp4,part_262,2026-09-20 19:02:49
Punithan Electricals,Electrical Goods and Lighting Store,Electronics store,"Electronics store, Electrical repair shop",626201,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Elayirampannai SO, Karisalpatti BO, Panayadipatti BO",+91 94437 01888,N/A,5.0,,"Rajapalayam, Tamil Nadu 626117",Rajapalayam,9.453689599999999,77.5547026,ChIJZQVhE9PpBjsRbtYssU8bnQs,https://www.google.com/maps/place/?q=place_id:ChIJZQVhE9PpBjsRbtYssU8bnQs,part_262,2026-09-20 19:02:49
Pothigai Electricals,Electrical Goods and Lighting Store,Electrical supply store,Electrical supply store,626201,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Elayirampannai SO, Karisalpatti BO, Panayadipatti BO",N/A,N/A,,,"104/5, Madurai Rd, Sivagami Puram, Virudhunagar, Tamil Nadu 626001",Sivagami Puram,9.5945234,77.9537876,ChIJUZS8SpgsATsRwyAz3Jyt5KQ,https://www.google.com/maps/place/?q=place_id:ChIJUZS8SpgsATsRwyAz3Jyt5KQ,part_262,2026-09-20 19:02:49
Tated Electricals,Electrical Goods and Lighting Store,Electrical supply store,Electrical supply store,626201,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Elayirampannai SO, Karisalpatti BO, Panayadipatti BO",+91 452 234 0554,N/A,5.0,,"175, W Masi St, Valaiyal Kadai, Madurai Main, Madurai, Tamil Nadu 625001","Valaiyal Kadai, Madurai Main",9.9152756,78.1159668,ChIJ91Dsd4HFADsRbyEP-Cyb5jM,https://www.google.com/maps/place/?q=place_id:ChIJ91Dsd4HFADsRbyEP-Cyb5jM,part_262,2026-09-20 19:02:50
S S ILEN LITES,Electrical Goods and Lighting Store,Electronics store,Electronics store,626201,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Elayirampannai SO, Karisalpatti BO, Panayadipatti BO",+91 98650 43335,N/A,4.9,,"82 pensioner Street, Palani Rd, Dindigul, Tamil Nadu 624081",Begambur,10.3652874,77.9717319,ChIJJzjzBeurADsR2ZKfy0RZTQ8,https://www.google.com/maps/place/?q=place_id:ChIJJzjzBeurADsR2ZKfy0RZTQ8,part_262,2026-09-20 19:02:51
Kristal Lites,Electrical Goods and Lighting Store,Lighting store,"Lighting store, Home improvement store, Landscape lighting designer, Lighting consultant, Lighting products wholesaler",626201,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Elayirampannai SO, Karisalpatti BO, Panayadipatti BO",+91 94433 53704,http://www.lightzart.com/,4.7,,"8A, W Masi St, near Ayyappan temple, Madurai Main, Madurai, Tamil Nadu 625001",Madurai Main,9.922416199999999,78.1149102,ChIJeaeI8YbFADsRhVb0Qw4eg7I,https://www.google.com/maps/place/?q=place_id:ChIJeaeI8YbFADsRhVb0Qw4eg7I,part_262,2026-09-20 19:02:51
PK ELECTRICALS DLF,Electrical Goods and Lighting Store,Lighting store,"Lighting store, Light bulb supplier, Electrical supply store",626201,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Elayirampannai SO, Karisalpatti BO, Panayadipatti BO",+91 99008 36997,https://retailpavilion-in.se.com/pk-electricals-akshayanagar-bangalore-6026157521633280/overview,4.6,,"Shop No 24, Begur - Hulimavu Rd, opp. reliance mart, Akshayanagara West, DLF New Town, Akshayanagar, Hulimavu, Bengaluru, Karnataka 560114","Akshayanagara West, DLF New Town, Akshayanagar",12.8759269,77.6153436,ChIJxduV4SxrrjsRJvPAjC5Akzc,https://www.google.com/maps/place/?q=place_id:ChIJxduV4SxrrjsRJvPAjC5Akzc,part_262,2026-09-20 19:02:51
ABIRAMI ELECTRICALS,Electrical Goods and Lighting Store,Electrical supply store,Electrical supply store,626201,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Elayirampannai SO, Karisalpatti BO, Panayadipatti BO",+91 98424 55967,https://abiramielectricalstrichy.com/,4.0,,": 28, Super Bazaar, Singarathope, Tharanallur, Tiruchirappalli, Tamil Nadu 620002","Singarathope, Tharanallur",10.825020199999999,78.69486049999999,ChIJaTDfT0v1qjsRY4Mc03f6z4M,https://www.google.com/maps/place/?q=place_id:ChIJaTDfT0v1qjsRY4Mc03f6z4M,part_262,2026-09-20 19:02:52
KMH Traders,Electrical Goods and Lighting Store,Electronics store,Electronics store,626201,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Elayirampannai SO, Karisalpatti BO, Panayadipatti BO",+91 99944 24429,N/A,5.0,,"No. 4/83, Rengappanaikar Patti Road, S Ramachandrapuram, Tamil Nadu 626126",626201,9.600213499999999,77.67964359999999,ChIJTSUySmbZBjsRB6f2qR0GoDY,https://www.google.com/maps/place/?q=place_id:ChIJTSUySmbZBjsRB6f2qR0GoDY,part_262,2026-09-20 19:02:52
Lucky Electricals & Plumbing - Showroom in Thanjavur,Electrical Goods and Lighting Store,Electrical supply store,Electrical supply store,626201,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Elayirampannai SO, Karisalpatti BO, Panayadipatti BO",+91 4362 273 673,http://www.luckygroups.net/,4.6,,"83/259, Pudukkottai Rd, Cauvery Nagar West, Nirmala nagar RESIDENTIAL AREA, Thanjavur, Tamil Nadu 613005","Cauvery Nagar West, Nirmala nagar RESIDENTIAL AREA",10.7556847,79.1226535,ChIJr26gVMG4qjsRVOaeN84LQMg,https://www.google.com/maps/place/?q=place_id:ChIJr26gVMG4qjsRVOaeN84LQMg,part_262,2026-09-20 19:02:52
