business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Thangam Stores,Medical Equipment Supplier,Oxygen equipment supplier,Oxygen equipment supplier,626201,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Elayirampannai SO, Karisalpatti BO, Panayadipatti BO",+91 94431 22826,https://www.thangamstores.com/,,,"108-1, Ilayarasanendal Rd, Gandhi nagar, Kovilpatti, IIaiyarasanendal, Tamil Nadu 628502",Gandhi nagar,9.2066135,77.7995371,ChIJZ_6DdRKxBjsRFS5MB_bXinw,https://www.google.com/maps/place/?q=place_id:ChIJZ_6DdRKxBjsRFS5MB_bXinw,part_262,2026-09-20 19:02:44
DIAMONDMEDICARE,Medical Equipment Supplier,Medical Equipment Manufacturer,Medical Equipment Manufacturer,626201,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Elayirampannai SO, Karisalpatti BO, Panayadipatti BO",+91 80085 01979,http://www.diamondmedicare.org/,,,"UNIT:# 1, 208, Illayarasanendal Road, Ayyaneri, Kovilpatti, Ayyaneri, Tamil Nadu 628502",Ayyaneri,9.2051132,77.8131056,ChIJ_1EVRRGxBjsR5EQr5IVDIAg,https://www.google.com/maps/place/?q=place_id:ChIJ_1EVRRGxBjsR5EQr5IVDIAg,part_262,2026-09-20 19:02:44
MAHELAM SURGICALS,Medical Equipment Supplier,Surgical supply store,"Surgical supply store, Medical equipment supplier, Medical supply store, Oxygen equipment supplier, Surgical Products Wholesaler",626201,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Elayirampannai SO, Karisalpatti BO, Panayadipatti BO",+91 94227 99237,http://www.mahelamsurgicals.com/,4.9,,"Kongunadu Complex, 595, 1 st Floor, Shop No 2 & 3, Vasanth Nagar, Singanallur, Tamil Nadu 641005",Vasanth Nagar,10.9996352,77.0264061,ChIJG-V2XsBXqDsR8vDxsWcySb0,https://www.google.com/maps/place/?q=place_id:ChIJG-V2XsBXqDsR8vDxsWcySb0,part_262,2026-09-20 19:02:44
ST.DIAGNOSTICS,Medical Equipment Supplier,Hospital equipment and supplies,Hospital equipment and supplies,626201,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Elayirampannai SO, Karisalpatti BO, Panayadipatti BO",N/A,N/A,,,"NO:6/217-J, KRISHNA COMPLEX, Ilayarasanendal Rd, Kovilpatti, Tamil Nadu 628502",626201,9.2066135,77.7995371,ChIJx6sEOOKxBjsRxtm8VJp_Dms,https://www.google.com/maps/place/?q=place_id:ChIJx6sEOOKxBjsRxtm8VJp_Dms,part_262,2026-09-20 19:02:44
Good Life Medicals Khammam,Medical Equipment Supplier,Medical supply store,"Medical supply store, Medical Center",626201,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Elayirampannai SO, Karisalpatti BO, Panayadipatti BO",+91 70755 23388,https://goodlifemedicals.com/,4.7,106.0,"Dr.no: 8, old medinova building, 1-183, Wyra Rd, opposite kaveri hotel, B K Bazar Colony, Nizampet, Khammam, Telangana 507002","B K Bazar Colony, Nizampet",17.2508017,80.1440703,ChIJibBLMgBZNDoRji2ZFr1QU1o,https://www.google.com/maps/place/?q=place_id:ChIJibBLMgBZNDoRji2ZFr1QU1o,part_262,2026-09-20 19:02:45
Medigreen Surgicals,Medical Equipment Supplier,Medical equipment supplier,"Medical equipment supplier, Surgical Products Wholesaler",626201,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Elayirampannai SO, Karisalpatti BO, Panayadipatti BO",+91 94446 93573,https://www.facebook.com/medigreensurgical?mibextid=ZbWKwL,4.7,19.0,"2-A/2, Arutperumselvi Street, Kanchipuram, Tamil Nadu 631502",626201,12.8383819,79.7073204,ChIJ-XD1PILDUjoRQVdrR8KrBYs,https://www.google.com/maps/place/?q=place_id:ChIJ-XD1PILDUjoRQVdrR8KrBYs,part_262,2026-09-20 19:02:45
Aloka Trivitron MedicalTechnologies Pvt.Ltd,Medical Equipment Supplier,Medical Equipment Manufacturer,Medical Equipment Manufacturer,626201,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Elayirampannai SO, Karisalpatti BO, Panayadipatti BO",N/A,N/A,4.6,8.0,"a5 Sipcot Industrial Park, Irungattukottai, Sriperumbudur, Tamil Nadu 602117",626201,13.0052548,80.00417259999999,ChIJt7Z_H6SMUjoRpQymeXTtpfc,https://www.google.com/maps/place/?q=place_id:ChIJt7Z_H6SMUjoRpQymeXTtpfc,part_262,2026-09-20 19:02:45
Saberwal Surgicals Company Pvt Ltd,Medical Equipment Supplier,Surgical supply store,Surgical supply store,626201,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Elayirampannai SO, Karisalpatti BO, Panayadipatti BO",+91 422 254 6591,N/A,3.2,65.0,"M.S. Complex, 564, Diwan Bahadur Rd, R.S. Puram, Coimbatore, Tamil Nadu 641002",R.S. Puram,11.0099539,76.95028529999999,ChIJFR3YBeP2qDsR4KFuQrKm5LM,https://www.google.com/maps/place/?q=place_id:ChIJFR3YBeP2qDsR4KFuQrKm5LM,part_262,2026-09-20 19:02:45
Salai Surgicals,Medical Equipment Supplier,Surgical supply store,"Surgical supply store, Pharmacy",626201,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Elayirampannai SO, Karisalpatti BO, Panayadipatti BO",+91 94425 28044,N/A,4.3,23.0,"3819, S 3rd St, Kadukkakadu, Pudukkottai, Tamil Nadu 622001",Kadukkakadu,10.3814282,78.8163424,ChIJj6OWoTV4ADsRm7z1DOvm3h4,https://www.google.com/maps/place/?q=place_id:ChIJj6OWoTV4ADsRm7z1DOvm3h4,part_262,2026-09-20 19:02:45
Balaji Surgicals,Medical Equipment Supplier,Medical equipment supplier,"Medical equipment supplier, Medical Equipment Manufacturer, Surgical Products Wholesaler, Medical technology manufacturer",626201,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Elayirampannai SO, Karisalpatti BO, Panayadipatti BO",+91 99993 59671,https://www.balajisurgical.in/,5.0,35.0,"DTC Bus Depot, Plot No 59/60 Street No 3, near kanjhawala, Kanjhawala Industrial Area, Kanjhawala, New Delhi, Delhi, 110081","Kanjhawala Industrial Area, Kanjhawala",28.7267403,77.0079106,ChIJpRkrDp0IDTkRcwKU3_nkhQQ,https://www.google.com/maps/place/?q=place_id:ChIJpRkrDp0IDTkRcwKU3_nkhQQ,part_262,2026-09-20 19:02:45
STARMED HEALTH CARE PVT LTD,Medical Equipment Supplier,Surgical Products Wholesaler,Surgical Products Wholesaler,626201,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Elayirampannai SO, Karisalpatti BO, Panayadipatti BO",+91 80 4860 2297,http://starmedhealthcare.in/,4.8,10.0,"36A, Rajiv Nagar, 1st Main raod , Pallikuppam, Vanagaram, Chennai, Tamil Nadu 600077","Rajiv Nagar, Vanagaram",13.056627899999999,80.14751319999999,ChIJZwXBxpZmUjoRJY5Gg2oqOiI,https://www.google.com/maps/place/?q=place_id:ChIJZwXBxpZmUjoRJY5Gg2oqOiI,part_262,2026-09-20 19:02:45
Adnox Pharmacy,Medical Equipment Supplier,Pharmacy,Pharmacy,626201,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Elayirampannai SO, Karisalpatti BO, Panayadipatti BO",+91 90614 55533,N/A,4.0,38.0,"Koonamthai Pathadipalam Residence Association Block A, Pathadipalam, Edappally, Ernakulam, Keralam 682024","Koonamthai Pathadipalam Residence Association Block A, Pathadipalam, Edappally",10.0370475,76.3150263,ChIJbdjASPsNCDsRALq93r1j5Ms,https://www.google.com/maps/place/?q=place_id:ChIJbdjASPsNCDsRALq93r1j5Ms,part_262,2026-09-20 19:02:45
Medica Enterprises,Medical Equipment Supplier,Medical equipment supplier,Medical equipment supplier,626201,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Elayirampannai SO, Karisalpatti BO, Panayadipatti BO",+91 98200 02890,http://www.medicaenterprises.com/,4.8,57.0,"Shop 11, Tandon Rd, near IDBI bank, Dombivli, Ramnagar, Dombivli East, Kalyan, Maharashtra 421201","Dombivli, Ramnagar, Dombivli East",19.2139801,73.0869651,ChIJYe9zKYWV5zsRXGVZDuiJVP4,https://www.google.com/maps/place/?q=place_id:ChIJYe9zKYWV5zsRXGVZDuiJVP4,part_262,2026-09-20 19:02:46
VMEDO Store - Medical Equipment and Surgical,Medical Equipment Supplier,Medical supply store,"Medical supply store, Hospital equipment and supplies, Medical equipment supplier, Surgical Products Wholesaler",626201,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Elayirampannai SO, Karisalpatti BO, Panayadipatti BO",+91 74060 00610,https://store.vmedo.com/,4.7,38.0,"2nd floor, Ganesh Complex, Chunchaghatta Main Rd, opp. BCC Cooperative Bank, Kothnur, Eswara Layout, JP Nagar 7th Phase, J. P. Nagar, Bengaluru, Karnataka 560078","Kothnur, Eswara Layout, JP Nagar 7th Phase, J. P. Nagar",12.8916056,77.5755582,ChIJC4K0l7s_rjsRDwUDORs5mfQ,https://www.google.com/maps/place/?q=place_id:ChIJC4K0l7s_rjsRDwUDORs5mfQ,part_262,2026-09-20 19:02:46
