business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Titan Eye+ at Aruppukkottai Road, Virudhunagar (Buy 1 Get 1 Free)",Optical Store and Eyewear,Optician,"Optician, Contact lenses supplier, Eye care center, Glasses repair service, Optical instrument repair service, Optical Products Manufacturer, Optometrist, Sunglasses store",626201,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Elayirampannai SO, Karisalpatti BO, Panayadipatti BO",+91 73392 96096,https://www.titaneyeplus.com/,4.9,,"No.62A, Sree Rajeshwari Complex Municipal Road, Aruppukottai Rd, Virudhunagar, Tamil Nadu 626001",Sivagami Puram,9.5801366,77.953516,ChIJl5XNeMQtATsRWJ2bx9rs6As,https://www.google.com/maps/place/?q=place_id:ChIJl5XNeMQtATsRWJ2bx9rs6As,part_262,2026-09-20 19:02:41
Rajapalayam Opticals,Optical Store and Eyewear,Optician,Optician,626201,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Elayirampannai SO, Karisalpatti BO, Panayadipatti BO",+91 89258 99048,N/A,4.1,,"NH 744, RJPM Avarampatti, Rajapalayam, Tamil Nadu 626117",RJPM Avarampatti,9.4539592,77.55460649999999,ChIJ5eUKFdPpBjsRY9B7mW3mems,https://www.google.com/maps/place/?q=place_id:ChIJ5eUKFdPpBjsRY9B7mW3mems,part_262,2026-09-20 19:02:41
SHA OPTICALS,Optical Store and Eyewear,Optician,"Optician, Contact lenses supplier, Eye care center, Optical Wholesaler, Optometrist, Sunglasses store",626201,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Elayirampannai SO, Karisalpatti BO, Panayadipatti BO",+91 90870 71990,N/A,5.0,,"AKDR market, 80, near AKDR statue, Rajapalayam, Tamil Nadu 626117",South Sammanthapuram,9.449850999999999,77.5533499,ChIJlTp7cMnpBjsRxbC7oJpF5tU,https://www.google.com/maps/place/?q=place_id:ChIJlTp7cMnpBjsRxbC7oJpF5tU,part_262,2026-09-20 19:02:41
Sri Sai Opticals,Optical Store and Eyewear,Glass shop,Glass shop,626201,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Elayirampannai SO, Karisalpatti BO, Panayadipatti BO",+91 76675 58811,N/A,5.0,,"285-B near Jai Anand Theatre P. A. C. R Road, Rajapalayam, Tamil Nadu 626117",Thoppupatti,9.4432827,77.5573747,ChIJZ-5X_tTpBjsRY82Id108H-g,https://www.google.com/maps/place/?q=place_id:ChIJZ-5X_tTpBjsRY82Id108H-g,part_262,2026-09-20 19:02:41
STAR OPTICAL,Optical Store and Eyewear,Optometrist,Optometrist,626201,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Elayirampannai SO, Karisalpatti BO, Panayadipatti BO",+91 98848 84332,N/A,4.8,,"Tenkasi Rd, Thoppupatti, Rajapalayam, Tamil Nadu 626117",Thoppupatti,9.4442497,77.5521335,ChIJnbB3WOPpBjsRjVYug9L762Q,https://www.google.com/maps/place/?q=place_id:ChIJnbB3WOPpBjsRjVYug9L762Q,part_262,2026-09-20 19:02:41
J V J OPTICALS,Optical Store and Eyewear,Eye care center,Eye care center,626201,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Elayirampannai SO, Karisalpatti BO, Panayadipatti BO",+91 99440 50540,N/A,5.0,,"Sevalpatti N St, near Throwpathiamman Kovil Street, Rajapalayam, Tamil Nadu 626117",Rajapalayam,9.456852,77.55744299999999,ChIJK9jWQSvoBjsR6zrTQ6x3NX0,https://www.google.com/maps/place/?q=place_id:ChIJK9jWQSvoBjsR6zrTQ6x3NX0,part_262,2026-09-20 19:02:41
Royal Opticals,Optical Store and Eyewear,Optician,Optician,626201,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Elayirampannai SO, Karisalpatti BO, Panayadipatti BO",N/A,N/A,4.6,,"121 C, Municipal Office Rd, Fathimanagar, Virudhunagar, Tamil Nadu 626001",Fathimanagar,9.5809414,77.9532509,ChIJL0eVEJUsATsRfAalrOapm8M,https://www.google.com/maps/place/?q=place_id:ChIJL0eVEJUsATsRfAalrOapm8M,part_262,2026-09-20 19:02:41
Ramya Opticals,Optical Store and Eyewear,Optician,Optician,626201,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Elayirampannai SO, Karisalpatti BO, Panayadipatti BO",N/A,N/A,5.0,,"No 111, Kasukadai Bazaar, Sivagami Puram, Virudhunagar, Tamil Nadu 626001",Sivagami Puram,9.5874097,77.95380229999999,ChIJf7M3qJcsATsRqqWK3Hfp_00,https://www.google.com/maps/place/?q=place_id:ChIJf7M3qJcsATsRqqWK3Hfp_00,part_262,2026-09-20 19:02:41
Vision Opticals,Optical Store and Eyewear,Optician,Optician,626201,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Elayirampannai SO, Karisalpatti BO, Panayadipatti BO",N/A,N/A,5.0,,"50, Madurai Rd, RR Nagar, Sivagami Puram, Virudhunagar, Tamil Nadu 626001","RR Nagar, Sivagami Puram",9.590960599999999,77.9537378,ChIJd7O8SpgsATsRjEK7kcNeZeA,https://www.google.com/maps/place/?q=place_id:ChIJd7O8SpgsATsRjEK7kcNeZeA,part_262,2026-09-20 19:02:41
Lenskart.com at NGO Colony Virudhunagar,Optical Store and Eyewear,Optician,"Optician, Eye care center, Optometrist, Repair service, Sunglasses store",626201,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Elayirampannai SO, Karisalpatti BO, Panayadipatti BO",+91 80 4879 5022,https://stores.lenskart.com/lenskart-com-ngo-colony-virudhunagar-virudhunagar-733254/Home#book,4.7,,"D, Ground Floor, Postal Colony, Sri Towers, 6/434, opposite to Solai Hotel, Sivagnanapuram, Virudhunagar, Tamil Nadu 626001","N.G.O Nagar, GT Nagar",9.6132586,77.9564843,ChIJxxW5VqcrATsRBPeMZNHuriw,https://www.google.com/maps/place/?q=place_id:ChIJxxW5VqcrATsRBPeMZNHuriw,part_262,2026-09-20 19:02:41
VISION EYE + OPTICALS,Optical Store and Eyewear,Optician,Optician,626201,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Elayirampannai SO, Karisalpatti BO, Panayadipatti BO",+91 98426 25666,N/A,5.0,,"Madurai main road csi church opposite, Rajapalayam, Tamil Nadu 626117",RJPM Avarampatti,9.4553472,77.55599529999999,ChIJYTKpXSvoBjsRrxMZ3lgvJME,https://www.google.com/maps/place/?q=place_id:ChIJYTKpXSvoBjsRrxMZ3lgvJME,part_262,2026-09-20 19:02:41
Anand opticals,Optical Store and Eyewear,Optician,"Optician, Eye care center",626201,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Elayirampannai SO, Karisalpatti BO, Panayadipatti BO",+91 94883 78299,N/A,3.8,,"G35V+2W2, South St, Vellai Kottai, Aruppukkottai, Tamil Nadu 626101",Vellai Kottai,9.507504299999999,78.09477509999999,ChIJO0CODhowATsR3B__jIVfML0,https://www.google.com/maps/place/?q=place_id:ChIJO0CODhowATsR3B__jIVfML0,part_262,2026-09-20 19:02:41
KALA OPTICALS,Optical Store and Eyewear,Optician,Optician,626201,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Elayirampannai SO, Karisalpatti BO, Panayadipatti BO",N/A,N/A,5.0,,"Kovilpatti, Tamil Nadu 628501",626201,9.1739068,77.8681127,ChIJC_FYNW6yBjsRJiUvn0TdK28,https://www.google.com/maps/place/?q=place_id:ChIJC_FYNW6yBjsRJiUvn0TdK28,part_262,2026-09-20 19:02:41
Maalaa opticals,Optical Store and Eyewear,Eye care center,Eye care center,626201,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Elayirampannai SO, Karisalpatti BO, Panayadipatti BO",N/A,N/A,5.0,,"12-b Vijaya Hospital, Kamaraj Nagar, Rajapalayam, Tamil Nadu 626117",Rajapalayam,9.4546189,77.5567643,ChIJaROcfOzpBjsRECh7B9vrtxo,https://www.google.com/maps/place/?q=place_id:ChIJaROcfOzpBjsRECh7B9vrtxo,part_262,2026-09-20 19:02:41
