business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Tamila Tattoo,Tattoo and Nail Art Studio,Tattoo shop,Tattoo shop,626205,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Uppathur SO, Karuppur BO, Mulliseval BO",+91 63696 52801,N/A,4.9,622,"AVM Medical, opposite Carnival Theatre Road, Y.M.R. Patty, Karunanidhi Nagar, Dindigul, Tamil Nadu 624001","Y.M.R. Patty, Karunanidhi Nagar",10.3636848,77.982562,ChIJO5HCO1SrADsRcwrQVrkbOCo,https://www.google.com/maps/place/?q=place_id:ChIJO5HCO1SrADsRcwrQVrkbOCo,part_262,2026-09-20 19:05:45
𝐌𝐄𝐓𝐇𝐀𝐆𝐔 𝐓𝐀𝐓𝐓𝐎𝐎 𝐒𝐓𝐔𝐃𝐈𝐎 𝐀𝐋𝐀𝐍𝐆𝐀𝐘𝐀𝐌 - மேதகு டேட்டோ ஸ்டுடியோ ஆலங்காயம்,Tattoo and Nail Art Studio,Tattoo shop,Tattoo shop,626205,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Uppathur SO, Karuppur BO, Mulliseval BO",+91 90250 75414,https://g.co/kgs/Qg7hp3w,4.7,30,"THANGAVEL, MUTHALAIYAR, near Mani Motors, opposite yadmavan Bakery, Maligai, Peddur, Vellakutta R.F., Tamil Nadu 635701",Maligai,12.6409243,78.7532884,ChIJe0wdkpsDrTsR0-6YoCwGmv0,https://www.google.com/maps/place/?q=place_id:ChIJe0wdkpsDrTsR0-6YoCwGmv0,part_262,2026-09-20 19:05:45
JEFFIN TATTOOS,Tattoo and Nail Art Studio,Tattoo and piercing shop,Tattoo and piercing shop,626205,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Uppathur SO, Karuppur BO, Mulliseval BO",+91 98942 50216,N/A,4.6,12,"8, Carpenter Street, Mattakadai, Cruz Puram, Thoothukudi, Tamil Nadu 628001","Mattakadai, Cruz Puram",8.8085583,78.1568333,ChIJYToay4LvAzsR3NZNIpetqDU,https://www.google.com/maps/place/?q=place_id:ChIJYToay4LvAzsR3NZNIpetqDU,part_262,2026-09-20 19:05:45
Addict Tattoos World,Tattoo and Nail Art Studio,Tattoo shop,"Tattoo shop, Medical spa, Permanent make-up clinic, Tattoo and piercing shop, Tattoo artist",626205,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Uppathur SO, Karuppur BO, Mulliseval BO",+91 97915 49154,N/A,5.0,1101,"Upstairs of penquin xerox, 71 /142 first floor, PT rajan road B b kulam, Madurai, Tamil Nadu 625002",626205,9.9398456,78.128856,ChIJo2Ryk33FADsRgRYGr4lYysw,https://www.google.com/maps/place/?q=place_id:ChIJo2Ryk33FADsRgRYGr4lYysw,part_262,2026-09-20 19:05:45
Style your fingers,Tattoo and Nail Art Studio,Nail salon,Nail salon,626205,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Uppathur SO, Karuppur BO, Mulliseval BO",+91 63745 89194,N/A,5.0,27,"Thoppu St, Keela theru, Muthiahpuram, Thoothukudi, Muttayyapuram, Tamil Nadu 628005","Keela theru, Muthiahpuram",8.7495244,78.1328163,ChIJdwdPplXvAzsRypBE8Wfxcjs,https://www.google.com/maps/place/?q=place_id:ChIJdwdPplXvAzsRypBE8Wfxcjs,part_262,2026-09-20 19:05:45
46 Tattooink Studio,Tattoo and Nail Art Studio,Tattoo and piercing shop,"Tattoo and piercing shop, Tattoo shop",626205,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Uppathur SO, Karuppur BO, Mulliseval BO",+91 77087 07721,N/A,5.0,1047,"1st floor, KARPAGAM COMPLEX, College Rd, near Green trends, Thilagar Nagar, Sekkalai, Karaikudi, Tamil Nadu 630001","Thilagar Nagar, Sekkalai",10.078944199999999,78.77833799999999,ChIJEWPQAXlnADsRGdTeoxgufPc,https://www.google.com/maps/place/?q=place_id:ChIJEWPQAXlnADsRGdTeoxgufPc,part_262,2026-09-20 19:05:45
Joy Tattoos Thanjavur,Tattoo and Nail Art Studio,Tattoo and piercing shop,Tattoo and piercing shop,626205,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Uppathur SO, Karuppur BO, Mulliseval BO",+91 73393 93597,N/A,5.0,191,"794, New Housing Unit, Thanjavur, Tamil Nadu 613005",New Housing Unit,10.754509299999999,79.11716899999999,ChIJl1k_MAC5qjsRTBRLjT-betE,https://www.google.com/maps/place/?q=place_id:ChIJl1k_MAC5qjsRTBRLjT-betE,part_262,2026-09-20 19:05:45
M Nail Art & Tattoo Studio,Tattoo and Nail Art Studio,Nail salon,"Nail salon, Eyelash salon, Tattoo artist, Tattoo shop",626205,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Uppathur SO, Karuppur BO, Mulliseval BO",N/A,https://mnailarttattoostudio.in/,4.8,146,"507 /11, Jessore Rd, opposite of DIAMOND PLAZA, Devendra Nagar, Amarpalli, Kolkata, West Bengal 700055","Devendra Nagar, Amarpalli",22.6161455,88.4119927,ChIJPd-BuL-f-DkRaeHAItCiQJU,https://www.google.com/maps/place/?q=place_id:ChIJPd-BuL-f-DkRaeHAItCiQJU,part_262,2026-09-20 19:05:46
Vibe Tattoos Studio Madhapur,Tattoo and Nail Art Studio,Tattoo and piercing shop,Tattoo and piercing shop,626205,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Uppathur SO, Karuppur BO, Mulliseval BO",+91 90302 23235,http://vibetattoos.com/,5.0,298,"metro pillar no. C1720, Happi mobiles opposite, Near, Hitech City Rd, Hyderabad, Telangana 500081","Kavuri Hills, Madhapur",17.440184,78.3944937,ChIJdTlAVWKRyzsRZQahN9WQKQU,https://www.google.com/maps/place/?q=place_id:ChIJdTlAVWKRyzsRZQahN9WQKQU,part_262,2026-09-20 19:05:46
BLACK INK TATTOO STUDIO (ISO),Tattoo and Nail Art Studio,Tattoo shop,Tattoo shop,626205,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Uppathur SO, Karuppur BO, Mulliseval BO",+91 89736 02807,N/A,5.0,751,"Tiruppur Rd, Karuppa Gaundanpalayam, Tiruppur, Tamil Nadu 641605",Karuppa Gaundanpalayam,11.0794442,77.3421079,ChIJx1k1wskHqTsRNqODIq_C6as,https://www.google.com/maps/place/?q=place_id:ChIJx1k1wskHqTsRNqODIq_C6as,part_262,2026-09-20 19:05:46
