business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Abu Hanifa Mart,Supermarket,Supermarket,"Supermarket, Market",627001,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Tirunelveli HO, Tirunelveli RS SO, Viraraghavapuram SO",+91 98421 34990,N/A,4.5,,"2/11A, S Mount Rd, Tirunelveli Junction, Tirunelveli, Tamil Nadu 627006",Tirunelveli Junction,8.7233371,77.68645149999999,ChIJt8D_AscRBDsRB_uS_InYrmk,https://www.google.com/maps/place/?q=place_id:ChIJt8D_AscRBDsRB_uS_InYrmk,part_262,2026-09-20 19:07:22
"Sree Kumaran Supermarket, Thiyagaraja Nagar",Supermarket,Grocery store,Grocery store,627001,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Tirunelveli HO, Tirunelveli RS SO, Viraraghavapuram SO",+91 85264 89121,N/A,4.5,,"No.41,West part,Svanthipatti Rd, Thiyagaraja Nagar, Tirunelveli, Tamil Nadu 627011",Thiyagaraja Nagar,8.6952699,77.75846349999999,ChIJ5RvIltQNBDsRL_3Dzm-2Npg,https://www.google.com/maps/place/?q=place_id:ChIJ5RvIltQNBDsRL_3Dzm-2Npg,part_262,2026-09-20 19:07:22
Village Super Market,Supermarket,Supermarket,"Supermarket, Costume jewelry shop, Handbags shop, Plastic Products Supplier, Stationery store, Toy store",627001,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Tirunelveli HO, Tirunelveli RS SO, Viraraghavapuram SO",+91 93457 96196,N/A,4.4,,"TMRS plaza, 60 Feet Rd, Rahmath Nagar, Chidambaram Nagar, Kamaraj Nagar, Tirunelveli, Tamil Nadu 627011","Rahmath Nagar, Chidambaram Nagar, Kamaraj Nagar",8.725687599999999,77.763519,ChIJVzn_hcUPBDsRxtOFr_zC6dc,https://www.google.com/maps/place/?q=place_id:ChIJVzn_hcUPBDsRxtOFr_zC6dc,part_262,2026-09-20 19:07:22
SANJEETH SUPER MARKET,Supermarket,Grocery store,Grocery store,627001,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Tirunelveli HO, Tirunelveli RS SO, Viraraghavapuram SO",+91 462 253 4522,N/A,4.1,,"MQX4+F73, Sivanthipatti Rd, Anbunagar Extension, Thiyagaraja Nagar, Tirunelveli, Tamil Nadu 627011","Anbunagar Extension, Thiyagaraja Nagar",8.698630099999999,77.75568059999999,ChIJDwuH7o0NBDsRSByeirkDQJk,https://www.google.com/maps/place/?q=place_id:ChIJDwuH7o0NBDsRSByeirkDQJk,part_262,2026-09-20 19:07:22
Arasan Super Market,Supermarket,Supermarket,"Supermarket, Grocery delivery service",627001,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Tirunelveli HO, Tirunelveli RS SO, Viraraghavapuram SO",+91 93398 00400,https://www.facebook.com/share/1XRYQXwXSr/,3.9,,"87, Mangammal Salai, Selvin Nagar, KTC Nagar, Tirunelveli, Tamil Nadu 627011","Selvin Nagar, KTC Nagar",8.7168266,77.770755,ChIJS-PQA90NBDsRzjluPCWNVrw,https://www.google.com/maps/place/?q=place_id:ChIJS-PQA90NBDsRzjluPCWNVrw,part_262,2026-09-20 19:07:22
Muthu's Supermarket,Supermarket,Supermarket,Supermarket,627001,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Tirunelveli HO, Tirunelveli RS SO, Viraraghavapuram SO",+91 98943 83795,N/A,5.0,,"No 11, Indian Oil, opp. Veeravanallur, Kayalpattinam, Thirunagar, Tirunelveli Junction, Tirunelveli, Tamil Nadu 627001","Kayalpattinam, Thirunagar, Tirunelveli Junction",8.731099799999999,77.7022807,ChIJB2Cs9yQRBDsRJd4DtMLn3a0,https://www.google.com/maps/place/?q=place_id:ChIJB2Cs9yQRBDsRJd4DtMLn3a0,part_262,2026-09-20 19:07:22
GRM Supermarket,Supermarket,Supermarket,Supermarket,627001,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Tirunelveli HO, Tirunelveli RS SO, Viraraghavapuram SO",+91 99436 03004,N/A,3.9,,"PPX3+426, Sankaran Kovil Road, Thachanallur, Good Shephard Nagar, Tamil Nadu 627358",Thachanallur,8.7477968,77.7025226,ChIJ9UDtCOYRBDsRk0f9EBVFZbY,https://www.google.com/maps/place/?q=place_id:ChIJ9UDtCOYRBDsRk0f9EBVFZbY,part_262,2026-09-20 19:07:22
Mother Teresa Super Store,Supermarket,Supermarket,Supermarket,627001,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Tirunelveli HO, Tirunelveli RS SO, Viraraghavapuram SO",+91 99402 81219,N/A,4.4,,"Mark's Street, 4, St, S Bazaar, Palayamkottai, Tirunelveli, Tamil Nadu 627002",Palayamkottai,8.7224376,77.7401979,ChIJ_UHFkQESBDsRpD-EQL96iqE,https://www.google.com/maps/place/?q=place_id:ChIJ_UHFkQESBDsRpD-EQL96iqE,part_262,2026-09-20 19:07:22
Sri Sairam SuperMarket,Supermarket,Supermarket,Supermarket,627001,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Tirunelveli HO, Tirunelveli RS SO, Viraraghavapuram SO",+91 93443 66885,N/A,5.0,,"710/A, Tirunelveli - Sankarankoil Rd, Ramayanpatti, Tamil Nadu 627008",627001,8.7607561,77.6866337,ChIJEcPfWiQRBDsR5qfd5tZgTC0,https://www.google.com/maps/place/?q=place_id:ChIJEcPfWiQRBDsR5qfd5tZgTC0,part_262,2026-09-20 19:07:22
Ponmani Supermarket,Supermarket,Supermarket,Supermarket,627001,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Tirunelveli HO, Tirunelveli RS SO, Viraraghavapuram SO",N/A,N/A,4.3,,"PP6R+CHH, St Pauls Rd, Palayamkottai, Tirunelveli, Tamil Nadu 627002",Palayamkottai,8.7110611,77.7414711,ChIJJfV-4wgSBDsRMrPTA2-MYFI,https://www.google.com/maps/place/?q=place_id:ChIJJfV-4wgSBDsRMrPTA2-MYFI,part_262,2026-09-20 19:07:22
