business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Bhagavathi Industries,Businesses,Manufacturer,Manufacturer,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",N/A,N/A,,,"121/3B, vadakur Road, Keelanatham, Tirunelveli, Tamil Nadu 627353",Keelanatham,8.738496099999999,77.75328329999999,ChIJj5OgBewPBDsR2uJUGFLJRTw,https://www.google.com/maps/place/?q=place_id:ChIJj5OgBewPBDsR2uJUGFLJRTw,part_263,2026-09-20 19:02:28,5053
Ms Raj CAD Design Solution,Businesses,Mechanical engineer,Mechanical engineer,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 90035 30041,N/A,4.5,,"6/30, Andal St, Thimmarajapuram, Tirunelveli, Tamil Nadu 627353",Thimmarajapuram,8.7341679,77.7522717,ChIJV_aYYSEPBDsRYAeetXK9qh4,https://www.google.com/maps/place/?q=place_id:ChIJV_aYYSEPBDsRYAeetXK9qh4,part_263,2026-09-20 19:02:28,5054
Ragav Illam🏡,Businesses,Housing complex,Housing complex,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",N/A,N/A,5.0,,"PPQX+5GF, Kotter, Thimmarajapuram, Tirunelveli, Tamil Nadu 627353","Kotter, Thimmarajapuram",8.738142999999999,77.7485426,ChIJJb7ZLgAPBDsRhVsufJWk2Ec,https://www.google.com/maps/place/?q=place_id:ChIJJb7ZLgAPBDsRhVsufJWk2Ec,part_263,2026-09-20 19:02:28,5055
துரைராஜ் குடும்பத்தார்,Businesses,Housing complex,Housing complex,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",N/A,N/A,5.0,,"1/32, Palayakottai, Thiruvannathapurampotttal, Tirunelveli, Tamil Nadu 627353",Palayakottai,8.7529778,77.7413811,ChIJjTayMgARBDsRRUJ9ORWsv3Y,https://www.google.com/maps/place/?q=place_id:ChIJjTayMgARBDsRRUJ9ORWsv3Y,part_263,2026-09-20 19:02:28,5056
Immanuel wood carving & Fencing,Businesses,Door manufacturer,Door manufacturer,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",N/A,N/A,5.0,,"247, Sivalaperi Rd, near Xavier Furniture, Tirunelveli, Tamil Nadu 627353",627353,8.7380981,77.76448289999999,ChIJJ9ibOL4PBDsRjSLucTUG-2k,https://www.google.com/maps/place/?q=place_id:ChIJJ9ibOL4PBDsRjSLucTUG-2k,part_263,2026-09-20 19:02:28,5057
Aathira online Rathish Home,Businesses,Housing complex,Housing complex,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",N/A,N/A,5.0,,"Kalvettanguli Street, Kiruba Nagar, Plot No. A3, Melapattam, Tirunelveli, Tamil Nadu 627353",627353,8.745977,77.758369,ChIJkVVbQgAPBDsRoPw4YMcYkaI,https://www.google.com/maps/place/?q=place_id:ChIJkVVbQgAPBDsRoPw4YMcYkaI,part_263,2026-09-20 19:02:28,5058
Tirunelveli Spun Pipes (P) Ltd,Businesses,Manufacturer,Manufacturer,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 97873 05774,http://www.bellpins.com/ourgroup.html,4.3,,"Sivalaperi Rd, Chidambaram Nagar, Palayamkottai, Tirunelveli, Tamil Nadu 627353","Chidambaram Nagar, Palayamkottai",8.735125199999999,77.7618919,ChIJ-boTlacPBDsRiDy2uRHhrBM,https://www.google.com/maps/place/?q=place_id:ChIJ-boTlacPBDsRiDy2uRHhrBM,part_263,2026-09-20 19:02:28,5059
HARI INTERIOR,Businesses,Manufacturer,Manufacturer,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",N/A,N/A,5.0,,"PQQ7+3QG, 44/318, Sivalaperi Rd, Tirunelveli, Melapattam, Tamil Nadu 627353",627353,8.7376763,77.7644474,ChIJA7qCFQAPBDsRrMZVhKS7W44,https://www.google.com/maps/place/?q=place_id:ChIJA7qCFQAPBDsRrMZVhKS7W44,part_263,2026-09-20 19:02:28,5060
MAK's,Businesses,Housing society,Housing society,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",N/A,N/A,,,"PQV5+GJW, Keelanatham, Tamil Nadu 627353",627353,8.7438574,77.7590931,ChIJ1SVmRyIPBDsReKdmu7L-1mU,https://www.google.com/maps/place/?q=place_id:ChIJ1SVmRyIPBDsReKdmu7L-1mU,part_263,2026-09-20 19:02:28,5061
Srimathi Bhavanam,Businesses,Housing development,Housing development,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",N/A,N/A,,,"PQV6+6WJ, Keelanatham, Tamil Nadu 627353",627353,8.743083799999999,77.7622744,ChIJuwE1h8MPBDsR2J6j6sYwzt8,https://www.google.com/maps/place/?q=place_id:ChIJuwE1h8MPBDsR2J6j6sYwzt8,part_263,2026-09-20 19:02:28,5062
Mr_Maanik,Businesses,Housing society,Housing society,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",N/A,N/A,5.0,,"7, 132, Gandhi St, Thimmarajapuram, Tirunelveli, Tamil Nadu 627353",Thimmarajapuram,8.736338199999999,77.7543584,ChIJZ37xBQAPBDsRsIfUz0e0myc,https://www.google.com/maps/place/?q=place_id:ChIJZ37xBQAPBDsRsIfUz0e0myc,part_263,2026-09-20 19:02:28,5063
Yesurajan S,Businesses,Housing complex,Housing complex,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",N/A,N/A,,,"PQV5+FH6, Keelanatham, Tamil Nadu 627353",627353,8.7436536,77.7588813,ChIJzQowJOgPBDsRuyI9hATX7HI,https://www.google.com/maps/place/?q=place_id:ChIJzQowJOgPBDsRuyI9hATX7HI,part_263,2026-09-20 19:02:28,5064
IYARKAI GINGELLY OIL,Businesses,FMCG Goods Wholesaler,FMCG Goods Wholesaler,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 86751 99199,https://iyarkaioil.com/,4.0,,"665/1, SHANTHI NAGAR, 25th St, PALAYAMKOTTAI, Tirunelveli, Tamil Nadu 627353",PALAYAMKOTTAI,8.7345696,77.7543833,ChIJEX9HsNAPBDsRjaVE9PPkqXI,https://www.google.com/maps/place/?q=place_id:ChIJEX9HsNAPBDsRjaVE9PPkqXI,part_263,2026-09-20 19:02:28,5065
Benisha Crane Services,Businesses,Crane service,Crane service,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 97918 33452,N/A,5.0,26.0,"palay market, Sivalaperi Rd, court, KTC Nagar, V.M.Chatram, Tirunelveli, Tamil Nadu 627002","court, KTC Nagar",8.7300643,77.7455885,ChIJKTxpIT4PBDsR3EP5rs67XmQ,https://www.google.com/maps/place/?q=place_id:ChIJKTxpIT4PBDsR3EP5rs67XmQ,part_263,2026-09-20 19:02:28,5066
Nova Vacuum Elevators,Businesses,Elevator Manufacturer,Elevator Manufacturer,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 89033 33800,http://novavacuumelevators.in/,5.0,,"S.NO 20, KIRUBA NAGAR ROAD, Palayamkottai, Tirunelveli, Tamil Nadu 627353",Palayamkottai,8.738968999999999,77.7648476,ChIJeRGMsnB5SSMRVCKIjAZGJzk,https://www.google.com/maps/place/?q=place_id:ChIJeRGMsnB5SSMRVCKIjAZGJzk,part_263,2026-09-20 19:02:29,5067
