business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
"Sri Nachiar Crane,Recovery and Platform Service",Crane and Towing Service,Crane service,"Crane service, Towing equipment provider",627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 98421 44173,N/A,5.0,,"Sri Nachiar Complex, 262D/9, Madurai Rd, Thachanallur, Tirunelveli, Tamil Nadu 627358",Thachanallur,8.7547511,77.70510449999999,ChIJp6StGD0RBDsR5iE6Cm5zlak,https://www.google.com/maps/place/?q=place_id:ChIJp6StGD0RBDsR5iE6Cm5zlak,part_263,2026-09-20 19:02:01,2123
Saurabh towing crane services,Crane and Towing Service,Towing service,"Towing service, Service establishment",627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 95613 07255,N/A,5.0,,"Saurabh towing crane services, 627353, India",627353,18.5035801,73.8746239,ChIJJaK5YMS5wjsRn-lY75zGcTs,https://www.google.com/maps/place/?q=place_id:ChIJJaK5YMS5wjsRn-lY75zGcTs,part_263,2026-09-20 19:02:01,2124
DK Crane Service,Crane and Towing Service,Towing service,"Towing service, Crane rental agency, Crane service",627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 63962 74158,https://dkcraneservice.online/,4.9,,"Shop No. 16, Khasra No. 5436, Sector 17, Old Delhi Gurgaon Rd, Om Vihar, Palam Vihar Extension, Gurugram, Haryana 122015","Om Vihar, Palam Vihar Extension",28.492409,77.05834,ChIJwVlU3lwZDTkRv70bqgI0oUg,https://www.google.com/maps/place/?q=place_id:ChIJwVlU3lwZDTkRv70bqgI0oUg,part_263,2026-09-20 19:02:01,2125
Noida Crane Service,Crane and Towing Service,Towing service,Towing service,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 96670 86778,https://noidacraneservice.online/,5.0,,"Vill Po, Kulesara, Jalpura, Greater Noida, Uttar Pradesh 201318","Kulesara, Jalpura",28.549599999999998,77.43864289999999,ChIJjXWUE-7pDDkRgCH_ywKz93I,https://www.google.com/maps/place/?q=place_id:ChIJjXWUE-7pDDkRgCH_ywKz93I,part_263,2026-09-20 19:02:01,2126
Monu Car Towing Service 24/7 Crane Service,Crane and Towing Service,Towing service,"Towing service, Service establishment",627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 89695 67459,N/A,4.8,,"Monu Car Towing Service 24/7 Crane Service, 627353, India",627353,27.1690044,80.4267398,ChIJcyZBpBtNaakRbKHmceVl4iU,https://www.google.com/maps/place/?q=place_id:ChIJcyZBpBtNaakRbKHmceVl4iU,part_263,2026-09-20 19:02:01,2127
VP CRANES,Crane and Towing Service,Crane service,Crane service,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 99947 32762,N/A,5.0,,"11/237, 1st Main Rd, Marukalkurichi, Kodeeswaran Nagar, Marukalkurichi, Tirunelveli, Tamil Nadu 627006","Marukalkurichi, Kodeeswaran Nagar",8.7260118,77.67540919999999,ChIJTerQrfERBDsRL-J4_yXuarE,https://www.google.com/maps/place/?q=place_id:ChIJTerQrfERBDsRL-J4_yXuarE,part_263,2026-09-20 19:02:01,2128
Om Sai Break Down Crane Service,Crane and Towing Service,Crane service,"Crane service, Service establishment",627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 98910 07292,N/A,4.8,84.0,"Om Sai Break Down Crane Service, 627353, India",627353,28.8173025,76.1181175,ChIJxTGqZFjkDDkRZOtA9ZCWZOg,https://www.google.com/maps/place/?q=place_id:ChIJxTGqZFjkDDkRZOtA9ZCWZOg,part_263,2026-09-20 19:02:01,2129
Sree Suriya Recovery & Crane Service,Crane and Towing Service,Crane service,Crane service,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",N/A,N/A,4.3,3.0,"RQH3+2F6, Sipcot, KK Nagar, Tamil Nadu 627352",627353,8.827525999999999,77.75363569999999,ChIJZfMZdXkFBDsRYgUAb0_RUl8,https://www.google.com/maps/place/?q=place_id:ChIJZfMZdXkFBDsRYgUAb0_RUl8,part_263,2026-09-20 19:02:01,2130
Shiv Rajveer Crane & Towing Van Service,Crane and Towing Service,Towing service,Towing service,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 99214 94818,https://www.shivrajveertowingservice.com/,4.9,134.0,"S - 136, S Block, MIDC, Bhosari, Pimpri-Chinchwad, Pune, Maharashtra 411026","S Block, MIDC, Bhosari",18.6298313,73.8403963,ChIJ61XsE8a5wjsRLNdfqKVZTpc,https://www.google.com/maps/place/?q=place_id:ChIJ61XsE8a5wjsRLNdfqKVZTpc,part_263,2026-09-20 19:02:02,2131
All india towing and crane service,Crane and Towing Service,Towing service,Towing service,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",N/A,N/A,5.0,4.0,"circle, near hardas nagar, Gokul Nagar, Majiwada, Thane, Maharashtra 400601","Gokul Nagar, Majiwada",19.212094399999998,72.976846,ChIJ6zRtKNm55zsRguzEGog_txY,https://www.google.com/maps/place/?q=place_id:ChIJ6zRtKNm55zsRguzEGog_txY,part_263,2026-09-20 19:02:02,2132
