business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Hardware World,Hardware Store,Hardware store,Hardware store,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",N/A,N/A,4.7,,"2, Sivalaperi Rd, Palayamkottai, Tirunelveli, Tamil Nadu 627002",Palayamkottai,8.727344,77.7393958,ChIJK-6pfaYRBDsRaMTmwFI0D6A,https://www.google.com/maps/place/?q=place_id:ChIJK-6pfaYRBDsRaMTmwFI0D6A,part_263,2026-09-20 19:02:01,2242
Bharat Hardwares,Hardware Store,Hardware store,Hardware store,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 72007 74896,N/A,5.0,,"2E/2, Bharat Hardwares, 2D, Podhu Nalath Street, Shakthi Nagar, Palayamkottai, Tirunelveli, Tamil Nadu 627002","Shakthi Nagar, Palayamkottai",8.7276433,77.7409654,ChIJU4T8aHgRBDsRHDjYsa-IcNM,https://www.google.com/maps/place/?q=place_id:ChIJU4T8aHgRBDsRHDjYsa-IcNM,part_263,2026-09-20 19:02:01,2243
Saravanan Enterprises,Hardware Store,Hardware store,"Hardware store, Ceiling supplier, Interior construction contractor",627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",N/A,N/A,5.0,,"N Bypass Rd, Vannarpettai, Tirunelveli, Tamil Nadu 627003",Vannarpettai,8.7392674,77.7197013,ChIJ2UPMLngRBDsRgWFUaJh9S6k,https://www.google.com/maps/place/?q=place_id:ChIJ2UPMLngRBDsRgWFUaJh9S6k,part_263,2026-09-20 19:02:01,2244
Ramesh Hardwares,Hardware Store,Hardware store,Hardware store,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 97885 23401,N/A,5.0,,"Tiruchendur Main Rd, Samathanapuran, Tirunelveli, Tamil Nadu 627002",Samathanapuran,8.7251994,77.7439368,ChIJIRCmfScRBDsRjrTSe45eHOA,https://www.google.com/maps/place/?q=place_id:ChIJIRCmfScRBDsRjrTSe45eHOA,part_263,2026-09-20 19:02:01,2245
Nataraja Stores,Hardware Store,Hardware store,"Hardware store, Paint store, Painting Class",627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 99444 50177,http://natarajastores.com/,4.6,,"239, Tiruchendur Main Rd, Palayamkottai, Tirunelveli, Tamil Nadu 627002",Palayamkottai,8.726852599999999,77.73517009999999,ChIJdTKhyvkRBDsRIfAs5p8GEls,https://www.google.com/maps/place/?q=place_id:ChIJdTKhyvkRBDsRIfAs5p8GEls,part_263,2026-09-20 19:02:01,2246
"AMA HARDWARE,ELECTRICAL & PAINTS",Hardware Store,Hardware store,Hardware store,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 88700 81596,N/A,4.7,,"Thoothukudi - Tirunelveli Hwy, KTC Nagar, Tirunelveli, Tamil Nadu 627011",KTC Nagar,8.714483999999999,77.767504,ChIJDyrgxl8NBDsR8P9cybH5lH4,https://www.google.com/maps/place/?q=place_id:ChIJDyrgxl8NBDsR8P9cybH5lH4,part_263,2026-09-20 19:02:01,2247
Ramesh Enterprises,Hardware Store,Hardware store,Hardware store,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 63837 69707,N/A,4.0,,"112, Sivalaperi Rd, Shanthi Nagar, Tirunelveli, Tamil Nadu 627353",Shanthi Nagar,8.7339109,77.752599,ChIJV_4HZUgPBDsR932bWR9um-U,https://www.google.com/maps/place/?q=place_id:ChIJV_4HZUgPBDsR932bWR9um-U,part_263,2026-09-20 19:02:01,2248
INBARAJ TWO-WHEELER,Hardware Store,Hardware store,Hardware store,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 82201 75824,N/A,4.5,,"9 Samathanapuram, Tamil Nadu 627002","Shakthi Nagar, Palayamkottai",8.725287699999999,77.7440915,ChIJn5btC6YRBDsR6ujrE42Zkos,https://www.google.com/maps/place/?q=place_id:ChIJn5btC6YRBDsR6ujrE42Zkos,part_263,2026-09-20 19:02:01,2249
Krishna hardware,Hardware Store,Hardware store,Hardware store,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 97870 96250,N/A,4.9,,"231, Tiruchendur Main Rd, Palayamkottai, Tirunelveli, Tamil Nadu 627002",Palayamkottai,8.726944099999999,77.73563829999999,ChIJRxFX8BERBDsR_Wn-Fan-eNA,https://www.google.com/maps/place/?q=place_id:ChIJRxFX8BERBDsR_Wn-Fan-eNA,part_263,2026-09-20 19:02:01,2250
SRI RAJARAM HARDWARES,Hardware Store,Hardware store,Hardware store,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 96298 27476,N/A,4.3,,"3, MISKIN PLAZA, Sivalaperi Rd, Palayamkottai, Tirunelveli, Tamil Nadu 627002",Palayamkottai,8.7271884,77.7390775,ChIJlznk78ERBDsR_syomjpKFFg,https://www.google.com/maps/place/?q=place_id:ChIJlznk78ERBDsR_syomjpKFFg,part_263,2026-09-20 19:02:01,2251
