business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
A I R Insurance Services,Insurance Agent,Insurance agency,"Insurance agency, Auto insurance agency, Health insurance agency, Home insurance agency, Insurance company, Life insurance agency, Motorcycle insurance agency",627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 79045 75774,http://www.airinsuranceservices.com/,4.9,93.0,"Mangammal Salai, Chidambaram Nagar, KTC Nagar, Keelanatham, Tamil Nadu 627011","Chidambaram Nagar, KTC Nagar",8.7368011,77.77266639999999,ChIJuZfrDg0NBDsRg8uKV6s1aYQ,https://www.google.com/maps/place/?q=place_id:ChIJuZfrDg0NBDsRg8uKV6s1aYQ,part_263,2026-09-20 19:02:17,4073
SK AUTO CONSULTING & INSURANCE,Insurance Agent,Insurance agency,Insurance agency,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 99444 88238,N/A,5.0,28.0,"Kanniyakumari, Service Rd, V.M.Chatram, Tirunelveli, Tamil Nadu 627011",627353,8.7116533,77.76567759999999,ChIJ5fXQs9ANBDsRlTg7iHwqoWg,https://www.google.com/maps/place/?q=place_id:ChIJ5fXQs9ANBDsRlTg7iHwqoWg,part_263,2026-09-20 19:02:17,4074
Star Health Insurance - Nellai,Insurance Agent,Insurance agency,Insurance agency,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",N/A,https://www.instagram.com/kombiah_pandian_star?igsh=MTQ5dXd6cTY0bG1ibw==,5.0,9.0,"65B, 1st Cross St, Mookambigai Nagar KTC Nagar, Palayamkottai, Tirunelveli, Tamil Nadu 627011",Palayamkottai,8.7174015,77.7685577,ChIJP0Pv0-4NBDsRbHYYCs55dqI,https://www.google.com/maps/place/?q=place_id:ChIJP0Pv0-4NBDsRbHYYCs55dqI,part_263,2026-09-20 19:02:17,4075
Star Health & Allied Insurance - Tirunelveli,Insurance Agent,Insurance agency,"Insurance agency, Health insurance agency, Insurance company",627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 1800 425 2255,https://www.starhealth.in/?utm_source=gmb&utm_medium=organic&utm_campaign=homepageclicks,4.9,82.0,"First Floor, Opp:RMKV SILKS, NO:10 B/1K, Trivandrum Rd, Vannarpettai, Tirunelveli, Tamil Nadu 627002",Vannarpettai,8.7277735,77.72317319999999,ChIJ83bQwGYRBDsRf-eGepfChG4,https://www.google.com/maps/place/?q=place_id:ChIJ83bQwGYRBDsRf-eGepfChG4,part_263,2026-09-20 19:02:17,4076
Chola INSURANCE XPRESS,Insurance Agent,Insurance agency,Insurance agency,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",N/A,http://www.cholainsurance.com/,3.6,18.0,"145, Trivandrum Rd, Murugankurichi, Palayamkottai, Tirunelveli, Tamil Nadu 627002","Murugankurichi, Palayamkottai",8.725938,77.7303555,ChIJpUdxUfYRBDsR7Jhj7dtF570,https://www.google.com/maps/place/?q=place_id:ChIJpUdxUfYRBDsR7Jhj7dtF570,part_263,2026-09-20 19:02:17,4077
HDFC ERGO Insurance Agent: Mariammal,Insurance Agent,Insurance agency,Insurance agency,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 8071 496 887,https://agent.hdfcergo.com/hdfc-ergo-insurance-agent-mariammal-insurance-broker-vannarpettai-tirunelveli-533324/Home?utm_source=locator&utm_medium=googleplaces,,,"46, Thirukurippu Thondar St, Vannarpettai, Tirunelveli, Tamil Nadu 627003",Vannarpettai,8.736026599999999,77.7189423,ChIJH6i9-PARBDsRKXrWS7sFsKo,https://www.google.com/maps/place/?q=place_id:ChIJH6i9-PARBDsRKXrWS7sFsKo,part_263,2026-09-20 19:02:17,4078
RELIANCE NIPPON LIFE INSURANCE CO LTD,Insurance Agent,Insurance agency,Insurance agency,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 1800 102 1010,https://www.reliancenipponlife.com/,4.2,6.0,"92, 2nd floor, N Bypass Rd, opposite to FRANCIS XAVIER Engineering COLLEGE, Vannarpettai, Tirunelveli, Tamil Nadu 627003",Vannarpettai,8.731930499999999,77.7220655,ChIJybLlnv0RBDsR_3ORPigWUD0,https://www.google.com/maps/place/?q=place_id:ChIJybLlnv0RBDsR_3ORPigWUD0,part_263,2026-09-20 19:02:17,4079
HDFC ERGO Insurance Agent: S Muthukumarasamy,Insurance Agent,Insurance agency,Insurance agency,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 8071 738 945,https://agent.hdfcergo.com/motor/hdfc-ergo-insurance-agent-s-muthukumarasamy-insurance-agency-kulavanickerpuram-tirunelveli-568896/Home,,,"10/729, Kulavanickerpuram, Palayamkottai, Tirunelveli, Tamil Nadu 627002","Kulavanickerpuram, Palayamkottai",8.7271315,77.7480692,ChIJe7S9iVkPBDsR0gxkqywiFbY,https://www.google.com/maps/place/?q=place_id:ChIJe7S9iVkPBDsR0gxkqywiFbY,part_263,2026-09-20 19:02:17,4080
HDFC ERGO Insurance Agent: Densingh Michael Arputhan U,Insurance Agent,Insurance agency,Insurance agency,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 8071 729 744,https://agent.hdfcergo.com/motor/hdfc-ergo-insurance-agent-densingh-michael-arputhan-u-insurance-agency-athisayapuram-thoothukudi-569923/Home,,,"Arasoor Sathankulam Tk, Athisayapuram, 19/180, East St, Thoothukudi, Tamil Nadu 628002",Vannarpettai,8.7328093,77.71529579999999,ChIJ3djMy1QRBDsRCOPC-EpCTe8,https://www.google.com/maps/place/?q=place_id:ChIJ3djMy1QRBDsRCOPC-EpCTe8,part_263,2026-09-20 19:02:17,4081
Sadhan Insurance Services,Insurance Agent,Insurance agency,Insurance agency,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 94431 61950,N/A,4.7,3.0,"156/5, Madurai Rd, Thachanallur, Tirunelveli, Tamil Nadu 627358",Thachanallur,8.7496124,77.7030051,ChIJ1bTUsnURBDsRp85Nf93LFWs,https://www.google.com/maps/place/?q=place_id:ChIJ1bTUsnURBDsRp85Nf93LFWs,part_263,2026-09-20 19:02:17,4082
