business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
EBIXCASH WORLD MONEY LIMITED | Tirunelveli,Money Transfer and Forex,Money transfer service,"Money transfer service, Currency exchange service, Travel agency, Visa Agent",627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 72999 55801,https://www.buyforex.com/,4.9,,"AAA Complex, S Bypass Rd, opposite Rosemary Hospital, Vannarpettai, Tirunelveli, Tamil Nadu 627003",Vannarpettai,8.7248359,77.7213213,ChIJdYLgtQwRBDsRYsNuLPOBfu8,https://www.google.com/maps/place/?q=place_id:ChIJdYLgtQwRBDsRYsNuLPOBfu8,part_263,2026-09-20 19:02:18,4137
"Unimoni Financial Services Ltd, Tirunelveli",Money Transfer and Forex,Money transfer service,"Money transfer service, Insurance agency, Loan agency, Currency exchange service, Travel agency",627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 75940 03017,https://tirunelveli.unimoni.in/?utm_source=Google_GMB&utm_medium=GMB_Microsite&utm_campaign=Organic,4.9,,"1st Floor, MPM Complex, No. 25, Swami Nellaiappar High Rd, Kayalpattinam, Thirunagar, Tirunelveli Junction, Tirunelveli, Tamil Nadu 627001","Kayalpattinam, Thirunagar, Tirunelveli Junction",8.7288707,77.7022204,ChIJ7SPcLYIRBDsRQ2H-wSusfmE,https://www.google.com/maps/place/?q=place_id:ChIJ7SPcLYIRBDsRQ2H-wSusfmE,part_263,2026-09-20 19:02:18,4138
Grahams Foreign Exchange And Finance Pvt Ltd,Money Transfer and Forex,Currency exchange service,Currency exchange service,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 462 250 2088,https://www.grahamsforex.in/,4.8,,"Shriram Square, 10/4, Thiruvandhapuram Road, Vannarapettai Roundana, Tirunelveli, Tamil Nadu 627002",Vannarpettai,8.7277192,77.7233014,ChIJOVVVVe4RBDsRmnS8n_vKGrU,https://www.google.com/maps/place/?q=place_id:ChIJOVVVVe4RBDsRmnS8n_vKGrU,part_263,2026-09-20 19:02:18,4139
Wallex Forex,Money Transfer and Forex,Money transfer service,"Money transfer service, Foreign Exchange Students Organization, Currency exchange service",627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 96299 53067,https://wallexforex.in/,5.0,,"No.2, KAS Complex, S Bypass Rd, Tirunelveli, Tamil Nadu 627005",627353,8.6995234,77.72546919999999,ChIJwWklOGATBDsRCrMRfq3AMaM,https://www.google.com/maps/place/?q=place_id:ChIJwWklOGATBDsRCrMRfq3AMaM,part_263,2026-09-20 19:02:18,4140
Muthoot Forex Limited,Money Transfer and Forex,Money transfer service,"Money transfer service, Financial institution, Currency exchange service",627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 91883 00600,https://www.muthootforex.com/,5.0,,"No. 101, Syed Complex, 108, Madurai Rd, Junction, Tirunelveli Junction, Tirunelveli, Tamil Nadu 627001","Junction, Tirunelveli Junction",8.7296817,77.70980639999999,ChIJl3Xpnk4RBDsRVpmKZbTNHHI,https://www.google.com/maps/place/?q=place_id:ChIJl3Xpnk4RBDsRVpmKZbTNHHI,part_263,2026-09-20 19:02:18,4141
Muthoot FinCorp Gold Loan,Money Transfer and Forex,Money transfer service,"Money transfer service, Car finance and loan company, Currency exchange service, Finance broker, Financial institution, Insurance agency, Insurance company, Investment company, Investment service, Loan agency",627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 92890 43079,https://branches.muthootfincorp.com/muthoot-fincorp-gold-loan-maharaja-nagar-loan-agency-maharaja-nagar-tirunelveli-115089/Home,4.9,,"1st Floor, ACA Complex, No. A77, 9, 3rd Main Rd, beside Apollo Pharmacy, Maharaja Nagar, Tirunelveli, Tamil Nadu 627011",Maharaja Nagar,8.7048738,77.75348439999999,ChIJL6m0OvMRBDsRak_oVMvg2hk,https://www.google.com/maps/place/?q=place_id:ChIJL6m0OvMRBDsRak_oVMvg2hk,part_263,2026-09-20 19:02:18,4142
Muthoot FinCorp Gold Loan,Money Transfer and Forex,Money transfer service,"Money transfer service, Car finance and loan company, Currency exchange service, Finance broker, Financial institution, Insurance agency, Insurance company, Investment company, Investment service, Loan agency",627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 92892 52330,https://branches.muthootfincorp.com/muthoot-fincorp-gold-loan-sn-high-road-loan-agency-sn-high-road-tirunelveli-117894/Home,5.0,,"1st Floor, S.R.C. Complex, No. 25B2K, Swami Nellaiappar High Rd, Kayalpattinam, Sripuram, Tirunelveli Junction, Tirunelveli, Tamil Nadu 627001","Kayalpattinam, Sripuram, Tirunelveli Junction",8.7288607,77.7024823,ChIJpQwsLHYRBDsR8fosszm9Q0s,https://www.google.com/maps/place/?q=place_id:ChIJpQwsLHYRBDsR8fosszm9Q0s,part_263,2026-09-20 19:02:18,4143
LuLu Forex - Thiruvalla,Money Transfer and Forex,Money transfer service,"Money transfer service, Financial institution, Currency exchange service",627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 98472 34786,https://luluforex.com/branch-locations/thiruvalla?branch_code=THV,4.9,,"Shop No. 438 & 439, First Floor, Amprayil Building, TK Rd, near Private Bus Stand, Thiruvalla, Keralam 689101",627353,9.385380699999999,76.57743789999999,ChIJF8o7hnklBjsRAwAHu_W1NIE,https://www.google.com/maps/place/?q=place_id:ChIJF8o7hnklBjsRAwAHu_W1NIE,part_263,2026-09-20 19:02:18,4144
Muthoot FinCorp Gold Loan,Money Transfer and Forex,Money transfer service,"Money transfer service, Car finance and loan company, Currency exchange service, Finance broker, Financial institution, Insurance agency, Insurance company, Investment company, Investment service, Loan agency",627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 92892 59241,https://branches.muthootfincorp.com/muthoot-fincorp-gold-loan-kailasapuram-junction-loan-agency-kailasapuram-junction-tirunelveli-116186/Home,5.0,,"1st Floor, Azhagu Parvathi Complex, No. 5/1, Kailasapuram Rd, Meenakshipuram, Tirunelveli, Tamil Nadu 627001",Meenakshipuram,8.7285302,77.7106862,ChIJxxA4q4gRBDsRCnQernSrs5o,https://www.google.com/maps/place/?q=place_id:ChIJxxA4q4gRBDsRCnQernSrs5o,part_263,2026-09-20 19:02:18,4145
Western Union,Money Transfer and Forex,Money transfer service,Money transfer service,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",N/A,https://www.westernunion.com/,,,"1st Floor, Syed Complex, No 101, Madurai Rd, Thir, Tirunelveli Junction, Tirunelveli, Tamil Nadu 627358","Thir, Tirunelveli Junction",8.7296301,77.70994569999999,ChIJPWYqxA0RBDsR9HxZEvjIPoI,https://www.google.com/maps/place/?q=place_id:ChIJPWYqxA0RBDsR9HxZEvjIPoI,part_263,2026-09-20 19:02:18,4146
