business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
SHINE GRANITES & TILES,Tile and Marble Showroom,Granite supplier,Granite supplier,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 94433 20324,N/A,4.5,14.0,"No. 5, S Bypass Rd, opposite to Sneka Mind Care, Melapalayam, Tirunelveli, Tamil Nadu 627005",Melapalayam,8.712469,77.72043219999999,ChIJ_ZkZND0SBDsRRNMobWiytsA,https://www.google.com/maps/place/?q=place_id:ChIJ_ZkZND0SBDsRRNMobWiytsA,part_263,2026-09-20 19:02:01,2297
Muthamil Mosaics & Marbles,Tile and Marble Showroom,Tile store,"Tile store, Marble supplier, Tile manufacturer",627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 93667 00445,N/A,4.4,13.0,"1E2, Railway Feeder Rd, Kattnayakan, Palayamkottai, Tirunelveli, Tamil Nadu 627002","Kattnayakan, Palayamkottai",8.7114779,77.7331975,ChIJX4dF-Q4SBDsRyEy98cP0WGE,https://www.google.com/maps/place/?q=place_id:ChIJX4dF-Q4SBDsRyEy98cP0WGE,part_263,2026-09-20 19:02:01,2298
A to Z Tiles Park,Tile and Marble Showroom,Store,Store,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 88831 55100,http://www.atozhomedecors.com/,4.2,140.0,"182, E-6, Swami Nellaiappar High Rd, Gandhi Nagar, Thirunagar, Tirunelveli Junction, Tirunelveli, Tamil Nadu 627001","Gandhi Nagar, Thirunagar, Tirunelveli Junction",8.7275431,77.7022315,ChIJWxYig4ERBDsRfA-3uX63JAs,https://www.google.com/maps/place/?q=place_id:ChIJWxYig4ERBDsRfA-3uX63JAs,part_263,2026-09-20 19:02:01,2299
A.K.tiles park,Tile and Marble Showroom,Tile store,Tile store,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 70108 97017,N/A,4.6,10.0,"26, D/2, Swami Nellaiappar High Rd, Kayalpattinam, Thirunagar, Tirunelveli Junction, Tirunelveli, Tamil Nadu 627001","Kayalpattinam, Thirunagar, Tirunelveli Junction",8.7288898,77.7028947,ChIJazuOsKERBDsRBB9hcEq_36A,https://www.google.com/maps/place/?q=place_id:ChIJazuOsKERBDsRBB9hcEq_36A,part_263,2026-09-20 19:02:01,2300
Golden Granites Tiles and sanitary,Tile and Marble Showroom,Home goods store,Home goods store,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 94863 99010,http://www.goldengranite.in/,4.3,103.0,"Joseph Buildings, 2/1, Tuckerammalpuram (W Trivandrum, High Ground Rd, Tirunelveli, Tamil Nadu 627005",627353,8.672772,77.7187299,ChIJI03-FW0SURAR-k6qbmRCivM,https://www.google.com/maps/place/?q=place_id:ChIJI03-FW0SURAR-k6qbmRCivM,part_263,2026-09-20 19:02:01,2301
MAAN MARBLES,Tile and Marble Showroom,Marble supplier,Marble supplier,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 97917 29354,N/A,4.8,69.0,"Nagarcoil Highway, near Škoda car showroom, Caussanelpuram, Tirunelveli, Munnirpallam, Tamil Nadu 627007",Caussanelpuram,8.6450093,77.708331,ChIJvS9JrdESBDsRpsPwNeY_JAs,https://www.google.com/maps/place/?q=place_id:ChIJvS9JrdESBDsRpsPwNeY_JAs,part_263,2026-09-20 19:02:01,2302
Rana stones,Tile and Marble Showroom,Granite supplier,Granite supplier,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 70737 81305,N/A,5.0,100.0,"MPF9+8W8, Muthur Reddiarpatti, Tirunelveli, Tamil Nadu 627005",627353,8.673313199999999,77.7198133,ChIJg_q9RncTBDsRIbIIvqgdcRM,https://www.google.com/maps/place/?q=place_id:ChIJg_q9RncTBDsRIbIIvqgdcRM,part_263,2026-09-20 19:02:01,2303
K.M. Tiles,Tile and Marble Showroom,Tile store,"Tile store, Tile contractor",627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 87606 36897,N/A,3.8,163.0,"PPX3+J6F, 204,C Madurai Road, Nithyanan Mill Compowerd, Madurai Rd, Thachanallur, Tirunelveli, Tamil Nadu 627358",Thachanallur,8.7489615,77.7030365,ChIJfelZJaERBDsRiBSpowUFa5A,https://www.google.com/maps/place/?q=place_id:ChIJfelZJaERBDsRiBSpowUFa5A,part_263,2026-09-20 19:02:01,2304
Varanam Granites,Tile and Marble Showroom,Granite supplier,Granite supplier,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 97902 22929,N/A,4.8,17.0,"Varnam Granites 81/2A, Kokattikulam, Tuckerammalpuram, Tamil Nadu 627007",627353,8.6760963,77.7211035,ChIJtw7QbAQTBDsRjG6xn7MBnWs,https://www.google.com/maps/place/?q=place_id:ChIJtw7QbAQTBDsRjG6xn7MBnWs,part_263,2026-09-20 19:02:01,2305
RAM MARBLES,Tile and Marble Showroom,Tile store,Tile store,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 94423 26669,N/A,3.7,3.0,"48-A, Trivandrum Rd, near Railway Gate, Kulavanigarpuram, Palayamkottai, Tirunelveli, Tamil Nadu 627002","Kulavanigarpuram, Palayamkottai",8.7121734,77.7315502,ChIJY7WulwQTBDsRlIt35VSk5n8,https://www.google.com/maps/place/?q=place_id:ChIJY7WulwQTBDsRlIt35VSk5n8,part_263,2026-09-20 19:02:01,2306
