business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Namma Adupangarai, Paarambariya Saiva & Asaiva Unavagam",South Indian Restaurant,South Indian restaurant,"South Indian restaurant, Lunch restaurant, Seafood restaurant",627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 94864 28787,N/A,4.3,,"488, Madurai Rd, Gomathy Nagar, Balabagya Nagar North, Tirunelveli, Tamil Nadu 627001","Gomathy Nagar, Balabagya Nagar North",8.7445307,77.712368,ChIJFyAo9KURBDsRvu8DmuJCxQ4,https://www.google.com/maps/place/?q=place_id:ChIJFyAo9KURBDsRvu8DmuJCxQ4,part_263,2026-09-20 19:01:46
SHAHI MESS,South Indian Restaurant,South Indian restaurant,South Indian restaurant,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 97514 08208,N/A,3.8,,"5c/4 , circuit house, road, Vannarpettai, Tirunelveli, Tamil Nadu 627003","Kailash Nagar, Vannarpettai",8.7280483,77.718837,ChIJ1TxZmosRBDsR7olXR27XEFo,https://www.google.com/maps/place/?q=place_id:ChIJ1TxZmosRBDsR7olXR27XEFo,part_263,2026-09-20 19:01:46
Hotel Ramprasad,South Indian Restaurant,South Indian restaurant,South Indian restaurant,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 94437 77460,N/A,3.9,,"Madurai, N Bypass Rd, Vannarpettai, Tirunelveli, Tamil Nadu 627003",Vannarpettai,8.7279583,77.72225519999999,ChIJJzZYS4sRBDsR00S0O5zoFdQ,https://www.google.com/maps/place/?q=place_id:ChIJJzZYS4sRBDsR00S0O5zoFdQ,part_263,2026-09-20 19:01:46
Banu Birunthavan Green Park,South Indian Restaurant,South Indian restaurant,"South Indian restaurant, Barbecue restaurant, Biryani restaurant, Chettinad restaurant, Chinese restaurant, Fast food restaurant, Non Vegetarian Restaurant, Vegetarian restaurant",627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 95008 18061,N/A,3.9,,"54, Sankar colony, Palayamkottai, Tirunelveli, Tamil Nadu 627002","Sankar colony, Palayamkottai",8.723162199999999,77.7497192,ChIJeYxga_4NBDsRHs1KJL4H6EQ,https://www.google.com/maps/place/?q=place_id:ChIJeYxga_4NBDsRHs1KJL4H6EQ,part_263,2026-09-20 19:01:46
Namma Akka Home Foods,South Indian Restaurant,South Indian restaurant,South Indian restaurant,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 90251 23327,N/A,4.4,,"mangamal salai, 2nd St, opposite Smart point, KTC Nagar, Tirunelveli, Tamil Nadu 627011",KTC Nagar,8.7162144,77.7706279,ChIJT2hIAogNBDsRwyWcpqhvQa4,https://www.google.com/maps/place/?q=place_id:ChIJT2hIAogNBDsRwyWcpqhvQa4,part_263,2026-09-20 19:01:46
Palmyra multi-cuisine Restaurant,South Indian Restaurant,Restaurant,Restaurant,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 4652 246 666,N/A,4.4,,"64, Madurai Rd, Balabagya Nagar South, Tirunelveli Junction, Tirunelveli, Tamil Nadu 627001","Balabagya Nagar South, Tirunelveli Junction",8.7349985,77.7111987,ChIJxRGVDcMRBDsRivUKlfikIOE,https://www.google.com/maps/place/?q=place_id:ChIJxRGVDcMRBDsRivUKlfikIOE,part_263,2026-09-20 19:01:46
Arasan Mess,South Indian Restaurant,Restaurant,"Restaurant, Health food restaurant, Vegetarian restaurant",627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 98940 94565,N/A,4.2,,"Gomathy Nagar, Balabagya Nagar North, Tirunelveli, Tamil Nadu 627001","Gomathy Nagar, Balabagya Nagar North",8.744089299999999,77.7128219,ChIJseZ-3JcRBDsRM3RJ29rqyTM,https://www.google.com/maps/place/?q=place_id:ChIJseZ-3JcRBDsRM3RJ29rqyTM,part_263,2026-09-20 19:01:46
Subbus Kitchen,South Indian Restaurant,Restaurant,Restaurant,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 96297 53388,https://www.subbuskitchen.com/,4.7,,"5, Perumal Sannadhi Street, Tirunelveli Junction, Tirunelveli, Tamil Nadu 627001",Tirunelveli Junction,8.7267572,77.7077652,ChIJ-ekL6OIRBDsRtj5Fae4pVWM,https://www.google.com/maps/place/?q=place_id:ChIJ-ekL6OIRBDsRtj5Fae4pVWM,part_263,2026-09-20 19:01:46
Hotel Aryaas,South Indian Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Restaurant",627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 80565 51111,http://hotelaryaas.co/,4.1,,"Meera Rubber Industries, National Highway 7A, Rahmath Nagar, Kamaraj Nagar, Tirunelveli, Tamil Nadu 627011","Rahmath Nagar, Kamaraj Nagar",8.7155107,77.764079,ChIJJ6ogHE8NBDsRVFSQSC7f9zw,https://www.google.com/maps/place/?q=place_id:ChIJJ6ogHE8NBDsRVFSQSC7f9zw,part_263,2026-09-20 19:01:46
A1 Parotta Stall,South Indian Restaurant,Non Vegetarian Restaurant,Non Vegetarian Restaurant,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 79045 99855,N/A,3.9,818.0,"Kamarajar Rd, Vasantha Nager, Tirunelveli, Tamil Nadu 627007",Vasantha Nager,8.704696499999999,77.739177,ChIJ71lGgQwSBDsRuYriIkTHTac,https://www.google.com/maps/place/?q=place_id:ChIJ71lGgQwSBDsRuYriIkTHTac,part_263,2026-09-20 19:01:48
