business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sunshine Builders & Waterproofs,Waterproofing Contractor,Waterproofing service,Waterproofing service,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 99763 42539,N/A,4.9,63.0,"Middle Street, 34, Kailasapuram Rd, Meenakshipuram, Tirunelveli, Tamil Nadu 627001",Meenakshipuram,8.728014,77.71136159999999,ChIJY6vBdw4RBDsR94nIJnL3xKk,https://www.google.com/maps/place/?q=place_id:ChIJY6vBdw4RBDsR94nIJnL3xKk,part_263,2026-09-20 19:02:05
SS NAGAS CONSTRUCTIONS,Waterproofing Contractor,Waterproofing service,Waterproofing service,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 97879 54342,N/A,4.9,45.0,"28, Manakaavalam Pillai Hospital Rd, Palayamkottai, Tirunelveli, Tamil Nadu 627002",Palayamkottai,8.726410699999999,77.7356412,ChIJN7pBTPgRBDsRZVLTF1HPfYc,https://www.google.com/maps/place/?q=place_id:ChIJN7pBTPgRBDsRZVLTF1HPfYc,part_263,2026-09-20 19:02:05
SUNSHINE CONSTRUCTION CHEMICALS & WATERPROOFING,Waterproofing Contractor,Waterproofing service,Waterproofing service,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 93458 78067,N/A,5.0,18.0,"13, Noble St, Perumalpuram, Vasantha Nager, Tirunelveli, Tamil Nadu 627007","Perumalpuram, Vasantha Nager",8.705154799999999,77.7417892,ChIJG-Vd64wTBDsRohSus4UDqvM,https://www.google.com/maps/place/?q=place_id:ChIJG-Vd64wTBDsRohSus4UDqvM,part_263,2026-09-20 19:02:05
MD BUILDCARE WATERPROOFING,Waterproofing Contractor,Waterproofing service,"Waterproofing service, Painting",627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 95975 07007,http://www.mdbuildcare.com/,4.7,55.0,"No 966 A/3 SHANTHINAGAR ROAD, Rahmath Nagar, Tirunelveli, Tamil Nadu 627011","Rahmath Nagar, Kamaraj Nagar",8.7208255,77.7572287,ChIJg92vpEkNBDsRaY9xpi0Wogo,https://www.google.com/maps/place/?q=place_id:ChIJg92vpEkNBDsRaY9xpi0Wogo,part_263,2026-09-20 19:02:05
MD BUILDERS,Waterproofing Contractor,Waterproofing service,Waterproofing service,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",N/A,http://www.mdbuildcare.com/,5.0,1.0,"A3 966, shanthinagar main road, Rahmath Nagar, Kamaraj Nagar, Tirunelveli, Tamil Nadu 627011","Rahmath Nagar, Kamaraj Nagar",8.720825399999999,77.7572285,ChIJSWiwspUPBDsRT5UOfI4EisU,https://www.google.com/maps/place/?q=place_id:ChIJSWiwspUPBDsRT5UOfI4EisU,part_263,2026-09-20 19:02:05
Professional maintenance service,Waterproofing Contractor,Waterproofing service,"Waterproofing service, Painting, Pest control service, Height works, Window cleaning service",627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",N/A,N/A,5.0,1.0,"318, Palayamchettikulam, Tamil Nadu 627351",627353,8.7500994,77.77657119999999,ChIJL1OjHfIPBDsRGGoQFXcqdtE,https://www.google.com/maps/place/?q=place_id:ChIJL1OjHfIPBDsRGGoQFXcqdtE,part_263,2026-09-20 19:02:05
Kadambam constructions & consulting,Waterproofing Contractor,Real Estate Builders & Construction Company,"Real Estate Builders & Construction Company, Civil engineering company",627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",N/A,https://kadambambuilders.com/,4.7,3.0,"Shop No 1, 132/A, First St, Rahmath Nagar, Kamaraj Nagar, Tirunelveli, Tamil Nadu 627011","Rahmath Nagar, Kamaraj Nagar",8.719187999999999,77.758845,ChIJ4wd_qmINBDsRw-3Q9qcaKws,https://www.google.com/maps/place/?q=place_id:ChIJ4wd_qmINBDsRw-3Q9qcaKws,part_263,2026-09-20 19:02:05
RS Builders & Water Proofing Solutions,Waterproofing Contractor,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 99445 12611,N/A,5.0,7.0,"No.9, RC Diocese Complex, Child Jesus Girls Higher Secondary School, S Bazaar, opp. Palayamkottai, Palayamkottai, Tirunelveli, Tamil Nadu 627002",Palayamkottai,8.7225415,77.74017409999999,ChIJF77XgkITBDsRRhNqoE-sTJ0,https://www.google.com/maps/place/?q=place_id:ChIJF77XgkITBDsRRhNqoE-sTJ0,part_263,2026-09-20 19:02:05
Tech Peace Associates,Waterproofing Contractor,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",N/A,N/A,5.0,1.0,"Annai indra Nagar, 107, Anna Nagar, Palayamkottai, Tirunelveli, Tamil Nadu 627011","Anna Nagar, Palayamkottai",8.7192695,77.7490874,ChIJpUwGrD0NBDsRlEjKWpTQCSM,https://www.google.com/maps/place/?q=place_id:ChIJpUwGrD0NBDsRlEjKWpTQCSM,part_263,2026-09-20 19:02:05
"United Waterproofing Co.,",Waterproofing Contractor,Waterproofing service,Waterproofing service,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 96880 66600,http://www.unitedwaterproofing.in/,4.9,225.0,"No.3 bharathidasan, 4th Cross St, Pallikaranai, Medavakkam, Tamil Nadu 600100",Pallikaranai,12.9290293,80.1974407,ChIJlUXeqbhdUjoRnhbowgYAgOg,https://www.google.com/maps/place/?q=place_id:ChIJlUXeqbhdUjoRnhbowgYAgOg,part_263,2026-09-20 19:02:05
