business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sri varalakshmi auto spares,Auto Spare Parts Shop,Auto parts store,"Auto parts store, DS Automobiles dealer",627401,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Ambasamudram HO, Ambasamudram Angadi SO, Ambasamudram East SO",+91 98942 33140,N/A,4.4,,"111 A, Thilagarpuram St, Pannaisankariyar Nagar, Ambasamudram, Tamil Nadu 627401",Pannaisankariyar Nagar,8.7042392,77.44474389999999,ChIJgWsPzA85BDsRUY1KKVjYs10,https://www.google.com/maps/place/?q=place_id:ChIJgWsPzA85BDsRUY1KKVjYs10,part_263,2026-09-20 19:07:03
Sri ABI AUTO SPARES,Auto Spare Parts Shop,Motorcycle parts store,Motorcycle parts store,627401,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Ambasamudram HO, Ambasamudram Angadi SO, Ambasamudram East SO",+91 97155 89125,N/A,4.6,,"209, Ambai Main Rd, Ambasamudram, Mela Ambasamudram, Tamil Nadu 627401",627401,8.7062759,77.44100929999999,ChIJbddfjns5BDsR1FaafmhfJ2I,https://www.google.com/maps/place/?q=place_id:ChIJbddfjns5BDsR1FaafmhfJ2I,part_263,2026-09-20 19:07:03
RAM SAKTHI AUTO SPARES,Auto Spare Parts Shop,Auto parts store,Auto parts store,627401,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Ambasamudram HO, Ambasamudram Angadi SO, Ambasamudram East SO",+91 63801 15909,N/A,5.0,,"Ram Sakthi Auto Spares, Tirunelveli, Ambasamudram, Tamil Nadu 627401",627401,8.7040416,77.4460072,ChIJfTqkhJU5BDsRg9XoH1vjc4Y,https://www.google.com/maps/place/?q=place_id:ChIJfTqkhJU5BDsRg9XoH1vjc4Y,part_263,2026-09-20 19:07:03
Sri Murugan Auto Spares,Auto Spare Parts Shop,Auto parts store,Auto parts store,627401,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Ambasamudram HO, Ambasamudram Angadi SO, Ambasamudram East SO",+91 90256 41833,N/A,2.0,,"SRI MURUGAN AUTO SPARES, 13E,KOVILKULAM ROAD EAST PART, Ambasamudram, Tamil Nadu 627401",627401,8.716232699999999,77.45655889999999,ChIJc5YvVK47BDsRQ0_m3OUVvR0,https://www.google.com/maps/place/?q=place_id:ChIJc5YvVK47BDsRQ0_m3OUVvR0,part_263,2026-09-20 19:07:03
Varshan auto spares,Auto Spare Parts Shop,Auto parts store,Auto parts store,627401,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Ambasamudram HO, Ambasamudram Angadi SO, Ambasamudram East SO",N/A,N/A,,,"160, Thilagarpuram St, near Rani school, Ambasamudram, Tamil Nadu 627401",627401,8.7048044,77.4430221,ChIJ51DZAAA5BDsRi2HZoTVXjwA,https://www.google.com/maps/place/?q=place_id:ChIJ51DZAAA5BDsRi2HZoTVXjwA,part_263,2026-09-20 19:07:03
SUMAN AGRO SPARES,Auto Spare Parts Shop,Auto Accessories Store,Auto Accessories Store,627401,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Ambasamudram HO, Ambasamudram Angadi SO, Ambasamudram East SO",+91 79042 74991,N/A,,,"5, Ambai Main Rd, Tirunelveli, Keela Ambasamudram, Tamil Nadu 627401",627401,8.695259,77.46254909999999,ChIJR8ZmtiM5BDsR2ShTCtDf22A,https://www.google.com/maps/place/?q=place_id:ChIJR8ZmtiM5BDsR2ShTCtDf22A,part_263,2026-09-20 19:07:03
Valli auto spares,Auto Spare Parts Shop,Auto parts store,Auto parts store,627401,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Ambasamudram HO, Ambasamudram Angadi SO, Ambasamudram East SO",N/A,N/A,3.7,,"Tirunelveli - Shencottai Rd, Pannaisankariyar Nagar, Ambasamudram, Tamil Nadu 627401",Pannaisankariyar Nagar,8.7040948,77.4452436,ChIJ_w-7gjA5BDsRDW4NSXhu3u4,https://www.google.com/maps/place/?q=place_id:ChIJ_w-7gjA5BDsRDW4NSXhu3u4,part_263,2026-09-20 19:07:03
Arunachal Motor Parts - Maruti Genuine Parts Distributor-AMBAI,Auto Spare Parts Shop,Auto machine shop,Auto machine shop,627401,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Ambasamudram HO, Ambasamudram Angadi SO, Ambasamudram East SO",N/A,N/A,,,"AMBAI, TO, TENKASI MAIN ROAD, Ambasamudram, Tamil Nadu 627413",627401,8.7234872,77.4278879,ChIJPylBJvQ7BDsRoHMnK1t5TXk,https://www.google.com/maps/place/?q=place_id:ChIJPylBJvQ7BDsRoHMnK1t5TXk,part_263,2026-09-20 19:07:03
Best Auto Parts,Auto Spare Parts Shop,Auto parts store,Auto parts store,627401,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Ambasamudram HO, Ambasamudram Angadi SO, Ambasamudram East SO",+91 93207 56729,N/A,3.9,12.0,"Shop No.7/8, Gaffar Khan Chawl, Shop No.7/8-1A, Gaffar Khan Chawl, Gavndevi Road, Ghatkopar (W)., 1, Gamdevi Rd, Damodar Park, Ghatkopar West, Mumbai, Maharashtra 400086","Damodar Park, Ghatkopar West",19.0983415,72.9119025,ChIJY284wM_H5zsRM5wPFXk3O0o,https://www.google.com/maps/place/?q=place_id:ChIJY284wM_H5zsRM5wPFXk3O0o,part_263,2026-09-20 19:07:03
Valli Auto Spares,Auto Spare Parts Shop,Auto parts store,Auto parts store,627401,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Ambasamudram HO, Ambasamudram Angadi SO, Ambasamudram East SO",N/A,N/A,4.2,,"PC63+7CH, SH 178, Vickramasingapuram, Tamil Nadu 627425",627401,8.7106998,77.4036,ChIJIdJu-4o5BDsR8cPipvbKWhA,https://www.google.com/maps/place/?q=place_id:ChIJIdJu-4o5BDsR8cPipvbKWhA,part_263,2026-09-20 19:07:04
