business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sri Annai construction,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,627401,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Ambasamudram HO, Ambasamudram Angadi SO, Ambasamudram East SO",+91 90808 91360,http://www.sriannaiconstruction.in/,5.0,3.0,"R.S, 102,B, 2nd St, RS Colony, Pudugramam, Mela Ambasamudram, Tamil Nadu 627401","RS Colony, Pudugramam",8.707804099999999,77.4370843,ChIJwXmZ0js5BDsRLOeXxo3THCQ,https://www.google.com/maps/place/?q=place_id:ChIJwXmZ0js5BDsRLOeXxo3THCQ,part_263,2026-09-20 19:07:08
RRR ASSOCIATES,Civil Contractor and Builder,Civil engineering company,Civil engineering company,627401,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Ambasamudram HO, Ambasamudram Angadi SO, Ambasamudram East SO",+91 88076 89982,N/A,5.0,1.0,"2A/2, ROAD, beside THIRTHAPATHY HIGHER SECONDARY SCHOOL, near BYPASS CIRCLE, Kovilkulam, Ambasamudram, Tamil Nadu 627401",627401,8.708874,77.457124,ChIJ6w68_Xo5BDsRyhHJSkDpueg,https://www.google.com/maps/place/?q=place_id:ChIJ6w68_Xo5BDsRyhHJSkDpueg,part_263,2026-09-20 19:07:08
Vels Construction,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,627401,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Ambasamudram HO, Ambasamudram Angadi SO, Ambasamudram East SO",+91 75400 88815,https://www.velsconstruction.com/,,,"Vels Construction, Ambasamudram, Tamil Nadu 627401",627401,8.7036532,77.4485158,ChIJJZN57I45BDsRMV_uBdcEIpE,https://www.google.com/maps/place/?q=place_id:ChIJJZN57I45BDsRMV_uBdcEIpE,part_263,2026-09-20 19:07:08
Pon Priya Construction,Civil Contractor and Builder,Home builder,Home builder,627401,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Ambasamudram HO, Ambasamudram Angadi SO, Ambasamudram East SO",N/A,N/A,3.8,6.0,"PC7C+P7H, Mannarkovil, Tamil Nadu 627428",627401,8.7143223,77.4207485,ChIJcUNSZSo6BDsRaEzSurMQQ_g,https://www.google.com/maps/place/?q=place_id:ChIJcUNSZSo6BDsRaEzSurMQQ_g,part_263,2026-09-20 19:07:09
KGM RealEstate and Builders,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,627401,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Ambasamudram HO, Ambasamudram Angadi SO, Ambasamudram East SO",N/A,N/A,,,"3/195R3, Ambai Main Rd, Agasthiyarpatti, Sivanthipuram, Tamil Nadu 627428",627401,8.70889,77.4261491,ChIJ_2NS48k5BDsRKJn3ZQiCazs,https://www.google.com/maps/place/?q=place_id:ChIJ_2NS48k5BDsRKJn3ZQiCazs,part_263,2026-09-20 19:07:09
RR complex & construction,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,627401,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Ambasamudram HO, Ambasamudram Angadi SO, Ambasamudram East SO",N/A,N/A,,,"48/a, College Rd, Ambasamudram, Tamil Nadu 627401",627401,8.7118852,77.4564353,ChIJt_IOANQ5BDsROEQUyoxJ5AI,https://www.google.com/maps/place/?q=place_id:ChIJt_IOANQ5BDsROEQUyoxJ5AI,part_263,2026-09-20 19:07:09
Himalaya construction,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,627401,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Ambasamudram HO, Ambasamudram Angadi SO, Ambasamudram East SO",N/A,N/A,,,"95, Thilagapuram, Ambasamudram -Tenkasi Main Rd, Ambasamudram, Tamil Nadu 627401",Pannaisankariyar Nagar,8.7036578,77.4462451,ChIJswXKOhs5BDsRk9PPhUD1yXA,https://www.google.com/maps/place/?q=place_id:ChIJswXKOhs5BDsRk9PPhUD1yXA,part_263,2026-09-20 19:07:09
MAYILERI MURUGAN CONSTRUCTIONS,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,627401,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Ambasamudram HO, Ambasamudram Angadi SO, Ambasamudram East SO",N/A,N/A,,,"PF35+M29, Patter St, Ambasamudram, Tamil Nadu 627401",627401,8.7041577,77.4576156,ChIJbbaIo-c5BDsRzPbU1fiLleQ,https://www.google.com/maps/place/?q=place_id:ChIJbbaIo-c5BDsRzPbU1fiLleQ,part_263,2026-09-20 19:07:09
PEP ONLINE,Civil Contractor and Builder,General contractor,General contractor,627401,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Ambasamudram HO, Ambasamudram Angadi SO, Ambasamudram East SO",+91 99442 63994,N/A,5.0,7.0,"74d, Senaiyar Complex, main Road, Ambai Main Rd, Ambasamudram, Mela Ambasamudram, Tamil Nadu 627401",627401,8.703111,77.45388319999999,ChIJ9fNQqRY5BDsRHJ6A9Ns4XT4,https://www.google.com/maps/place/?q=place_id:ChIJ9fNQqRY5BDsRHJ6A9Ns4XT4,part_263,2026-09-20 19:07:09
TCC,Civil Contractor and Builder,Real Estate Builders & Construction Company,"Real Estate Builders & Construction Company, Building restoration service, Civil engineering company, Engineering consultant",627401,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Ambasamudram HO, Ambasamudram Angadi SO, Ambasamudram East SO",+91 99429 29942,N/A,4.4,,"Madurai Road Kuthukalvalasai, Kuthukalvalasai, Tamil Nadu 627803",Anna Nagar,8.9936267,77.2967458,ChIJCfmAISOCBjsR1uSUwFsR2kE,https://www.google.com/maps/place/?q=place_id:ChIJCfmAISOCBjsR1uSUwFsR2kE,part_263,2026-09-20 19:07:09
