business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
DTDC COURIER,Courier and Cargo Service,Courier service,Courier service,627401,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Ambasamudram HO, Ambasamudram Angadi SO, Ambasamudram East SO",+91 99434 25110,http://www.dtdc.in/,3.8,12.0,"1/98 Thilagarpuram, Main, Road, Tamil Nadu 627401",Pannaisankariyar Nagar,8.7039238,77.44565639999999,ChIJm4d8e3Q5BDsRJauJdWVd3-E,https://www.google.com/maps/place/?q=place_id:ChIJm4d8e3Q5BDsRJauJdWVd3-E,part_263,2026-09-20 19:07:21
TVS Parcel Service,Courier and Cargo Service,Freight Forwarding Agency,"Freight Forwarding Agency, Transportation service",627401,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Ambasamudram HO, Ambasamudram Angadi SO, Ambasamudram East SO",N/A,N/A,2.8,5.0,"PC3V+X8C, Tirunelveli - Shencottai Rd, Ambasamudram, Tamil Nadu 627401",627401,8.704948,77.4432763,ChIJuUO1QGY5BDsROXFuGjAjIgM,https://www.google.com/maps/place/?q=place_id:ChIJuUO1QGY5BDsROXFuGjAjIgM,part_263,2026-09-20 19:07:21
Krish Delivery,Courier and Cargo Service,Delivery service,Delivery service,627401,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Ambasamudram HO, Ambasamudram Angadi SO, Ambasamudram East SO",N/A,https://www.instagram.com/krishdelivery_ambai?igsh=ZDEzc3RlajBmaDJy,5.0,33.0,"Ambasamudram - Papanasam - Upper Dam Rd, AMBASAMUDURAM, Adaiya Karungulam, Tamil Nadu 627425",627401,8.7022509,77.419367,ChIJ53jI9v83BDsRRabhHNEtOcY,https://www.google.com/maps/place/?q=place_id:ChIJ53jI9v83BDsRRabhHNEtOcY,part_263,2026-09-20 19:07:21
DTDC International Courier,Courier and Cargo Service,Courier service,Courier service,627401,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Ambasamudram HO, Ambasamudram Angadi SO, Ambasamudram East SO",+91 80154 01450,http://www.dtdc.in/,4.3,79.0,"Sethu Complex, Samathanapuram, Water Tank Rd, Palayamkottai, Tirunelveli, Tamil Nadu 627002","Gandhi Nagar, Palayamkottai",8.7233077,77.74325549999999,ChIJbdTpdUQTBDsRulaJfPDSKTw,https://www.google.com/maps/place/?q=place_id:ChIJbdTpdUQTBDsRulaJfPDSKTw,part_263,2026-09-20 19:07:21
Krish Delivery,Courier and Cargo Service,Delivery service,Delivery service,627401,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Ambasamudram HO, Ambasamudram Angadi SO, Ambasamudram East SO",N/A,https://whatsapp.com/channel/0029Va5IRUdJuyAIb41OeY0O,5.0,1.0,"10, st ullasanagar, adayakarunkulam, AMBASAMUDURAM, Adaiya Karungulam, Tamil Nadu 627425",adayakarunkulam,8.7022478,77.4192815,ChIJN2sZqsE5BDsRJ335RMBTbYc,https://www.google.com/maps/place/?q=place_id:ChIJN2sZqsE5BDsRJ335RMBTbYc,part_263,2026-09-20 19:07:21
Ullasanagar,Courier and Cargo Service,Delivery service,Delivery service,627401,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Ambasamudram HO, Ambasamudram Angadi SO, Ambasamudram East SO",N/A,https://krishdelivery.in/,4.0,1.0,"PC29+WP8, Ambasamudram, Adaiya Karungulam, Tamil Nadu 627401",627401,8.7022783,77.419315,ChIJ_6AOJwA5BDsRU6Xr0Vh-nLA,https://www.google.com/maps/place/?q=place_id:ChIJ_6AOJwA5BDsRU6Xr0Vh-nLA,part_263,2026-09-20 19:07:21
AMBAI EXPRESS,Courier and Cargo Service,Courier service,Courier service,627401,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Ambasamudram HO, Ambasamudram Angadi SO, Ambasamudram East SO",N/A,N/A,,,"13/177, Rice Mill Street, Ambalavanapuram, Coimbatore, Vickramasingapuram, Tamil Nadu 641001",Ambalavanapuram,8.710546599999999,77.4025417,ChIJp0_GT5c5BDsRhNJ9O1GqKPc,https://www.google.com/maps/place/?q=place_id:ChIJp0_GT5c5BDsRhNJ9O1GqKPc,part_263,2026-09-20 19:07:21
Ullasanagar,Courier and Cargo Service,Delivery service,Delivery service,627401,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Ambasamudram HO, Ambasamudram Angadi SO, Ambasamudram East SO",N/A,https://krishdelivery.in/,,,"PC29+WP5, Ambasamudram - Papanasam - Upper Dam Rd, AMBASAMUDURAM, Adaiya Karungulam, Tamil Nadu 627425",627401,8.7022371,77.419337,ChIJG5HASwA5BDsR5U7qozZrNwo,https://www.google.com/maps/place/?q=place_id:ChIJG5HASwA5BDsR5U7qozZrNwo,part_263,2026-09-20 19:07:21
ST Courier - Kadayam,Courier and Cargo Service,Courier service,Courier service,627401,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Ambasamudram HO, Ambasamudram Angadi SO, Ambasamudram East SO",+91 462 400 0100,http://www.stcourier.com/,3.2,16.0,"335-a, v.v.complex, north by pass road, vannarpet, Kadayam, Tamil Nadu 627415",627401,8.8236101,77.3741247,ChIJyaqqaosvBDsR48eeLI9qr5Y,https://www.google.com/maps/place/?q=place_id:ChIJyaqqaosvBDsR48eeLI9qr5Y,part_263,2026-09-20 19:07:21
Non stop couriers,Courier and Cargo Service,Shipping service,Shipping service,627401,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Ambasamudram HO, Ambasamudram Angadi SO, Ambasamudram East SO",N/A,N/A,,,"Urakadu, Ambasamudram -Tenkasi Main Rd, Ambasamudram, Tamil Nadu 627401",627401,8.7030946,77.46141159999999,ChIJax0Iriw5BDsRihdXG-M9zE8,https://www.google.com/maps/place/?q=place_id:ChIJax0Iriw5BDsRihdXG-M9zE8,part_263,2026-09-20 19:07:21
