business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sheela Clinic,Clinics,Medical clinic,Medical clinic,627414,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Cheranmahadevi SO, Karisalpatti BO, Thiruviruthanpuli BO",N/A,N/A,4.7,3.0,"86, Sathyamoorthy Nagar, Cheranmahadevi Kovil Pattu, Tamil Nadu 627414",627414,8.674794,77.5629877,ChIJ_4vYlYoVBDsRq-apHmNkfMg,https://www.google.com/maps/place/?q=place_id:ChIJ_4vYlYoVBDsRq-apHmNkfMg,part_263,2026-09-20 19:09:02
Bhavani clinic,Clinics,Medical clinic,Medical clinic,627414,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Cheranmahadevi SO, Karisalpatti BO, Thiruviruthanpuli BO",N/A,N/A,5.0,3.0,"MHJ6+394, Tirunelveli - Shencottai Rd, Pallivasal, Cheranmahadevi, Tamil Nadu 627414",Pallivasal,8.6802764,77.56093589999999,ChIJKTTjEwA_BDsRlNouCZWYWxk,https://www.google.com/maps/place/?q=place_id:ChIJKTTjEwA_BDsRlNouCZWYWxk,part_263,2026-09-20 19:09:02
Piramu Clinic,Clinics,Medical clinic,Medical clinic,627414,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Cheranmahadevi SO, Karisalpatti BO, Thiruviruthanpuli BO",N/A,N/A,5.0,7.0,"MHM6+9XX, Pallivasal, Cheranmahadevi, Tamil Nadu 627414",Pallivasal,8.6834879,77.56249389999999,ChIJeSMf_h4VBDsRKT2PDaWTQvQ,https://www.google.com/maps/place/?q=place_id:ChIJeSMf_h4VBDsRKT2PDaWTQvQ,part_263,2026-09-20 19:09:02
Furzana Clinic (Dr S.M. Mohideen),Clinics,Medical clinic,Medical clinic,627414,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Cheranmahadevi SO, Karisalpatti BO, Thiruviruthanpuli BO",+91 4634 260 933,N/A,5.0,2.0,"MHM8+V9H, Cheranmahadevi, Tamil Nadu 627414",627414,8.6846804,77.5659999,ChIJ-djMCwUVBDsR-G-1dWQRLwk,https://www.google.com/maps/place/?q=place_id:ChIJ-djMCwUVBDsR-G-1dWQRLwk,part_263,2026-09-20 19:09:02
Dr. Selva Kumar- General Physician in Cheranmahadevi,Clinics,General practitioner,"General practitioner, Health consultant, Infectious disease physician, Medical Center, Medical examiner",627414,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Cheranmahadevi SO, Karisalpatti BO, Thiruviruthanpuli BO",N/A,https://drselvakumarhathisingh.getmy.clinic/?utm_source=gmb&utm_medium=web&utm_campaign=tu,4.0,4.0,"Sheela Clinic No. 86, Sathya Murthy Colony, Cheranmahadevi Kovil Pattu, Tamil Nadu 627414",627414,8.6747993,77.560799,ChIJQSNlpiU_BDsRjaWsVTxO6oE,https://www.google.com/maps/place/?q=place_id:ChIJQSNlpiU_BDsRjaWsVTxO6oE,part_263,2026-09-20 19:09:02
YD CLINIC- Doctor Home Visits,Clinics,Medical clinic,"Medical clinic, Doctor",627414,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Cheranmahadevi SO, Karisalpatti BO, Thiruviruthanpuli BO",+91 73970 78303,N/A,5.0,1.0,"Main bazzar, mela vaithee street, Pallivasal, Cheranmahadevi, Tamil Nadu 627414",Pallivasal,8.6826672,77.56156109999999,ChIJ2wOPPQAVBDsRs8eMLxfWBAo,https://www.google.com/maps/place/?q=place_id:ChIJ2wOPPQAVBDsRs8eMLxfWBAo,part_263,2026-09-20 19:09:02
S K R CLINIC,Clinics,Doctor,Doctor,627414,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Cheranmahadevi SO, Karisalpatti BO, Thiruviruthanpuli BO",+91 94421 87214,N/A,4.3,26.0,"91B, BHARATHI NAGAR, Veeravanallur, Tamil Nadu 627426",BHARATHI NAGAR,8.6930236,77.5197063,ChIJy6AOWl4-BDsR0Ai-3zBCGa8,https://www.google.com/maps/place/?q=place_id:ChIJy6AOWl4-BDsR0Ai-3zBCGa8,part_263,2026-09-20 19:09:02
Primary health centre,Clinics,Community health center,Community health center,627414,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Cheranmahadevi SO, Karisalpatti BO, Thiruviruthanpuli BO",N/A,N/A,,,"76/35, Cheranmahadevi, Tamil Nadu 627414",627414,8.686778,77.5671005,ChIJA-NfQQAVBDsRkhVRQ_riu6c,https://www.google.com/maps/place/?q=place_id:ChIJA-NfQQAVBDsRkhVRQ_riu6c,part_263,2026-09-20 19:09:02
JJ Clinic,Clinics,Medical clinic,Medical clinic,627414,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Cheranmahadevi SO, Karisalpatti BO, Thiruviruthanpuli BO",N/A,N/A,,,"MHM6+2X5, Bus Stand Rd, Pallivasal, Cheranmahadevi, Tamil Nadu 627414",Pallivasal,8.6825613,77.56273209999999,ChIJ8TI7IQAVBDsRvgsovOpH0_c,https://www.google.com/maps/place/?q=place_id:ChIJ8TI7IQAVBDsRvgsovOpH0_c,part_263,2026-09-20 19:09:02
Primary Health Center,Clinics,Community health center,Community health center,627414,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Cheranmahadevi SO, Karisalpatti BO, Thiruviruthanpuli BO",N/A,N/A,,,"MHH3+6H2, Cheranmahadevi Kovil Pattu, Tamil Nadu 627414",627414,8.6780135,77.5538988,ChIJZcXRUCw-BDsR2H1XkSDsMbM,https://www.google.com/maps/place/?q=place_id:ChIJZcXRUCw-BDsR2H1XkSDsMbM,part_263,2026-09-20 19:09:02
Anitha Clinic,Clinics,Medical clinic,Medical clinic,627414,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Cheranmahadevi SO, Karisalpatti BO, Thiruviruthanpuli BO",N/A,N/A,,,"Pallivasal, Cheranmahadevi, Tamil Nadu 627414",Pallivasal,8.681392299999999,77.5646431,ChIJE9ncJ4cVBDsR3edQulW6AOA,https://www.google.com/maps/place/?q=place_id:ChIJE9ncJ4cVBDsR3edQulW6AOA,part_263,2026-09-20 19:09:02
