business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sri Lakshmi Multi Speciality Hospital,Multispeciality Hospital,Hospital,"Hospital, Child health care center, Heart hospital, Private hospital",627420,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,Manjolai SO,+91 95381 99977,https://slmsh.in/,4.6,1086.0,"Magadi Main Rd, Chandana layout, Sunkadakatte, Bengaluru, Karnataka 560091","Chandana layout, Sunkadakatte",12.988071099999999,77.5088217,ChIJXaTCo0k8rjsRpTjPqv_nYfg,https://www.google.com/maps/place/?q=place_id:ChIJXaTCo0k8rjsRpTjPqv_nYfg,part_263,2026-09-20 19:12:30
Gurushree Hi-Tech Multi Speciality Hospital,Multispeciality Hospital,Hospital,Hospital,627420,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,Manjolai SO,+91 80 2339 2641,http://gurushreehospital.com/,4.6,2170.0,"Bus Stand, No.1558, opp. Chandra Layout, Chandra Layout, Vijayanagar, Bengaluru, Karnataka 560040","2nd Block, Nagarbhavi 1st Stage, Chandra Layout, Vijayanagar",12.959298299999999,77.5265385,ChIJwbVZ6Xk-rjsRBz1rwlFuQbM,https://www.google.com/maps/place/?q=place_id:ChIJwbVZ6Xk-rjsRBz1rwlFuQbM,part_263,2026-09-20 19:12:30
DHEE Hospitals – Multispecialty Care,Multispeciality Hospital,Hospital,"Hospital, Heart hospital, Orthopedic clinic",627420,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,Manjolai SO,+91 99005 50134,https://dheehospitals.com/,4.5,2120.0,"No 744/784, Metro station, Kanakapura Main Rd, near Doddakallasandra, BOOCHS Layout, Narayan nagar, Bengaluru, Karnataka 560062","BOOCHS Layout, Narayan nagar",12.883379399999999,77.5502305,ChIJg2BQBfY_rjsRHYXg0SKBzkM,https://www.google.com/maps/place/?q=place_id:ChIJg2BQBfY_rjsRHYXg0SKBzkM,part_263,2026-09-20 19:12:30
AMC Multispeciality Hospital,Multispeciality Hospital,Hospital,Hospital,627420,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,Manjolai SO,+91 91643 81888,https://www.amchospitals.in/,4.9,445.0,"124, Kanakapura Main Rd, 7th Block, Jayanagar, Bengaluru, Karnataka 560070","7th Block, Jayanagar",12.929705,77.57639549999999,ChIJNxhsCgAVrjsRFpxjPdujo1Y,https://www.google.com/maps/place/?q=place_id:ChIJNxhsCgAVrjsRFpxjPdujo1Y,part_263,2026-09-20 19:12:30
Shantha multi speciality hospital,Multispeciality Hospital,Hospital,"Hospital, Ambulance service, Laboratory, Pharmacy, Physiotherapist",627420,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,Manjolai SO,+91 84949 44985,https://book-appointment.healthplix.com/dr-shivraj-gowda-general-physician---medical-counselor--bel-layout-bangalore,4.7,371.0,"No.87 Venkateshwara Complex Muddinapalya Main Road, 1st stage, BEL Layout, Anjana Nagar, Bengaluru, Karnataka 560091","Sir M Vishwesharaiah layout, BEL Layout, Anjana Nagar, Sunkadakatte",12.9789636,77.4871148,ChIJvcpJjT09rjsRw9wOWexLInA,https://www.google.com/maps/place/?q=place_id:ChIJvcpJjT09rjsRw9wOWexLInA,part_263,2026-09-20 19:12:30
Matru Multispeciality Hospital,Multispeciality Hospital,Hospital,Hospital,627420,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,Manjolai SO,+91 81234 40749,https://matruhospitals.com/,4.2,206.0,"425, 6th Main Rd, 3rd Block, 3rd Stage 4th Block, 3rd Stage, Basaveshwar Nagar, Bengaluru, Karnataka 560079","3rd Block, 3rd Stage 4th Block, 3rd Stage, Basaveshwar Nagar",12.9896417,77.5388718,ChIJAQAAwLc9rjsR3fzQd6nYq6Q,https://www.google.com/maps/place/?q=place_id:ChIJAQAAwLc9rjsR3fzQd6nYq6Q,part_263,2026-09-20 19:12:30
Kusuma Hospital Bangalore,Multispeciality Hospital,Hospital,"Hospital, Cardiologist, Dialysis center, Dietitian, Emergency care service, Gynecologist, Orthopedic clinic, ENT Specialist, Pediatrician, Physiotherapy Center",627420,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,Manjolai SO,+91 87920 05001,https://kusumahospital.com/,4.5,2615.0,"10th Main Rd, 237/37, 50 Feet Main Rd, Nagendra Block, Srinagar, Banashankari, Bengaluru, Karnataka 560050","Nagendra Block, Srinagar, Banashankari",12.941983299999999,77.55080869999999,ChIJRzK6riI-rjsRKo9XL_arI3k,https://www.google.com/maps/place/?q=place_id:ChIJRzK6riI-rjsRKo9XL_arI3k,part_263,2026-09-20 19:12:30
Apex Multispeciality Hospital,Multispeciality Hospital,Hospital,Hospital,627420,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,Manjolai SO,+91 80 2991 7805,http://apexmultispecialityhospitals.com/,4.4,550.0,"Bellahalli Main Road, near Reva University, Yelahanka, Sathanur, Bengaluru, Karnataka 560064",Yelahanka,13.115048,77.63406239999999,ChIJtQY-OAAZrjsRoPMuBkQMD9c,https://www.google.com/maps/place/?q=place_id:ChIJtQY-OAAZrjsRoPMuBkQMD9c,part_263,2026-09-20 19:12:30
"Pathway Hospital - Best Multispeciality Hospital in R R Nagar , Uttarahalli, Kengeri , Banashankari",Multispeciality Hospital,Hospital,"Hospital, Emergency room",627420,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,Manjolai SO,+91 96111 55155,http://www.pathwayhospitals.com/,4.5,729.0,"1280, Uttarahalli Main Rd, Channasandra, Rajarajeshwari Nagar, Bengaluru, Karnataka 560098","Channasandra, Rajarajeshwari Nagar",12.9033272,77.52398649999999,ChIJ-Trlsd8_rjsRkXJ_eji-ZD8,https://www.google.com/maps/place/?q=place_id:ChIJ-Trlsd8_rjsRkXJ_eji-ZD8,part_263,2026-09-20 19:12:30
"Surgecare Super Speciality Hospital | Centre For Surgical Excellence | Ramamurthy Nagar, Bangalore",Multispeciality Hospital,Private hospital,"Private hospital, Doctor, Emergency care physician, General practitioner, Obstetrician-gynecologist, Hospital, Medical clinic, Orthopedic surgeon, Pediatrician, Surgeon",627420,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,Manjolai SO,+91 87628 35599,http://www.surgecaressh.com/,4.5,933.0,"Site No 1&2, 5th Cross, Ramamurthi Nagar Main Rd, near Ramamurthy nagar, Dayananda Layout, Signal, Bengaluru, Karnataka 560016","Dayananda Layout, Signal, Ramamurthy Nagar",13.0128901,77.6644477,ChIJYxmcMWERrjsRkhZfr9HAjH8,https://www.google.com/maps/place/?q=place_id:ChIJYxmcMWERrjsRkhZfr9HAjH8,part_263,2026-09-20 19:12:30
