business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
St. Michael's Parish Hall,Banquet Hall,Banquet hall,"Banquet hall, Auditorium",627427,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Nalumukku SO, Kodayar Melthangal BO, Oothu BO",N/A,N/A,4.2,786.0,"286C+82P, Civil Line Rd, Chembumukku, Vazhakkala, Kochi, Keralam 682021","Chembumukku, Vazhakkala",10.0108366,76.3200793,ChIJxyVFrP0MCDsRmx4L7ljsS1k,https://www.google.com/maps/place/?q=place_id:ChIJxyVFrP0MCDsRmx4L7ljsS1k,part_263,2026-09-20 19:17:39
SAI CHAITANYA COMMUNITY CENTRE,Banquet Hall,Auditorium,Auditorium,627427,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Nalumukku SO, Kodayar Melthangal BO, Oothu BO",N/A,N/A,4.0,50.0,"near Sai Fuels, Karipur, Malayinkeezh, Keralam 695571",Karipur,8.5011805,77.02923489999999,ChIJi0nN6yuxBTsRGRJpnl-t5ZI,https://www.google.com/maps/place/?q=place_id:ChIJi0nN6yuxBTsRGRJpnl-t5ZI,part_263,2026-09-20 19:17:39
Ubhaya Vedantha Pravarthana Sabha,Banquet Hall,Banquet hall,Banquet hall,627427,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Nalumukku SO, Kodayar Melthangal BO, Oothu BO",N/A,N/A,4.2,58.0,"2H2C+95H, E Park Rd, Malleshwaram, Bengaluru, Karnataka 560003",Malleshwaram,13.0009409,77.5704841,ChIJ2TE6EQAXrjsR5uKZxSWyXMc,https://www.google.com/maps/place/?q=place_id:ChIJ2TE6EQAXrjsR5uKZxSWyXMc,part_263,2026-09-20 19:17:39
6X Party Hall,Banquet Hall,Banquet hall,"Banquet hall, Event venue",627427,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Nalumukku SO, Kodayar Melthangal BO, Oothu BO",+91 73732 90404,http://6xpartyhall.in/,4.6,183.0,"Landmark: Thursday Market, #6, G-Block, 1 Building Arumugam Nagar , Sekkalai, Backside, Karaikudi, Tamil Nadu 630002",Backside,10.0869875,78.7736965,ChIJzVx1nYdnADsRF85XVzCNXfU,https://www.google.com/maps/place/?q=place_id:ChIJzVx1nYdnADsRF85XVzCNXfU,part_263,2026-09-20 19:17:39
Elegance Event Home,Banquet Hall,Event venue,Event venue,627427,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Nalumukku SO, Kodayar Melthangal BO, Oothu BO",N/A,N/A,5.0,114.0,"Kareelakulangara, Keerikkad, Keralam 690508",627427,9.2001786,76.4787996,ChIJb-vBNwAfBjsRpsljZiaS7vk,https://www.google.com/maps/place/?q=place_id:ChIJb-vBNwAfBjsRpsljZiaS7vk,part_263,2026-09-20 19:17:39
Yacobian Hall,Banquet Hall,Wedding venue,Wedding venue,627427,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Nalumukku SO, Kodayar Melthangal BO, Oothu BO",+91 484 243 0361,N/A,4.0,135.0,"27XR+4X4, St James Church Rd, Amrita Nagar, Edappally, Ernakulam, Keralam 682034","Amrita Nagar, Edappally",10.0477563,76.2924656,ChIJN55USegNCDsR-8z0K4EhVMo,https://www.google.com/maps/place/?q=place_id:ChIJN55USegNCDsR-8z0K4EhVMo,part_263,2026-09-20 19:17:39
Novo Event Hub,Banquet Hall,Event venue,Event venue,627427,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Nalumukku SO, Kodayar Melthangal BO, Oothu BO",+91 90721 82828,https://keralaclassify.com/listings/novo-event-hub-palayoor/,4.8,32.0,"Nursery and, near Palayoor, behind Taqwa Masjid, Angadithazham, Palayoor, Chavakkad, Guruvayur, Keralam 680506","Angadithazham, Palayoor",10.580966199999999,76.0379251,ChIJSXwfTi-VpzsRPG0pCPYMPE4,https://www.google.com/maps/place/?q=place_id:ChIJSXwfTi-VpzsRPG0pCPYMPE4,part_263,2026-09-20 19:17:39
Anjanam,Banquet Hall,Banquet hall,Banquet hall,627427,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Nalumukku SO, Kodayar Melthangal BO, Oothu BO",N/A,https://eventmanagementkerala.com/,4.3,307.0,"551, Vinpy Nagar, Paravattani, Thrissur, Keralam 680005","Vinpy Nagar, Paravattani",10.5186339,76.2435051,ChIJNb2JosDvpzsRPajc5YdyrCU,https://www.google.com/maps/place/?q=place_id:ChIJNb2JosDvpzsRPajc5YdyrCU,part_263,2026-09-20 19:17:39
Pearl Wedding Village,Banquet Hall,Convention center,Convention center,627427,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Nalumukku SO, Kodayar Melthangal BO, Oothu BO",N/A,https://eventmanagementkerala.com/,4.4,73.0,"Thanikkudam Mudikkod Rd, Mannuthy, Chirakkakkode, Thrissur, Keralam 680654",Mannuthy,10.5575876,76.29722919999999,ChIJv4EiSlrlpzsRgIthfmVhuyU,https://www.google.com/maps/place/?q=place_id:ChIJv4EiSlrlpzsRgIthfmVhuyU,part_263,2026-09-20 19:17:39
Wedding Village,Banquet Hall,Convention center,Convention center,627427,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Nalumukku SO, Kodayar Melthangal BO, Oothu BO",+91 85890 63888,https://eventmanagementkerala.com/,4.2,737.0,"Civil Lines Rd, Thrissur, Keralam 680003",627427,10.5390857,76.1846585,ChIJp9EdQL_vpzsRLwfthr1xzoM,https://www.google.com/maps/place/?q=place_id:ChIJp9EdQL_vpzsRLwfthr1xzoM,part_263,2026-09-20 19:17:39
