business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dr VENKI'S ENT CLINIC,ENT Clinic,Hospital,Hospital,627452,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,Melaseval SO,+91 89198 70545,https://drvekisentclinic.lovable.app/,4.8,124,"bus stop, 9-103, behind Anjaneya swami temple, Kamayyathopu, Padmaja Nagar, Kanuru, Vijayawada, Andhra Pradesh 520007","Kamayyathopu, Padmaja Nagar, Kanuru",16.483451,80.68558159999999,ChIJS6nmc9f7NToRB-aFybCIsjY,https://www.google.com/maps/place/?q=place_id:ChIJS6nmc9f7NToRB-aFybCIsjY,part_263,2026-09-20 19:19:35
APURVA ENT CLINIC,ENT Clinic,ENT Specialist,"ENT Specialist, Otolaryngology clinic",627452,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,Melaseval SO,+91 82964 91488,https://hplix.in/HPL40509,5.0,79,"Audumbar Vihar Building, behind Med plus medical shop, opposite Domino's pizza, Shridharnagar, Chinchwad, Pune, Pimpri-Chinchwad, Maharashtra 411033","Shridharnagar, Chinchwad",18.6301845,73.7877266,ChIJ2wEUmxW5wjsRgYDog7E_jZ0,https://www.google.com/maps/place/?q=place_id:ChIJ2wEUmxW5wjsRgYDog7E_jZ0,part_263,2026-09-20 19:19:35
SIDDHIVINAYAK ADVANCED ENT CARE CENTRE,ENT Clinic,ENT Specialist,"ENT Specialist, Surgeon",627452,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,Melaseval SO,+91 84849 89782,N/A,4.6,176,"PUNE-SATARA ROAD ADINATH SOPPING COMPLEX, Pune, Maharashtra 411037","Adinath Society, Parsanees Colony, Maharshi Nagar",18.491127499999997,73.85801599999999,ChIJXyK0e9jBwjsRnKNIFLj3MII,https://www.google.com/maps/place/?q=place_id:ChIJXyK0e9jBwjsRnKNIFLj3MII,part_263,2026-09-20 19:19:35
Dr. Poorva Lunavat,ENT Clinic,ENT Specialist,"ENT Specialist, Doctor, Medical clinic, Otolaryngology clinic, Sleep clinic, Surgeon",627452,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,Melaseval SO,+91 98235 27027,http://www.entdoctorpune.com/,4.8,179,"Indira chambers opposite Maharashtra mandal, Tilak Rd, Sadashiv Peth, Maha, Maharashtra 411030","Ramashram Society, Perugate, Sadashiv Peth",18.5097629,73.8468226,ChIJNc6M85LBwjsR98iprmZUAUc,https://www.google.com/maps/place/?q=place_id:ChIJNc6M85LBwjsR98iprmZUAUc,part_263,2026-09-20 19:19:35
"SURIYA ENT CLINIC (Dr. Santhanakrishna Kumar, MS ENT)",ENT Clinic,ENT Specialist,ENT Specialist,627452,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,Melaseval SO,+91 80987 12936,N/A,5.0,19,"1A/3, V.V.D Main Rd, Toovipuram, Thoothukudi, Tamil Nadu 628008",Toovipuram,8.8044768,78.1333903,ChIJtzf19RnvAzsRowYtekCTEU0,https://www.google.com/maps/place/?q=place_id:ChIJtzf19RnvAzsRowYtekCTEU0,part_263,2026-09-20 19:19:35
Sparsh Skin and ENT clinic,ENT Clinic,ENT Specialist,"ENT Specialist, Ear piercing service, Hair transplantation clinic, Hearing aid store, Laser hair removal service, Dermatologist, Otolaryngology clinic, Skin care clinic, Venereologist",627452,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,Melaseval SO,+91 90283 35883,https://sparshskinent.com/,4.8,1095,"2nd Floor flat no 5, Prestige Corner, Chowk, Sinhgad Rd, opposite to Smart Bazar Hingne chowk, behind Ganesh Temple, Hingne Khurd, Pune, Maharashtra 411051",Hingne Khurd,18.4806685,73.825882,ChIJW2gyn1iVwjsR2yZnQTkzCLY,https://www.google.com/maps/place/?q=place_id:ChIJW2gyn1iVwjsR2yZnQTkzCLY,part_263,2026-09-20 19:19:35
Dr. Ajinkya Kelkar,ENT Clinic,ENT Specialist,"ENT Specialist, Medical clinic, Surgeon",627452,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,Melaseval SO,+91 89568 11228,https://www.drajinkyakelkarent.com/,4.8,238,"1st Flr, Amit Samruddhi, opp. Balgandharv(Main Gate, above abhuudaya bank, Deccan Gymkhana, Pune, Maharashtra 411004",Deccan Gymkhana,18.522399699999998,73.8472285,ChIJ21S1HDzBwjsRtLCeumsZFKs,https://www.google.com/maps/place/?q=place_id:ChIJ21S1HDzBwjsRtLCeumsZFKs,part_263,2026-09-20 19:19:35
Dr. Alkesh Oswal,ENT Clinic,ENT Specialist,ENT Specialist,627452,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,Melaseval SO,+91 95036 03443,N/A,4.7,261,"Shop No.4, Shastri Complex, Lakshmi Narayan Theater Chowk, near Ratna Building, Mukund Nagar, Pune, Maharashtra 411042",Mukund Nagar,18.4967391,73.858745,ChIJIb_4Z_LqwjsRH2LVG6UWSCk,https://www.google.com/maps/place/?q=place_id:ChIJIb_4Z_LqwjsRH2LVG6UWSCk,part_263,2026-09-20 19:19:35
Aashirwad ENT Clinic,ENT Clinic,ENT Specialist,ENT Specialist,627452,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,Melaseval SO,+91 20 2553 6710,N/A,4.9,15,"2, Purva Apts, Bhausaheb, Rambhau K Kamble Path, opp. SinghHyundai service station, Narveer Tanaji Wadi, Shivajinagar, Pune, Maharashtra 411005","Narveer Tanaji Wadi, Shivajinagar",18.534035799999998,73.8498341,ChIJc24x7YbAwjsRfanCXqCoKAk,https://www.google.com/maps/place/?q=place_id:ChIJc24x7YbAwjsRfanCXqCoKAk,part_263,2026-09-20 19:19:35
Dr. Robin's Endoscopy ENT Clinic,ENT Clinic,ENT Specialist,"ENT Specialist, Doctor, Endoscopist, Otolaryngology clinic, Surgeon",627452,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,Melaseval SO,+91 75400 66030,N/A,4.9,98,"ROSH ENT & DENTAL CLINIC, Meenakshipuram East, Meenakshipuram, Thoothukudi, Tamil Nadu 628002","Meenakshipuram East, Meenakshipuram",8.8063791,78.14048079999999,ChIJCQNImNjvAzsRvm2QbOlCLks,https://www.google.com/maps/place/?q=place_id:ChIJCQNImNjvAzsRvm2QbOlCLks,part_263,2026-09-20 19:19:35
