business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Arasankulam, Tamil Nadu 627603",Dairy and Milk Parlour,Postal code,Postal code,627603,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,Vadakku Ariyanayagipuram Petta SO,N/A,N/A,,,"Arasankulam, Tamil Nadu",627603,8.7205504,77.54761169999999,ChIJrTxWg-I9BDsRjFDKm5pobos,https://www.google.com/maps/place/?q=place_id:ChIJrTxWg-I9BDsRjFDKm5pobos,part_263,2026-09-20 19:23:31
Ambadiyil Dairy Milk,Dairy and Milk Parlour,Dairy farm,Dairy farm,627603,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,Vadakku Ariyanayagipuram Petta SO,+91 80757 27325,https://www.ambadiyildairyfarm.com/,4.5,222.0,"Kuttoor Road, Nannadu, Eramallikkara, Thiruvanvandoor, Keralam 689106","Nannadu, Eramallikkara",9.3540064,76.5693215,ChIJIaVJgeojBjsRFmWwDRl2wfw,https://www.google.com/maps/place/?q=place_id:ChIJIaVJgeojBjsRFmWwDRl2wfw,part_263,2026-09-20 19:23:32
Thomson Dairy | Farm Fresh Milk in Thrissur | Home Delivery Available,Dairy and Milk Parlour,Dairy farm,Dairy farm,627603,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,Vadakku Ariyanayagipuram Petta SO,+91 96337 74444,https://thomsondairy.com/,4.5,31.0,"C7XR+C6W, Vattanathra Rd, Kallur, Keralam 680317",627603,10.4465404,76.2906256,ChIJqZ-2w0b7pzsRMbG7zyCN0iA,https://www.google.com/maps/place/?q=place_id:ChIJqZ-2w0b7pzsRMbG7zyCN0iA,part_263,2026-09-20 19:23:32
Devu's Dairy,Dairy and Milk Parlour,Dairy farm,Dairy farm,627603,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,Vadakku Ariyanayagipuram Petta SO,+91 99613 01031,N/A,4.9,20.0,"Pengamuck, Po, Karichalkadavu Kattakambal, Kunnamkulam, Keralam 679562",Karichalkadavu Kattakambal,10.6717465,76.0304328,ChIJYx0CeaW_pzsRv9RBA-obALo,https://www.google.com/maps/place/?q=place_id:ChIJYx0CeaW_pzsRv9RBA-obALo,part_263,2026-09-20 19:23:32
Daily dairy form,Dairy and Milk Parlour,Dairy farm,Dairy farm,627603,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,Vadakku Ariyanayagipuram Petta SO,+91 63793 66200,N/A,5.0,3.0,"Kommuti street, Karunguzhi, Tamil Nadu 603303",627603,12.5326341,79.9031191,ChIJSbrc2lodUzoRKlrt9RW9Ty4,https://www.google.com/maps/place/?q=place_id:ChIJSbrc2lodUzoRKlrt9RW9Ty4,part_263,2026-09-20 19:23:32
Aamro Dairies Pvt Ltd,Dairy and Milk Parlour,Dairy farm,Dairy farm,627603,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,Vadakku Ariyanayagipuram Petta SO,+91 79944 29799,http://www.aamrodairies.com/,4.8,124.0,"Revathy Kailas, East Gate, Vaikom, Keralam 686141",627603,9.7513206,76.4070337,ChIJs616koF5CDsRvD2GuFXBrbw,https://www.google.com/maps/place/?q=place_id:ChIJs616koF5CDsRvD2GuFXBrbw,part_263,2026-09-20 19:23:32
Vasudevam Farm,Dairy and Milk Parlour,Milk delivery service,"Milk delivery service, Dairy farm",627603,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,Vadakku Ariyanayagipuram Petta SO,+91 62821 32435,http://vasudevamfarm.com/?utm_source=gmb&utm_medium=referral,4.9,84.0,"Punnackal, Elamakkara, Ernakulam, Keralam 682026","Punnackal, Elamakkara",10.0185014,76.2912102,ChIJ7eGnML4NCDsRuIEZNP9G1fo,https://www.google.com/maps/place/?q=place_id:ChIJ7eGnML4NCDsRuIEZNP9G1fo,part_263,2026-09-20 19:23:32
Krsna a2 Milk,Dairy and Milk Parlour,Dairy farm,Dairy farm,627603,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,Vadakku Ariyanayagipuram Petta SO,+91 77999 78080,https://www.krsnaa2milk.com/,4.7,202.0,"Survey No, v, 173 to 181, MC Pally (m, d, Jaganguda, Hyderabad, Telangana 500101","MC Pally (m, d",17.621869399999998,78.6412173,ChIJZ6T5LjqDyzsRPojnTUAxd7k,https://www.google.com/maps/place/?q=place_id:ChIJZ6T5LjqDyzsRPojnTUAxd7k,part_263,2026-09-20 19:23:32
Mirza Dairy Farm,Dairy and Milk Parlour,Dairy farm,Dairy farm,627603,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,Vadakku Ariyanayagipuram Petta SO,N/A,N/A,4.4,29.0,"P7G7+P4X, Medak, Telangana 502313",627603,17.7268604,78.2628484,ChIJbT3yG-8KzDsRDfHbwSUr1Gk,https://www.google.com/maps/place/?q=place_id:ChIJbT3yG-8KzDsRDfHbwSUr1Gk,part_263,2026-09-20 19:23:32
Nalukody Milk Producer Society,Dairy and Milk Parlour,Milk delivery service,Milk delivery service,627603,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,Vadakku Ariyanayagipuram Petta SO,N/A,N/A,4.1,93.0,"CHJ7+2M8, Thengana - Perumthuruty Bypass, Changanassery, Keralam 686548",627603,9.4300411,76.5642069,ChIJRdQ6jMUlBjsRVQwISBsWGWc,https://www.google.com/maps/place/?q=place_id:ChIJRdQ6jMUlBjsRVQwISBsWGWc,part_263,2026-09-20 19:23:32
Milma Thrissur Dairy,Dairy and Milk Parlour,Milk delivery service,Milk delivery service,627603,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,Vadakku Ariyanayagipuram Petta SO,+91 487 269 5873,http://www.milma.com/,4.3,503.0,"Mannumkad, Ramavarmapuram, Thrissur, Keralam 680631","Mannumkad, Ramavarmapuram",10.557728,76.23915459999999,ChIJFch2HxfvpzsRn1ItR3TS6qE,https://www.google.com/maps/place/?q=place_id:ChIJFch2HxfvpzsRn1ItR3TS6qE,part_263,2026-09-20 19:23:32
PDDP Milk Diary,Dairy and Milk Parlour,Milk delivery service,Milk delivery service,627603,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,Vadakku Ariyanayagipuram Petta SO,N/A,N/A,4.4,14.0,"5C87+MJJ, Piraroor, Puthussery, Kalady, Kerala 683574","Piraroor, Puthussery",10.1667192,76.4140137,ChIJr0rz0AkHCDsR2INuEOELvew,https://www.google.com/maps/place/?q=place_id:ChIJr0rz0AkHCDsR2INuEOELvew,part_263,2026-09-20 19:23:32
Milma Ernakulam Dairy,Dairy and Milk Parlour,Dairy store,"Dairy store, Ice cream shop",627603,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,Vadakku Ariyanayagipuram Petta SO,+91 484 277 7453,http://www.milma.com/,4.3,1012.0,"X84X+555, Thrippunithura, Kochi, Ernakulam, Keralam 682301",Thrippunithura,9.9553829,76.3479887,ChIJY4AibBVzCDsRTarkXG8oCuM,https://www.google.com/maps/place/?q=place_id:ChIJY4AibBVzCDsRTarkXG8oCuM,part_263,2026-09-20 19:23:32
