business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Prinz HR Services,HR Planning and Recruitment,Employment agency,Employment agency,627657,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Tisayanvillai SO, Kalikumarapuram BO, Karaichuthupudur BO",+91 90805 96925,https://prinz-hr-services.ueniweb.com/?utm_campaign=gmb,3.3,,"6, Km Plaza, Thirukkurungudi, Valliyur, Tamil Nadu 627117",627657,8.4013818,77.6175322,ChIJZy6_jxFnBDsRm9KW91A8tc4,https://www.google.com/maps/place/?q=place_id:ChIJZy6_jxFnBDsRm9KW91A8tc4,part_263,2026-09-20 19:27:31
Tirunelveli Jobs | Local Jobs | Job Vacancy | Papanasam Jobs | CRO Jobs | Executive jobs,HR Planning and Recruitment,Employment agency,"Employment agency, Unemployment office",627657,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Tisayanvillai SO, Kalikumarapuram BO, Karaichuthupudur BO",N/A,http://www.magicreachjobs.com/,4.0,,"bus stand, No.40, NGO B colony, Udhaya nager Jesuraja hi-tech school ,near New, Tirunelveli, Tamil Nadu 627007",NGO B Colony,8.698401,77.7309646,ChIJazUeTAoTBDsRhjscv81CCpQ,https://www.google.com/maps/place/?q=place_id:ChIJazUeTAoTBDsRhjscv81CCpQ,part_263,2026-09-20 19:27:31
Increase Training For Placement,HR Planning and Recruitment,Employment agency,Employment agency,627657,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Tisayanvillai SO, Kalikumarapuram BO, Karaichuthupudur BO",+91 95438 89933,N/A,5.0,,"PP2G+84V, Vasanth Nagar, Tirunelveli, Tamil Nadu 627007",Vasanth Nagar,8.7008741,77.7252815,ChIJ8-1eIGsSBDsRo88aiBMjvqI,https://www.google.com/maps/place/?q=place_id:ChIJ8-1eIGsSBDsRo88aiBMjvqI,part_263,2026-09-20 19:27:31
DISTRICT RECRUITMENT BUREAU-2022,HR Planning and Recruitment,Employment agency,Employment agency,627657,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Tisayanvillai SO, Kalikumarapuram BO, Karaichuthupudur BO",+91 462 256 0575,http://drbtny.in/,5.0,,"1, Meignana Street, Kattnayakan, Palayamkottai, Pincode, Tirunelveli, Tamil Nadu 627002","Kattnayakan, Palayamkottai",8.715085499999999,77.7338231,ChIJBTYgMwUSBDsRroYszFSTIOk,https://www.google.com/maps/place/?q=place_id:ChIJBTYgMwUSBDsRroYszFSTIOk,part_263,2026-09-20 19:27:31
Green consultancy services,HR Planning and Recruitment,Employment center,Employment center,627657,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Tisayanvillai SO, Kalikumarapuram BO, Karaichuthupudur BO",N/A,N/A,,,"PQ6C+R6R, KTC Nagar, Tirunelveli, Tamil Nadu 627011",KTC Nagar,8.7121154,77.7705245,ChIJh8fg878NBDsR9zaw_l33aP0,https://www.google.com/maps/place/?q=place_id:ChIJh8fg878NBDsR9zaw_l33aP0,part_263,2026-09-20 19:27:31
Cloud Minds Consulting Services,HR Planning and Recruitment,Employment consultant,"Employment consultant, BPO Placement Agency",627657,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Tisayanvillai SO, Kalikumarapuram BO, Karaichuthupudur BO",+91 86818 80888,N/A,4.8,,"Shop No:4, Sankaran Kovil, Main Rd, Sankarnagar, Naranammalpuram, Tamil Nadu 627357",627657,8.793096499999999,77.7301056,ChIJJ4X9wjARBDsR4eyRye78Oto,https://www.google.com/maps/place/?q=place_id:ChIJJ4X9wjARBDsR4eyRye78Oto,part_263,2026-09-20 19:27:31
IMPERIAL HR SOLUTIONS,HR Planning and Recruitment,Unemployment office,Unemployment office,627657,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Tisayanvillai SO, Kalikumarapuram BO, Karaichuthupudur BO",+91 84893 84721,N/A,4.5,2.0,"No:52,GRound Floor, Esakki Complex,Perumal East Car Street, Palayamkottai, Tirunelveli, Tamil Nadu 627002",Palayamkottai,8.7254649,77.7362129,ChIJ6UPwXfgRBDsRQtEs0reQG7o,https://www.google.com/maps/place/?q=place_id:ChIJ6UPwXfgRBDsRQtEs0reQG7o,part_263,2026-09-20 19:27:31
Job Consultancy in Tirunelveli,HR Planning and Recruitment,Recruiter,Recruiter,627657,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Tisayanvillai SO, Kalikumarapuram BO, Karaichuthupudur BO",N/A,N/A,4.0,,"Pittapurathi, Kamatchi Amman Kovil St, Tirunelveli, Tamil Nadu 627006","Lalugapuram, Nellai Nagaram",8.732426,77.6850685,ChIJaZZVJYYRBDsRQICvMrYkq5E,https://www.google.com/maps/place/?q=place_id:ChIJaZZVJYYRBDsRQICvMrYkq5E,part_263,2026-09-20 19:27:31
RATNA INTERNATIONAL,HR Planning and Recruitment,Employment agency,Employment agency,627657,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Tisayanvillai SO, Kalikumarapuram BO, Karaichuthupudur BO",+91 93845 50807,https://ratnatirunelveli.net/,5.0,,"MPWM+67M, Ramvilas Nagar, Perumalpuram, Vasantha Nager, Tirunelveli, Tamil Nadu 627007","Ramvilas Nagar, Perumalpuram, Vasantha Nager",8.6955972,77.7331859,ChIJmb6ie48TBDsRd7kj01fXlNE,https://www.google.com/maps/place/?q=place_id:ChIJmb6ie48TBDsRd7kj01fXlNE,part_263,2026-09-20 19:27:31
Success Recruitment Solutions,HR Planning and Recruitment,Corporate office,Corporate office,627657,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Tisayanvillai SO, Kalikumarapuram BO, Karaichuthupudur BO",+91 88807074484,N/A,,,"C63, 9th Cross St, NGO A Colony, Vasantha Nager, Tirunelveli, Tamil Nadu 627007","NGO A Colony, Vasantha Nager",8.7014215,77.7309027,ChIJs_xhJ20SBDsR4qhx3UEOO28,https://www.google.com/maps/place/?q=place_id:ChIJs_xhJ20SBDsR4qhx3UEOO28,part_263,2026-09-20 19:27:32
