business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
PAVI BEAUTY CARE,Salon,Beauty Parlour,Beauty Parlour,627753,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Karivalamvandanallur S.O, Karisathan B.O, Kulasekaraperi B.O",+91 70924 27169,N/A,4.9,9,"Pandian Bank, Amman sannathi, opposite Maadi, Karivalamvandanallur, Tamil Nadu 627753",627753,9.2702663,77.5419096,ChIJzTWZ6YeVBjsR2mnNNJGJI4I,https://www.google.com/maps/place/?q=place_id:ChIJzTWZ6YeVBjsR2mnNNJGJI4I,part_263,2026-09-20 19:30:02
Smart cut salon & spa.,Salon,Beauty Parlour,"Beauty Parlour, Hairdresser",627753,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Karivalamvandanallur S.O, Karisathan B.O, Kulasekaraperi B.O",N/A,N/A,4.8,21,"Seetha laxmi complex, TNC - Kongankulam Rd, Alangulam, Tamil Nadu 626131",627753,9.364491899999999,77.6770688,ChIJi8YsZhPHBjsRfuLBn0AnOkc,https://www.google.com/maps/place/?q=place_id:ChIJi8YsZhPHBjsRfuLBn0AnOkc,part_263,2026-09-20 19:30:02
Nexor Premium Men's Salon,Salon,Beauty Parlour,Beauty Parlour,627753,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Karivalamvandanallur S.O, Karisathan B.O, Kulasekaraperi B.O",+91 70109 05100,N/A,5.0,18,"5/1028/G4, Rajapalayam Rd, near railway gate Old fire station, NGO Colony, Sankarankoil, Kalppakulam, Tamil Nadu 627756",NGO Colony,9.1860884,77.5343144,ChIJ4QtBBPGXBjsRjego_YF-Ltg,https://www.google.com/maps/place/?q=place_id:ChIJ4QtBBPGXBjsRjego_YF-Ltg,part_263,2026-09-20 19:30:02
Naturals Salon,Salon,Beauty Parlour,"Beauty Parlour, Facial spa, Make-up artist, Nail salon, Hairdresser",627753,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Karivalamvandanallur S.O, Karisathan B.O, Kulasekaraperi B.O",+91 96777 54545,https://salons.naturals.in/naturals-salon-beauty-salons-sankarankovil-tirunelveli-298276/Home?utm_source=locator&utm_medium=googleplaces,4.7,476,"No 3/8, Pranav Apartment, 2nd Street, Thiruvudaiyan Salai, opposite Sathya Agencies, Sankarankoil, Tirunelveli, Tamil Nadu 627756",627753,9.184066,77.5370453,ChIJTcoooKOXBjsRlUhQ1E7w9Jc,https://www.google.com/maps/place/?q=place_id:ChIJTcoooKOXBjsRlUhQ1E7w9Jc,part_263,2026-09-20 19:30:02
Meera Salon | Ramasamiyapuram Branch,Salon,Beauty Parlour,Beauty Parlour,627753,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Karivalamvandanallur S.O, Karisathan B.O, Kulasekaraperi B.O",+91 97519 38073,N/A,5.0,1,"19/1, 7th St, Gomathiyapuram, Sankarankoil, Tamil Nadu 627756",Gomathiyapuram,9.1743395,77.535065,ChIJhRQ_peqXBjsRSBw1_SnhZB8,https://www.google.com/maps/place/?q=place_id:ChIJhRQ_peqXBjsRSBw1_SnhZB8,part_263,2026-09-20 19:30:02
Dhanalaxmi Bridal Studio,Salon,Make-up artist,"Make-up artist, Mehndi Designer, Nail salon",627753,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Karivalamvandanallur S.O, Karisathan B.O, Kulasekaraperi B.O",+91 97912 30730,https://www.instagram.com/sankarankovilmakeupartistdhana?igsh=MnJ2bzA3MTRxZjJv,4.7,30,"TVLS Building, Ground floor, Arumuga Thevar Complex, Old, South, Vadakku Radha Veethi, Sankarankoil, Tamil Nadu 627756",627753,9.170033199999999,77.5344604,ChIJhwIdKhGXBjsRzjUMvDtj6HU,https://www.google.com/maps/place/?q=place_id:ChIJhwIdKhGXBjsRzjUMvDtj6HU,part_263,2026-09-20 19:30:02
Shri Meera Mens Salon,Salon,Hair salon,Hair salon,627753,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Karivalamvandanallur S.O, Karisathan B.O, Kulasekaraperi B.O",+91 94435 55856,http://shrimeerasalon.com/,4.9,55,"59/60, 7th St, Gomedyapuram, Gomathiyapuram, Sankarankoil, Tamil Nadu 627756","Gomedyapuram, Gomathiyapuram",9.1750788,77.536369,ChIJC1ngeMeXBjsRdrWCpcpw8_U,https://www.google.com/maps/place/?q=place_id:ChIJC1ngeMeXBjsRdrWCpcpw8_U,part_263,2026-09-20 19:30:02
Beauty Queen beauty parlour and Tattoo,Salon,Beauty Parlour,"Beauty Parlour, Catering food and drink supplier, Wedding photographer",627753,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Karivalamvandanallur S.O, Karisathan B.O, Kulasekaraperi B.O",+91 84384 96962,N/A,5.0,1,"East car street, 1/113A East car street Rajapalaiyam main road Karivalamvandanallur sankarankoil, 1/113A, Rajapalayam Rd, Karivalamvandanallur, Tamil Nadu 627753",627753,9.270573599999999,77.5420938,ChIJZdIHDtgRBDsRn-DxV0UYJyE,https://www.google.com/maps/place/?q=place_id:ChIJZdIHDtgRBDsRn-DxV0UYJyE,part_263,2026-09-20 19:30:02
செல்வம் சலூன் & போர்வேல்ஸ்,Salon,Beauty Parlour,Beauty Parlour,627753,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Karivalamvandanallur S.O, Karisathan B.O, Kulasekaraperi B.O",+91 99765 29718,N/A,5.0,5,"Puliyangudi - Sankarankoil - Kalugumalai - Nalatinputhur Rd, Malayankulam, Tamil Nadu 627754",627753,9.1615438,77.5952681,ChIJVVXYPTC9BjsRFKIjREBoNqY,https://www.google.com/maps/place/?q=place_id:ChIJVVXYPTC9BjsRFKIjREBoNqY,part_263,2026-09-20 19:30:02
Nowmi Salon Sankarankovil,Salon,Barber shop,Barber shop,627753,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Karivalamvandanallur S.O, Karisathan B.O, Kulasekaraperi B.O",N/A,https://www.instagram.com/nowmi_sankarankovil_110?igsi=MWNhOXV0a3VvOTZ0Zw==,5.0,3,"Thiruvengadam Rd, Sankarankoil, Tamil Nadu 627756",627753,9.175591899999999,77.5428596,ChIJK1dVYQCXBjsRHHT-dGvC_rM,https://www.google.com/maps/place/?q=place_id:ChIJK1dVYQCXBjsRHHT-dGvC_rM,part_263,2026-09-20 19:30:02
