business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Innovative work solutions,B2B Appointment-Setting Agencies,BPO Company,BPO Company,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",N/A,http://innovativewsbpo.com/our-offices/,4.4,,"Kulavanigarpuram, Shanthi Nagar, Tirunelveli, Tamil Nadu 627005","Kulavanigarpuram, Shanthi Nagar",8.706823199999999,77.7247454,ChIJsTxKby0TBDsR57LAtsQsYPY,https://www.google.com/maps/place/?q=place_id:ChIJsTxKby0TBDsR57LAtsQsYPY,part_264,2026-09-20 19:02:24,5331
AJ Manpower Agency,B2B Appointment-Setting Agencies,Employment center,Employment center,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",N/A,N/A,4.4,,"19, SH 40, Murugankurichi, Tirunelveli-2, Palayamkottai, Tirunelveli, Tamil Nadu 627002","Murugankurichi, Tirunelveli-2, Palayamkottai",8.7265,77.730002,ChIJU7OqGgARBDsRjkgUBDttXPo,https://www.google.com/maps/place/?q=place_id:ChIJU7OqGgARBDsRjkgUBDttXPo,part_264,2026-09-20 19:02:24,5332
Enreach Technology,B2B Appointment-Setting Agencies,BPO Company,BPO Company,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 87601 58007,https://www.enreachtechnology.com/,5.0,2.0,"146k, Tirunelveli, Tamil Nadu 627011",627761,8.715017999999999,77.76562799999999,ChIJFyEoTwANBDsREP2DOZEdTPc,https://www.google.com/maps/place/?q=place_id:ChIJFyEoTwANBDsREP2DOZEdTPc,part_264,2026-09-20 19:02:24,5333
Sales Design Institute | B2B Marketing & Lead Generation,B2B Appointment-Setting Agencies,Business to business service,"Business to business service, Service establishment",627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 98413 09379,https://www.salesdesign.co.in/,5.0,6.0,"Sales Design Institute | B2B Marketing & Lead Generation, 627761, India",627761,21.8140152,80.45728009999999,ChIJl3ZAXjQZDTkReMpQ9L_JAj8,https://www.google.com/maps/place/?q=place_id:ChIJl3ZAXjQZDTkReMpQ9L_JAj8,part_264,2026-09-20 19:02:24,5334
Getinz Madurai,B2B Appointment-Setting Agencies,Executive search firm,Executive search firm,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",N/A,https://www.getinz.com/,4.2,11.0,"184, 1st&2nd Floor, N Veli St, Madurai Main, Madurai, Tamil Nadu 625001",Madurai Main,9.9239613,78.1145938,ChIJL82OxpvFADsRcM5h7zturc0,https://www.google.com/maps/place/?q=place_id:ChIJL82OxpvFADsRcM5h7zturc0,part_264,2026-09-20 19:02:24,5335
BIG BOSS JOB,B2B Appointment-Setting Agencies,Unemployment office,Unemployment office,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",N/A,N/A,5.0,1.0,"6/5 Main Road, Muthoot Upstairs, Kalladaikurichi, Tamil Nadu 627416",627761,8.689528,77.4619527,ChIJGzMw5zY5BDsRH6BhqdhyE-s,https://www.google.com/maps/place/?q=place_id:ChIJGzMw5zY5BDsRH6BhqdhyE-s,part_264,2026-09-20 19:02:24,5336
Business Speaks Agency,B2B Appointment-Setting Agencies,Marketing agency,"Marketing agency, Service establishment",627764,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Rayagiri S.O, Duraisamypuram B.O",N/A,https://businesspeaks.in/,5.0,8.0,"Business Speaks Agency, 627764, India",627764,21.0680074,82.7525294,ChIJD9x_G79wpGkR_sevVNkC3tQ,https://www.google.com/maps/place/?q=place_id:ChIJD9x_G79wpGkR_sevVNkC3tQ,part_264,2026-09-20 19:03:07,9678
Protovo Solutions LLP,B2B Appointment-Setting Agencies,Software company,"Software company, Service establishment",627764,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Rayagiri S.O, Duraisamypuram B.O",+91 97846 18263,https://www.protovosolutions.com/,4.1,9.0,"Protovo Solutions LLP, 627764, India",627764,21.0680074,82.7525294,ChIJz7gfpDq1bTkRdResEiPJPmA,https://www.google.com/maps/place/?q=place_id:ChIJz7gfpDq1bTkRdResEiPJPmA,part_264,2026-09-20 19:03:07,9679
Alpha Leads Tech,B2B Appointment-Setting Agencies,Marketing agency,Marketing agency,627764,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Rayagiri S.O, Duraisamypuram B.O",+91 89718 15739,https://www.alphaleadstech.com/contact-us/,,,"33, Dodda Banaswadi Main Rd, Seva Nagar, Ramaswamipalya, Maruthi Sevanagar, Bengaluru, Karnataka 560005","Seva Nagar, Ramaswamipalya, Maruthi Sevanagar",13.0011505,77.6283725,ChIJY5WpXegWrjsRTVdOd7qG9ok,https://www.google.com/maps/place/?q=place_id:ChIJY5WpXegWrjsRTVdOd7qG9ok,part_264,2026-09-20 19:03:07,9680
QLB Marketing Insights,B2B Appointment-Setting Agencies,Marketing agency,Marketing agency,627764,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Rayagiri S.O, Duraisamypuram B.O",+91 98338 91394,http://www.qlbmarketinginsights.com/,4.0,31.0,"120, 1st Floor, Apex Amanora, Magarpatta City, Road, Amanora Park Town, Hadapsar, Pune, Maharashtra 411028","Amanora Park Town, Hadapsar",18.517767199999998,73.9345866,ChIJj3hWJsbBwjsRHZmfzQJDpH0,https://www.google.com/maps/place/?q=place_id:ChIJj3hWJsbBwjsRHZmfzQJDpH0,part_264,2026-09-20 19:03:08,9681
