business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Karthick Construction Material Supplies,Building Material Supplier,Construction Material Wholesaler,Construction Material Wholesaler,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 92657 42078,N/A,5.0,,"H 96 TNHB Colony, Perumalpuram, Anbunagar, Tirunelveli, Tamil Nadu 627011","Perumalpuram, Anbunagar",8.7056119,77.7447119,ChIJWann4L8TBDsRaGHMEy7mvQs,https://www.google.com/maps/place/?q=place_id:ChIJWann4L8TBDsRaGHMEy7mvQs,part_264,2026-09-20 19:02:02,2745
Ayyappan Enterprises,Building Material Supplier,Fence contractor,"Fence contractor, Concrete factory, Housing development, Manufacturer, Tile store",627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 97872 42344,N/A,5.0,,"Sankaran Kovil Main Road,Sivaji Nagar, Ramayanpatti, Tamil Nadu 627358",627761,8.7627404,77.6865057,ChIJce5uXVsRBDsRuXcCTQOsucI,https://www.google.com/maps/place/?q=place_id:ChIJce5uXVsRBDsRuXcCTQOsucI,part_264,2026-09-20 19:02:02,2746
CK building material,Building Material Supplier,Brick Manufacturer,Brick Manufacturer,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 99943 17903,N/A,5.0,,"6G3M+344, Vadikkottai, Tamil Nadu 627753",627761,9.2026285,77.5328299,ChIJg2d2MU-WBjsR_svo3fAMcrU,https://www.google.com/maps/place/?q=place_id:ChIJg2d2MU-WBjsR_svo3fAMcrU,part_264,2026-09-20 19:02:02,2747
ARAVIND JANA CERAMIC,Building Material Supplier,Building materials supplier,Building materials supplier,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 98417 22236,N/A,4.9,,"Shankaran Temple, 3, 221Rajapalayam Road, Perumpathur, Tamil Nadu 627753",627761,9.2281807,77.5311297,ChIJmSbOdyaVBjsRiX56-Mi2sIA,https://www.google.com/maps/place/?q=place_id:ChIJmSbOdyaVBjsRiX56-Mi2sIA,part_264,2026-09-20 19:02:02,2748
KSM THANGAPPA NADAR,Building Material Supplier,Building materials store,Building materials store,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",N/A,N/A,4.1,,"424, Madurai Rd, Sankarnagar, Naranammalpuram, Tamil Nadu 627357",627761,8.7835637,77.7230466,ChIJI_qPA5gRBDsRTZ_TrM9sAlc,https://www.google.com/maps/place/?q=place_id:ChIJI_qPA5gRBDsRTZ_TrM9sAlc,part_264,2026-09-20 19:02:02,2749
GROUP OF BLESSING,Building Material Supplier,Building materials supplier,"Building materials supplier, Brick Manufacturer, Electronics store, Construction machine rental service, Mineral water company, Transportation service",627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 96551 42727,http://www.blessingmotors.com/,2.6,,"SH 41, Karivalamvandanallur, Tamil Nadu 627753",627761,9.2776906,77.5430368,ChIJ6dkhslWVBjsRUlr0QNwSSDI,https://www.google.com/maps/place/?q=place_id:ChIJ6dkhslWVBjsRUlr0QNwSSDI,part_264,2026-09-20 19:02:02,2750
Anuj Tiles - Aravind Jana Ceramics,Building Material Supplier,Building materials supplier,Building materials supplier,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",N/A,N/A,4.4,,"to, Rajapalayam Rd, near Perumpathur, Perumpathur, Tamil Nadu 627753",627761,9.238587299999999,77.53333339999999,ChIJuSDk_LCVBjsR4WoMiyVX0AU,https://www.google.com/maps/place/?q=place_id:ChIJuSDk_LCVBjsR4WoMiyVX0AU,part_264,2026-09-20 19:02:02,2751
EDATHUA STONES,Building Material Supplier,Construction Material Wholesaler,Construction Material Wholesaler,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",N/A,N/A,4.3,,"No.7/17M/2, Jothipuram, Munnerpallam village, Trivandrum Rd, Tirunelveli, Tamil Nadu 627007",Malikai Nagar A,8.6631909,77.7146767,ChIJW-ty58QTBDsRwuz-I-q5yYs,https://www.google.com/maps/place/?q=place_id:ChIJW-ty58QTBDsRwuz-I-q5yYs,part_264,2026-09-20 19:02:02,2752
RAM TILES & HARDWARES,Building Material Supplier,Tile store,Tile store,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 97900 43556,N/A,3.0,,"T.K, 7/736 rajapalayam main road Karivalamvanthnallur, Karivalamvandanallur, Tamil Nadu 627753",627761,9.2778342,77.5431646,ChIJYY_tE2uVBjsRHwtdZwB35IU,https://www.google.com/maps/place/?q=place_id:ChIJYY_tE2uVBjsRHwtdZwB35IU,part_264,2026-09-20 19:02:02,2753
Ramki AAC Blocks,Building Material Supplier,Brick Manufacturer,Brick Manufacturer,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 98410 79007,https://www.ramkiaacblocks.com/,5.0,,"257/2, Pathini Parai, Moondradaippu, Thoothakudi, Tamil Nadu 627151",Pathini Parai,8.5707265,77.6925464,ChIJ6VEXJA9tBDsRJIeohNYghHI,https://www.google.com/maps/place/?q=place_id:ChIJ6VEXJA9tBDsRJIeohNYghHI,part_264,2026-09-20 19:02:02,2754
BEST BUILDING MATERIAL SUPPLIERS,Building Material Supplier,Building materials supplier,Building materials supplier,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",N/A,N/A,4.7,22.0,"H24F+4WV, Makranifali, Maharashtra 425415",627761,21.555367399999998,74.0247839,ChIJaaPyj6uQ3zsR1QOUZrFpMMM,https://www.google.com/maps/place/?q=place_id:ChIJaaPyj6uQ3zsR1QOUZrFpMMM,part_264,2026-09-20 19:02:03,2755
Mastro Store Pvt Ltd,Building Material Supplier,Building materials store,Building materials store,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 90540 95824,http://www.mastrometals.com/,4.9,286.0,"VPWC+RV, Thodupuzha, Keralam 685584",627761,9.8970185,76.7221071,ChIJ8zmIuRfFBzsRWXgXgGDZq3E,https://www.google.com/maps/place/?q=place_id:ChIJ8zmIuRfFBzsRWXgXgGDZq3E,part_264,2026-09-20 19:02:03,2756
Super Building Material Supplying,Building Material Supplier,Building materials store,Building materials store,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 93976 79747,N/A,4.8,40.0,"H. No. 16-11-16/G/S/19, Prasanth Nagar, Ganga Society, Moosarambagh, Hyderabad, Telangana 500036","Moosarambagh, West Prasanth Nagar, Malakpet Extension, Old Malakpet",17.379939999999998,78.514211,ChIJBRHYnFOYyzsRTAfkFwVMJIk,https://www.google.com/maps/place/?q=place_id:ChIJBRHYnFOYyzsRTAfkFwVMJIk,part_264,2026-09-20 19:02:03,2757
Nila Traders,Building Material Supplier,Supplier,Supplier,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",N/A,N/A,5.0,2.0,"GH95+XHM, Singampathu, Kalakkad, Tamil Nadu 627501",Singampathu,8.5199683,77.5589289,ChIJwZiAE3RDBDsRi37Nh95AXP8,https://www.google.com/maps/place/?q=place_id:ChIJwZiAE3RDBDsRi37Nh95AXP8,part_264,2026-09-20 19:02:03,2758
T. KUMAR BUILDING MATERIAL STORE,Building Material Supplier,Building materials store,Building materials store,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",N/A,N/A,5.0,4.0,"Basapura, Bengaluru, Karnataka 560100",Basapura,12.8636714,77.6494115,ChIJu070Ic1rrjsRjLudS8KiZTU,https://www.google.com/maps/place/?q=place_id:ChIJu070Ic1rrjsRjLudS8KiZTU,part_264,2026-09-20 19:02:04,2759
T.gunaseelan & Sons,Building Material Supplier,Building materials store,Building materials store,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",N/A,N/A,,,"near Railway Station, Soorapuramstreet, Cheranmahadevi Kovil Pattu, Tamil Nadu 627414",Soorapuramstreet,8.674728499999999,77.5658381,ChIJEbPcZX8VBDsRlsarfVTOq1s,https://www.google.com/maps/place/?q=place_id:ChIJEbPcZX8VBDsRlsarfVTOq1s,part_264,2026-09-20 19:02:04,2760
Ganesh Traders & Tiles,Building Material Supplier,Building materials store,Building materials store,627764,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Rayagiri S.O, Duraisamypuram B.O",N/A,N/A,,,"97-189, Sivagiri - Sankarankovil Rd, Rayagiri, Tamil Nadu 627764",627764,9.3029674,77.4451033,ChIJD7sySACTBjsRVJ4PPioUVJ4,https://www.google.com/maps/place/?q=place_id:ChIJD7sySACTBjsRVJ4PPioUVJ4,part_264,2026-09-20 19:02:45,7776
Karuppa samy Traders,Building Material Supplier,Building materials supplier,"Building materials supplier, Building materials store",627764,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Rayagiri S.O, Duraisamypuram B.O",N/A,N/A,,,"NH-208, Kollam - Thirumangalam Rd, Sundaranachiapuram, Rayagiri, Tamil Nadu 627764",627764,9.306354899999999,77.4180785,ChIJh0IuuVTpBjsR34ss8-61lpc,https://www.google.com/maps/place/?q=place_id:ChIJh0IuuVTpBjsR34ss8-61lpc,part_264,2026-09-20 19:02:45,7777
Quality Building Material Supply,Building Material Supplier,Building materials supplier,"Building materials supplier, General contractor, Construction Material Wholesaler",627764,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Rayagiri S.O, Duraisamypuram B.O",+91 99800 04807,N/A,5.0,,"Quality Building Material Supply, Vysya Bank Colony, Shantiniketan Layout, Arekere, Bengaluru, Karnataka 560076","Vysya Bank Colony, Shantiniketan Layout, Arekere",12.8834684,77.6056093,ChIJqdggaNYVrjsRjF9A0u5gh4M,https://www.google.com/maps/place/?q=place_id:ChIJqdggaNYVrjsRjF9A0u5gh4M,part_264,2026-09-20 19:02:46,7778
MS TRADERS- Building Material Supplier,Building Material Supplier,Building materials supplier,Building materials supplier,627764,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Rayagiri S.O, Duraisamypuram B.O",+91 86865 25067,N/A,5.0,,"12-2-4, Karwan Rd, near Kabadi Stadium, Markandeya Nagar, Talla Gadda, Mehdipatnam, Hyderabad, Telangana 500006","Markandeya Nagar, Talla Gadda, Mehdipatnam",17.3795634,78.4414169,ChIJz872jbmXyzsR5oIsEWWW34o,https://www.google.com/maps/place/?q=place_id:ChIJz872jbmXyzsR5oIsEWWW34o,part_264,2026-09-20 19:02:46,7779
INDIAN BUILDING MATERIAL,Building Material Supplier,Hardware store,"Hardware store, Building materials market",627764,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Rayagiri S.O, Duraisamypuram B.O",+91 94501 84368,N/A,4.8,,"Ganaideeh, Saray Ganai, Rakhaha Bazar, Uttar Pradesh 230142",Ganaideeh,25.921623999999998,82.0734174,ChIJ444n2zabmjkRWFMWVwmgIuo,https://www.google.com/maps/place/?q=place_id:ChIJ444n2zabmjkRWFMWVwmgIuo,part_264,2026-09-20 19:02:46,7780
JAI HIND BUILDING MATERIAL SUPPLIER,Building Material Supplier,Building materials supplier,Building materials supplier,627764,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Rayagiri S.O, Duraisamypuram B.O",N/A,N/A,5.0,,"shop no.4, khatijabai chawal, 39/41, Elphinstone west, opp. deepak cinema, near kamala mill, Saidham Nagar, Parel, Mumbai, Maharashtra 400013","Saidham Nagar, Parel",19.0055654,72.83102939999999,ChIJJbGTNo3O5zsRSuz7QCZw_Ak,https://www.google.com/maps/place/?q=place_id:ChIJJbGTNo3O5zsRSuz7QCZw_Ak,part_264,2026-09-20 19:02:46,7781
