business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
SFC FITNESS CARE,Fitness Chains,Fitness center,Fitness center,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 90809 07835,https://sfcfitnesscare.co.in/,4.7,246.0,"Anbunagar, Tirunelveli, Tamil Nadu 627011",Anbunagar,8.7052331,77.7448884,ChIJn2fTsVkTBDsRi97gdqOFkOo,https://www.google.com/maps/place/?q=place_id:ChIJn2fTsVkTBDsRi97gdqOFkOo,part_264,2026-09-20 19:01:56,1845
Vishy Fitness Centre,Fitness Chains,Fitness center,"Fitness center, Gym",627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 98421 19746,N/A,4.8,135.0,"5, Cheranmahadevi Rd, Kodeeswaran Nagar, Tirunelveli, Tamil Nadu 627006",Kodeeswaran Nagar,8.726111,77.6775305,ChIJZ6_7isQRBDsR8pfklDWQDPg,https://www.google.com/maps/place/?q=place_id:ChIJZ6_7isQRBDsR8pfklDWQDPg,part_264,2026-09-20 19:01:56,1846
Rajkamal Fitness Club,Fitness Chains,Gym,"Gym, Fitness center",627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 97834 12345,https://rajkamalfitnessclub.in/,4.7,188.0,"Rajkamal Complex, 200F, Tiruchendur Main Rd, Palayamkottai, Tirunelveli, Tamil Nadu 627002",Palayamkottai,8.7218106,77.7522307,ChIJl83knpwRBDsR5AAI4hZbRrk,https://www.google.com/maps/place/?q=place_id:ChIJl83knpwRBDsR5AAI4hZbRrk,part_264,2026-09-20 19:01:56,1847
Fast Fitness Gym,Fitness Chains,Gym,"Gym, Women's personal trainer",627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 98943 64343,N/A,5.0,186.0,"13/377, Rice Mill St, Ambalavanapuram, Vickramasingapuram, Tirunelveli, Tamil Nadu 627425",Ambalavanapuram,8.710764,77.4028099,ChIJHauZrKk5BDsRDKcP8rbbZpY,https://www.google.com/maps/place/?q=place_id:ChIJHauZrKk5BDsRDKcP8rbbZpY,part_264,2026-09-20 19:01:56,1848
RSV FITNESS STUDIO,Fitness Chains,Gym,Gym,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 63695 89981,N/A,4.6,103.0,"NORTH BYE PASS, BRIDGE, near TAMIRABARANI, Udayarpatti, Tamil Nadu 627001",Tirunelveli Junction,8.7403297,77.7175412,ChIJg0NFN4sRBDsRSQllIhhwJxY,https://www.google.com/maps/place/?q=place_id:ChIJg0NFN4sRBDsRSQllIhhwJxY,part_264,2026-09-20 19:01:56,1849
Sculptor’s Lifestyle & Fitness,Fitness Chains,Gym,"Gym, Dance hall, Fitness center",627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 95008 67777,http://www.sculptorsfit.com/,4.8,318.0,"MPXM+V85, 2nd Floor Mayan complex, STC College Rd, NGO B Colony, Perumalpuram, Vasantha Nager, Tirunelveli, Tamil Nadu 627007","NGO B Colony, Perumalpuram, Vasantha Nager",8.6995606,77.73335329999999,ChIJO6soHaETBDsRDt9bPZIC4wE,https://www.google.com/maps/place/?q=place_id:ChIJO6soHaETBDsRDt9bPZIC4wE,part_264,2026-09-20 19:01:56,1850
MADHU FITNESS GYM,Fitness Chains,Gym,Gym,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 97902 99106,N/A,4.7,115.0,"PPGQ+HC6, ROHINI TEA STALL BACKSIDE,BALAN COMPLEX, Tamil Nadu 627002",Palayamkottai,8.7264051,77.738512,ChIJQ6VWNhINBDsROAS_mcJVp4M,https://www.google.com/maps/place/?q=place_id:ChIJQ6VWNhINBDsROAS_mcJVp4M,part_264,2026-09-20 19:01:56,1851
AXN Fit City Gym,Fitness Chains,Gym,Gym,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",N/A,https://www.instagram.com/nellai_axn_fit_city?igsh=b3BlczRhcjR5b3Fv,5.0,4.0,"7b, kuruchi main road, Kulavanigarpuram, Shanthi Nagar, Tirunelveli, Tamil Nadu 627002","Kulavanigarpuram, Shanthi Nagar",8.709538,77.7288761,ChIJ_aKYT-wTBDsRjl3XklN5DZ4,https://www.google.com/maps/place/?q=place_id:ChIJ_aKYT-wTBDsRjl3XklN5DZ4,part_264,2026-09-20 19:01:56,1852
Harizon Fitness Center,Fitness Chains,Fitness center,"Fitness center, Corporate office, Gym",627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 97918 52816,http://harizonfitness.in/,4.9,726.0,"MPJR+HJR, No 4, Valluvar Colony, Jeba Garden -Reddiyarpatti, Road, Thirumal Nagar, Tirunelveli, Tamil Nadu 627007",Thirumal Nagar,8.680346,77.741592,ChIJ12huxbETBDsRmDn0_RQZi9o,https://www.google.com/maps/place/?q=place_id:ChIJ12huxbETBDsRmDn0_RQZi9o,part_264,2026-09-20 19:01:56,1853
KC FITNESS CLUB,Fitness Chains,Gym,Gym,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 99529 51870,N/A,5.0,18.0,"3rd Floor, KSP Complex, opp. to EB Office, Anbunagar Extension, Thiyagaraja Nagar, Palayamkottai, Tirunelveli, Tamil Nadu 627011","Anbunagar Extension, Thiyagaraja Nagar",8.7018212,77.75287279999999,ChIJm6AkpC8NBDsR38htsOHp96E,https://www.google.com/maps/place/?q=place_id:ChIJm6AkpC8NBDsR38htsOHp96E,part_264,2026-09-20 19:01:56,1854
