business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Trends Footwear,Footwear and Shoe Store,Shoe store,Shoe store,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 81248 02012,https://stores.trends-footwear.com/trends-footwear-rrl-footprint-vannarpettai-tn-shoe-shop-vannarpettai-tirunelveli-477414/Home?utm_source=locator&utm_medium=googleplaces,4.9,1522.0,"1st Floor, Trivandrum Rd, Kailash Nagar, Vannarpettai, Tirunelveli, Tamil Nadu 627003","Kailash Nagar, Vannarpettai",8.728100699999999,77.7179386,ChIJn9VC7YsRBDsR_w3NSu5F-vY,https://www.google.com/maps/place/?q=place_id:ChIJn9VC7YsRBDsR_w3NSu5F-vY,part_264,2026-09-20 19:01:50,1104
"Saleem Footwear (Tirunelveli) - Vkc, Walkaroo Wholesale Dealer",Footwear and Shoe Store,Shoe store,"Shoe store, Footwear wholesaler",627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 93848 70702,http://www.saleemfootwear.com/,5.0,264.0,"25/4, Sripuram, Swami Nellaiappar High Rd, Kayalpattinam, Thirunagar, Tirunelveli Junction, Tirunelveli, Tamil Nadu 627001","Kayalpattinam, Thirunagar, Tirunelveli Junction",8.7289389,77.7030229,ChIJpXIEnoYRBDsRXP8q7qi-UNk,https://www.google.com/maps/place/?q=place_id:ChIJpXIEnoYRBDsRXP8q7qi-UNk,part_264,2026-09-20 19:01:50,1105
PVS SHOE KADAL,Footwear and Shoe Store,Shoe store,Shoe store,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 96299 16258,N/A,4.7,48.0,"PQ7C+HVV RDR COMPLEX, bus dipo, 157/6, above Thoothukudi main road, opp. Ktc nagar, KTC Nagar, Tirunelveli, Tamil Nadu 627011",KTC Nagar,8.7140027,77.772182,ChIJO5I_7E0NBDsR3b0-nttqcKU,https://www.google.com/maps/place/?q=place_id:ChIJO5I_7E0NBDsR3b0-nttqcKU,part_264,2026-09-20 19:01:50,1106
Great Wear Nellai,Footwear and Shoe Store,Shoe store,Shoe store,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 70106 70402,https://www.greatwear-nellai.com/,5.0,59.0,"Shop no. 1/542 A, Sri Jadesh complex Karthikeyan Nagar ,, Reddiyarpatti Rediyarpatti road, Palayamkottai, Reddiarpatti, Tamil Nadu 627007",Reddiarpatti,8.6769413,77.7378799,ChIJFSfadEoTBDsRovF0OJ9Flr8,https://www.google.com/maps/place/?q=place_id:ChIJFSfadEoTBDsRovF0OJ9Flr8,part_264,2026-09-20 19:01:50,1107
VFC Shoe Kadai,Footwear and Shoe Store,Shoe store,Shoe store,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 63824 20241,N/A,4.7,156.0,"PQ78+JXF, KTC Nagar, Tirunelveli, Tamil Nadu 627011",KTC Nagar,8.7140582,77.76742,ChIJ09QO8UoNBDsRR2cAnunY2XU,https://www.google.com/maps/place/?q=place_id:ChIJ09QO8UoNBDsRR2cAnunY2XU,part_264,2026-09-20 19:01:50,1108
Bindu Fancy Store Footwear &Bags,Footwear and Shoe Store,Shoe store,Shoe store,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 98949 42387,N/A,5.0,4.0,"Sivagiri - Sankarankovil Rd, Karivalamvandanallur, Tamil Nadu 627753",627761,9.264062599999999,77.5403905,ChIJcRv23P-VBjsRhL8vj7b5GnU,https://www.google.com/maps/place/?q=place_id:ChIJcRv23P-VBjsRhL8vj7b5GnU,part_264,2026-09-20 19:01:50,1109
Ameer Shoe World,Footwear and Shoe Store,Shoe store,Shoe store,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 462 400 0034,N/A,4.1,28.0,"105a, Trivandrum Rd, Palayamkottai, Tirunelveli, Tamil Nadu 627002",Palayamkottai,8.727252,77.72565019999999,ChIJfdQBIGsTBDsRvLuGdHytdb4,https://www.google.com/maps/place/?q=place_id:ChIJfdQBIGsTBDsRvLuGdHytdb4,part_264,2026-09-20 19:01:50,1110
Metro Shoes,Footwear and Shoe Store,Shoe store,Shoe store,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 79778 10662,https://stores.metroshoes.com/metro-shoes-palayamkottai-road-tirunelveli-tamil-nadu-tnl,4.6,476.0,"72/1, Road, next to Raja Palace, Palayamkottai, Tirunelveli, Tamil Nadu 627002",Palayamkottai,8.7177171,77.7325711,ChIJOVa9_wcTBDsRcMbMX9vBPc0,https://www.google.com/maps/place/?q=place_id:ChIJOVa9_wcTBDsRcMbMX9vBPc0,part_264,2026-09-20 19:01:50,1111
Indian Shoe mart,Footwear and Shoe Store,Shoe store,Shoe store,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 94440 39865,N/A,5.0,1.0,"PMHQ+HR4, Sathiyamoorthy St, Thirunagar, Tirunelveli Junction, Tirunelveli, Tamil Nadu 627006","Thirunagar, Tirunelveli Junction",8.7288981,77.68958479999999,ChIJZXmFaXsRBDsRHTyAhND8mV4,https://www.google.com/maps/place/?q=place_id:ChIJZXmFaXsRBDsRHTyAhND8mV4,part_264,2026-09-20 19:01:50,1112
FACTORY LOT,Footwear and Shoe Store,Shoe store,"Shoe store, Store",627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 63835 36369,https://factorylot.net/,3.5,37.0,"11, Ambai Rd, Veeramanikapuram, Melapalayam, Tirunelveli, Tamil Nadu 627005","Veeramanikapuram, Melapalayam",8.700681399999999,77.7173586,ChIJEdFI584TBDsRzwauBLkc-6Y,https://www.google.com/maps/place/?q=place_id:ChIJEdFI584TBDsRzwauBLkc-6Y,part_264,2026-09-20 19:01:50,1113
