business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
"Tirunelveli Govt Hospital, High Ground",Healthcare Clinic Chains,Hospital,Hospital,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 462 257 2611,N/A,3.5,180.0,"PQ62+9HM OP Ticket Counter, 11, High Ground Rd, opposite Government Hospital, Palay, Palayamkottai, Tirunelveli, Tamil Nadu 627011","Palay, Palayamkottai",8.7118488,77.75190789999999,ChIJHQ7QzvANBDsRbCNiij7JhFI,https://www.google.com/maps/place/?q=place_id:ChIJHQ7QzvANBDsRbCNiij7JhFI,part_264,2026-09-20 19:01:57,1909
SYNTHIYA MEDICALS,Healthcare Clinic Chains,Medical Center,Medical Center,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",N/A,N/A,5.0,1.0,"PPFV+X9Q, Nesanayanar St, Samathanapuram, Palayamkottai, Tirunelveli, Tamil Nadu 627002","Samathanapuram, Palayamkottai",8.7249909,77.7435246,ChIJv-F8YAARBDsRdKioK23tFh8,https://www.google.com/maps/place/?q=place_id:ChIJv-F8YAARBDsRdKioK23tFh8,part_264,2026-09-20 19:01:57,1910
SUMU PRIYA NURSING HOME,Healthcare Clinic Chains,Nursing home,Nursing home,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 462 230 0298,N/A,3.7,32.0,"423N/6,SANKAR NAGAR, Tirunelveli, Tamil Nadu 627357",627761,8.7837333,77.72324449999999,ChIJpwF9Tz8QBDsRw5_UrWGxbH8,https://www.google.com/maps/place/?q=place_id:ChIJpwF9Tz8QBDsRw5_UrWGxbH8,part_264,2026-09-20 19:01:57,1911
RSP HOSPITAL,Healthcare Clinic Chains,Doctor,"Doctor, Hospital",627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 94874 87665,N/A,4.5,15.0,"22, Main Road, Meenakshipuram, Tirunelveli, Tamil Nadu 627001",Meenakshipuram,8.7259031,77.7059793,ChIJ6UZo1oYRBDsRwL2KWZiC0Xk,https://www.google.com/maps/place/?q=place_id:ChIJ6UZo1oYRBDsRwL2KWZiC0Xk,part_264,2026-09-20 19:01:58,1912
Keerthana Medicals,Healthcare Clinic Chains,Pharmacy,Pharmacy,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 98655 96979,N/A,3.7,3.0,"Bombay Complex, 9-B/16, St. Thomas Road, Tirunelveli, Tamil Nadu 627011",Maharaja Nagar,8.710648299999999,77.74903309999999,ChIJCXxf5PYNBDsRGlkl_EZOSnM,https://www.google.com/maps/place/?q=place_id:ChIJCXxf5PYNBDsRGlkl_EZOSnM,part_264,2026-09-20 19:01:59,1913
Mathi Integrated Health Centre,Healthcare Clinic Chains,Private hospital,"Private hospital, Cardiologist, Children's hospital, General practitioner, Laboratory",627764,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Rayagiri S.O, Duraisamypuram B.O",+91 93609 39686,http://www.mathihospital.co.in/,4.0,,"2/3136/8, Perumal Nagar, Viswanatham, Tamil Nadu 626189","Perumal Nagar, Viswanatham",9.4361376,77.80184109999999,ChIJNWIOT9vOBjsR4J7g3FsecRE,https://www.google.com/maps/place/?q=place_id:ChIJNWIOT9vOBjsR4J7g3FsecRE,part_264,2026-09-20 19:02:40,7199
Dr.VKP's V.J.HOSPITAL,Healthcare Clinic Chains,Hospital,Hospital,627764,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Rayagiri S.O, Duraisamypuram B.O",+91 462 495 0095,N/A,3.7,,"STC Nagar, Perumalpuram, Vasantha Nager, Tirunelveli, Tamil Nadu 627007","STC Nagar, Perumalpuram, Vasantha Nager",8.7065989,77.7412627,ChIJ4Wh1lXMSBDsR9Q05caj0HIA,https://www.google.com/maps/place/?q=place_id:ChIJ4Wh1lXMSBDsR9Q05caj0HIA,part_264,2026-09-20 19:02:40,7200
Joyra Medicals & Surgicals,Healthcare Clinic Chains,Pharmacy,"Pharmacy, Drug store, Medical supply store",627764,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Rayagiri S.O, Duraisamypuram B.O",+91 80124 30333,http://joyra.in/,3.7,,"Joyra Medicals Building, No 44, Court Rd, Nagercoil, Tamil Nadu 629001",627764,8.1832997,77.426011,ChIJFaf61SDxBDsRnxyjmPCm-s4,https://www.google.com/maps/place/?q=place_id:ChIJFaf61SDxBDsRnxyjmPCm-s4,part_264,2026-09-20 19:02:42,7201
Manakkodam Multispeciality Clinic,Healthcare Clinic Chains,Medical clinic,Medical clinic,627802,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Courtallam S.O, Kasimajorpuram B.O",+91 474 291 5500,N/A,4.3,45.0,"11/879, Karingannoor-Moothala Rd, Post, Cheriyavelinalloor, Velinelloor, Keralam 691516",Post,8.866709199999999,76.79376239999999,ChIJ6dAD5jHhBTsRjUtdiejcfI8,https://www.google.com/maps/place/?q=place_id:ChIJ6dAD5jHhBTsRjUtdiejcfI8,part_264,2026-09-20 19:03:24,11571
PMS medical Centre,Healthcare Clinic Chains,Hospital,Hospital,627802,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Courtallam S.O, Kasimajorpuram B.O",+91 73567 69048,N/A,4.0,36.0,"WJ5G+W7W, opp. Puthiyakavu Durga Devi Temple, near KSEB Moonnamkutti Moonnamkutti, Moonam Kutti, Karicode, Peroor, Kollam, Keralam 691004","Moonam Kutti, Karicode, Peroor",8.9098588,76.62568809999999,ChIJWQFuXAD9BTsR1gKm0YH89kU,https://www.google.com/maps/place/?q=place_id:ChIJWQFuXAD9BTsR1gKm0YH89kU,part_264,2026-09-20 19:03:24,11572
Dr.Juliet's Dentistry,Healthcare Clinic Chains,Dental clinic,Dental clinic,627802,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Courtallam S.O, Kasimajorpuram B.O",+91 84280 08438,https://www.drjulietdentistry.com/,5.0,1.0,"GROUND FLOOR, 162/17, MADURAI COURTALLAM MAIN ROAD, Kuthukalvalasai, Tamil Nadu 627811",627802,8.9884965,77.2939426,ChIJaQcMZREpBDsRNOFq1Lkny6Q,https://www.google.com/maps/place/?q=place_id:ChIJaQcMZREpBDsRNOFq1Lkny6Q,part_264,2026-09-20 19:03:24,11573
Shifa Medical Center,Healthcare Clinic Chains,Hospital,Hospital,627802,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Courtallam S.O, Kasimajorpuram B.O",+91 476 268 0337,N/A,4.2,26.0,"Srinagar - Kanyakumari Hwy, Panvel, Chavara, Keralam 691583",Panvel,8.976750899999999,76.5347099,ChIJRSwZVNoABjsR8ppfxoIbSok,https://www.google.com/maps/place/?q=place_id:ChIJRSwZVNoABjsR8ppfxoIbSok,part_264,2026-09-20 19:03:24,11574
Meditrina Hospitals Pvt. Ltd.,Healthcare Clinic Chains,Private hospital,"Private hospital, Cardiologist, Heart hospital, Hospital",627802,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Courtallam S.O, Kasimajorpuram B.O",+91 474 272 1111,http://www.meditrinahospitals.com/,4.7,2937.0,"Kollam - Ayoor Road, Bypass Road, Ayathil, Kollam, Keralam 691021",Ayathil,8.8921905,76.6324065,ChIJrdo0H1X8BTsRbS4i2DaavCE,https://www.google.com/maps/place/?q=place_id:ChIJrdo0H1X8BTsRbS4i2DaavCE,part_264,2026-09-20 19:03:24,11575
