business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
OTTO men's clothing store in tirunelveli,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Clothing store, Designer Clothing Store, Formal Clothing Store, Tuxedo shop",627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 462 400 0433,https://www.ottostore.com/?utm_source=Google_Maps&utm_medium=Organic&utm_campaign=%20Tirunelveli,4.2,,"Flat No:10, F2, Trivandrum Rd, Palayamkottai, Tirunelveli, Tamil Nadu 627002",Palayamkottai,8.7273453,77.7253412,ChIJj0wRX_QRBDsRt09TmZ7ZZaI,https://www.google.com/maps/place/?q=place_id:ChIJj0wRX_QRBDsRt09TmZ7ZZaI,part_264,2026-09-20 19:01:49,1005
MENS CODE,Mens Wear Showroom,Men's clothing store,Men's clothing store,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 96000 73444,N/A,4.3,,"above CANARA BANK - TIRUNELVELI RAHMATH NAGAR, Rahmath Nagar, Palayamkottai, Tirunelveli, Tamil Nadu 627011","Rahmath Nagar, Palayamkottai",8.7198379,77.7573424,ChIJkzlkB9ANBDsR7Q4J18l3QvE,https://www.google.com/maps/place/?q=place_id:ChIJkzlkB9ANBDsR7Q4J18l3QvE,part_264,2026-09-20 19:01:49,1006
ONLY MENS (READYMADE SHOWROOM),Mens Wear Showroom,Men's clothing store,Men's clothing store,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 97915 78185,N/A,5.0,,"67a, Umar Pulavar St, Melapalayam, Tirunelveli, Tamil Nadu 627005",Melapalayam,8.7072411,77.7077616,ChIJQU7TK7sTBDsRddcKUWkrnuc,https://www.google.com/maps/place/?q=place_id:ChIJQU7TK7sTBDsRddcKUWkrnuc,part_264,2026-09-20 19:01:49,1007
Arumugam Jawli Store,Mens Wear Showroom,Men's clothing store,Men's clothing store,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 70104 93751,N/A,5.0,,"5/111, Main Road, Karivalamvandanallur, Tamil Nadu 627753",627761,9.271459499999999,77.54223379999999,ChIJL9uxJyGVBjsR6VBDw_DKwX0,https://www.google.com/maps/place/?q=place_id:ChIJL9uxJyGVBjsR6VBDw_DKwX0,part_264,2026-09-20 19:01:49,1008
Maybell Women's Fashion - Tirunelveli,Mens Wear Showroom,Clothing store,Clothing store,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 90033 08155,https://www.maybellindia.com/,4.9,,"100/4B, Bye Pass Road, East, Vannarpettai, Tirunelveli, Tamil Nadu 627003","East, Vannarpettai",8.7291554,77.72238449999999,ChIJE2Zh6qURBDsR4Ve-kqNXh6M,https://www.google.com/maps/place/?q=place_id:ChIJE2Zh6qURBDsR4Ve-kqNXh6M,part_264,2026-09-20 19:01:49,1009
Louis Philippe,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Clothing store, Jeans shop, Designer Clothing Store, Dress store, Clothing Accessories Store, Formal Clothing Store, T-shirt store, Tuxedo shop, Youth clothing store",627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 76678 78180,https://louisphilippe.abfrl.in/,4.4,,"No. 12, Victor Plaza, 12, Tiruchendur Main Rd, beside Damro Furnitures, Murugankurichi, Tirunelveli-2, Palayamkottai, Tirunelveli, Tamil Nadu 627002","Murugankurichi, Tirunelveli-2, Palayamkottai",8.7265097,77.73080499999999,ChIJ4yZonlwRBDsRRLtG-0wEie4,https://www.google.com/maps/place/?q=place_id:ChIJ4yZonlwRBDsRRLtG-0wEie4,part_264,2026-09-20 19:01:49,1010
Manly FASHION GALLERY,Mens Wear Showroom,Dress store,Dress store,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 99448 73895,N/A,4.3,,"5A Athiban Avenue, S Bypass Rd, near New Bus Stand, Tirunelveli, Tamil Nadu 627005",Vasanth Nagar,8.6985726,77.7271212,ChIJ_T3upWsSBDsRXu97IX0sdg4,https://www.google.com/maps/place/?q=place_id:ChIJ_T3upWsSBDsRXu97IX0sdg4,part_264,2026-09-20 19:01:49,1011
"Pantaloons (Annai Plaza, Tirunelveli)",Mens Wear Showroom,Clothing store,"Clothing store, Baby clothing store, Children's clothing store, Dress store, Formal Clothing Store, Men's clothing store, Western apparel store, Women's clothing store, Youth clothing store",627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 80 4713 8418,https://stores.pantaloons.com/pantaloons/stores-in-tirunelveli/stores-in-vannarpettai/pantaloons-in-vannarpettai-tirunelveli--843ea27c-ab55-43bf-8220-fb18c6ee0b04/home,4.1,,"No. 10E/1, Annai Plaza, Trivandrum Rd, Vannarpettai, Tirunelveli, Tamil Nadu 627002",Vannarpettai,8.7275232,77.7244638,ChIJfflfuIwTBDsRrw_6GrLQ-BM,https://www.google.com/maps/place/?q=place_id:ChIJfflfuIwTBDsRrw_6GrLQ-BM,part_264,2026-09-20 19:01:49,1012
The Unique Clothing,Mens Wear Showroom,Men's clothing store,Men's clothing store,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 98428 01010,N/A,4.9,,"Bus Stand Rd, Sivagurunathapuram, Surandai, Tamil Nadu 627859",Sivagurunathapuram,8.9770735,77.4215854,ChIJnW9CT2udBjsRXqw2BHbixNU,https://www.google.com/maps/place/?q=place_id:ChIJnW9CT2udBjsRXqw2BHbixNU,part_264,2026-09-20 19:01:50,1013
"Max - Vannarapettai, Tirunelveli",Mens Wear Showroom,Men's clothing store,"Men's clothing store, Baby clothing store, Children's clothing store, Clothing store, Handbags shop, Shopping mall, T-shirt store, Women's clothing store, Work clothes store",627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 91500 46761,https://stores.maxfashion.in/max-vannarapettai-tirunelveli-vannarpettai-shopping-centre-vannarpettai-tirunelveli-282454/Home?utm_source=locator&utm_medium=googleplaces,4.0,,"Harsha Complex, N Byepass Road, Vannarpettai, Tirunelveli, Tamil Nadu 627003",Vannarpettai,8.728513,77.72154139999999,ChIJE-VbWZURBDsRJauvpAEYyw8,https://www.google.com/maps/place/?q=place_id:ChIJE-VbWZURBDsRJauvpAEYyw8,part_264,2026-09-20 19:01:50,1014
