business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Orchard Valley Resort,Resort,Resort hotel,Resort hotel,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 99524 81455,http://www.orchardvalleyresort.com/,4.7,,"Kannupuli Mettu Rd, near by Coutralam, Shenkottai, Puliyarai R.F. Part, Tamil Nadu 627809",627761,8.9446019,77.2116193,ChIJy_hYq9GBBjsRvArBJ-GD6E0,https://www.google.com/maps/place/?q=place_id:ChIJy_hYq9GBBjsRvArBJ-GD6E0,part_264,2026-09-20 19:02:09,3519
YEXUS - Green Resort,Resort,Hotel,Hotel,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 76958 84858,https://www.yexusgreenresorts.com/,3.9,,"11/74-D Tenkasi main road Mannarkovil, Mannarkovil, Tamil Nadu 627413",627761,8.720557,77.428883,ChIJq9IgPY87BDsRTXm-73BIE7A,https://www.google.com/maps/place/?q=place_id:ChIJq9IgPY87BDsRTXm-73BIE7A,part_264,2026-09-20 19:02:09,3520
Subarya Resort,Resort,Hotel,Hotel,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 80729 02611,https://www.oyorooms.com/h/57594?utm_source=Google_gmb&utm_medium=Organic&utm_campaign=TRV007&latitude=8.66524&longitude=77.71578&locale=en,3.0,,"7/18/2A, Nagercoil byepass Jothipuram, Malikai Nagar A, Palayamkottai, Tirunelveli, Muthur Reddiarpatti, Tamil Nadu 627007","Malikai Nagar A, Palayamkottai",8.6646852,77.7158662,ChIJv1zAve4SBDsRtEh3HcW8xFE,https://www.google.com/maps/place/?q=place_id:ChIJv1zAve4SBDsRtEh3HcW8xFE,part_264,2026-09-20 19:02:09,3521
Royal Palms Beach Villas,Resort,Resort hotel,Resort hotel,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",N/A,N/A,5.0,,"14/71, Rasthakaadu beach road, Rasthakaadu, Anjugramam, Tamil Nadu 629401",Rasthakaadu,8.1371864,77.5713317,ChIJ4eulLQCNBDsROgajRMW4B6A,https://www.google.com/maps/place/?q=place_id:ChIJ4eulLQCNBDsROgajRMW4B6A,part_264,2026-09-20 19:02:09,3522
Anantya in the Village,Resort,Home Stay,Home Stay,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 93634 96964,http://anantyaresorts.com/village,4.8,,"West Mada Street, near Police Station, Alwarthirunagari, Tamil Nadu 628612",627761,8.606714199999999,77.93722369999999,ChIJr0jMZ0-LAzsR75A7XNbsidw,https://www.google.com/maps/place/?q=place_id:ChIJr0jMZ0-LAzsR75A7XNbsidw,part_264,2026-09-20 19:02:09,3523
Funland Resorts,Resort,Resort hotel,Resort hotel,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 4633 225 571,N/A,4.1,,"Courtallam, Ayiraperi, Tamil Nadu 627814",627761,8.9251855,77.2960657,ChIJi-O99GkpBDsRZfatYjZtRKY,https://www.google.com/maps/place/?q=place_id:ChIJi-O99GkpBDsRZfatYjZtRKY,part_264,2026-09-20 19:02:09,3524
RJ Coco Dam Resorts,Resort,Resort hotel,"Resort hotel, Hotel",627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 97881 37823,https://www.rjcocodamresorts.com/,4.8,,"MDR924, opp. Adavi Nainar Dam, Mekkarai, Vadakarai Keezhpadugai, Tamil Nadu 627807",627761,9.0664119,77.2323766,ChIJ_f1PGFCHBjsRcKgQOA4Ie6E,https://www.google.com/maps/place/?q=place_id:ChIJ_f1PGFCHBjsRcKgQOA4Ie6E,part_264,2026-09-20 19:02:09,3525
Eden Falls Resort,Resort,Resort hotel,Resort hotel,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 95974 45838,http://edenfallsresort.com/,4.4,,"Koodal, near Nandhimangalam, Thirparappu, Tamil Nadu 629161",627761,8.4050694,77.2765805,ChIJVVVVlbhTBDsRfy25QzEV7FM,https://www.google.com/maps/place/?q=place_id:ChIJVVVVlbhTBDsRfy25QzEV7FM,part_264,2026-09-20 19:02:09,3526
Saaral Resorts Courtallam,Resort,Resort hotel,"Resort hotel, Fine dining restaurant",627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 99410 19075,http://www.saaralresort.com/,3.9,,"42,42A, SH 39, Tirunelveli, Courtallam, Tamil Nadu 627802",627761,8.9356958,77.26969919999999,ChIJ0dkNyMMpBDsRBb16MOQ43kw,https://www.google.com/maps/place/?q=place_id:ChIJ0dkNyMMpBDsRBb16MOQ43kw,part_264,2026-09-20 19:02:09,3527
Woods Farm House,Resort,Resort hotel,Resort hotel,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 90800 83685,http://www.woodsfarmhouse.com/,4.7,,"Namasivayapuram, Vellikulam, Kadayam, PottalPudur, Tamil Nadu 627423","Namasivayapuram, Vellikulam",8.8001215,77.40586979999999,ChIJi1mLdP07BDsRCoPeNlzzbyw,https://www.google.com/maps/place/?q=place_id:ChIJi1mLdP07BDsRCoPeNlzzbyw,part_264,2026-09-20 19:02:09,3528
