business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
SIVESH ACADEMY,Spoken English Institute,English language school,"English language school, Educational consultant",627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 99528 81123,https://siveshacademy.zako.in/,4.8,76.0,"opposite V O C GROUND, near BSNL OFFICE, Palayamkottai, Tirunelveli, Tamil Nadu 627002",Palayamkottai,8.720888799999999,77.73086219999999,ChIJrfo17A0_BDsR_n3nj-r4QPk,https://www.google.com/maps/place/?q=place_id:ChIJrfo17A0_BDsR_n3nj-r4QPk,part_264,2026-09-20 19:02:11,3843
GUIMAX,Spoken English Institute,English language school,English language school,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 99943 90525,http://www.guimax.in/,5.0,507.0,"Door No.117R, 1st Floor, K.R.Complex Trivandrum Road, opp. to VOC ground, Palayamkottai, Tirunelveli, Tamil Nadu 627002",Palayamkottai,8.7218365,77.7319618,ChIJMW3I5hwSBDsRDBuzExxmtrs,https://www.google.com/maps/place/?q=place_id:ChIJMW3I5hwSBDsRDBuzExxmtrs,part_264,2026-09-20 19:02:11,3844
Phonics Point,Spoken English Institute,Education center,Education center,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 75981 55269,https://phonicspoint.com/,4.9,78.0,"H-81, TNHB Colony, Water Tank Rd, opposite Tirunelveli, Perumalpuram, Anbunagar, Tirunelveli, Tamil Nadu 627011","Perumalpuram, Anbunagar",8.7051194,77.7434585,ChIJQy2vlhkTBDsRfv_uoqno004,https://www.google.com/maps/place/?q=place_id:ChIJQy2vlhkTBDsRfv_uoqno004,part_264,2026-09-20 19:02:11,3845
English Valley,Spoken English Institute,Coaching Center,"Coaching Center, English language school",627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 82200 25125,http://englishvalley.org/,4.0,12.0,"58,Sivapuram Street, 58A, VK Puthur Rd, near Junction Railway Station And Sringeri Sarada Kalyana Mandapam, Meenakshipuram, Tirunelveli, Tamil Nadu 627001",Meenakshipuram,8.7257447,77.706294,ChIJ_1RolBwRBDsRCeE98_f2Hqo,https://www.google.com/maps/place/?q=place_id:ChIJ_1RolBwRBDsRCeE98_f2Hqo,part_264,2026-09-20 19:02:11,3846
YASHA ACADEMY,Spoken English Institute,English language school,English language school,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 95780 68069,https://yashaedu.web.app/pages/home,5.0,18.0,"67, Rajaresweri Nagar, NGO B Colony, Tirunelveli, Tamil Nadu 627007",NGO B Colony,8.698401,77.7309645,ChIJ337T2wYTBDsRNdmRG1WwgHk,https://www.google.com/maps/place/?q=place_id:ChIJ337T2wYTBDsRNdmRG1WwgHk,part_264,2026-09-20 19:02:11,3847
VETRI SPOKEN ENGLISH,Spoken English Institute,Educational institution,Educational institution,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 84385 58527,N/A,4.5,8.0,"SECOND FLOOR, A, CHELLASAMY TEACHER COMPLEX, BACK SIDE, Bus Stand Rd, Sivagurunathapuram, Surandai, Tamil Nadu 627859",Sivagurunathapuram,8.9771136,77.4209806,ChIJDzUPYw-dBjsRNhdMSyL7fxk,https://www.google.com/maps/place/?q=place_id:ChIJDzUPYw-dBjsRNhdMSyL7fxk,part_264,2026-09-20 19:02:11,3848
Cygnet Spoken English Academy,Spoken English Institute,English language school,English language school,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 98947 00788,https://cygnet-spoken-english.zako.in/,4.9,81.0,"SARATHI PRIMARY SCHOOL CAMPUS, 63, SIVAN SOUTH CAR STREET, South, Bazaar Main Road, near Draupathi Amman Temple, Palayamkottai, Tirunelveli, Tamil Nadu 627002",Palayamkottai,8.7230502,77.7381379,ChIJ67ThzgISBDsRen19x9KrBPg,https://www.google.com/maps/place/?q=place_id:ChIJ67ThzgISBDsRen19x9KrBPg,part_264,2026-09-20 19:02:12,3849
Speak Out( Best Spoken English +Skill training Institute),Spoken English Institute,English language school,"English language school, Coaching Center, Service establishment",627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 79806 54823,N/A,5.0,15.0,"Speak Out( Best Spoken English +Skill training Institute), 627761, India",627761,24.374074399999998,87.85113779999999,ChIJN_GWeFOV-DkRQbJK8LdfIic,https://www.google.com/maps/place/?q=place_id:ChIJN_GWeFOV-DkRQbJK8LdfIic,part_264,2026-09-20 19:02:12,3850
EnglishLabs T Nagar - German IELTS Spoken English Classes in Chennai,Spoken English Institute,English language school,English language school,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 93840 47476,https://englishlabs.in/spoken-english-classes-chennai/,4.7,197.0,"Globus, 306 Challa Mall Complex, Sir Thyagaraya Rd, opposite to Pondy Bazaar, Pondy Bazaar, T. Nagar, Chennai, Tamil Nadu 600017","Pondy Bazaar, T. Nagar",13.039874699999999,80.2427617,ChIJFdZCwqpnUjoR2deQgB37YvI,https://www.google.com/maps/place/?q=place_id:ChIJFdZCwqpnUjoR2deQgB37YvI,part_264,2026-09-20 19:02:12,3851
British Style English classes,Spoken English Institute,English language school,English language school,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 98670 25269,N/A,4.9,458.0,"38/309, Near Ambe Mata Mandir, Aazad Maidaan ke Pass, Unnath Nagar Part, 4, Mahatma Gandhi Rd, Goregaon West, Mumbai, Maharashtra 400104","Sane Guruji Nagar, Motilal Nagar III, Goregaon West",19.165028,72.8401714,ChIJVVVVVbm35zsRypFMXR0l0Ns,https://www.google.com/maps/place/?q=place_id:ChIJVVVVVbm35zsRypFMXR0l0Ns,part_264,2026-09-20 19:02:12,3852
CS Training Academy,Spoken English Institute,Education center,Education center,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 94431 23905,N/A,4.5,10.0,"H55, Kamarajar Rd, NH Colony, Perumalpuram, stop, Tirunelveli, Tamil Nadu 627007","NH Colony, Perumalpuram, stop",8.7048373,77.7412473,ChIJXXAxDAsSBDsRByMgDppMvjI,https://www.google.com/maps/place/?q=place_id:ChIJXXAxDAsSBDsRByMgDppMvjI,part_264,2026-09-20 19:02:12,3853
ALPHA ENGLISH ACADEMY,Spoken English Institute,Charter school,Charter school,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 87549 84683,https://alphaenglishacademy.zako.in/,,,"Grace Complex, near New Bus Stand, Vasanth Nagar, Tirunelveli, Tamil Nadu 627005",Vasanth Nagar,8.6998044,77.7258762,ChIJzSL3BWsSBDsRIr0E0yFAiy8,https://www.google.com/maps/place/?q=place_id:ChIJzSL3BWsSBDsRIr0E0yFAiy8,part_264,2026-09-20 19:02:14,3854
