business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
FLEX PRINTING,Flex and Banner Printing,Print shop,Print shop,627764,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Rayagiri S.O, Duraisamypuram B.O",N/A,N/A,5.0,1.0,"Mayapuri Industrial Area Phase II, Mayapuri, Delhi, 110046","Mayapuri Industrial Area Phase II, Mayapuri",28.6134989,77.1095862,ChIJJTQjSlMDDTkRo4sttlutqFI,https://www.google.com/maps/place/?q=place_id:ChIJJTQjSlMDDTkRo4sttlutqFI,part_264,2026-09-20 19:02:56
Flex Banner,Flex and Banner Printing,Flex and Banner Printing,Flex and Banner Printing,627764,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Rayagiri S.O, Duraisamypuram B.O",N/A,N/A,5.0,1.0,"Gamdi Vad, Anand, Gujarat 388001",Gamdi Vad,22.5576919,72.9608878,ChIJ8fsRfpxOXjkROIIHkHGdxUA,https://www.google.com/maps/place/?q=place_id:ChIJ8fsRfpxOXjkROIIHkHGdxUA,part_264,2026-09-20 19:02:56
CREATIVE GRAPHICS & FLEX,Flex and Banner Printing,Digital printing service,Digital printing service,627764,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Rayagiri S.O, Duraisamypuram B.O",N/A,N/A,4.6,,"Aanand nagar, Paikamal, Dunguripali, Odisha 768039",627764,20.9268876,82.8135653,ChIJmQXl3NrXJToRXPhch7ahA68,https://www.google.com/maps/place/?q=place_id:ChIJmQXl3NrXJToRXPhch7ahA68,part_264,2026-09-20 19:02:57
Creative Print Media,Flex and Banner Printing,Print shop,Print shop,627764,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Rayagiri S.O, Duraisamypuram B.O",+91 88603 66962,http://www.creativeprintmedia.in/,4.9,,"Shop No .LG -1, LIFE LINE PHARMACY, Shree Ram complex, Plot no.C-2, Abhay Khand 1, Nyay Khand I, Indirapuram, Ghaziabad, Uttar Pradesh 201014","Abhay Khand 1, Nyay Khand I, Indirapuram",28.634116199999998,77.34998639999999,ChIJkfsvW7r7DDkRQvWZWJUHUP4,https://www.google.com/maps/place/?q=place_id:ChIJkfsvW7r7DDkRQvWZWJUHUP4,part_264,2026-09-20 19:02:57
Z CREATIVE FLEX PRINTING,Flex and Banner Printing,Digital printing service,"Digital printing service, Advertising agency, Graphic designer",627764,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Rayagiri S.O, Duraisamypuram B.O",+91 90221 44699,N/A,4.9,,"SHOP NO. 1, MARUTI DHAM BLDG, near RENUKA NIVAS, Navghar Manikpur, Anand Nagar, Vasai West, Vasai-Virar, Maharashtra 401202","Navghar Manikpur, Anand Nagar, Vasai West",19.3798946,72.831122,ChIJj8TF1sGu5zsROd4mhL2Cd1k,https://www.google.com/maps/place/?q=place_id:ChIJj8TF1sGu5zsROd4mhL2Cd1k,part_264,2026-09-20 19:02:57
FLEX BANNER PRINTING,Flex and Banner Printing,Digital printing service,"Digital printing service, Offset Printer",627764,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Rayagiri S.O, Duraisamypuram B.O",+91 99302 26310,N/A,5.0,,"M=407 CHANDRESH RESIDENCY LODHA COMPLEAX, Mira Road East, Thane, Maharashtra 401107","Puja Nagar, Mira Road East",19.2916895,72.85674039999999,ChIJA1jljXux5zsRKihCHjez-u4,https://www.google.com/maps/place/?q=place_id:ChIJA1jljXux5zsRKihCHjez-u4,part_264,2026-09-20 19:02:57
Sree Shakthi Digital,Flex and Banner Printing,Digital printer,Digital printer,627764,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Rayagiri S.O, Duraisamypuram B.O",+91 95006 65533,N/A,4.3,,"3A, Sakthi complex, 5/802, Raja Nagar, Pitchampalayam Pudur, Tiruppur, Tamil Nadu 641603","Raja Nagar, Pitchampalayam Pudur",11.1402314,77.34392079999999,ChIJZ7FLTV0GqTsRS8U_2MixT-s,https://www.google.com/maps/place/?q=place_id:ChIJZ7FLTV0GqTsRS8U_2MixT-s,part_264,2026-09-20 19:02:57
Fine Touch Graphics | Creative Flex Printing & Brochure,Flex and Banner Printing,Digital printing service,Digital printing service,627764,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Rayagiri S.O, Duraisamypuram B.O",+91 93222 59996,N/A,4.8,,"Alidada Estate, Railway Station, behind BEST Depot, nr. Kurla, Nehru Nagar, Kurla, Mumbai, Maharashtra 400024","Nehru Nagar, Kurla",19.0647344,72.8803037,ChIJpaqqG5fI5zsR-JAT3amSjpk,https://www.google.com/maps/place/?q=place_id:ChIJpaqqG5fI5zsR-JAT3amSjpk,part_264,2026-09-20 19:02:57
Mysore Flex and Banner Bag Flag & T Shirt Printing,Flex and Banner Printing,Print shop,"Print shop, Advertising agency, Banner store, Custom t-shirt store, Digital printer, Digital printing service, Graphic designer, Offset Printer, Poster store, Sign shop",627764,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Rayagiri S.O, Duraisamypuram B.O",+91 86188 64411,http://universalmedia.liveblog365.com/,4.7,,"447/2b, Jhansi Rani Lakshmi Bai Rd, Chamarajapura, Chamarajapuram Mohalla, Lakshmipuram, Mysuru, Karnataka 570005","Chamarajapura, Chamarajapuram Mohalla, Lakshmipuram",12.3002545,76.6421092,ChIJm0qFcQhwrzsRyWkpQez08WI,https://www.google.com/maps/place/?q=place_id:ChIJm0qFcQhwrzsRyWkpQez08WI,part_264,2026-09-20 19:02:57
"Sunboard, Flex, printing.",Flex and Banner Printing,Print shop,Print shop,627764,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Rayagiri S.O, Duraisamypuram B.O",+91 72087 12238,N/A,5.0,,"New marve, New Link Rd, near atharva college, Kandivali, Malad West, Mumbai, Maharashtra 400067","Kandivali, Malad West",19.1992811,72.833169,ChIJhYhcqgC35zsRuMUVLN2Cthc,https://www.google.com/maps/place/?q=place_id:ChIJhYhcqgC35zsRuMUVLN2Cthc,part_264,2026-09-20 19:02:57
Rajdeep flex,Flex and Banner Printing,Digital printing service,Digital printing service,627764,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Rayagiri S.O, Duraisamypuram B.O",+91 70006 13713,https://rajdeepflex.com/,4.1,,"Tilak Nagar Chatapara, near shiv hanuman mandir, Bilaspur, Tilak Nagar, Chhattisgarh 495001",627764,22.0889605,82.1459711,ChIJZ89RFsoLKDoRI9uUVYovZi8,https://www.google.com/maps/place/?q=place_id:ChIJZ89RFsoLKDoRI9uUVYovZi8,part_264,2026-09-20 19:02:57
Chennai Digital,Flex and Banner Printing,Digital printing service,Digital printing service,627764,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Rayagiri S.O, Duraisamypuram B.O",+91 75300 23973,https://chennaidigitalprinting.netlify.app/,4.5,,"Cape Rd, Kottar, Nagercoil, Tamil Nadu 629002",627764,8.170386299999999,77.4396495,ChIJt-E10xDxBDsRxwctzm9MIx8,https://www.google.com/maps/place/?q=place_id:ChIJt-E10xDxBDsRxwctzm9MIx8,part_264,2026-09-20 19:02:57
Vertex Sign Printing Industries,Flex and Banner Printing,Digital printer,Digital printer,627764,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Rayagiri S.O, Duraisamypuram B.O",N/A,https://www.facebook.com/vertexspi,3.9,,"TC 39/1558, Dontace Villa Killipalam, 695009, Attakulangara Killippalam Byepass Rd, Attakulangara, Thiruvananthapuram, Keralam 695009","Aryasala, Attakulangara",8.48047,76.9559479,ChIJ0fK2Bge7BTsRBqvsjZWFG34,https://www.google.com/maps/place/?q=place_id:ChIJ0fK2Bge7BTsRBqvsjZWFG34,part_264,2026-09-20 19:02:57
Aradhana Print & Signs,Flex and Banner Printing,Sign shop,"Sign shop, Advertising agency, Print shop",627764,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Rayagiri S.O, Duraisamypuram B.O",+91 99466 86690,N/A,4.0,,"Ulloor - Akkulam Rd, opp. Avees, Ulloor, Thiruvananthapuram, Keralam 695011",Ulloor,8.5279457,76.9269867,ChIJNwIL9IC5BTsRAVbyysKp9LQ,https://www.google.com/maps/place/?q=place_id:ChIJNwIL9IC5BTsRAVbyysKp9LQ,part_264,2026-09-20 19:02:57
Digital Flex Printing,Flex and Banner Printing,Commercial printer,Commercial printer,627764,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Rayagiri S.O, Duraisamypuram B.O",+91 90002 07413,N/A,4.0,,"2-22-93/1, Vijaya Nagar Colony, Kukatpally, Hyderabad, Telangana 500072","Vijaya Nagar Colony, Kukatpally",17.498089999999998,78.409633,ChIJk7eJnsGRyzsR7TPtH-AX9Zc,https://www.google.com/maps/place/?q=place_id:ChIJk7eJnsGRyzsR7TPtH-AX9Zc,part_264,2026-09-20 19:02:58
Jyothi Print,Flex and Banner Printing,Digital printing service,"Digital printing service, Advertising agency, Event management company",627764,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Rayagiri S.O, Duraisamypuram B.O",+91 484 407 0380,N/A,4.1,,"AV Sight Care, Near, SBRCRA-115, St Benedict Rd, Kacheripady, Kochi, Keralam 682018",Kacheripady,9.9908596,76.28365749999999,ChIJ7wZhb0MNCDsRZ8wdw4bJdyc,https://www.google.com/maps/place/?q=place_id:ChIJ7wZhb0MNCDsRZ8wdw4bJdyc,part_264,2026-09-20 19:02:58
R S Flex,Flex and Banner Printing,Advertising agency,Advertising agency,627764,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Rayagiri S.O, Duraisamypuram B.O",N/A,N/A,3.3,,"W Perumal Maistry St, Madurai Main, Madurai, Tamil Nadu 625001",Madurai Main,9.916904299999999,78.1125615,ChIJgfQe1_zFADsRWpeQr5mh4q0,https://www.google.com/maps/place/?q=place_id:ChIJgfQe1_zFADsRWpeQr5mh4q0,part_264,2026-09-20 19:02:58
Kochuviruppil Digital Solutions,Flex and Banner Printing,Digital printing service,Digital printing service,627764,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Rayagiri S.O, Duraisamypuram B.O",+91 94470 01275,N/A,3.3,,"SH 1, Koothattukulam, Keralam 686662",627764,9.865079999999999,76.5967486,ChIJsbHOwAfbBzsRq40PFg8-6jc,https://www.google.com/maps/place/?q=place_id:ChIJsbHOwAfbBzsRq40PFg8-6jc,part_264,2026-09-20 19:02:58
VOLVO SIGNS,Flex and Banner Printing,Sign shop,Sign shop,627764,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Rayagiri S.O, Duraisamypuram B.O",N/A,N/A,4.3,,"neerikode, Alangad, Keralam 683511",627764,10.114329699999999,76.2829051,ChIJ-XaO4c8PCDsRdE9zjMFsB60,https://www.google.com/maps/place/?q=place_id:ChIJ-XaO4c8PCDsRdE9zjMFsB60,part_264,2026-09-20 19:02:58
