business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Advocate P. Murugesan,Advocate and Lawyer,Law firm,Law firm,627802,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Courtallam S.O, Kasimajorpuram B.O",+91 94432 83817,N/A,4.9,16.0,"G5, Velan Complex, Perumal Kovil St, Tenkasi, Tamil Nadu 627811",627802,8.955327,77.3081922,ChIJ_W9awMcpBDsR9boxMSLDTT8,https://www.google.com/maps/place/?q=place_id:ChIJ_W9awMcpBDsR9boxMSLDTT8,part_264,2026-09-20 19:03:42
Vijay Law Association,Advocate and Lawyer,Legal services,Legal services,627802,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Courtallam S.O, Kasimajorpuram B.O",+91 90038 88110,N/A,5.0,11.0,"Door No:125, First Floor, Mathina complex, Padikkattupalli, Tenkasi, Tamil Nadu 627811",Padikkattupalli,8.9550451,77.30915449999999,ChIJQVFxob4pBDsRk920fWxD0bc,https://www.google.com/maps/place/?q=place_id:ChIJQVFxob4pBDsRk920fWxD0bc,part_264,2026-09-20 19:03:42
SM DOCUMENT WRITING & ADVOCATE OFFICE,Advocate and Lawyer,Law firm,Law firm,627802,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Courtallam S.O, Kasimajorpuram B.O",+91 87541 88491,N/A,5.0,6.0,"167/1, N Car St, Tenkasi, Tamil Nadu 627811",627802,8.9574943,77.3081816,ChIJxQVWMgApBDsROS-3WHypSAQ,https://www.google.com/maps/place/?q=place_id:ChIJxQVWMgApBDsROS-3WHypSAQ,part_264,2026-09-20 19:03:42
Thangadurai Advocate Office,Advocate and Lawyer,Legal services,Legal services,627802,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Courtallam S.O, Kasimajorpuram B.O",N/A,N/A,5.0,2.0,"11, E Car St, Tenkasi, Tamil Nadu 627811",627802,8.9563165,77.3086414,ChIJvyk6vhEpBDsRpP_O_0cpW3Q,https://www.google.com/maps/place/?q=place_id:ChIJvyk6vhEpBDsRpP_O_0cpW3Q,part_264,2026-09-20 19:03:42
M.MADASAMY ADVOCATE OFFICE,Advocate and Lawyer,Law firm,Law firm,627802,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Courtallam S.O, Kasimajorpuram B.O",N/A,N/A,,,"79-B, Perumal Kovil St, Tenkasi, Tamil Nadu 627811",627802,8.9551953,77.30814939999999,ChIJqWCMNgApBDsR0oy8ZTFXaTk,https://www.google.com/maps/place/?q=place_id:ChIJqWCMNgApBDsR0oy8ZTFXaTk,part_264,2026-09-20 19:03:42
Advocate N.Ganagasapapathy Office,Advocate and Lawyer,Law firm,Law firm,627802,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Courtallam S.O, Kasimajorpuram B.O",N/A,N/A,4.3,7.0,"105, Courtallam Rd, Melagaram, Tamil Nadu 627818",627802,8.950274,77.2985322,ChIJN2u5jPkpBDsRthwE62-k5iU,https://www.google.com/maps/place/?q=place_id:ChIJN2u5jPkpBDsRthwE62-k5iU,part_264,2026-09-20 19:03:42
Advocate Mohanakrishnan,Advocate and Lawyer,Lawyer,Lawyer,627802,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Courtallam S.O, Kasimajorpuram B.O",+91 4633 222 695,N/A,5.0,8.0,"X844+4C9, Perumal Koil St, Tenkasi, Tamil Nadu 627811",627802,8.9552923,77.3060957,ChIJ7RuiA-kpBDsRMOMbNZ4zl84,https://www.google.com/maps/place/?q=place_id:ChIJ7RuiA-kpBDsRMOMbNZ4zl84,part_264,2026-09-20 19:03:42
ADVOCATE ESAKKIDURAI OFFICE,Advocate and Lawyer,Lawyer,Lawyer,627802,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Courtallam S.O, Kasimajorpuram B.O",+91 98421 24617,N/A,1.0,1.0,"X845+HP7, Samba St, Tenkasi, Tamil Nadu 627811",627802,8.9564022,77.3092973,ChIJEx7LJ-gpBDsRN1v7no1Zw0s,https://www.google.com/maps/place/?q=place_id:ChIJEx7LJ-gpBDsRN1v7no1Zw0s,part_264,2026-09-20 19:03:42
ADVOCATE CASE,Advocate and Lawyer,Law firm,Law firm,627802,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Courtallam S.O, Kasimajorpuram B.O",N/A,N/A,,,"X845+R9V, E Car St, Tenkasi, Tamil Nadu 627811",627802,8.957098199999999,77.30843399999999,ChIJF3fxagApBDsRAWpRm2uduPE,https://www.google.com/maps/place/?q=place_id:ChIJF3fxagApBDsRAWpRm2uduPE,part_264,2026-09-20 19:03:42
Advocate RMK Associates (Advocate office),Advocate and Lawyer,Law firm,Law firm,627802,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Courtallam S.O, Kasimajorpuram B.O",+91 96774 78739,https://www.rmk.jayerp.dpdns.org/,5.0,,"IInd Floor, R.M.K. Towers, D.No:43/3A6, opposite to BSNL Office, Tenkasi, Tamil Nadu 627811",627802,8.955521599999999,77.307338,ChIJ57hCVswpBDsR91u0MldZMe8,https://www.google.com/maps/place/?q=place_id:ChIJ57hCVswpBDsR91u0MldZMe8,part_264,2026-09-20 19:03:43
"32 years + Exp Adv. Johnson Family Court , Civil and Criminal Lawyer Ottapalam",Advocate and Lawyer,Divorce lawyer,"Divorce lawyer, Civil law attorney, Criminal justice attorney, Family law attorney, Lawyer, Legal services",627802,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Courtallam S.O, Kasimajorpuram B.O",+91 81570 11609,http://ottapalamlawyer.com/,4.8,26.0,"No 36, Second Floor, Diamond Plaza, Kanniyampuram, Ottapalam, Kerala 679104",Kanniyampuram,10.7732075,76.3701359,ChIJsz-lOaXZpzsR_WOMavoqfbs,https://www.google.com/maps/place/?q=place_id:ChIJsz-lOaXZpzsR_WOMavoqfbs,part_264,2026-09-20 19:03:43
