business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
A R Krishnan & Associates,Chartered Accountant (CA),Chartered accountant,Chartered accountant,627804,Tamilnadu circle,"Southern Region, Madurai",Kovilpatti Division,"Kodikurichi B.O, Nainaragaram B.O, Idaikal(TKS) S.O",+91 90940 46000,http://arkca.com/,3.7,15.0,"Flat No.:SF2 No.:18, Lokesh Tower, Kodambakkam High Rd, Badrikari, Tirumurthy Nagar, Nungambakkam, Chennai, Tamil Nadu 600034","Badrikari, Tirumurthy Nagar, Nungambakkam",13.0525097,80.2447392,ChIJ7VOFoERmUjoRnQIznfOainc,https://www.google.com/maps/place/?q=place_id:ChIJ7VOFoERmUjoRnQIznfOainc,part_264,2026-09-20 19:05:06
Deepak Aswani & Associates,Chartered Accountant (CA),Chartered accountant,"Chartered accountant, Accountant, Business development service, Business management consultant, Consultant, Tax consultant",627804,Tamilnadu circle,"Southern Region, Madurai",Kovilpatti Division,"Kodikurichi B.O, Nainaragaram B.O, Idaikal(TKS) S.O",+91 77373 76479,N/A,4.9,,"Plot No. 177, Subhash Colony, Shastri Nagar, Jaipur., Jaipur, Rajasthan 302016","Shiv Shakti Colony, Ram Nagar, Shastri Nagar",26.9443698,75.8016342,ChIJWcS2cd6zbTkRDExYIpJaz_E,https://www.google.com/maps/place/?q=place_id:ChIJWcS2cd6zbTkRDExYIpJaz_E,part_264,2026-09-20 19:05:08
"BHAGAT & KUMAR , Chartered Accountants",Chartered Accountant (CA),Certified public accountant,"Certified public accountant, Auditor",627804,Tamilnadu circle,"Southern Region, Madurai",Kovilpatti Division,"Kodikurichi B.O, Nainaragaram B.O, Idaikal(TKS) S.O",+91 91647 93621,https://bhagatandkumar.com/,5.0,,"1st floor, Cauvery College Road, No.146/20, Kodigehalli Main Rd, Defence Layout, Sahakar Nagar, Bengaluru, Karnataka 560092","Defence Layout, Sahakar Nagar",13.059090699999999,77.581649,ChIJU_3hwxsYrjsRfaYsA89N6O0,https://www.google.com/maps/place/?q=place_id:ChIJU_3hwxsYrjsRfaYsA89N6O0,part_264,2026-09-20 19:05:08
"A N GAWADE & CO LLP. CHARTERED ACCOUNTANTS - Accounting , Audit & Taxation Firm",Chartered Accountant (CA),Certified public accountant,Certified public accountant,627804,Tamilnadu circle,"Southern Region, Madurai",Kovilpatti Division,"Kodikurichi B.O, Nainaragaram B.O, Idaikal(TKS) S.O",+91 77220 63311,https://www.angca.com/,4.5,,"Saraswati Heights, 7, Deccan Gymkhana, behind Goodluck Cafe, Deccan Gymkhana, Pune, Maharashtra 411004",Deccan Gymkhana,18.5166903,73.84110059999999,ChIJRYizJY-_wjsRsjjDWL34a5o,https://www.google.com/maps/place/?q=place_id:ChIJRYizJY-_wjsRsjjDWL34a5o,part_264,2026-09-20 19:05:08
Pradeep Bhat & Co,Chartered Accountant (CA),Certified public accountant,Certified public accountant,627804,Tamilnadu circle,"Southern Region, Madurai",Kovilpatti Division,"Kodikurichi B.O, Nainaragaram B.O, Idaikal(TKS) S.O",+91 99801 55647,N/A,3.9,,"No. 16/F1, 1, MLA Layout, Lottegollahalli, R.M.V. 2nd Stage, Bengaluru, Karnataka 560094","MLA Layout, Lottegollahalli, R.M.V. 2nd Stage",13.0378793,77.5670264,ChIJOVH3meIXrjsRYGVeLTpuaWM,https://www.google.com/maps/place/?q=place_id:ChIJOVH3meIXrjsRYGVeLTpuaWM,part_264,2026-09-20 19:05:08
SS & Associates,Chartered Accountant (CA),Chartered accountant,Chartered accountant,627804,Tamilnadu circle,"Southern Region, Madurai",Kovilpatti Division,"Kodikurichi B.O, Nainaragaram B.O, Idaikal(TKS) S.O",+91 96723 58788,https://www.bestcainjaipur.com/,4.5,,"XP7G+92J, Ganesh Nagar Main Rd, Ganesh Nagar Vistar, Harnathapura, Jhotwara, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302012","Ganesh Nagar Vistar, Harnathapura, Jhotwara",26.9633859,75.7250552,ChIJpUxBGgCzbTkRWIc71xZDNH0,https://www.google.com/maps/place/?q=place_id:ChIJpUxBGgCzbTkRWIc71xZDNH0,part_264,2026-09-20 19:05:08
Jajodiya & Co.,Chartered Accountant (CA),Chartered accountant,Chartered accountant,627804,Tamilnadu circle,"Southern Region, Madurai",Kovilpatti Division,"Kodikurichi B.O, Nainaragaram B.O, Idaikal(TKS) S.O",+91 98301 44895,http://cajajodiya.co.in/resource/Contact_Us.aspx,4.0,,"2ND FLOOR, 238 ,C.R Avnue, Girish Park N, Kolkata, West Bengal 700006","Simla, Machuabazar",22.5858804,88.3627898,ChIJd_kUh253AjoRSL-mINE6dWI,https://www.google.com/maps/place/?q=place_id:ChIJd_kUh253AjoRSL-mINE6dWI,part_264,2026-09-20 19:05:08
"R M RAO & ASSOCIATES, CHARTERED ACCOUNTANTS",Chartered Accountant (CA),Chartered accountant,"Chartered accountant, Income tax help association",627804,Tamilnadu circle,"Southern Region, Madurai",Kovilpatti Division,"Kodikurichi B.O, Nainaragaram B.O, Idaikal(TKS) S.O",+91 80 4208 3480,http://www.rmrao.com/,4.9,,"1st floor, No. 13, 18th A Cross Rd, opposite to Hotel Ivory Corporate Hotel, adjacent to Dasarahalli Main Road, Bhuvaneswari Nagar, Hebbal Post, Bengaluru, Karnataka 560024","Bhuvaneswari Nagar, Hebbal Post",13.0550105,77.6056724,ChIJmw_m6RcYrjsRHSX_ojniK7g,https://www.google.com/maps/place/?q=place_id:ChIJmw_m6RcYrjsRHSX_ojniK7g,part_264,2026-09-20 19:05:08
C R Luniya and Co,Chartered Accountant (CA),Chartered accountant,Chartered accountant,627804,Tamilnadu circle,"Southern Region, Madurai",Kovilpatti Division,"Kodikurichi B.O, Nainaragaram B.O, Idaikal(TKS) S.O",+91 98222 57474,http://www.crluniyaandco.com/,5.0,,"Ishaan Residency, L B, 168, Lal Bahadur Shastri Rd, near Bharat Petrol Pump, Navi Peth, Sadashiv Peth, Pune, Maharashtra 411030","Asha Colony, Lokamanya Nagar, Navi Peth, Sadashiv Peth",18.507513799999998,73.8432679,ChIJR7y_bHXAwjsRL26Jr_vrci0,https://www.google.com/maps/place/?q=place_id:ChIJR7y_bHXAwjsRL26Jr_vrci0,part_264,2026-09-20 19:05:08
SUDHARSHAN ASSOCIATES,Chartered Accountant (CA),Chartered accountant,Chartered accountant,627804,Tamilnadu circle,"Southern Region, Madurai",Kovilpatti Division,"Kodikurichi B.O, Nainaragaram B.O, Idaikal(TKS) S.O",N/A,N/A,,,"301,III Floor, Meenakshi Towers, PT Rajan Rd, Madurai, Tamil Nadu 625002",627804,9.9305075,78.1267539,ChIJY9UqHgDFADsR0Q0GjVF4fsc,https://www.google.com/maps/place/?q=place_id:ChIJY9UqHgDFADsR0Q0GjVF4fsc,part_264,2026-09-20 19:05:08
