business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Melco Powertools,Hardware Store,Hardware store,Hardware store,627855,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Puliyangudi S.O, Ayyapuram B.O, Punniahpuram B.O",+91 99651 45424,N/A,5.0,1.0,"Mainroad, Puliyangudi, Tamil Nadu 627855",627855,9.1792006,77.3983475,ChIJJbBA_auRBjsR_bcK1j-xQrI,https://www.google.com/maps/place/?q=place_id:ChIJJbBA_auRBjsR_bcK1j-xQrI,part_264,2026-09-20 19:15:36
BANU LATHE AND REWINDING WORKS,Hardware Store,Hardware store,Hardware store,627855,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Puliyangudi S.O, Ayyapuram B.O, Punniahpuram B.O",N/A,N/A,,,"59HX+VJM, Kaladi Middle St, Puliyangudi, Tamil Nadu 627855",627855,9.1797136,77.39905089999999,ChIJgZttIgCRBjsRX4z-qzIMJYg,https://www.google.com/maps/place/?q=place_id:ChIJgZttIgCRBjsRX4z-qzIMJYg,part_264,2026-09-20 19:15:36
Jayasakthi tiles and granites,Hardware Store,Hardware store,"Hardware store, Cement Supplier, Granite supplier, Tile store, Iron & Steel Store, Paint store",627855,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Puliyangudi S.O, Ayyapuram B.O, Punniahpuram B.O",+91 72001 34098,N/A,5.0,16.0,"Jayasakthi tiles and granites 146 A/7 Main road TNSTC Bus depot, opposite Puliangudi, Tamil Nadu 627855","Karpaga Veethi, Quaide Millath Nagar",9.1704629,77.3935125,ChIJZ7TRKGqRBjsRlS9NhOj4RgE,https://www.google.com/maps/place/?q=place_id:ChIJZ7TRKGqRBjsRlS9NhOj4RgE,part_264,2026-09-20 19:15:36
Al Rashid Traders,Hardware Store,Hardware store,Hardware store,627855,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Puliyangudi S.O, Ayyapuram B.O, Punniahpuram B.O",+91 99760 15280,N/A,,,"Indian Oil South Side, 6/618, Main Road, Punnaiyapuram, Chockampatti, Tamil Nadu 627855",627855,9.157928,77.3906923,ChIJVYaB5QyRBjsRZLK5snqKfiM,https://www.google.com/maps/place/?q=place_id:ChIJVYaB5QyRBjsRZLK5snqKfiM,part_264,2026-09-20 19:15:36
Avudaiappan pillai & Sons,Hardware Store,Hardware store,Hardware store,627855,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Puliyangudi S.O, Ayyapuram B.O, Punniahpuram B.O",N/A,N/A,5.0,1.0,"84, 86, Main Road, Puliyangudi, Tamil Nadu 627855",627855,9.1796264,77.3983903,ChIJh8F-MiGRBjsR_k18f7f5FYA,https://www.google.com/maps/place/?q=place_id:ChIJh8F-MiGRBjsR_k18f7f5FYA,part_264,2026-09-20 19:15:36
சொர்ணம் ஹார்டுவேர்ஸ்,Hardware Store,Hardware store,Hardware store,627855,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Puliyangudi S.O, Ayyapuram B.O, Punniahpuram B.O",+91 95669 96620,N/A,4.5,2.0,"64a9, Main Rd, Krishnapuram, Tirunelveli, Kadayanallur, Tamil Nadu 627759",Krishnapuram,9.0912788,77.3478779,ChIJ7Q7tpuuFBjsRdjKpoA6DWSM,https://www.google.com/maps/place/?q=place_id:ChIJ7Q7tpuuFBjsRdjKpoA6DWSM,part_264,2026-09-20 19:15:36
SRI KANNA STORE,Hardware Store,Hardware store,Hardware store,627855,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Puliyangudi S.O, Ayyapuram B.O, Punniahpuram B.O",+91 95971 92289,N/A,,,"Main Road, Kumanthapuram, Tirunelveli, Tamil Nadu 627751",627855,9.1081108,77.3554194,ChIJQeBtbHOFBjsR3Svbm3i9bHU,https://www.google.com/maps/place/?q=place_id:ChIJQeBtbHOFBjsR3Svbm3i9bHU,part_264,2026-09-20 19:15:36
Simla traders,Hardware Store,Hardware store,Hardware store,627855,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Puliyangudi S.O, Ayyapuram B.O, Punniahpuram B.O",+91 96597 35948,N/A,,,"6CQ5+XR8, Vasudevanallur, Tamil Nadu 627758",627855,9.239901999999999,77.4095914,ChIJT49pHgCTBjsR_1mKDs0nTik,https://www.google.com/maps/place/?q=place_id:ChIJT49pHgCTBjsR_1mKDs0nTik,part_264,2026-09-20 19:15:36
SRI BALAJI HARDWARE,Hardware Store,Hardware store,Hardware store,627855,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Puliyangudi S.O, Ayyapuram B.O, Punniahpuram B.O",N/A,N/A,5.0,3.0,"132, MAINROAD, Quaide Millath Nagar, Puliyangudi, Tamil Nadu 627855",Quaide Millath Nagar,9.1708442,77.3939058,ChIJA7kn54mRBjsREVowYEXweC4,https://www.google.com/maps/place/?q=place_id:ChIJA7kn54mRBjsREVowYEXweC4,part_264,2026-09-20 19:15:36
Sakthi Hardwares,Hardware Store,Hardware store,Hardware store,627855,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Puliyangudi S.O, Ayyapuram B.O, Punniahpuram B.O",+91 94871 33128,N/A,4.3,6.0,"82-A,Main Road, Puliangudi,Tirunelveli, Tamil Nadu 627855",Quaide Millath Nagar,9.1776568,77.3976862,ChIJSYLAlTiQBjsRo_gjZeVXsCk,https://www.google.com/maps/place/?q=place_id:ChIJSYLAlTiQBjsRo_gjZeVXsCk,part_264,2026-09-20 19:15:36
