business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
S.K Jewellers,Silver Jewellery Shop,Jewelry store,Jewelry store,627855,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Puliyangudi S.O, Ayyapuram B.O, Punniahpuram B.O",N/A,N/A,5.0,1.0,"59HX+W5Q, Puliyangudi, Tamil Nadu 627855",627855,9.1798976,77.3979967,ChIJ3y61KACRBjsRlWIpnqMctcI,https://www.google.com/maps/place/?q=place_id:ChIJ3y61KACRBjsRlWIpnqMctcI,part_264,2026-09-20 19:15:26
TAJ JEWELLERS,Silver Jewellery Shop,Jewelry store,Jewelry store,627855,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Puliyangudi S.O, Ayyapuram B.O, Punniahpuram B.O",+91 74182 57101,N/A,4.7,16.0,"67,NATTANMAI ARUNACHALAM MUDALYAR STREET, Puliyangudi, Tamil Nadu 627855",627855,9.1798147,77.3977381,ChIJSe4_0deRBjsR2QHSzyD0v7A,https://www.google.com/maps/place/?q=place_id:ChIJSe4_0deRBjsR2QHSzyD0v7A,part_264,2026-09-20 19:15:26
Thirumalai murugan Jewellers,Silver Jewellery Shop,Jewelry store,Jewelry store,627855,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Puliyangudi S.O, Ayyapuram B.O, Punniahpuram B.O",N/A,N/A,5.0,4.0,"89, Gangai Amman Kovil St, Bazaar, Puliyangudi, Tamil Nadu 627855",Bazaar,9.1795251,77.397272,ChIJqUkFHK-RBjsRI-Eu0rctNZM,https://www.google.com/maps/place/?q=place_id:ChIJqUkFHK-RBjsRI-Eu0rctNZM,part_264,2026-09-20 19:15:26
SUBBULAKSHMI THANGA MAALIGAI,Silver Jewellery Shop,Jewelry store,Jewelry store,627855,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Puliyangudi S.O, Ayyapuram B.O, Punniahpuram B.O",+91 97919 18344,N/A,5.0,4.0,"51B, Gangai Amman Kovil St, Gengai, Puliyangudi, Tamil Nadu 627855",627855,9.179534199999999,77.3978173,ChIJmWo-OIiRBjsRmQ9mgXzahaU,https://www.google.com/maps/place/?q=place_id:ChIJmWo-OIiRBjsRmQ9mgXzahaU,part_264,2026-09-20 19:15:26
SV Jewellery,Silver Jewellery Shop,Jewelry store,Jewelry store,627855,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Puliyangudi S.O, Ayyapuram B.O, Punniahpuram B.O",+91 98765 43217,N/A,5.0,1.0,"63, Ghandhi Bazar, Puliyangudi, Tamil Nadu 627855",627855,9.1797451,77.3982596,ChIJ_____zuQBjsRhj53EIqJaxw,https://www.google.com/maps/place/?q=place_id:ChIJ_____zuQBjsRhj53EIqJaxw,part_264,2026-09-20 19:15:26
KODEESWARAN JEWELLERS PULIANGUDI,Silver Jewellery Shop,Jewelry store,Jewelry store,627855,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Puliyangudi S.O, Ayyapuram B.O, Punniahpuram B.O",+91 99521 87673,N/A,4.3,7.0,"Gandhi bazar, Puliyangudi, Tamil Nadu 627855",627855,9.1799803,77.3978538,ChIJ5QA_0HKRBjsR10ottRld52c,https://www.google.com/maps/place/?q=place_id:ChIJ5QA_0HKRBjsR10ottRld52c,part_264,2026-09-20 19:15:26
M/s. S.Veerasamy Chettiar Jewellery Mart,Silver Jewellery Shop,Jewelry store,Jewelry store,627855,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Puliyangudi S.O, Ayyapuram B.O, Punniahpuram B.O",+91 90036 79996,N/A,3.0,2.0,"63-A, Gandhi Bazaar, Puliyangudi, Tamil Nadu 627855",Gandhi Bazaar,9.179637699999999,77.3983538,ChIJ4WFECjeQBjsR2LbaSPkKosI,https://www.google.com/maps/place/?q=place_id:ChIJ4WFECjeQBjsR2LbaSPkKosI,part_264,2026-09-20 19:15:26
Raja Rajeshwari Jewellery,Silver Jewellery Shop,Jewelry store,Jewelry store,627855,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Puliyangudi S.O, Ayyapuram B.O, Punniahpuram B.O",N/A,N/A,5.0,1.0,"41, Gandhi bazar, near S.B.I Bank, Puliyangudi, Tamil Nadu 627855",627855,9.1800786,77.397948,ChIJeaF4pLSRBjsRKhJ64ZHgWFA,https://www.google.com/maps/place/?q=place_id:ChIJeaF4pLSRBjsRKhJ64ZHgWFA,part_264,2026-09-20 19:15:26
SRI BALAJI Jewellers,Silver Jewellery Shop,Jeweler,Jeweler,627855,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Puliyangudi S.O, Ayyapuram B.O, Punniahpuram B.O",N/A,http://www.sribalajijewellers.in/,5.0,2.0,"Gandhi bazar, near S.B.I Bank, Puliyangudi, Tamil Nadu 627855",627855,9.1800287,77.3978699,ChIJj5RJSgCRBjsRdySdX6K-vFs,https://www.google.com/maps/place/?q=place_id:ChIJj5RJSgCRBjsRdySdX6K-vFs,part_264,2026-09-20 19:15:26
Sri balamurugan jewellers,Silver Jewellery Shop,Jewelry store,Jewelry store,627855,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Puliyangudi S.O, Ayyapuram B.O, Punniahpuram B.O",N/A,https://www.instagram.com/sribalamurugan__jewellers?igsi=MWN3ZWJnMm1maXgyOA%3D%3D&utm_source=qr,4.8,6.0,"67, Gandhi Bazaar, Puliyangudi, Tamil Nadu 627855",627855,9.1795831,77.39801849999999,ChIJ_d6NoDKRBjsR_Y9Xupp4i6g,https://www.google.com/maps/place/?q=place_id:ChIJ_d6NoDKRBjsR_Y9Xupp4i6g,part_264,2026-09-20 19:15:26
