business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SMS Music and Dance School,Music and Dance Academy,Art school,Art school,628001,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Tuticorin H.O, Tuticorin Cathedral S.O, Tuticorin Keelur S.O",+91 87544 17329,N/A,,,"35 North, S Sambantha Moorthy St, Tuticorin Melur, Thoothukudi, Tamil Nadu 628002",Tuticorin Melur,8.805617999999999,78.1471007,ChIJ0x4TEJDvAzsRDmrqmHUDuF8,https://www.google.com/maps/place/?q=place_id:ChIJ0x4TEJDvAzsRDmrqmHUDuF8,part_264,2026-09-20 19:22:32
V. J. Abinaya Natyalaya,Music and Dance Academy,Dance school,Dance school,628001,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Tuticorin H.O, Tuticorin Cathedral S.O, Tuticorin Keelur S.O",+91 80984 79920,N/A,4.8,21.0,"Ayyan Kovil St, Tuticorin Beach Road Salt Pans, Muttayyapuram, Tamil Nadu 628005, Thoothukudi, Tamil Nadu 628005",Tuticorin Beach Road Salt Pans,8.747142199999999,78.129148,ChIJM-ltB0bvAzsR0oWpYT3bJ_0,https://www.google.com/maps/place/?q=place_id:ChIJM-ltB0bvAzsR0oWpYT3bJ_0,part_264,2026-09-20 19:22:32
O2 Dance Studio,Music and Dance Academy,Dance school,Dance school,628001,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Tuticorin H.O, Tuticorin Cathedral S.O, Tuticorin Keelur S.O",+91 97519 10661,N/A,4.7,33.0,"Bathirakaaliamman complex, Annanagar 3rd Street, 2nd Gate Market, Thoothukudi, Tamil Nadu 628002",628001,8.808722399999999,78.1481319,ChIJkW9itZvvAzsRZ7ILGVmDdOk,https://www.google.com/maps/place/?q=place_id:ChIJkW9itZvvAzsRZ7ILGVmDdOk,part_264,2026-09-20 19:22:32
Twisters Arts & Dance Academy,Music and Dance Academy,Dance school,"Dance school, Gymnastics center, Hip Hop Dance Class",628001,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Tuticorin H.O, Tuticorin Cathedral S.O, Tuticorin Keelur S.O",+91 99526 44274,http://www.twisterstuty.com/,5.0,20.0,"4th street, East, Bryant Nagar, Thoothukudi, Tamil Nadu 628001","East, Bryant Nagar",8.7920152,78.1356255,ChIJ312pgEPvAzsRXuIC76eFZeo,https://www.google.com/maps/place/?q=place_id:ChIJ312pgEPvAzsRXuIC76eFZeo,part_264,2026-09-20 19:22:32
Letz Dance Flamenco,Music and Dance Academy,Hip Hop Dance Class,Hip Hop Dance Class,628001,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Tuticorin H.O, Tuticorin Cathedral S.O, Tuticorin Keelur S.O",N/A,N/A,4.8,29.0,"47, S Sambantha Moorthy St, near dsf plaza, Shanmugapuram, Thoothukudi, Tamil Nadu 628002",Shanmugapuram,8.8028826,78.1471473,ChIJLWK2rJjvAzsRqcYQ1wjAc4w,https://www.google.com/maps/place/?q=place_id:ChIJLWK2rJjvAzsRqcYQ1wjAc4w,part_264,2026-09-20 19:22:32
Twisters Dance and Fitness Studio,Music and Dance Academy,Sports club,Sports club,628001,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Tuticorin H.O, Tuticorin Cathedral S.O, Tuticorin Keelur S.O",+91 94437 24474,http://www.twisterstuty.com/,4.8,13.0,"R48V+R74, State Bank Colony Main Rd, Sundervel Puram, State Bank Colony, Thalamuthu Nagar, Thoothukudi, Tamil Nadu 628002","Sundervel Puram, State Bank Colony, Thalamuthu Nagar",8.8170177,78.1431834,ChIJHY7_KwDvAzsR67HCO-TndJU,https://www.google.com/maps/place/?q=place_id:ChIJHY7_KwDvAzsR67HCO-TndJU,part_264,2026-09-20 19:22:32
Dan Muzic,Music and Dance Academy,Music school,Music school,628001,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Tuticorin H.O, Tuticorin Cathedral S.O, Tuticorin Keelur S.O",N/A,http://facebook.com/ddanmuzic,4.7,7.0,"120, Sivanthakulam Main Road, Rathna Colony, Shanmugapuram, Thoothukudi, Tamil Nadu 628001","Rathna Colony, Shanmugapuram",8.800914299999999,78.1470741,ChIJIf1zk6LvAzsRQScze4BCqjU,https://www.google.com/maps/place/?q=place_id:ChIJIf1zk6LvAzsRQScze4BCqjU,part_264,2026-09-20 19:22:32
TN69 DANCE CREW,Music and Dance Academy,Dance school,Dance school,628001,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Tuticorin H.O, Tuticorin Cathedral S.O, Tuticorin Keelur S.O",+91 84895 13121,https://tn69-dance-crew.netlify.app/,5.0,29.0,"12th St, Anna Nagar, Thoothukudi, Tamil Nadu 628008",Anna Nagar,8.8077062,78.13332249999999,ChIJvzKMTgDvAzsRcy98jkzDlgU,https://www.google.com/maps/place/?q=place_id:ChIJvzKMTgDvAzsRcy98jkzDlgU,part_264,2026-09-20 19:22:32
Arina Dance Studio,Music and Dance Academy,Dance company,Dance company,628001,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Tuticorin H.O, Tuticorin Cathedral S.O, Tuticorin Keelur S.O",N/A,N/A,5.0,2.0,"Top Floor, Eagle book centre, Chidambaranagar Main Rd, Subbiah Puram, Thoothukudi, Tamil Nadu 628008",Subbiah Puram,8.7974138,78.1335125,ChIJRfLAZynvAzsRYcbpXOMbpvw,https://www.google.com/maps/place/?q=place_id:ChIJRfLAZynvAzsRYcbpXOMbpvw,part_264,2026-09-20 19:22:32
Gowtham Music Academy,Music and Dance Academy,Music school,Music school,628001,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Tuticorin H.O, Tuticorin Cathedral S.O, Tuticorin Keelur S.O",N/A,N/A,5.0,4.0,"149/8, opposite to ICIC BANK, Kurinji Nagar, Muthammal Colony, Thoothukudi, Tamil Nadu 628002","Kurinji Nagar, Muthammal Colony",8.8102618,78.1339216,ChIJZzO25FbvAzsRXdSZIr9GpEY,https://www.google.com/maps/place/?q=place_id:ChIJZzO25FbvAzsRXdSZIr9GpEY,part_264,2026-09-20 19:22:32
