business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sreepujitha plastic Company,Businesses,Business networking company,Business networking company,628002,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Melur Tuticorin S.O, Arockiapuram B.O, Mappillaiyurani B.O",N/A,N/A,5.0,,"R4F8+93, Jothi Nagar, Thoothukudi, Tamil Nadu 628002",Jothi Nagar,8.8233359,78.1151988,ChIJkR4IWuXlAzsRiPjgR0ZKwOY,https://www.google.com/maps/place/?q=place_id:ChIJkR4IWuXlAzsRiPjgR0ZKwOY,part_264,2026-09-20 19:23:23
Sanshawn,Businesses,Corporate office,"Corporate office, Freight Forwarding Agency",628002,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Melur Tuticorin S.O, Arockiapuram B.O, Mappillaiyurani B.O",+91 461 420 0119,http://sanshawn.com/,4.6,,"No: 44-A, T.R. Naidu Street, First Floor, Thoothukudi, Tamil Nadu 628002",628002,8.833083199999999,78.0994211,ChIJp0HIBZbvAzsRrz7nxyhIxEc,https://www.google.com/maps/place/?q=place_id:ChIJp0HIBZbvAzsRrz7nxyhIxEc,part_264,2026-09-20 19:23:23
Futurewagon Private Limited,Businesses,Warehouse,Warehouse,628002,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Melur Tuticorin S.O, Arockiapuram B.O, Mappillaiyurani B.O",N/A,http://www.futurewagon.com/,4.3,,"1/5, 1/5A, Madurai Bypass Road, Sankaraperi, Thoothukudi, Tamil Nadu 628002",628002,8.838678999999999,78.1051246,ChIJsY70UG_7AzsRmhttu3RJyW0,https://www.google.com/maps/place/?q=place_id:ChIJsY70UG_7AzsRmhttu3RJyW0,part_264,2026-09-20 19:23:23
Venus warehouse,Businesses,Warehouse,Warehouse,628002,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Melur Tuticorin S.O, Arockiapuram B.O, Mappillaiyurani B.O",N/A,N/A,4.0,,"R3FQ+PCV, Milavittan, Thoothukudi, Tamil Nadu 628002",Milavittan,8.824366,78.08854219999999,ChIJk7wPZQD7AzsRAZYQWwBFtoU,https://www.google.com/maps/place/?q=place_id:ChIJk7wPZQD7AzsRAZYQWwBFtoU,part_264,2026-09-20 19:23:23
JKS,Businesses,Warehouse,Warehouse,628002,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Melur Tuticorin S.O, Arockiapuram B.O, Mappillaiyurani B.O",+91 90033 50690,N/A,,,"keelaArasaradi, Thoothukudi, Tamil Nadu 628002",keelaArasaradi,8.833083199999999,78.09942099999999,ChIJ1Wqbr1X7AzsRBVotPNZrvBc,https://www.google.com/maps/place/?q=place_id:ChIJ1Wqbr1X7AzsRBVotPNZrvBc,part_264,2026-09-20 19:23:23
ANIL & CO,Businesses,Manufacturer,Manufacturer,628002,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Melur Tuticorin S.O, Arockiapuram B.O, Mappillaiyurani B.O",N/A,N/A,,,"R4J4+F8X, Sankaraperi Rd, Jothi Nagar, Thoothukudi, Tamil Nadu 628002",Jothi Nagar,8.8311472,78.1064492,ChIJF-EnUQD7AzsRywjUKZZuY80,https://www.google.com/maps/place/?q=place_id:ChIJF-EnUQD7AzsRywjUKZZuY80,part_264,2026-09-20 19:23:23
Gala factory outlet,Businesses,Warehouse,Warehouse,628002,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Melur Tuticorin S.O, Arockiapuram B.O, Mappillaiyurani B.O",+91 97895 69732,N/A,5.0,,"R3FP+2JX, Milavittan, Thoothukudi, Tamil Nadu 628002",Milavittan,8.8227846,78.08716009999999,ChIJC2nDAgD7AzsR-UWLs0rqGqA,https://www.google.com/maps/place/?q=place_id:ChIJC2nDAgD7AzsR-UWLs0rqGqA,part_264,2026-09-20 19:23:23
BLUE INDUSTRIES,Businesses,Manufacturer,"Manufacturer, Supplier, Wholesaler",628002,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Melur Tuticorin S.O, Arockiapuram B.O, Mappillaiyurani B.O",+91 97897 42299,N/A,5.0,,"NO.5C/103 RAJA PANDI NAGAR, East Coast Rd, Thoothukudi, Tamil Nadu 628001",Tuticorin Beach Road Salt Pans,8.7739917,78.1373127,ChIJCQH2BKbvAzsRoExjtxlCAuA,https://www.google.com/maps/place/?q=place_id:ChIJCQH2BKbvAzsRoExjtxlCAuA,part_264,2026-09-20 19:23:23
SPACE GOODS,Businesses,Warehouse,Warehouse,628002,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Melur Tuticorin S.O, Arockiapuram B.O, Mappillaiyurani B.O",N/A,N/A,5.0,,"1/10/4A, Sankaraperi, Thoothukudi, Tamil Nadu 628002",628002,8.845053799999999,78.1034878,ChIJQbA2cAD7AzsR_13O2crQ5zw,https://www.google.com/maps/place/?q=place_id:ChIJQbA2cAD7AzsR_13O2crQ5zw,part_264,2026-09-20 19:23:23
Isravel timbars&doors,Businesses,Door supplier,Door supplier,628002,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Melur Tuticorin S.O, Arockiapuram B.O, Mappillaiyurani B.O",+91 97510 11079,N/A,5.0,,"Postal colony, sangarapery, Thoothukudi, Tamil Nadu 628002",628002,8.833083199999999,78.09942099999999,ChIJB40TuOv7AzsRrC4_fg5fB5U,https://www.google.com/maps/place/?q=place_id:ChIJB40TuOv7AzsRrC4_fg5fB5U,part_264,2026-09-20 19:23:23
Subbulakshmi traders,Businesses,Warehouse,Warehouse,628002,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Melur Tuticorin S.O, Arockiapuram B.O, Mappillaiyurani B.O",N/A,N/A,,,"R4P4+FXG, Jothi Nagar, Sankaraperi, Thoothukudi, Tamil Nadu 628002",Jothi Nagar,8.8356891,78.1070517,ChIJPTfZQ0v7AzsRAXCb5zxtdzY,https://www.google.com/maps/place/?q=place_id:ChIJPTfZQ0v7AzsRAXCb5zxtdzY,part_264,2026-09-20 19:23:23
Sarath House,Businesses,Housing development,Housing development,628002,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Melur Tuticorin S.O, Arockiapuram B.O, Mappillaiyurani B.O",N/A,N/A,5.0,,"R4M7+FXJ, Jothi Nagar, Sankaraperi, Thoothukudi, Tamil Nadu 628002",Jothi Nagar,8.83286,78.113851,ChIJj4aFYgDlAzsR88tr9R8HJeQ,https://www.google.com/maps/place/?q=place_id:ChIJj4aFYgDlAzsR88tr9R8HJeQ,part_264,2026-09-20 19:23:23
Home,Businesses,Housing society,Housing society,628002,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Melur Tuticorin S.O, Arockiapuram B.O, Mappillaiyurani B.O",N/A,N/A,4.0,,"R4G3+876, Pandarampatti Village, Thoothukudi, Pandarampattti, Tamil Nadu 628002",Pandarampatti Village,8.8257935,78.1031306,ChIJB3jsOwD7AzsRIuXtYz1OM7Y,https://www.google.com/maps/place/?q=place_id:ChIJB3jsOwD7AzsRIuXtYz1OM7Y,part_264,2026-09-20 19:23:23
RKM ASSOCIATES,Businesses,Real Estate Builders & Construction Company,"Real Estate Builders & Construction Company, Building firm, Civil engineer, Land surveyor",628002,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Melur Tuticorin S.O, Arockiapuram B.O, Mappillaiyurani B.O",+91 88706 67194,https://rkmassociates.in/,4.8,24.0,"KG Towers, 3, 3rd St, Kathirvelnagar Extension, Muthukrishna Nagar, Thoothukudi, Tamil Nadu 628008","Kathirvelnagar Extension, Muthukrishna Nagar",8.8004559,78.1163892,ChIJ2QZ45d3vAzsRvLH7raQQt78,https://www.google.com/maps/place/?q=place_id:ChIJ2QZ45d3vAzsRvLH7raQQt78,part_264,2026-09-20 19:23:24
Nanotricks,Businesses,Software company,Software company,628002,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Melur Tuticorin S.O, Arockiapuram B.O, Mappillaiyurani B.O",+91 7397 772 211,http://www.nanotricks.in/,4.8,11.0,"Thusnavis nager, Thoothukudi, Tamil Nadu 628002",Mattakkadai,8.8238673,78.1509243,ChIJCdpLq4DvAzsR4rff-ou2B7A,https://www.google.com/maps/place/?q=place_id:ChIJCdpLq4DvAzsR4rff-ou2B7A,part_264,2026-09-20 19:23:24
VEI4 INNOVATIVE LLP,Businesses,Software company,"Software company, Education center, Human resource consulting",628002,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Melur Tuticorin S.O, Arockiapuram B.O, Mappillaiyurani B.O",+91 83005 01856,https://vei4innovative.wixsite.com/home,4.8,10.0,"Golden Puram, 5/134, 3rd St, Ayyappan Nagar, Muthammal Colony, Thoothukudi, Tamil Nadu 628002","Ayyappan Nagar, Muthammal Colony",8.813364199999999,78.1282708,ChIJFZHZQF7vAzsR8Ng5DR02Bq4,https://www.google.com/maps/place/?q=place_id:ChIJFZHZQF7vAzsR8Ng5DR02Bq4,part_264,2026-09-20 19:23:24
Thara Techbees,Businesses,Software company,Software company,628002,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Melur Tuticorin S.O, Arockiapuram B.O, Mappillaiyurani B.O",+91 93614 32048,https://tharatechbees.com/,5.0,7.0,"144D/4, New Bustand, near Register Office, Polepettai, Muthammal Colony, Thoothukudi, Tamil Nadu 628002","Polepettai, Muthammal Colony",8.8106628,78.135076,ChIJpQejRNbvAzsRPXH8YVNlciI,https://www.google.com/maps/place/?q=place_id:ChIJpQejRNbvAzsRPXH8YVNlciI,part_264,2026-09-20 19:23:24
Royal Catering Company,Businesses,Manufacturer,Manufacturer,628002,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Melur Tuticorin S.O, Arockiapuram B.O, Mappillaiyurani B.O",N/A,N/A,5.0,1.0,"R4CJ+2W6, TNHB Colony, KTC Nagar, Thoothukudi, Tamil Nadu 628002","TNHB Colony, KTC Nagar",8.8200436,78.13225969999999,ChIJia96VwDvAzsRaem7iiKfFP0,https://www.google.com/maps/place/?q=place_id:ChIJia96VwDvAzsRaem7iiKfFP0,part_264,2026-09-20 19:23:25
Transport business,Businesses,Transportation service,Transportation service,628002,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Melur Tuticorin S.O, Arockiapuram B.O, Mappillaiyurani B.O",N/A,N/A,4.0,4.0,"V448+G25, Pudhur pandiyapuram, East Coast Rd, Thoothukudi, Tamil Nadu 628002",628002,8.8562643,78.1151108,ChIJY23-3UvlAzsRz5y9C9Ld4qA,https://www.google.com/maps/place/?q=place_id:ChIJY23-3UvlAzsRz5y9C9Ld4qA,part_264,2026-09-20 19:23:25
