business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Kumaran Watches,Watch Showroom and Repair,Watch store,"Watch store, Watch repair service",628006,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Thermal Nagagr S.O,+91 98431 95060,http://www.thekronos.watch/,4.9,,"29, 30, Perundurai Rd, V Chatram, Nggo Colony, Erode, Tamil Nadu 638011","V Chatram, Nggo Colony",11.3356877,77.7098125,ChIJS7tjZDJvqTsR7V2PhxAGo9w,https://www.google.com/maps/place/?q=place_id:ChIJS7tjZDJvqTsR7V2PhxAGo9w,part_264,2026-09-20 19:25:27
RAJAN WATCH HOUSE ( Since 1946),Watch Showroom and Repair,Watch store,"Watch store, Watch repair service",628006,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Thermal Nagagr S.O,+91 88483 92688,N/A,4.8,,"Sree Vel Plaza, near Overbridge, Overbridge, Chalai Bazaar, Pazhavangadi, Thiruvananthapuram, Keralam 695036","Overbridge, Chalai Bazaar, Pazhavangadi",8.4868845,76.94797969999999,ChIJwfl4uaa7BTsRzAWrPAvWYz0,https://www.google.com/maps/place/?q=place_id:ChIJwfl4uaa7BTsRzAWrPAvWYz0,part_264,2026-09-20 19:25:27
AR Time House,Watch Showroom and Repair,Watch store,"Watch store, Clock repair service",628006,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Thermal Nagagr S.O,+91 88483 74711,N/A,4.9,,"NH 66, Thiruvananthapuram, Nemom, Keralam 695020",628006,8.4566336,77.0006836,ChIJryxXMfK7BTsR0suWEKnn8gE,https://www.google.com/maps/place/?q=place_id:ChIJryxXMfK7BTsR0suWEKnn8gE,part_264,2026-09-20 19:25:27
K. K. PILLAI & SONS,Watch Showroom and Repair,Watch store,"Watch store, Clock repair service, Watch repair service",628006,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Thermal Nagagr S.O,+91 94461 33766,N/A,4.2,,"GX7C+5Q9, Sasthamangalam, Thiruvananthapuram, Keralam 695010",Sasthamangalam,8.5129159,76.9719763,ChIJR1trpzG6BTsRGCJQH1ILQLI,https://www.google.com/maps/place/?q=place_id:ChIJR1trpzG6BTsRGCJQH1ILQLI,part_264,2026-09-20 19:25:27
Sunny Time House,Watch Showroom and Repair,Watch store,"Watch store, Watch repair service",628006,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Thermal Nagagr S.O,+91 99475 55367,N/A,4.9,,"Sunny Time House, Pazhavangadi P.O, Ittiyapara, Ranni, Keralam 689673",628006,9.3858528,76.786734,ChIJLfkSctM4BjsR0s-GugcF3nE,https://www.google.com/maps/place/?q=place_id:ChIJLfkSctM4BjsR0s-GugcF3nE,part_264,2026-09-20 19:25:27
Exclusive watches service,Watch Showroom and Repair,Watch repair service,Watch repair service,628006,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Thermal Nagagr S.O,+91 98927 14568,N/A,5.0,,"B.R. gawde Market, Worli Naka, BDD Chawls Worli, Worli, Mumbai, Maharashtra 400018","Worli Naka, BDD Chawls Worli, Worli",18.9998222,72.81757309999999,ChIJZ_mw77zP5zsRK0S-jGa_T80,https://www.google.com/maps/place/?q=place_id:ChIJZ_mw77zP5zsRK0S-jGa_T80,part_264,2026-09-20 19:25:27
Elite Watch Mart,Watch Showroom and Repair,Watch store,Watch store,628006,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Thermal Nagagr S.O,+91 82208 63300,N/A,4.9,,"117, Bazzar St, Sathyamangalam, Tamil Nadu 638401",628006,11.504145399999999,77.2424923,ChIJZz8TagAhqTsRfjRzPUeiMB8,https://www.google.com/maps/place/?q=place_id:ChIJZz8TagAhqTsRfjRzPUeiMB8,part_264,2026-09-20 19:25:28
Kumaran Watches,Watch Showroom and Repair,Watch store,Watch store,628006,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Thermal Nagagr S.O,+91 99437 25060,https://thekronos.watch/,4.8,,"334, Cutchery St, Erode, Tamil Nadu 638001",628006,11.3389984,77.72871169999999,ChIJffm33ENvqTsRJqlAyf5Mbi8,https://www.google.com/maps/place/?q=place_id:ChIJffm33ENvqTsRJqlAyf5Mbi8,part_264,2026-09-20 19:25:28
"Helios Watch Store - Kowdiar, Thiruvananthapuram",Watch Showroom and Repair,Watch store,"Watch store, Clock repair service, Clock and watch maker, Watch Manufacturer, Watch repair service",628006,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Thermal Nagagr S.O,+91 80 6270 3129,https://www.helioswatchstore.com/store-locator/Trivandrum/watch-store-in-kowdiar,4.8,,"Style Plus Shopping Complex, Neat to Subway, Keston Rd, Kowdiar, Thiruvananthapuram, Keralam 695003","Belhaven Gardens, Kowdiar",8.5168056,76.9582633,ChIJ9feui9G7BTsRzQnsvccmW98,https://www.google.com/maps/place/?q=place_id:ChIJ9feui9G7BTsRzQnsvccmW98,part_264,2026-09-20 19:25:28
BALAJI WATCH HOUSE,Watch Showroom and Repair,Watch store,Watch store,628006,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Thermal Nagagr S.O,+91 96265 67891,https://www.instagram.com/balajiwatch_house?igsh=MTZ0aWVvYXpmd2p4Zg==,4.8,,"Balaji Watch house complex Kaatcherimedu, 23, Sathy Main Road, near MGR statue and Abhirami medicals, Gobichettipalayam, Tamil Nadu 638452",628006,11.454721,77.430996,ChIJNahqPYU9qTsR1O1lLOkBfcM,https://www.google.com/maps/place/?q=place_id:ChIJNahqPYU9qTsR1O1lLOkBfcM,part_264,2026-09-20 19:25:28
