business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sri Kamatchi Amman Modern Rice Mill,Rice Mill and Agro Processing,Rice mill,Rice mill,628102,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Mudittanendal S.O, Mudittanendal Pudur B.O, Thimmarajapuraam B.O",+91 98651 32945,N/A,5.0,,"357, St. Peter Street, Sawyerpuram, Tamil Nadu 628251",628102,8.6775322,78.0287791,ChIJAQAAAHvzAzsR9N7a3f7b_lo,https://www.google.com/maps/place/?q=place_id:ChIJAQAAAHvzAzsR9N7a3f7b_lo,part_264,2026-09-20 19:28:31
saraswathi RICE MILL,Rice Mill and Agro Processing,Rice mill,Rice mill,628102,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Mudittanendal S.O, Mudittanendal Pudur B.O, Thimmarajapuraam B.O",+91 75988 70213,N/A,5.0,,"Vanniyanoor, road, Perunkulam, Tamil Nadu 628751",628102,8.646849699999999,78.00066509999999,ChIJpYuZubT0AzsR6fUZ5HIh4i0,https://www.google.com/maps/place/?q=place_id:ChIJpYuZubT0AzsR6fUZ5HIh4i0,part_264,2026-09-20 19:28:31
Satyam Agro Company (Basmati Rice),Rice Mill and Agro Processing,Rice mill,"Rice mill, Exporter, Food & Beverage Exporter, Food Processing Company, Rice shop, Rice wholesaler",628102,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Mudittanendal S.O, Mudittanendal Pudur B.O, Thimmarajapuraam B.O",+91 99143 59549,https://satyamagro.co.in/,5.0,,"village amanatpur, Jalandhar, Punjab 144008",628102,31.396901099999997,75.5221723,ChIJ9zM_pi5OGjkRixqobB2GttY,https://www.google.com/maps/place/?q=place_id:ChIJ9zM_pi5OGjkRixqobB2GttY,part_264,2026-09-20 19:28:32
Kanhu Rice Mill,Rice Mill and Agro Processing,Rice mill,Rice mill,628102,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Mudittanendal S.O, Mudittanendal Pudur B.O, Thimmarajapuraam B.O",+91 94377 66637,N/A,5.0,,"4XW8+596, Kanakjora, Odisha 770002",628102,22.145404799999998,83.96590599999999,ChIJYxYpZJKVIDoRZvXBSqe8ISc,https://www.google.com/maps/place/?q=place_id:ChIJYxYpZJKVIDoRZvXBSqe8ISc,part_264,2026-09-20 19:28:32
Kochas Power Pvt. Ltd.,Rice Mill and Agro Processing,Rice mill,Rice mill,628102,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Mudittanendal S.O, Mudittanendal Pudur B.O, Thimmarajapuraam B.O",+91 74929 49494,N/A,4.5,,"CCJG+VXW, Tenduni, road, Kakila, Bihar 802158",628102,25.432237699999998,84.4274382,ChIJ3wshDTp7jTkRhwR4jGQVN4w,https://www.google.com/maps/place/?q=place_id:ChIJ3wshDTp7jTkRhwR4jGQVN4w,part_264,2026-09-20 19:28:32
Bismillah Rice Mill,Rice Mill and Agro Processing,Agricultural service,Agricultural service,628102,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Mudittanendal S.O, Mudittanendal Pudur B.O, Thimmarajapuraam B.O",+91 94479 95391,https://www.facebook.com/bismillahmodernricemill/,4.8,,"Koduvayur Shantipuram Rd, Koduvayur, Keralam 678502",628102,10.6833735,76.6466653,ChIJI85-MakSqDsRndIZllMlDNc,https://www.google.com/maps/place/?q=place_id:ChIJI85-MakSqDsRndIZllMlDNc,part_264,2026-09-20 19:28:33
Biju Modern Rice Mill,Rice Mill and Agro Processing,Rice mill,Rice mill,628102,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Mudittanendal S.O, Mudittanendal Pudur B.O, Thimmarajapuraam B.O",N/A,N/A,4.6,,"JPH2+7X8, Oottara, Kollengode, Panangattiri, Keralam 678504",Oottara,10.6281733,76.70244459999999,ChIJkStBpVcRqDsRVnD88WDp8K0,https://www.google.com/maps/place/?q=place_id:ChIJkStBpVcRqDsRVnD88WDp8K0,part_264,2026-09-20 19:28:33
PKR Modern Rice Mill,Rice Mill and Agro Processing,Rice mill,Rice mill,628102,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Mudittanendal S.O, Mudittanendal Pudur B.O, Thimmarajapuraam B.O",N/A,N/A,4.8,,"PJ2X+WRX, Thenkurissi, Keralam 678671",628102,10.7023528,76.6495973,ChIJW954fFptqDsRAM9orDs3wCg,https://www.google.com/maps/place/?q=place_id:ChIJW954fFptqDsRAM9orDs3wCg,part_264,2026-09-20 19:28:33
Naina Rice Mill,Rice Mill and Agro Processing,Rice mill,"Rice mill, Exporter, Food manufacturer",628102,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Mudittanendal S.O, Mudittanendal Pudur B.O, Thimmarajapuraam B.O",+91 90035 63377,http://www.nainaricemill.com/,4.8,,"2/18, Attur Main Road Masinaickenpatty, Ayothiapattinam, Tamil Nadu 636103",628102,11.6699009,78.225955,ChIJx_C-bkDyqzsRLDZedpWDre4,https://www.google.com/maps/place/?q=place_id:ChIJx_C-bkDyqzsRLDZedpWDre4,part_264,2026-09-20 19:28:33
VEADO MACHINERY PRIVATE LIMITED,Rice Mill and Agro Processing,Manufacturer,"Manufacturer, Corporate office, Rice mill",628102,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Mudittanendal S.O, Mudittanendal Pudur B.O, Thimmarajapuraam B.O",+91 94863 55595,https://veado.in/,4.7,,"No 367, Kamaraj Nagar, KRS Nagar, Katpadi, Vellore, Tamil Nadu 632007","KRS Nagar, Katpadi",12.978347399999999,79.1430681,ChIJW-6jo-BBrTsRDBqSq74du0o,https://www.google.com/maps/place/?q=place_id:ChIJW-6jo-BBrTsRDBqSq74du0o,part_264,2026-09-20 19:28:33
