business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Umarikottai M PS electrical and plumbing work Vetrivel caps,Electrician,Electrician,Electrician,628104,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Sekkarakudi S.O, Chockalingapuram B.O, Kollampirambu dalavaipuram B.O",N/A,N/A,5.0,,"RXFR+7VR, Pathirakaliamman Kovil Street, Umarikottai, Tamil Nadu 628301",628104,8.8232287,77.9921403,ChIJyf4ADgD5AzsRGOILgraJWKU,https://www.google.com/maps/place/?q=place_id:ChIJyf4ADgD5AzsRGOILgraJWKU,part_264,2026-09-20 19:29:34
DRS ELECTRICALS,Electrician,Electrician,"Electrician, Car repair and maintenance service, Electrical installation service, Electronics repair shop",628104,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Sekkarakudi S.O, Chockalingapuram B.O, Kollampirambu dalavaipuram B.O",+91 81052 93357,https://drselectricals.com/,4.9,,"1st main, 4th Cross Rd, shivu layout, Mariyappana Palya, Gnana Bharathi, Bengaluru, Karnataka 560056","shivu layout, Mariyappana Palya, Gnana Bharathi",12.9463805,77.4989166,ChIJ04nRDpc_rjsRNckL67dMR2E,https://www.google.com/maps/place/?q=place_id:ChIJ04nRDpc_rjsRNckL67dMR2E,part_264,2026-09-20 19:29:34
K S S Electrical,Electrician,Electronics store,Electronics store,628104,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Sekkarakudi S.O, Chockalingapuram B.O, Kollampirambu dalavaipuram B.O",+91 80154 61031,N/A,5.0,,"12/68, Main St, Sekkarakudi, Tamil Nadu 628104",628104,8.7970847,77.9508073,ChIJ-6505K73AzsRquxHEPFJ_aQ,https://www.google.com/maps/place/?q=place_id:ChIJ-6505K73AzsRquxHEPFJ_aQ,part_264,2026-09-20 19:29:34
Ama chemical earthing solution,Electrician,Electrical engineer,Electrical engineer,628104,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Sekkarakudi S.O, Chockalingapuram B.O, Kollampirambu dalavaipuram B.O",+91 79834 83310,N/A,5.0,,"aashvi health care building, 14/2, canal road, near Daily needs plus, Aishwarya Sharda Vihar, Govind Vihar, Dehradun, Gujrara Mansingh, Uttarakhand 248001","Aishwarya Sharda Vihar, Govind Vihar",30.3648009,78.0935196,ChIJlXXWhsrXCDkR_fkgy4eiBXE,https://www.google.com/maps/place/?q=place_id:ChIJlXXWhsrXCDkR_fkgy4eiBXE,part_264,2026-09-20 19:29:35
Shonu electrical,Electrician,Electrician,Electrician,628104,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Sekkarakudi S.O, Chockalingapuram B.O, Kollampirambu dalavaipuram B.O",N/A,N/A,5.0,,"MFP7+PV5, Madgi, Telangana 502221",628104,17.686702699999998,77.4647592,ChIJJcQOXADNzjsRdJ9h4QnnQik,https://www.google.com/maps/place/?q=place_id:ChIJJcQOXADNzjsRdJ9h4QnnQik,part_264,2026-09-20 19:29:35
Megha Electrical Services,Electrician,Electrician,Electrician,628104,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Sekkarakudi S.O, Chockalingapuram B.O, Kollampirambu dalavaipuram B.O",N/A,N/A,5.0,,"Lakkappa Complex, opp. to Bank Of Baroda, Govindaraja Nagar Ward, Mudalapalya, Nagarbhavi, Bengaluru, Karnataka 560072","Govindaraja Nagar Ward, Mudalapalya, Nagarbhavi",12.9687197,77.52425509999999,ChIJkeGf2dY9rjsR3S2xxtVW-0E,https://www.google.com/maps/place/?q=place_id:ChIJkeGf2dY9rjsR3S2xxtVW-0E,part_264,2026-09-20 19:29:35
KP electricals,Electrician,Electrical supply store,Electrical supply store,628104,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Sekkarakudi S.O, Chockalingapuram B.O, Kollampirambu dalavaipuram B.O",N/A,N/A,5.0,,"KP ELECTRICALS HS, Koottanad, Keralam 679533",628104,10.761680799999999,76.1202191,ChIJA5sg_THHpzsRgzfkyY-8Irg,https://www.google.com/maps/place/?q=place_id:ChIJA5sg_THHpzsRgzfkyY-8Irg,part_264,2026-09-20 19:29:36
Debopriyo Electric,Electrician,Electronics store,Electronics store,628104,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Sekkarakudi S.O, Chockalingapuram B.O, Kollampirambu dalavaipuram B.O",+91 90737 68428,N/A,4.9,,"Rishi Aurobindo Rd, Harish Nagar, Madhyamgram, Kolkata, West Bengal 700130","Harish Nagar, Madhyamgram",22.6962695,88.4509647,ChIJn65T5e6f-DkRAYovlBOBxW4,https://www.google.com/maps/place/?q=place_id:ChIJn65T5e6f-DkRAYovlBOBxW4,part_264,2026-09-20 19:29:36
Pooja Electricals,Electrician,Electrical supply store,Electrical supply store,628104,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Sekkarakudi S.O, Chockalingapuram B.O, Kollampirambu dalavaipuram B.O",+91 98242 11809,N/A,4.5,,"Gurumadhi Apartment, Millpara Main Rd, Near Vrundavan Dairy, Millpara, Bhakti Nagar, Rajkot, Gujarat 360002","Millpara, Bhakti Nagar",22.2856228,70.80146839999999,ChIJR9Sitg3KWTkRNcDvF72oUXk,https://www.google.com/maps/place/?q=place_id:ChIJR9Sitg3KWTkRNcDvF72oUXk,part_264,2026-09-20 19:29:36
Boromaa Electric,Electrician,Electrical supply store,Electrical supply store,628104,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Sekkarakudi S.O, Chockalingapuram B.O, Kollampirambu dalavaipuram B.O",+91 62911 96501,N/A,4.9,,"Chamrail, Howrah, West Bengal 711114",Chamrail,22.6361873,88.295008,ChIJkc-k0KuD-DkRJ5mnUf6KJAI,https://www.google.com/maps/place/?q=place_id:ChIJkc-k0KuD-DkRJ5mnUf6KJAI,part_264,2026-09-20 19:29:36
