business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Anthariya Designer Studio,Tailor and Fashion Designer,Fashion designer,Fashion designer,628104,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Sekkarakudi S.O, Chockalingapuram B.O, Kollampirambu dalavaipuram B.O",+91 93802 15653,https://instagram.com/anthariya_?utm_medium=copy_link,4.4,,"976, Outer Ring Rd, Papreddy Palya, Papareddipalya, Nagarbhavi, Bengaluru, Karnataka 560072","Papreddy Palya, Papareddipalya, Nagarbhavi",12.9698522,77.50667399999999,ChIJq4fM_pc9rjsRRaS6hpytLzc,https://www.google.com/maps/place/?q=place_id:ChIJq4fM_pc9rjsRRaS6hpytLzc,part_264,2026-09-20 19:29:22
Fashion Paradise Ladies Tailor,Tailor and Fashion Designer,Tailor,Tailor,628104,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Sekkarakudi S.O, Chockalingapuram B.O, Kollampirambu dalavaipuram B.O",+91 99025 05386,N/A,4.9,,"2nd Cross Rd, Vinayaka Nagar, Muneswara Nagar, Sector 6, HSR Layout, Bengaluru, Karnataka 560068","Vinayaka Nagar, Muneswara Nagar, Sector 6, HSR Layout",12.913720399999999,77.6260478,ChIJ3z2CPoQVrjsRhIflfrYuDJs,https://www.google.com/maps/place/?q=place_id:ChIJ3z2CPoQVrjsRhIflfrYuDJs,part_264,2026-09-20 19:29:22
Asha Boutique,Tailor and Fashion Designer,Tailor,"Tailor, Boutique, Dressmaker, Embroidery shop, Training center",628104,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Sekkarakudi S.O, Chockalingapuram B.O, Kollampirambu dalavaipuram B.O",+91 99006 69011,http://ashaboutique.co.in/,4.8,,"108, 2nd Avenue, 3rd Main Rd, Teacher's Colony, Jakkasandra, 1st Block Koramangala, HSR Layout 5th Sector, Bengaluru, Karnataka 560034","Teacher's Colony, Jakkasandra, 1st Block Koramangala, HSR Layout 5th Sector",12.9186667,77.6303382,ChIJDeHT7e0VrjsRIoR4wG6o9C4,https://www.google.com/maps/place/?q=place_id:ChIJDeHT7e0VrjsRIoR4wG6o9C4,part_264,2026-09-20 19:29:22
Bhabani Ladies Tailors,Tailor and Fashion Designer,Tailor,Tailor,628104,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Sekkarakudi S.O, Chockalingapuram B.O, Kollampirambu dalavaipuram B.O",+91 89103 81348,N/A,5.0,,"Ramgarh F9Ff+782 Kol 47, E/113/6-A, Ramgarh, Garia, Kolkata, West Bengal 700047","Ramgarh, Garia",22.473187499999998,88.3733125,ChIJBQuSvQhxAjoR2WjH-QiZ7ec,https://www.google.com/maps/place/?q=place_id:ChIJBQuSvQhxAjoR2WjH-QiZ7ec,part_264,2026-09-20 19:29:22
"Modern Tailors and Textiles, Vijayapura",Tailor and Fashion Designer,Clothing store,"Clothing store, Gents Tailor",628104,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Sekkarakudi S.O, Chockalingapuram B.O, Kollampirambu dalavaipuram B.O",+91 83522 22829,N/A,3.8,,"Hotel Tourist Complex, MG Rd, Vijayapura, Karnataka 586101",Gacchinakatti Colony,16.8290889,75.7160792,ChIJWfDkTX5VxjsR1LiyHM7gE20,https://www.google.com/maps/place/?q=place_id:ChIJWfDkTX5VxjsR1LiyHM7gE20,part_264,2026-09-20 19:29:22
Lucky tailor & brand finish alteration service,Tailor and Fashion Designer,Tailor,Tailor,628104,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Sekkarakudi S.O, Chockalingapuram B.O, Kollampirambu dalavaipuram B.O",+91 63073 09068,http://luckytailor1.website3.me/,4.8,,"1st Main Rd, Milk Colony, Subramanyanagar,2 State, Malleshwaram, Bengaluru, Karnataka 560055","Milk Colony, Subramanyanagar,2 State, Malleshwaram",13.010554299999999,77.5591864,ChIJn-Nosvc9rjsRJFaAqmM5D6o,https://www.google.com/maps/place/?q=place_id:ChIJn-Nosvc9rjsRJFaAqmM5D6o,part_264,2026-09-20 19:29:22
Aakriti Boutique,Tailor and Fashion Designer,Custom tailor,"Custom tailor, Tailor, Women's clothing store",628104,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Sekkarakudi S.O, Chockalingapuram B.O, Kollampirambu dalavaipuram B.O",+91 74112 40559,N/A,3.9,,"below Domino's Pizza, Vajarahalli, Bangalore City Municipal Corporation Layout, Bengaluru, Karnataka 560109","Vajarahalli, Bangalore City Municipal Corporation Layout",12.8746868,77.5390701,ChIJu0vawlVBrjsR3WJAsm9H1uw,https://www.google.com/maps/place/?q=place_id:ChIJu0vawlVBrjsR3WJAsm9H1uw,part_264,2026-09-20 19:29:22
Ladies Circle,Tailor and Fashion Designer,Tailor,"Tailor, Boutique",628104,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Sekkarakudi S.O, Chockalingapuram B.O, Kollampirambu dalavaipuram B.O",+91 84205 05977,N/A,4.7,,"E-189, Ramgarh, Garia, Kolkata, West Bengal 700047","Ramgarh, Garia",22.473931399999998,88.3764715,ChIJ97IH1mtxAjoRZ2nb42maP54,https://www.google.com/maps/place/?q=place_id:ChIJ97IH1mtxAjoRZ2nb42maP54,part_264,2026-09-20 19:29:22
SilaiGo,Tailor and Fashion Designer,Custom tailor,"Custom tailor, Boutique, Tailor",628104,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Sekkarakudi S.O, Chockalingapuram B.O, Kollampirambu dalavaipuram B.O",+91 88006 33755,https://silaigo.com/,4.8,212.0,"Hall 5, Shiva Tower, Lane 7, Block M, Mamura, Sector 66, Noida, Uttar Pradesh 201309","Block M, Mamura, Sector 66",28.6037945,77.3785359,ChIJ_zMehWDarm0RSa2Gl8KzcIA,https://www.google.com/maps/place/?q=place_id:ChIJ_zMehWDarm0RSa2Gl8KzcIA,part_264,2026-09-20 19:29:24
Fashion Age,Tailor and Fashion Designer,Gents Tailor,"Gents Tailor, Clothing store, Formal Clothing Store",628104,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Sekkarakudi S.O, Chockalingapuram B.O, Kollampirambu dalavaipuram B.O",+91 98730 88873,N/A,4.9,516.0,"F-24/9, Avantika Market Rd, opposite water tank, near saint giri public school, Sector 3, Rohini, Delhi, 110085","Sector 3, Rohini",28.7038078,77.1008217,ChIJu-_ibQAEDTkRpK7RRpnErVg,https://www.google.com/maps/place/?q=place_id:ChIJu-_ibQAEDTkRpK7RRpnErVg,part_264,2026-09-20 19:29:24
Arsh Tailor & Drapers,Tailor and Fashion Designer,Tailor,Tailor,628104,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Sekkarakudi S.O, Chockalingapuram B.O, Kollampirambu dalavaipuram B.O",+91 97162 36000,N/A,3.8,25.0,"Shop No 4, Mangal Bazar Chowk, Shakti Khand I, Indirapuram, Ghaziabad, Uttar Pradesh 201014","Shakti Khand I, Indirapuram",28.6472682,77.35990079999999,ChIJxxzqWrf6DDkRNGT5CMUoVs0,https://www.google.com/maps/place/?q=place_id:ChIJxxzqWrf6DDkRNGT5CMUoVs0,part_264,2026-09-20 19:29:24
Chirag Inc House of Garment trims and accessories & buttonss,Tailor and Fashion Designer,Clothing Accessories Store,Clothing Accessories Store,628104,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Sekkarakudi S.O, Chockalingapuram B.O, Kollampirambu dalavaipuram B.O",+91 80 4374 5438,N/A,4.5,12.0,"13, Basement, 3rd Cross, Lal Bagh Main Rd, near maruti garuda motors show room, K.S. Garden, Bengaluru, Karnataka 560027","K.S. Garden, Raja Ram Mohanroy Extension, Sudhama Nagar",12.960239099999999,77.5889807,ChIJp6oDPtwVrjsR7Xxq3Jbk4f8,https://www.google.com/maps/place/?q=place_id:ChIJp6oDPtwVrjsR7Xxq3Jbk4f8,part_264,2026-09-20 19:29:24
Geetha's Tailoring Materials,Tailor and Fashion Designer,Fabric store,Fabric store,628104,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Sekkarakudi S.O, Chockalingapuram B.O, Kollampirambu dalavaipuram B.O",+91 92434 83334,N/A,4.2,41.0,"Nagappa Reddy Layout, Dooravani Nagar, Bengaluru, Karnataka 560016","Nagappa Reddy Layout, Dooravani Nagar",13.0114554,77.67818059999999,ChIJ4ZtkNx8RrjsRqkTuF-LSPn0,https://www.google.com/maps/place/?q=place_id:ChIJ4ZtkNx8RrjsRqkTuF-LSPn0,part_264,2026-09-20 19:29:24
Uttam Silk Emporium,Tailor and Fashion Designer,Clothing store,"Clothing store, Threads & Yarns Wholesaler",628104,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Sekkarakudi S.O, Chockalingapuram B.O, Kollampirambu dalavaipuram B.O",+91 90193 91422,N/A,4.7,20.0,"141-71, Akkipete Main Rd, Manivartapete, Sultanpete, Bengaluru, Karnataka 560053","Manivartapete, Sultanpete",12.9681479,77.5714052,ChIJSW-PugcWrjsRbxj2SoBeO6M,https://www.google.com/maps/place/?q=place_id:ChIJSW-PugcWrjsRbxj2SoBeO6M,part_264,2026-09-20 19:29:24
