business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
I CAPTURE,CCTV Installation and Security System,Security system supplier,Security system supplier,628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 99406 46864,http://www.icapture.co.in/,4.9,,"102F/ 20, Polepettai, Kurinji nagar, Muthammal Colony, Thoothukudi, Tamil Nadu 628002","Polepettai, Kurinji nagar, Muthammal Colony",8.8127646,78.1339042,ChIJV6MZtJ3vAzsRyZFXp4dG-y4,https://www.google.com/maps/place/?q=place_id:ChIJV6MZtJ3vAzsRyZFXp4dG-y4,part_265,2026-09-20 19:02:10,6173
SRI SAI TECHNOLOGIES,CCTV Installation and Security System,Security system installation service,"Security system installation service, Computer security service, Fingerprinting Service Provider, Fire alarm supplier, Fire protection service, Security system supplier",628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 77087 86773,N/A,4.4,,"GROUND FLOOR, New bus stand, 3/35 Nps complex, opposite Ettayapuram Road, Thoothukudi, Tamil Nadu 628002",Polpettai East,8.8101065,78.1392461,ChIJz2tF1Z3vAzsRKlQgilFfZtU,https://www.google.com/maps/place/?q=place_id:ChIJz2tF1Z3vAzsRKlQgilFfZtU,part_265,2026-09-20 19:02:10,6174
BP SECURITY SYSTEM,CCTV Installation and Security System,Repair service,Repair service,628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",N/A,N/A,4.7,,"19th Sudalaimadan Kovil Street, Mattakadai, Cruz Puram, Thoothukudi, Tamil Nadu 628001","Mattakadai, Cruz Puram",8.8106326,78.15929349999999,ChIJ1zE5rQbvAzsR0ynE9nmP1Es,https://www.google.com/maps/place/?q=place_id:ChIJ1zE5rQbvAzsR0ynE9nmP1Es,part_265,2026-09-20 19:02:10,6175
Anax Infotech,CCTV Installation and Security System,Security system supplier,"Security system supplier, Closed circuit television, Computer support and services, GPS supplier, Software company, Web hosting company, Website designer",628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 91712 33333,http://www.anaxinfotech.com/,4.9,,"1st Floor, Anjappar Hotel Upstairs, 176B, Palai Road, near Mani Nager, Toovipuram, Thoothukudi, Tamil Nadu 628001",Toovipuram,8.800572599999999,78.1348313,ChIJvzCj7L_vAzsR9j4aS-8UBRU,https://www.google.com/maps/place/?q=place_id:ChIJvzCj7L_vAzsR9j4aS-8UBRU,part_265,2026-09-20 19:02:10,6176
"Live Secure Tech - CCTV Camera, Intercom, Biometric Attendance system,Mobile Signal Booster, Boom Barrier",CCTV Installation and Security System,Security system installation service,"Security system installation service, Computer security service, Security system supplier",628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 75065 02277,http://livesecuretech.com/,5.0,,"Gala No 319, A Wing, Wadala E, Antop Hill Warehousing Complex, Antop Hill, Mumbai, Maharashtra 400037","Antop Hill Warehousing Complex, Antop Hill",19.0208732,72.86815419999999,ChIJ6cf1KF3P5zsRYa9rTG9IGBo,https://www.google.com/maps/place/?q=place_id:ChIJ6cf1KF3P5zsRYa9rTG9IGBo,part_265,2026-09-20 19:02:10,6177
Flairs Technologies,CCTV Installation and Security System,Computer support and services,"Computer support and services, Computer service, Fiber Optic Products Supplier, Security system installation service",628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 87540 55520,http://www.flairs.in/,5.0,,"No: 4, Chidambranagar, East, Subbiah Puram, Thoothukudi, Tamil Nadu 628008","East, Subbiah Puram",8.7950989,78.13328829999999,ChIJSQbkwnrvAzsRf_p5VofB9NE,https://www.google.com/maps/place/?q=place_id:ChIJSQbkwnrvAzsRf_p5VofB9NE,part_265,2026-09-20 19:02:10,6178
BRIGHT VISION TECHNOLOGY,CCTV Installation and Security System,Security system installation service,Security system installation service,628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",N/A,N/A,,,"R552+MRQ, Thoothukudi, Tamil Nadu 628002",628205,8.8092531,78.15213419999999,ChIJ-6ZuOwDvAzsRs9yYmZj5fF0,https://www.google.com/maps/place/?q=place_id:ChIJ-6ZuOwDvAzsRs9yYmZj5fF0,part_265,2026-09-20 19:02:10,6179
Maavi Solar and Security Systems,CCTV Installation and Security System,Solar energy equipment supplier,"Solar energy equipment supplier, Business to business service",628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 96773 30444,N/A,5.0,,"2/406,Koilpillai Vilai,Mattakkadi, Thoothukudi, Tamil Nadu 628002",Mattakkadai,8.824721,78.1542411,ChIJd4tdD0jlAzsRp40FgnYTUH0,https://www.google.com/maps/place/?q=place_id:ChIJd4tdD0jlAzsRp40FgnYTUH0,part_265,2026-09-20 19:02:10,6180
Simms Technologies,CCTV Installation and Security System,Security system supplier,"Security system supplier, Automation company, Fingerprinting Service Provider, GPS supplier, Home automation company, Irrigation equipment supplier, Office equipment supplier, Weighing Scale Supplier, Security system installation service, Solar energy equipment supplier",628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 94421 44650,https://www.simms.in/,5.0,,"A1, 1, Trivandrum Rd, opp. Thuthiyinkottai Chruch, NGO B Colony, Vasantha Nager, Tirunelveli, Tamil Nadu 627007","NGO B Colony, Vasantha Nager",8.6966272,77.7274152,ChIJh7eFx3gRBDsRJDIlcaPHcrc,https://www.google.com/maps/place/?q=place_id:ChIJh7eFx3gRBDsRJDIlcaPHcrc,part_265,2026-09-20 19:02:10,6181
Dotin Security Systems,CCTV Installation and Security System,Security system installation service,"Security system installation service, Fire alarm supplier, Security system supplier",628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 73827 37316,https://dotinsecuritysystems.in/,4.9,,"Shop No 3, 3rd Floor, Mawin Arcade, 7 Tombs Rd, beside Al Saba Hotel, Jamali Kunta, Aravind Nagar Colony, Toli Chowki, Hyderabad, Telangana 500008","Jamali Kunta, Aravind Nagar Colony, Toli Chowki",17.3997058,78.4078442,ChIJJfARCWqXyzsR_L9gd78vg0c,https://www.google.com/maps/place/?q=place_id:ChIJJfARCWqXyzsR_L9gd78vg0c,part_265,2026-09-20 19:02:10,6182
