business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
DSP complex,Commercial Complex,Shopping mall,Shopping mall,628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",N/A,N/A,5.0,,"F2MX+P5P, Paramankurichi, Tamil Nadu 628213",628205,8.484331899999999,78.0479489,ChIJD1tf-ACPAzsRxii8N3ItUTQ,https://www.google.com/maps/place/?q=place_id:ChIJD1tf-ACPAzsRxii8N3ItUTQ,part_265,2026-09-20 19:02:21,7826
Shop for Rent,Commercial Complex,Commercial real estate agency,"Commercial real estate agency, Real Estate Builders & Construction Company",628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",N/A,N/A,1.0,,"kayal complex, VE Rd, near St Antony's church, Shanmugapuram, Thoothukudi, Tamil Nadu 628001",Shanmugapuram,8.8021358,78.15085719999999,ChIJ60hnlWTvAzsR5-J0gRY1T5s,https://www.google.com/maps/place/?q=place_id:ChIJ60hnlWTvAzsR5-J0gRY1T5s,part_265,2026-09-20 19:02:21,7827
ABR Nagarஅம்மன்புரம்,Commercial Complex,Shopping mall,Shopping mall,628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",N/A,N/A,3.8,,"H348+WR6, Ammanpuram, Tamil Nadu 628201",628205,8.557274999999999,78.067015,ChIJrexybn6OAzsRVbfWrpnNsrQ,https://www.google.com/maps/place/?q=place_id:ChIJrexybn6OAzsRVbfWrpnNsrQ,part_265,2026-09-20 19:02:21,7828
Land for sale,Commercial Complex,Housing complex,Housing complex,628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",N/A,N/A,5.0,,"Q3MV+P7Q, Mathavan Nagar, PSP Nagar, Korampallam, Ayyanadaippu, Thoothukudi, Tamil Nadu 628101","Mathavan Nagar, PSP Nagar, Korampallam",8.7847029,78.09391289999999,ChIJDewyYADxAzsRmMABrmghcpE,https://www.google.com/maps/place/?q=place_id:ChIJDewyYADxAzsRmMABrmghcpE,part_265,2026-09-20 19:02:21,7829
JP.Arun Nadar complex,Commercial Complex,Outlet mall,Outlet mall,628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",N/A,N/A,,,"12/64A, Kanniyakumari - Tiruchendur Rd, Paramankurichi, Tamil Nadu 628213",628205,8.484035,78.0474478,ChIJmcndCACPAzsREdpgeL4pX7I,https://www.google.com/maps/place/?q=place_id:ChIJmcndCACPAzsREdpgeL4pX7I,part_265,2026-09-20 19:02:21,7830
Shri Lakshmi Complex,Commercial Complex,Shopping mall,Shopping mall,628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",N/A,http://www.skandavelwebtech.com/,5.0,,"248/3A2, Kayamozhi Rd, Paramankurichi, Tamil Nadu 628213",628205,8.485867299999999,78.04590429999999,ChIJB4yjuVGPAzsRsnDj37OrCDE,https://www.google.com/maps/place/?q=place_id:ChIJB4yjuVGPAzsRsnDj37OrCDE,part_265,2026-09-20 19:02:21,7831
R.M complex,Commercial Complex,Store,Store,628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",N/A,N/A,,,"G36M+XW5, Mela, Thiruchendur, Mela Thiruchendur, Tamil Nadu 628205",Mela,8.5123801,78.0848539,ChIJlY3iSwCPAzsRfgWXxXSfJd0,https://www.google.com/maps/place/?q=place_id:ChIJlY3iSwCPAzsRfgWXxXSfJd0,part_265,2026-09-20 19:02:21,7832
M.MUTHURAMALINGA NADAR SONS. 231,Commercial Complex,Shopping mall,Shopping mall,628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",N/A,N/A,,,"H35X+455, Kandaswamyipuram, Tamil Nadu 628202",628205,8.5577594,78.09798669999999,ChIJJbylGaqPAzsR8g8-5XgArw4,https://www.google.com/maps/place/?q=place_id:ChIJJbylGaqPAzsR8g8-5XgArw4,part_265,2026-09-20 19:02:21,7833
VIJAYALAKSHMI WAREHOUSES,Commercial Complex,Warehouse,Warehouse,628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 99651 12800,http://www.vjlgroup.com/,3.9,36.0,"Vijayalakshmi Warehouses, near EZHUMALAYAN NAGAR, COMPLEX, Eazhumalayan Nagar, Thoothukudi, Ayyanadaippu, Tamil Nadu 628008","COMPLEX, Eazhumalayan Nagar",8.805154,78.075676,ChIJ08KwCWbwAzsRBK_rN1E3C1s,https://www.google.com/maps/place/?q=place_id:ChIJ08KwCWbwAzsRBK_rN1E3C1s,part_265,2026-09-20 19:02:23,7834
THIRUMURUGAN ENTERPRISES,Commercial Complex,Furniture wholesaler,"Furniture wholesaler, Electronics wholesaler",628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 63817 87826,https://thirumuruganenterprises.com/,4.9,175.0,"66, 4, Vijaya complex, 3, Ettayapuram Rd, near A.P.C.college, Thoothukudi, Tamil Nadu 628002",Thalamuthu Nagar,8.8293319,78.128649,ChIJOQ8ByJ3lAzsR1bl9amZ9qBI,https://www.google.com/maps/place/?q=place_id:ChIJOQ8ByJ3lAzsR1bl9amZ9qBI,part_265,2026-09-20 19:02:23,7835
